Country Name,Country Code,Topic,% of available indicators,Year
Equatorial Guinea,GNQ,Assets,0.000,1960
Equatorial Guinea,GNQ,Assets,0.000,1961
Equatorial Guinea,GNQ,Assets,0.000,1962
Equatorial Guinea,GNQ,Assets,0.000,1963
Equatorial Guinea,GNQ,Assets,0.000,1964
Equatorial Guinea,GNQ,Assets,0.000,1965
Equatorial Guinea,GNQ,Assets,0.000,1966
Equatorial Guinea,GNQ,Assets,0.000,1967
Equatorial Guinea,GNQ,Assets,0.000,1968
Equatorial Guinea,GNQ,Assets,0.000,1969
Equatorial Guinea,GNQ,Assets,2.208,1970
Equatorial Guinea,GNQ,Assets,2.208,1971
Equatorial Guinea,GNQ,Assets,2.208,1972
Equatorial Guinea,GNQ,Assets,2.208,1973
Equatorial Guinea,GNQ,Assets,2.208,1974
Equatorial Guinea,GNQ,Assets,2.208,1975
Equatorial Guinea,GNQ,Assets,2.208,1976
Equatorial Guinea,GNQ,Assets,2.208,1977
Equatorial Guinea,GNQ,Assets,2.208,1978
Equatorial Guinea,GNQ,Assets,2.208,1979
Equatorial Guinea,GNQ,Assets,2.208,1980
Equatorial Guinea,GNQ,Assets,2.208,1981
Equatorial Guinea,GNQ,Assets,2.208,1982
Equatorial Guinea,GNQ,Assets,2.208,1983
Equatorial Guinea,GNQ,Assets,2.208,1984
Equatorial Guinea,GNQ,Assets,2.208,1985
Equatorial Guinea,GNQ,Assets,2.208,1986
Equatorial Guinea,GNQ,Assets,2.208,1987
Equatorial Guinea,GNQ,Assets,2.208,1988
Equatorial Guinea,GNQ,Assets,2.208,1989
Equatorial Guinea,GNQ,Assets,2.208,1990
Equatorial Guinea,GNQ,Assets,2.208,1991
Equatorial Guinea,GNQ,Assets,2.208,1992
Equatorial Guinea,GNQ,Assets,2.208,1993
Equatorial Guinea,GNQ,Assets,2.208,1994
Equatorial Guinea,GNQ,Assets,2.208,1995
Equatorial Guinea,GNQ,Assets,2.208,1996
Equatorial Guinea,GNQ,Assets,2.208,1997
Equatorial Guinea,GNQ,Assets,2.208,1998
Equatorial Guinea,GNQ,Assets,2.208,1999
Equatorial Guinea,GNQ,Assets,2.208,2000
Equatorial Guinea,GNQ,Assets,2.208,2001
Equatorial Guinea,GNQ,Assets,2.208,2002
Equatorial Guinea,GNQ,Assets,2.208,2003
Equatorial Guinea,GNQ,Assets,2.208,2004
Equatorial Guinea,GNQ,Assets,2.208,2005
Equatorial Guinea,GNQ,Assets,2.208,2006
Equatorial Guinea,GNQ,Assets,2.208,2007
Equatorial Guinea,GNQ,Assets,2.208,2008
Equatorial Guinea,GNQ,Assets,2.208,2009
Equatorial Guinea,GNQ,Assets,2.208,2010
