Country Name,Country Code,Topic,% of available indicators,Year
Greece,GRC,Assets,0.000,1960
Greece,GRC,Assets,0.000,1961
Greece,GRC,Assets,0.000,1962
Greece,GRC,Assets,0.000,1963
Greece,GRC,Assets,0.000,1964
Greece,GRC,Assets,0.000,1965
Greece,GRC,Assets,0.000,1966
Greece,GRC,Assets,0.000,1967
Greece,GRC,Assets,0.000,1968
Greece,GRC,Assets,0.000,1969
Greece,GRC,Assets,2.208,1970
Greece,GRC,Assets,2.208,1971
Greece,GRC,Assets,2.208,1972
Greece,GRC,Assets,2.208,1973
Greece,GRC,Assets,2.208,1974
Greece,GRC,Assets,2.208,1975
Greece,GRC,Assets,2.208,1976
Greece,GRC,Assets,2.208,1977
Greece,GRC,Assets,2.208,1978
Greece,GRC,Assets,2.208,1979
Greece,GRC,Assets,2.208,1980
Greece,GRC,Assets,2.208,1981
Greece,GRC,Assets,2.208,1982
Greece,GRC,Assets,2.208,1983
Greece,GRC,Assets,2.208,1984
Greece,GRC,Assets,2.208,1985
Greece,GRC,Assets,2.208,1986
Greece,GRC,Assets,2.208,1987
Greece,GRC,Assets,2.208,1988
Greece,GRC,Assets,2.208,1989
Greece,GRC,Assets,2.208,1990
Greece,GRC,Assets,2.208,1991
Greece,GRC,Assets,2.208,1992
Greece,GRC,Assets,2.208,1993
Greece,GRC,Assets,2.208,1994
Greece,GRC,Assets,2.208,1995
Greece,GRC,Assets,2.208,1996
Greece,GRC,Assets,2.208,1997
Greece,GRC,Assets,2.208,1998
Greece,GRC,Assets,2.208,1999
Greece,GRC,Assets,2.208,2000
Greece,GRC,Assets,2.208,2001
Greece,GRC,Assets,2.208,2002
Greece,GRC,Assets,2.208,2003
Greece,GRC,Assets,2.208,2004
Greece,GRC,Assets,2.208,2005
Greece,GRC,Assets,2.208,2006
Greece,GRC,Assets,2.208,2007
Greece,GRC,Assets,2.208,2008
Greece,GRC,Assets,2.208,2009
Greece,GRC,Assets,2.208,2010
Greece,GRC,Assets,11.672,2011
Greece,GRC,Assets,2.208,2012
Greece,GRC,Assets,2.208,2013
Greece,GRC,Assets,30.599,2014
Greece,GRC,Assets,2.208,2015
Greece,GRC,Assets,2.208,2016
Greece,GRC,Assets,33.123,2017
Greece,GRC,Assets,2.208,2018
Greece,GRC,Assets,2.208,2019
Greece,GRC,Assets,2.208,2020
Greece,GRC,Assets,58.360,2021
Greece,GRC,Assets,2.208,2022
Greece,GRC,Assets,2.208,2023
Greece,GRC,Children 0-14,19.231,1960
Greece,GRC,Children 0-14,19.231,1961
Greece,GRC,Children 0-14,19.231,1962
Greece,GRC,Children 0-14,19.231,1963
Greece,GRC,Children 0-14,19.231,1964
Greece,GRC,Children 0-14,19.231,1965
Greece,GRC,Children 0-14,19.231,1966
Greece,GRC,Children 0-14,19.231,1967
Greece,GRC,Children 0-14,19.231,1968
Greece,GRC,Children 0-14,19.231,1969
Greece,GRC,Children 0-14,19.231,1970
Greece,GRC,Children 0-14,40.000,1971
Greece,GRC,Children 0-14,40.000,1972
Greece,GRC,Children 0-14,40.000,1973
Greece,GRC,Children 0-14,40.000,1974
Greece,GRC,Children 0-14,40.000,1975
Greece,GRC,Children 0-14,40.000,1976
Greece,GRC,Children 0-14,40.000,1977
Greece,GRC,Children 0-14,40.000,1978
Greece,GRC,Children 0-14,40.000,1979
Greece,GRC,Children 0-14,40.769,1980
Greece,GRC,Children 0-14,43.077,1981
Greece,GRC,Children 0-14,40.769,1982
Greece,GRC,Children 0-14,40.769,1983
Greece,GRC,Children 0-14,41.538,1984
Greece,GRC,Children 0-14,41.538,1985
Greece,GRC,Children 0-14,41.538,1986
Greece,GRC,Children 0-14,40.000,1987
Greece,GRC,Children 0-14,41.538,1988
Greece,GRC,Children 0-14,40.000,1989
Greece,GRC,Children 0-14,36.923,1990
Greece,GRC,Children 0-14,40.000,1991
Greece,GRC,Children 0-14,40.000,1992
Greece,GRC,Children 0-14,34.615,1993
Greece,GRC,Children 0-14,34.615,1994
Greece,GRC,Children 0-14,34.615,1995
Greece,GRC,Children 0-14,34.615,1996
Greece,GRC,Children 0-14,34.615,1997
Greece,GRC,Children 0-14,36.154,1998
Greece,GRC,Children 0-14,36.154,1999
Greece,GRC,Children 0-14,50.000,2000
Greece,GRC,Children 0-14,42.308,2001
Greece,GRC,Children 0-14,37.692,2002
Greece,GRC,Children 0-14,44.615,2003
Greece,GRC,Children 0-14,41.538,2004
Greece,GRC,Children 0-14,46.154,2005
Greece,GRC,Children 0-14,46.154,2006
Greece,GRC,Children 0-14,44.615,2007
Greece,GRC,Children 0-14,25.385,2008
Greece,GRC,Children 0-14,20.769,2009
Greece,GRC,Children 0-14,63.077,2010
Greece,GRC,Children 0-14,46.154,2011
