Country Name,Country Code,Topic,% of available indicators,Year
Grenada,GRD,Assets,0.000,1960
Grenada,GRD,Assets,0.000,1961
Grenada,GRD,Assets,0.000,1962
Grenada,GRD,Assets,0.000,1963
Grenada,GRD,Assets,0.000,1964
Grenada,GRD,Assets,0.000,1965
Grenada,GRD,Assets,0.000,1966
Grenada,GRD,Assets,0.000,1967
Grenada,GRD,Assets,0.000,1968
Grenada,GRD,Assets,0.000,1969
Grenada,GRD,Assets,2.208,1970
Grenada,GRD,Assets,2.208,1971
Grenada,GRD,Assets,2.208,1972
Grenada,GRD,Assets,2.208,1973
Grenada,GRD,Assets,2.208,1974
Grenada,GRD,Assets,2.208,1975
Grenada,GRD,Assets,2.208,1976
Grenada,GRD,Assets,2.208,1977
Grenada,GRD,Assets,2.208,1978
Grenada,GRD,Assets,2.208,1979
Grenada,GRD,Assets,2.208,1980
Grenada,GRD,Assets,2.208,1981
Grenada,GRD,Assets,2.208,1982
Grenada,GRD,Assets,2.208,1983
Grenada,GRD,Assets,2.208,1984
Grenada,GRD,Assets,2.208,1985
Grenada,GRD,Assets,2.208,1986
Grenada,GRD,Assets,2.208,1987
Grenada,GRD,Assets,2.208,1988
Grenada,GRD,Assets,2.208,1989
Grenada,GRD,Assets,2.208,1990
Grenada,GRD,Assets,2.208,1991
Grenada,GRD,Assets,2.208,1992
Grenada,GRD,Assets,2.208,1993
Grenada,GRD,Assets,2.208,1994
Grenada,GRD,Assets,2.208,1995
Grenada,GRD,Assets,2.208,1996
Grenada,GRD,Assets,2.208,1997
Grenada,GRD,Assets,2.208,1998
Grenada,GRD,Assets,2.208,1999
Grenada,GRD,Assets,2.208,2000
Grenada,GRD,Assets,2.208,2001
Grenada,GRD,Assets,2.208,2002
Grenada,GRD,Assets,2.208,2003
Grenada,GRD,Assets,2.208,2004
Grenada,GRD,Assets,2.208,2005
Grenada,GRD,Assets,2.208,2006
Grenada,GRD,Assets,2.208,2007
Grenada,GRD,Assets,2.208,2008
Grenada,GRD,Assets,2.208,2009
Grenada,GRD,Assets,2.208,2010
