Country Name,Country Code,Topic,% of available indicators,Year
Greenland,GRL,Assets,0.000,1960
Greenland,GRL,Assets,0.000,1961
Greenland,GRL,Assets,0.000,1962
Greenland,GRL,Assets,0.000,1963
Greenland,GRL,Assets,0.000,1964
Greenland,GRL,Assets,0.000,1965
Greenland,GRL,Assets,0.000,1966
Greenland,GRL,Assets,0.000,1967
Greenland,GRL,Assets,0.000,1968
Greenland,GRL,Assets,0.000,1969
Greenland,GRL,Assets,0.000,1970
Greenland,GRL,Assets,0.000,1971
Greenland,GRL,Assets,0.000,1972
Greenland,GRL,Assets,0.000,1973
Greenland,GRL,Assets,0.000,1974
Greenland,GRL,Assets,0.000,1975
Greenland,GRL,Assets,0.000,1976
Greenland,GRL,Assets,0.000,1977
Greenland,GRL,Assets,0.000,1978
Greenland,GRL,Assets,0.000,1979
Greenland,GRL,Assets,0.000,1980
Greenland,GRL,Assets,0.000,1981
Greenland,GRL,Assets,0.000,1982
Greenland,GRL,Assets,0.000,1983
Greenland,GRL,Assets,0.000,1984
Greenland,GRL,Assets,0.000,1985
Greenland,GRL,Assets,0.000,1986
Greenland,GRL,Assets,0.000,1987
Greenland,GRL,Assets,0.000,1988
Greenland,GRL,Assets,0.000,1989
Greenland,GRL,Assets,0.000,1990
Greenland,GRL,Assets,0.000,1991
Greenland,GRL,Assets,0.000,1992
Greenland,GRL,Assets,0.000,1993
Greenland,GRL,Assets,0.000,1994
Greenland,GRL,Assets,0.000,1995
Greenland,GRL,Assets,0.000,1996
Greenland,GRL,Assets,0.000,1997
Greenland,GRL,Assets,0.000,1998
Greenland,GRL,Assets,0.000,1999
Greenland,GRL,Assets,0.000,2000
Greenland,GRL,Assets,0.000,2001
Greenland,GRL,Assets,0.000,2002
Greenland,GRL,Assets,0.000,2003
Greenland,GRL,Assets,0.000,2004
Greenland,GRL,Assets,0.000,2005
Greenland,GRL,Assets,0.000,2006
Greenland,GRL,Assets,0.000,2007
Greenland,GRL,Assets,0.000,2008
Greenland,GRL,Assets,0.000,2009
Greenland,GRL,Assets,0.000,2010
Greenland,GRL,Assets,0.000,2011
Greenland,GRL,Assets,0.000,2012
Greenland,GRL,Assets,0.000,2013
Greenland,GRL,Assets,0.000,2014
Greenland,GRL,Assets,0.000,2015
Greenland,GRL,Assets,0.000,2016
Greenland,GRL,Assets,0.000,2017
Greenland,GRL,Assets,0.000,2018
Greenland,GRL,Assets,0.000,2019
Greenland,GRL,Assets,0.000,2020
Greenland,GRL,Assets,0.000,2021
Greenland,GRL,Assets,0.000,2022
Greenland,GRL,Assets,0.000,2023
Greenland,GRL,Children 0-14,8.462,1960
Greenland,GRL,Children 0-14,8.462,1961
Greenland,GRL,Children 0-14,8.462,1962
Greenland,GRL,Children 0-14,8.462,1963
Greenland,GRL,Children 0-14,8.462,1964
Greenland,GRL,Children 0-14,8.462,1965
Greenland,GRL,Children 0-14,8.462,1966
Greenland,GRL,Children 0-14,8.462,1967
Greenland,GRL,Children 0-14,8.462,1968
Greenland,GRL,Children 0-14,8.462,1969
Greenland,GRL,Children 0-14,8.462,1970
Greenland,GRL,Children 0-14,8.462,1971
Greenland,GRL,Children 0-14,8.462,1972
Greenland,GRL,Children 0-14,8.462,1973
Greenland,GRL,Children 0-14,8.462,1974
Greenland,GRL,Children 0-14,8.462,1975
Greenland,GRL,Children 0-14,8.462,1976
Greenland,GRL,Children 0-14,8.462,1977
Greenland,GRL,Children 0-14,10.769,1978
Greenland,GRL,Children 0-14,10.769,1979
Greenland,GRL,Children 0-14,10.769,1980
Greenland,GRL,Children 0-14,10.769,1981
Greenland,GRL,Children 0-14,10.769,1982
Greenland,GRL,Children 0-14,10.769,1983
Greenland,GRL,Children 0-14,10.769,1984
Greenland,GRL,Children 0-14,10.769,1985
Greenland,GRL,Children 0-14,10.769,1986
Greenland,GRL,Children 0-14,10.769,1987
Greenland,GRL,Children 0-14,10.769,1988
Greenland,GRL,Children 0-14,10.769,1989
Greenland,GRL,Children 0-14,10.769,1990
Greenland,GRL,Children 0-14,10.769,1991
Greenland,GRL,Children 0-14,10.769,1992
Greenland,GRL,Children 0-14,10.769,1993
Greenland,GRL,Children 0-14,10.769,1994
Greenland,GRL,Children 0-14,10.769,1995
Greenland,GRL,Children 0-14,10.769,1996
Greenland,GRL,Children 0-14,10.769,1997
Greenland,GRL,Children 0-14,10.769,1998
Greenland,GRL,Children 0-14,10.769,1999
Greenland,GRL,Children 0-14,10.769,2000
Greenland,GRL,Children 0-14,10.769,2001
Greenland,GRL,Children 0-14,10.769,2002
