Country Name,Country Code,Topic,% of available indicators,Year
Guatemala,GTM,Assets,0.000,1960
Guatemala,GTM,Assets,0.000,1961
Guatemala,GTM,Assets,0.000,1962
Guatemala,GTM,Assets,0.000,1963
Guatemala,GTM,Assets,0.000,1964
Guatemala,GTM,Assets,0.000,1965
Guatemala,GTM,Assets,0.000,1966
Guatemala,GTM,Assets,0.000,1967
Guatemala,GTM,Assets,0.000,1968
Guatemala,GTM,Assets,0.000,1969
Guatemala,GTM,Assets,2.208,1970
Guatemala,GTM,Assets,2.208,1971
Guatemala,GTM,Assets,2.208,1972
Guatemala,GTM,Assets,2.208,1973
Guatemala,GTM,Assets,2.208,1974
Guatemala,GTM,Assets,2.208,1975
Guatemala,GTM,Assets,2.208,1976
Guatemala,GTM,Assets,2.208,1977
Guatemala,GTM,Assets,2.208,1978
Guatemala,GTM,Assets,2.208,1979
Guatemala,GTM,Assets,2.208,1980
Guatemala,GTM,Assets,2.208,1981
Guatemala,GTM,Assets,2.208,1982
Guatemala,GTM,Assets,2.208,1983
Guatemala,GTM,Assets,2.208,1984
Guatemala,GTM,Assets,2.208,1985
Guatemala,GTM,Assets,2.208,1986
Guatemala,GTM,Assets,2.208,1987
Guatemala,GTM,Assets,2.208,1988
Guatemala,GTM,Assets,2.208,1989
Guatemala,GTM,Assets,2.208,1990
Guatemala,GTM,Assets,2.208,1991
Guatemala,GTM,Assets,2.208,1992
Guatemala,GTM,Assets,2.208,1993
Guatemala,GTM,Assets,2.208,1994
Guatemala,GTM,Assets,2.208,1995
Guatemala,GTM,Assets,2.208,1996
Guatemala,GTM,Assets,2.208,1997
Guatemala,GTM,Assets,2.208,1998
Guatemala,GTM,Assets,2.208,1999
Guatemala,GTM,Assets,2.208,2000
Guatemala,GTM,Assets,2.208,2001
Guatemala,GTM,Assets,2.208,2002
Guatemala,GTM,Assets,2.208,2003
Guatemala,GTM,Assets,2.208,2004
Guatemala,GTM,Assets,2.208,2005
Guatemala,GTM,Assets,2.208,2006
Guatemala,GTM,Assets,2.208,2007
Guatemala,GTM,Assets,2.208,2008
Guatemala,GTM,Assets,2.208,2009
Guatemala,GTM,Assets,2.208,2010
Guatemala,GTM,Assets,11.672,2011
Guatemala,GTM,Assets,2.208,2012
Guatemala,GTM,Assets,2.208,2013
Guatemala,GTM,Assets,31.546,2014
Guatemala,GTM,Assets,24.921,2015
Guatemala,GTM,Assets,2.208,2016
Guatemala,GTM,Assets,34.069,2017
Guatemala,GTM,Assets,2.208,2018
Guatemala,GTM,Assets,2.208,2019
Guatemala,GTM,Assets,2.208,2020
Guatemala,GTM,Assets,2.208,2021
Guatemala,GTM,Assets,62.461,2022
Guatemala,GTM,Assets,2.208,2023
Guatemala,GTM,Children 0-14,17.692,1960
Guatemala,GTM,Children 0-14,17.692,1961
Guatemala,GTM,Children 0-14,19.231,1962
Guatemala,GTM,Children 0-14,19.231,1963
Guatemala,GTM,Children 0-14,19.231,1964
Guatemala,GTM,Children 0-14,19.231,1965
Guatemala,GTM,Children 0-14,19.231,1966
Guatemala,GTM,Children 0-14,19.231,1967
Guatemala,GTM,Children 0-14,19.231,1968
Guatemala,GTM,Children 0-14,19.231,1969
Guatemala,GTM,Children 0-14,32.308,1970
Guatemala,GTM,Children 0-14,34.615,1971
Guatemala,GTM,Children 0-14,32.308,1972
Guatemala,GTM,Children 0-14,25.385,1973
Guatemala,GTM,Children 0-14,30.769,1974
Guatemala,GTM,Children 0-14,36.923,1975
Guatemala,GTM,Children 0-14,30.000,1976
Guatemala,GTM,Children 0-14,27.692,1977
Guatemala,GTM,Children 0-14,33.846,1978
Guatemala,GTM,Children 0-14,28.462,1979
Guatemala,GTM,Children 0-14,30.000,1980
Guatemala,GTM,Children 0-14,35.385,1981
Guatemala,GTM,Children 0-14,33.846,1982
Guatemala,GTM,Children 0-14,34.615,1983
Guatemala,GTM,Children 0-14,23.846,1984
Guatemala,GTM,Children 0-14,28.462,1985
Guatemala,GTM,Children 0-14,28.462,1986
Guatemala,GTM,Children 0-14,29.231,1987
Guatemala,GTM,Children 0-14,21.538,1988
Guatemala,GTM,Children 0-14,20.769,1989
