Country Name,Country Code,Topic,% of available indicators,Year
Guam,GUM,Assets,0.000,1960
Guam,GUM,Assets,0.000,1961
Guam,GUM,Assets,0.000,1962
Guam,GUM,Assets,0.000,1963
Guam,GUM,Assets,0.000,1964
Guam,GUM,Assets,0.000,1965
Guam,GUM,Assets,0.000,1966
Guam,GUM,Assets,0.000,1967
Guam,GUM,Assets,0.000,1968
Guam,GUM,Assets,0.000,1969
Guam,GUM,Assets,0.000,1970
Guam,GUM,Assets,0.000,1971
Guam,GUM,Assets,0.000,1972
Guam,GUM,Assets,0.000,1973
Guam,GUM,Assets,0.000,1974
Guam,GUM,Assets,0.000,1975
Guam,GUM,Assets,0.000,1976
Guam,GUM,Assets,0.000,1977
Guam,GUM,Assets,0.000,1978
Guam,GUM,Assets,0.000,1979
Guam,GUM,Assets,0.000,1980
Guam,GUM,Assets,0.000,1981
Guam,GUM,Assets,0.000,1982
Guam,GUM,Assets,0.000,1983
Guam,GUM,Assets,0.000,1984
Guam,GUM,Assets,0.000,1985
Guam,GUM,Assets,0.000,1986
Guam,GUM,Assets,0.000,1987
Guam,GUM,Assets,0.000,1988
Guam,GUM,Assets,0.000,1989
Guam,GUM,Assets,0.000,1990
Guam,GUM,Assets,0.000,1991
Guam,GUM,Assets,0.000,1992
Guam,GUM,Assets,0.000,1993
Guam,GUM,Assets,0.000,1994
Guam,GUM,Assets,0.000,1995
Guam,GUM,Assets,0.000,1996
Guam,GUM,Assets,0.000,1997
Guam,GUM,Assets,0.000,1998
Guam,GUM,Assets,0.000,1999
Guam,GUM,Assets,0.000,2000
Guam,GUM,Assets,0.000,2001
Guam,GUM,Assets,0.000,2002
Guam,GUM,Assets,0.000,2003
Guam,GUM,Assets,0.000,2004
Guam,GUM,Assets,0.000,2005
Guam,GUM,Assets,0.000,2006
Guam,GUM,Assets,0.000,2007
Guam,GUM,Assets,0.000,2008
Guam,GUM,Assets,0.000,2009
Guam,GUM,Assets,0.000,2010
Guam,GUM,Assets,0.000,2011
Guam,GUM,Assets,0.000,2012
Guam,GUM,Assets,0.000,2013
Guam,GUM,Assets,0.000,2014
Guam,GUM,Assets,0.000,2015
Guam,GUM,Assets,0.000,2016
Guam,GUM,Assets,0.000,2017
Guam,GUM,Assets,0.000,2018
Guam,GUM,Assets,0.000,2019
Guam,GUM,Assets,0.000,2020
Guam,GUM,Assets,0.000,2021
Guam,GUM,Assets,0.000,2022
Guam,GUM,Assets,0.000,2023
Guam,GUM,Children 0-14,10.769,1960
Guam,GUM,Children 0-14,10.769,1961
Guam,GUM,Children 0-14,10.769,1962
Guam,GUM,Children 0-14,10.769,1963
Guam,GUM,Children 0-14,10.769,1964
Guam,GUM,Children 0-14,10.769,1965
Guam,GUM,Children 0-14,10.769,1966
Guam,GUM,Children 0-14,10.769,1967
Guam,GUM,Children 0-14,10.769,1968
Guam,GUM,Children 0-14,10.769,1969
Guam,GUM,Children 0-14,13.077,1970
Guam,GUM,Children 0-14,11.538,1971
Guam,GUM,Children 0-14,10.769,1972
Guam,GUM,Children 0-14,10.769,1973
Guam,GUM,Children 0-14,10.769,1974
Guam,GUM,Children 0-14,10.769,1975
Guam,GUM,Children 0-14,10.769,1976
Guam,GUM,Children 0-14,10.769,1977
Guam,GUM,Children 0-14,10.769,1978
Guam,GUM,Children 0-14,10.769,1979
Guam,GUM,Children 0-14,15.385,1980
Guam,GUM,Children 0-14,11.538,1981
Guam,GUM,Children 0-14,11.538,1982
Guam,GUM,Children 0-14,11.538,1983
Guam,GUM,Children 0-14,13.846,1984
Guam,GUM,Children 0-14,11.538,1985
Guam,GUM,Children 0-14,11.538,1986
Guam,GUM,Children 0-14,11.538,1987
Guam,GUM,Children 0-14,11.538,1988
Guam,GUM,Children 0-14,11.538,1989
Guam,GUM,Children 0-14,13.077,1990
Guam,GUM,Children 0-14,10.769,1991
Guam,GUM,Children 0-14,10.769,1992
Guam,GUM,Children 0-14,10.769,1993
Guam,GUM,Children 0-14,10.769,1994
Guam,GUM,Children 0-14,10.769,1995
Guam,GUM,Children 0-14,10.769,1996
Guam,GUM,Children 0-14,10.769,1997
Guam,GUM,Children 0-14,10.769,1998
Guam,GUM,Children 0-14,10.769,1999
Guam,GUM,Children 0-14,10.769,2000
