Country Name,Country Code,Topic,% of available indicators,Year
"Hong Kong SAR, China",HKG,Assets,0.000,1960
"Hong Kong SAR, China",HKG,Assets,0.000,1961
"Hong Kong SAR, China",HKG,Assets,0.000,1962
"Hong Kong SAR, China",HKG,Assets,0.000,1963
"Hong Kong SAR, China",HKG,Assets,0.000,1964
"Hong Kong SAR, China",HKG,Assets,0.000,1965
"Hong Kong SAR, China",HKG,Assets,0.000,1966
"Hong Kong SAR, China",HKG,Assets,0.000,1967
"Hong Kong SAR, China",HKG,Assets,0.000,1968
"Hong Kong SAR, China",HKG,Assets,0.000,1969
"Hong Kong SAR, China",HKG,Assets,2.208,1970
"Hong Kong SAR, China",HKG,Assets,2.208,1971
"Hong Kong SAR, China",HKG,Assets,2.208,1972
"Hong Kong SAR, China",HKG,Assets,2.208,1973
"Hong Kong SAR, China",HKG,Assets,2.208,1974
"Hong Kong SAR, China",HKG,Assets,2.208,1975
"Hong Kong SAR, China",HKG,Assets,2.208,1976
"Hong Kong SAR, China",HKG,Assets,2.208,1977
"Hong Kong SAR, China",HKG,Assets,2.208,1978
"Hong Kong SAR, China",HKG,Assets,2.208,1979
"Hong Kong SAR, China",HKG,Assets,2.208,1980
"Hong Kong SAR, China",HKG,Assets,2.208,1981
"Hong Kong SAR, China",HKG,Assets,2.208,1982
"Hong Kong SAR, China",HKG,Assets,2.208,1983
"Hong Kong SAR, China",HKG,Assets,2.208,1984
"Hong Kong SAR, China",HKG,Assets,2.208,1985
"Hong Kong SAR, China",HKG,Assets,2.208,1986
"Hong Kong SAR, China",HKG,Assets,2.208,1987
"Hong Kong SAR, China",HKG,Assets,2.208,1988
"Hong Kong SAR, China",HKG,Assets,2.208,1989
"Hong Kong SAR, China",HKG,Assets,2.208,1990
"Hong Kong SAR, China",HKG,Assets,2.208,1991
"Hong Kong SAR, China",HKG,Assets,2.208,1992
"Hong Kong SAR, China",HKG,Assets,2.208,1993
"Hong Kong SAR, China",HKG,Assets,2.208,1994
"Hong Kong SAR, China",HKG,Assets,2.208,1995
"Hong Kong SAR, China",HKG,Assets,2.208,1996
"Hong Kong SAR, China",HKG,Assets,2.208,1997
"Hong Kong SAR, China",HKG,Assets,2.208,1998
"Hong Kong SAR, China",HKG,Assets,2.208,1999
"Hong Kong SAR, China",HKG,Assets,2.208,2000
"Hong Kong SAR, China",HKG,Assets,2.208,2001
"Hong Kong SAR, China",HKG,Assets,2.208,2002
"Hong Kong SAR, China",HKG,Assets,2.208,2003
"Hong Kong SAR, China",HKG,Assets,2.208,2004
"Hong Kong SAR, China",HKG,Assets,2.208,2005
"Hong Kong SAR, China",HKG,Assets,2.208,2006
"Hong Kong SAR, China",HKG,Assets,2.208,2007
"Hong Kong SAR, China",HKG,Assets,2.208,2008
"Hong Kong SAR, China",HKG,Assets,2.208,2009
"Hong Kong SAR, China",HKG,Assets,2.208,2010
"Hong Kong SAR, China",HKG,Assets,10.726,2011
"Hong Kong SAR, China",HKG,Assets,2.208,2012
"Hong Kong SAR, China",HKG,Assets,2.208,2013
"Hong Kong SAR, China",HKG,Assets,24.921,2014
"Hong Kong SAR, China",HKG,Assets,2.208,2015
"Hong Kong SAR, China",HKG,Assets,2.208,2016
"Hong Kong SAR, China",HKG,Assets,26.814,2017
"Hong Kong SAR, China",HKG,Assets,2.208,2018
"Hong Kong SAR, China",HKG,Assets,2.208,2019
"Hong Kong SAR, China",HKG,Assets,2.208,2020
"Hong Kong SAR, China",HKG,Assets,51.735,2021
"Hong Kong SAR, China",HKG,Assets,2.208,2022
"Hong Kong SAR, China",HKG,Assets,2.208,2023
"Hong Kong SAR, China",HKG,Children 0-14,10.769,1960
"Hong Kong SAR, China",HKG,Children 0-14,10.769,1961
"Hong Kong SAR, China",HKG,Children 0-14,10.769,1962
"Hong Kong SAR, China",HKG,Children 0-14,10.769,1963
"Hong Kong SAR, China",HKG,Children 0-14,10.769,1964
"Hong Kong SAR, China",HKG,Children 0-14,10.769,1965
"Hong Kong SAR, China",HKG,Children 0-14,10.769,1966
"Hong Kong SAR, China",HKG,Children 0-14,10.769,1967
"Hong Kong SAR, China",HKG,Children 0-14,10.769,1968
"Hong Kong SAR, China",HKG,Children 0-14,10.769,1969
"Hong Kong SAR, China",HKG,Children 0-14,10.769,1970
"Hong Kong SAR, China",HKG,Children 0-14,29.231,1971
"Hong Kong SAR, China",HKG,Children 0-14,24.615,1972
"Hong Kong SAR, China",HKG,Children 0-14,24.615,1973
"Hong Kong SAR, China",HKG,Children 0-14,24.615,1974
"Hong Kong SAR, China",HKG,Children 0-14,24.615,1975
"Hong Kong SAR, China",HKG,Children 0-14,26.923,1976
"Hong Kong SAR, China",HKG,Children 0-14,24.615,1977
"Hong Kong SAR, China",HKG,Children 0-14,24.615,1978
"Hong Kong SAR, China",HKG,Children 0-14,26.154,1979
"Hong Kong SAR, China",HKG,Children 0-14,31.538,1980
"Hong Kong SAR, China",HKG,Children 0-14,36.154,1981
"Hong Kong SAR, China",HKG,Children 0-14,31.538,1982
"Hong Kong SAR, China",HKG,Children 0-14,31.538,1983
"Hong Kong SAR, China",HKG,Children 0-14,31.538,1984
"Hong Kong SAR, China",HKG,Children 0-14,30.000,1985
