Country Name,Country Code,Topic,% of available indicators,Year
Honduras,HND,Assets,0.000,1960
Honduras,HND,Assets,0.000,1961
Honduras,HND,Assets,0.000,1962
Honduras,HND,Assets,0.000,1963
Honduras,HND,Assets,0.000,1964
Honduras,HND,Assets,0.000,1965
Honduras,HND,Assets,0.000,1966
Honduras,HND,Assets,0.000,1967
Honduras,HND,Assets,0.000,1968
Honduras,HND,Assets,0.000,1969
Honduras,HND,Assets,2.208,1970
Honduras,HND,Assets,2.208,1971
Honduras,HND,Assets,2.208,1972
Honduras,HND,Assets,2.208,1973
Honduras,HND,Assets,2.208,1974
Honduras,HND,Assets,2.208,1975
Honduras,HND,Assets,2.208,1976
Honduras,HND,Assets,2.208,1977
Honduras,HND,Assets,2.208,1978
Honduras,HND,Assets,2.208,1979
Honduras,HND,Assets,2.208,1980
Honduras,HND,Assets,2.208,1981
Honduras,HND,Assets,2.208,1982
Honduras,HND,Assets,2.208,1983
Honduras,HND,Assets,2.208,1984
Honduras,HND,Assets,2.208,1985
Honduras,HND,Assets,2.208,1986
Honduras,HND,Assets,2.208,1987
Honduras,HND,Assets,2.208,1988
Honduras,HND,Assets,2.208,1989
Honduras,HND,Assets,2.208,1990
Honduras,HND,Assets,2.208,1991
Honduras,HND,Assets,2.208,1992
Honduras,HND,Assets,2.208,1993
Honduras,HND,Assets,2.208,1994
Honduras,HND,Assets,2.208,1995
Honduras,HND,Assets,2.208,1996
Honduras,HND,Assets,2.208,1997
Honduras,HND,Assets,2.208,1998
Honduras,HND,Assets,2.208,1999
Honduras,HND,Assets,2.208,2000
Honduras,HND,Assets,2.208,2001
Honduras,HND,Assets,2.208,2002
Honduras,HND,Assets,2.208,2003
Honduras,HND,Assets,2.208,2004
Honduras,HND,Assets,2.208,2005
Honduras,HND,Assets,2.208,2006
Honduras,HND,Assets,2.208,2007
Honduras,HND,Assets,2.208,2008
Honduras,HND,Assets,2.208,2009
Honduras,HND,Assets,2.208,2010
Honduras,HND,Assets,11.672,2011
Honduras,HND,Assets,28.707,2012
Honduras,HND,Assets,2.208,2013
Honduras,HND,Assets,31.546,2014
Honduras,HND,Assets,2.208,2015
Honduras,HND,Assets,2.208,2016
Honduras,HND,Assets,34.069,2017
Honduras,HND,Assets,2.208,2018
Honduras,HND,Assets,2.208,2019
Honduras,HND,Assets,2.208,2020
Honduras,HND,Assets,63.091,2021
Honduras,HND,Assets,2.208,2022
Honduras,HND,Assets,2.208,2023
Honduras,HND,Children 0-14,17.692,1960
Honduras,HND,Children 0-14,19.231,1961
Honduras,HND,Children 0-14,19.231,1962
Honduras,HND,Children 0-14,19.231,1963
Honduras,HND,Children 0-14,19.231,1964
Honduras,HND,Children 0-14,19.231,1965
Honduras,HND,Children 0-14,19.231,1966
Honduras,HND,Children 0-14,19.231,1967
Honduras,HND,Children 0-14,19.231,1968
Honduras,HND,Children 0-14,19.231,1969
Honduras,HND,Children 0-14,25.385,1970
Honduras,HND,Children 0-14,25.385,1971
Honduras,HND,Children 0-14,25.385,1972
Honduras,HND,Children 0-14,25.385,1973
Honduras,HND,Children 0-14,30.000,1974
Honduras,HND,Children 0-14,25.385,1975
Honduras,HND,Children 0-14,25.385,1976
Honduras,HND,Children 0-14,25.385,1977
Honduras,HND,Children 0-14,28.462,1978
Honduras,HND,Children 0-14,33.077,1979
Honduras,HND,Children 0-14,37.692,1980
Honduras,HND,Children 0-14,26.923,1981
Honduras,HND,Children 0-14,37.692,1982
Honduras,HND,Children 0-14,36.154,1983
Honduras,HND,Children 0-14,37.692,1984
Honduras,HND,Children 0-14,25.385,1985
Honduras,HND,Children 0-14,34.615,1986
Honduras,HND,Children 0-14,23.846,1987
Honduras,HND,Children 0-14,24.615,1988
Honduras,HND,Children 0-14,20.769,1989
Honduras,HND,Children 0-14,26.923,1990
Honduras,HND,Children 0-14,51.538,1991
Honduras,HND,Children 0-14,31.538,1992
Honduras,HND,Children 0-14,39.231,1993
Honduras,HND,Children 0-14,33.846,1994
Honduras,HND,Children 0-14,31.538,1995
Honduras,HND,Children 0-14,38.462,1996
Honduras,HND,Children 0-14,31.538,1997
Honduras,HND,Children 0-14,30.000,1998
Honduras,HND,Children 0-14,27.692,1999
Honduras,HND,Children 0-14,51.538,2000
Honduras,HND,Children 0-14,36.923,2001
Honduras,HND,Children 0-14,20.769,2002
Honduras,HND,Children 0-14,40.000,2003
Honduras,HND,Children 0-14,47.692,2004
Honduras,HND,Children 0-14,49.231,2005
Honduras,HND,Children 0-14,55.385,2006
Honduras,HND,Children 0-14,45.385,2007
Honduras,HND,Children 0-14,43.846,2008
Honduras,HND,Children 0-14,46.154,2009
Honduras,HND,Children 0-14,66.923,2010
Honduras,HND,Children 0-14,50.769,2011
Honduras,HND,Children 0-14,73.077,2012
Honduras,HND,Children 0-14,61.538,2013
Honduras,HND,Children 0-14,53.846,2014
Honduras,HND,Children 0-14,62.308,2015
Honduras,HND,Children 0-14,53.077,2016
Honduras,HND,Children 0-14,51.538,2017
Honduras,HND,Children 0-14,37.692,2018
Honduras,HND,Children 0-14,68.462,2019
Honduras,HND,Children 0-14,39.231,2020
Honduras,HND,Children 0-14,38.462,2021
Honduras,HND,Children 0-14,34.615,2022
Honduras,HND,Children 0-14,23.846,2023
Honduras,HND,Education,0.000,1960
Honduras,HND,Education,0.000,1961
Honduras,HND,Education,0.000,1962
Honduras,HND,Education,0.000,1963
Honduras,HND,Education,0.000,1964
Honduras,HND,Education,0.000,1965
Honduras,HND,Education,0.000,1966
Honduras,HND,Education,0.000,1967
Honduras,HND,Education,0.000,1968
Honduras,HND,Education,0.000,1969
Honduras,HND,Education,11.656,1970
Honduras,HND,Education,6.748,1971
Honduras,HND,Education,6.748,1972
Honduras,HND,Education,4.908,1973
Honduras,HND,Education,17.178,1974
Honduras,HND,Education,9.816,1975
Honduras,HND,Education,10.429,1976
Honduras,HND,Education,10.429,1977
Honduras,HND,Education,12.883,1978
Honduras,HND,Education,12.883,1979
Honduras,HND,Education,26.380,1980
Honduras,HND,Education,6.135,1981
Honduras,HND,Education,22.699,1982
Honduras,HND,Education,23.313,1983
Honduras,HND,Education,22.699,1984
Honduras,HND,Education,6.135,1985
