Country Name,Country Code,Topic,% of available indicators,Year
Croatia,HRV,Assets,0.000,1960
Croatia,HRV,Assets,0.000,1961
Croatia,HRV,Assets,0.000,1962
Croatia,HRV,Assets,0.000,1963
Croatia,HRV,Assets,0.000,1964
Croatia,HRV,Assets,0.000,1965
Croatia,HRV,Assets,0.000,1966
Croatia,HRV,Assets,0.000,1967
Croatia,HRV,Assets,0.000,1968
Croatia,HRV,Assets,0.000,1969
Croatia,HRV,Assets,2.208,1970
Croatia,HRV,Assets,2.208,1971
Croatia,HRV,Assets,2.208,1972
Croatia,HRV,Assets,2.208,1973
Croatia,HRV,Assets,2.208,1974
Croatia,HRV,Assets,2.208,1975
Croatia,HRV,Assets,2.208,1976
Croatia,HRV,Assets,2.208,1977
Croatia,HRV,Assets,2.208,1978
Croatia,HRV,Assets,2.208,1979
Croatia,HRV,Assets,2.208,1980
Croatia,HRV,Assets,2.208,1981
Croatia,HRV,Assets,2.208,1982
Croatia,HRV,Assets,2.208,1983
Croatia,HRV,Assets,2.208,1984
Croatia,HRV,Assets,2.208,1985
Croatia,HRV,Assets,2.208,1986
Croatia,HRV,Assets,2.208,1987
Croatia,HRV,Assets,2.208,1988
Croatia,HRV,Assets,2.208,1989
Croatia,HRV,Assets,2.208,1990
Croatia,HRV,Assets,2.208,1991
Croatia,HRV,Assets,2.208,1992
Croatia,HRV,Assets,2.208,1993
Croatia,HRV,Assets,2.208,1994
Croatia,HRV,Assets,2.208,1995
Croatia,HRV,Assets,2.208,1996
Croatia,HRV,Assets,2.208,1997
Croatia,HRV,Assets,2.208,1998
Croatia,HRV,Assets,2.208,1999
Croatia,HRV,Assets,2.208,2000
Croatia,HRV,Assets,2.208,2001
Croatia,HRV,Assets,2.208,2002
Croatia,HRV,Assets,2.208,2003
Croatia,HRV,Assets,2.208,2004
Croatia,HRV,Assets,2.208,2005
Croatia,HRV,Assets,2.208,2006
Croatia,HRV,Assets,2.208,2007
Croatia,HRV,Assets,2.208,2008
Croatia,HRV,Assets,2.208,2009
Croatia,HRV,Assets,2.208,2010
Croatia,HRV,Assets,11.672,2011
Croatia,HRV,Assets,2.208,2012
Croatia,HRV,Assets,2.208,2013
Croatia,HRV,Assets,30.599,2014
Croatia,HRV,Assets,2.208,2015
Croatia,HRV,Assets,2.208,2016
Croatia,HRV,Assets,33.123,2017
Croatia,HRV,Assets,2.208,2018
Croatia,HRV,Assets,2.208,2019
Croatia,HRV,Assets,2.208,2020
Croatia,HRV,Assets,58.360,2021
Croatia,HRV,Assets,2.208,2022
Croatia,HRV,Assets,2.208,2023
Croatia,HRV,Children 0-14,10.769,1960
Croatia,HRV,Children 0-14,10.769,1961
Croatia,HRV,Children 0-14,10.769,1962
Croatia,HRV,Children 0-14,10.769,1963
Croatia,HRV,Children 0-14,10.769,1964
Croatia,HRV,Children 0-14,10.769,1965
Croatia,HRV,Children 0-14,10.769,1966
Croatia,HRV,Children 0-14,10.769,1967
Croatia,HRV,Children 0-14,10.769,1968
Croatia,HRV,Children 0-14,10.769,1969
Croatia,HRV,Children 0-14,10.769,1970
Croatia,HRV,Children 0-14,10.769,1971
Croatia,HRV,Children 0-14,10.769,1972
Croatia,HRV,Children 0-14,10.769,1973
Croatia,HRV,Children 0-14,10.769,1974
Croatia,HRV,Children 0-14,10.769,1975
Croatia,HRV,Children 0-14,10.769,1976
Croatia,HRV,Children 0-14,10.769,1977
Croatia,HRV,Children 0-14,10.769,1978
Croatia,HRV,Children 0-14,10.769,1979
Croatia,HRV,Children 0-14,11.538,1980
Croatia,HRV,Children 0-14,17.692,1981
Croatia,HRV,Children 0-14,18.462,1982
Croatia,HRV,Children 0-14,20.000,1983
Croatia,HRV,Children 0-14,18.462,1984
Croatia,HRV,Children 0-14,20.000,1985
Croatia,HRV,Children 0-14,21.538,1986
Croatia,HRV,Children 0-14,21.538,1987
Croatia,HRV,Children 0-14,21.538,1988
Croatia,HRV,Children 0-14,21.538,1989
Croatia,HRV,Children 0-14,21.538,1990
Croatia,HRV,Children 0-14,23.846,1991
Croatia,HRV,Children 0-14,20.769,1992
Croatia,HRV,Children 0-14,24.615,1993
Croatia,HRV,Children 0-14,26.923,1994
Croatia,HRV,Children 0-14,32.308,1995
Croatia,HRV,Children 0-14,32.308,1996
Croatia,HRV,Children 0-14,32.308,1997
Croatia,HRV,Children 0-14,37.692,1998
Croatia,HRV,Children 0-14,42.308,1999
Croatia,HRV,Children 0-14,46.154,2000
Croatia,HRV,Children 0-14,45.385,2001
Croatia,HRV,Children 0-14,37.692,2002
Croatia,HRV,Children 0-14,39.231,2003
Croatia,HRV,Children 0-14,23.077,2004
Croatia,HRV,Children 0-14,38.462,2005
Croatia,HRV,Children 0-14,38.462,2006
Croatia,HRV,Children 0-14,38.462,2007
Croatia,HRV,Children 0-14,41.538,2008
Croatia,HRV,Children 0-14,43.077,2009
Croatia,HRV,Children 0-14,61.538,2010
Croatia,HRV,Children 0-14,50.769,2011
Croatia,HRV,Children 0-14,43.077,2012
Croatia,HRV,Children 0-14,40.769,2013
Croatia,HRV,Children 0-14,43.077,2014
Croatia,HRV,Children 0-14,56.923,2015
Croatia,HRV,Children 0-14,45.385,2016
Croatia,HRV,Children 0-14,47.692,2017
Croatia,HRV,Children 0-14,40.000,2018
Croatia,HRV,Children 0-14,52.308,2019
