Country Name,Country Code,Topic,% of available indicators,Year
Haiti,HTI,Assets,0.000,1960
Haiti,HTI,Assets,0.000,1961
Haiti,HTI,Assets,0.000,1962
Haiti,HTI,Assets,0.000,1963
Haiti,HTI,Assets,0.000,1964
Haiti,HTI,Assets,0.000,1965
Haiti,HTI,Assets,0.000,1966
Haiti,HTI,Assets,0.000,1967
Haiti,HTI,Assets,0.000,1968
Haiti,HTI,Assets,0.000,1969
Haiti,HTI,Assets,2.208,1970
Haiti,HTI,Assets,2.208,1971
Haiti,HTI,Assets,2.208,1972
Haiti,HTI,Assets,2.208,1973
Haiti,HTI,Assets,2.208,1974
Haiti,HTI,Assets,2.208,1975
Haiti,HTI,Assets,2.208,1976
Haiti,HTI,Assets,2.208,1977
Haiti,HTI,Assets,2.208,1978
Haiti,HTI,Assets,2.208,1979
Haiti,HTI,Assets,2.208,1980
Haiti,HTI,Assets,2.208,1981
Haiti,HTI,Assets,2.208,1982
Haiti,HTI,Assets,2.208,1983
Haiti,HTI,Assets,2.208,1984
Haiti,HTI,Assets,2.208,1985
Haiti,HTI,Assets,2.208,1986
Haiti,HTI,Assets,2.208,1987
Haiti,HTI,Assets,2.208,1988
Haiti,HTI,Assets,2.208,1989
Haiti,HTI,Assets,2.208,1990
Haiti,HTI,Assets,2.208,1991
Haiti,HTI,Assets,2.208,1992
Haiti,HTI,Assets,2.208,1993
Haiti,HTI,Assets,2.208,1994
Haiti,HTI,Assets,2.208,1995
Haiti,HTI,Assets,2.208,1996
Haiti,HTI,Assets,2.208,1997
Haiti,HTI,Assets,2.208,1998
Haiti,HTI,Assets,2.208,1999
Haiti,HTI,Assets,2.208,2000
Haiti,HTI,Assets,2.208,2001
Haiti,HTI,Assets,2.208,2002
Haiti,HTI,Assets,2.208,2003
Haiti,HTI,Assets,2.208,2004
Haiti,HTI,Assets,2.208,2005
Haiti,HTI,Assets,2.208,2006
Haiti,HTI,Assets,2.208,2007
Haiti,HTI,Assets,2.208,2008
Haiti,HTI,Assets,2.208,2009
Haiti,HTI,Assets,2.208,2010
Haiti,HTI,Assets,11.672,2011
Haiti,HTI,Assets,17.350,2012
Haiti,HTI,Assets,2.208,2013
Haiti,HTI,Assets,31.546,2014
Haiti,HTI,Assets,2.208,2015
Haiti,HTI,Assets,2.208,2016
Haiti,HTI,Assets,64.353,2017
Haiti,HTI,Assets,2.208,2018
Haiti,HTI,Assets,2.208,2019
Haiti,HTI,Assets,2.208,2020
Haiti,HTI,Assets,2.208,2021
Haiti,HTI,Assets,2.208,2022
Haiti,HTI,Assets,2.208,2023
Haiti,HTI,Children 0-14,17.692,1960
Haiti,HTI,Children 0-14,19.231,1961
Haiti,HTI,Children 0-14,19.231,1962
Haiti,HTI,Children 0-14,19.231,1963
Haiti,HTI,Children 0-14,19.231,1964
Haiti,HTI,Children 0-14,19.231,1965
Haiti,HTI,Children 0-14,19.231,1966
Haiti,HTI,Children 0-14,19.231,1967
Haiti,HTI,Children 0-14,19.231,1968
Haiti,HTI,Children 0-14,19.231,1969
Haiti,HTI,Children 0-14,19.231,1970
Haiti,HTI,Children 0-14,24.615,1971
Haiti,HTI,Children 0-14,20.000,1972
Haiti,HTI,Children 0-14,20.000,1973
Haiti,HTI,Children 0-14,20.000,1974
Haiti,HTI,Children 0-14,20.000,1975
Haiti,HTI,Children 0-14,20.000,1976
Haiti,HTI,Children 0-14,22.308,1977
Haiti,HTI,Children 0-14,26.923,1978
Haiti,HTI,Children 0-14,30.000,1979
Haiti,HTI,Children 0-14,32.308,1980
Haiti,HTI,Children 0-14,35.385,1981
Haiti,HTI,Children 0-14,41.538,1982
Haiti,HTI,Children 0-14,37.692,1983
Haiti,HTI,Children 0-14,34.615,1984
Haiti,HTI,Children 0-14,40.000,1985
Haiti,HTI,Children 0-14,38.462,1986
Haiti,HTI,Children 0-14,36.923,1987
Haiti,HTI,Children 0-14,23.077,1988
Haiti,HTI,Children 0-14,23.077,1989
Haiti,HTI,Children 0-14,25.385,1990
Haiti,HTI,Children 0-14,23.077,1991
Haiti,HTI,Children 0-14,24.615,1992
Haiti,HTI,Children 0-14,24.615,1993
Haiti,HTI,Children 0-14,36.154,1994
Haiti,HTI,Children 0-14,27.692,1995
Haiti,HTI,Children 0-14,24.615,1996
Haiti,HTI,Children 0-14,37.692,1997
Haiti,HTI,Children 0-14,24.615,1998
Haiti,HTI,Children 0-14,20.769,1999
Haiti,HTI,Children 0-14,49.231,2000
Haiti,HTI,Children 0-14,20.769,2001
Haiti,HTI,Children 0-14,20.769,2002
Haiti,HTI,Children 0-14,25.385,2003
Haiti,HTI,Children 0-14,20.769,2004
Haiti,HTI,Children 0-14,20.769,2005
Haiti,HTI,Children 0-14,42.308,2006
Haiti,HTI,Children 0-14,20.769,2007
Haiti,HTI,Children 0-14,20.769,2008
Haiti,HTI,Children 0-14,20.769,2009
Haiti,HTI,Children 0-14,39.231,2010
Haiti,HTI,Children 0-14,20.769,2011
Haiti,HTI,Children 0-14,46.923,2012
Haiti,HTI,Children 0-14,20.769,2013
Haiti,HTI,Children 0-14,20.769,2014
Haiti,HTI,Children 0-14,34.615,2015
Haiti,HTI,Children 0-14,20.769,2016
Haiti,HTI,Children 0-14,49.231,2017
Haiti,HTI,Children 0-14,25.385,2018
Haiti,HTI,Children 0-14,34.615,2019
Haiti,HTI,Children 0-14,25.385,2020
Haiti,HTI,Children 0-14,20.769,2021
Haiti,HTI,Children 0-14,20.769,2022
Haiti,HTI,Children 0-14,9.231,2023
Haiti,HTI,Education,0.000,1960
Haiti,HTI,Education,0.000,1961
Haiti,HTI,Education,0.000,1962
Haiti,HTI,Education,0.000,1963
Haiti,HTI,Education,0.000,1964
Haiti,HTI,Education,0.000,1965
Haiti,HTI,Education,0.000,1966
Haiti,HTI,Education,0.000,1967
Haiti,HTI,Education,0.000,1968
Haiti,HTI,Education,0.000,1969
Haiti,HTI,Education,0.000,1970
Haiti,HTI,Education,7.975,1971
Haiti,HTI,Education,1.227,1972
Haiti,HTI,Education,0.613,1973
Haiti,HTI,Education,0.613,1974
Haiti,HTI,Education,0.613,1975
Haiti,HTI,Education,3.681,1976
Haiti,HTI,Education,5.521,1977
Haiti,HTI,Education,11.656,1978
Haiti,HTI,Education,16.564,1979
Haiti,HTI,Education,13.497,1980
Haiti,HTI,Education,20.859,1981
Haiti,HTI,Education,29.448,1982
Haiti,HTI,Education,18.405,1983
Haiti,HTI,Education,19.018,1984
Haiti,HTI,Education,17.791,1985
Haiti,HTI,Education,22.086,1986
Haiti,HTI,Education,13.497,1987
Haiti,HTI,Education,1.840,1988
Haiti,HTI,Education,1.840,1989
Haiti,HTI,Education,1.840,1990
Haiti,HTI,Education,2.454,1991
Haiti,HTI,Education,4.908,1992
Haiti,HTI,Education,4.908,1993
Haiti,HTI,Education,4.908,1994
Haiti,HTI,Education,4.908,1995
Haiti,HTI,Education,4.908,1996
Haiti,HTI,Education,14.110,1997
Haiti,HTI,Education,3.681,1998
Haiti,HTI,Education,0.000,1999
Haiti,HTI,Education,0.000,2000
Haiti,HTI,Education,0.000,2001
Haiti,HTI,Education,0.000,2002
Haiti,HTI,Education,12.270,2003
Haiti,HTI,Education,0.000,2004
Haiti,HTI,Education,0.000,2005
Haiti,HTI,Education,6.748,2006
Haiti,HTI,Education,0.000,2007
Haiti,HTI,Education,0.000,2008
Haiti,HTI,Education,0.000,2009
Haiti,HTI,Education,0.000,2010
Haiti,HTI,Education,0.000,2011
Haiti,HTI,Education,19.018,2012
Haiti,HTI,Education,0.000,2013
Haiti,HTI,Education,4.294,2014
Haiti,HTI,Education,0.613,2015
Haiti,HTI,Education,7.362,2016
Haiti,HTI,Education,23.313,2017
Haiti,HTI,Education,11.656,2018
Haiti,HTI,Education,0.613,2019
Haiti,HTI,Education,11.656,2020
Haiti,HTI,Education,0.613,2021
Haiti,HTI,Education,0.613,2022
Haiti,HTI,Education,0.000,2023
Haiti,HTI,Employment and Time Use,0.000,1960
Haiti,HTI,Employment and Time Use,0.000,1961
Haiti,HTI,Employment and Time Use,0.000,1962
Haiti,HTI,Employment and Time Use,0.000,1963
Haiti,HTI,Employment and Time Use,0.000,1964
Haiti,HTI,Employment and Time Use,0.000,1965
Haiti,HTI,Employment and Time Use,0.000,1966
Haiti,HTI,Employment and Time Use,0.000,1967
Haiti,HTI,Employment and Time Use,0.000,1968
Haiti,HTI,Employment and Time Use,0.000,1969
Haiti,HTI,Employment and Time Use,21.168,1970
Haiti,HTI,Employment and Time Use,26.277,1971
Haiti,HTI,Employment and Time Use,21.168,1972
Haiti,HTI,Employment and Time Use,21.168,1973
Haiti,HTI,Employment and Time Use,21.168,1974
Haiti,HTI,Employment and Time Use,21.168,1975
Haiti,HTI,Employment and Time Use,21.168,1976
Haiti,HTI,Employment and Time Use,21.168,1977
Haiti,HTI,Employment and Time Use,21.168,1978
Haiti,HTI,Employment and Time Use,21.168,1979
Haiti,HTI,Employment and Time Use,28.467,1980
Haiti,HTI,Employment and Time Use,21.168,1981
Haiti,HTI,Employment and Time Use,26.277,1982
Haiti,HTI,Employment and Time Use,23.358,1983
Haiti,HTI,Employment and Time Use,21.168,1984
Haiti,HTI,Employment and Time Use,26.277,1985
Haiti,HTI,Employment and Time Use,21.168,1986
Haiti,HTI,Employment and Time Use,21.168,1987
Haiti,HTI,Employment and Time Use,21.168,1988
Haiti,HTI,Employment and Time Use,21.168,1989
Haiti,HTI,Employment and Time Use,43.796,1990
Haiti,HTI,Employment and Time Use,56.204,1991
Haiti,HTI,Employment and Time Use,56.204,1992
Haiti,HTI,Employment and Time Use,56.204,1993
Haiti,HTI,Employment and Time Use,56.204,1994
Haiti,HTI,Employment and Time Use,61.314,1995
Haiti,HTI,Employment and Time Use,56.204,1996
Haiti,HTI,Employment and Time Use,56.204,1997
Haiti,HTI,Employment and Time Use,56.204,1998
Haiti,HTI,Employment and Time Use,61.314,1999
Haiti,HTI,Employment and Time Use,61.314,2000
Haiti,HTI,Employment and Time Use,56.204,2001
Haiti,HTI,Employment and Time Use,56.204,2002
Haiti,HTI,Employment and Time Use,63.504,2003
Haiti,HTI,Employment and Time Use,56.204,2004
Haiti,HTI,Employment and Time Use,61.314,2005
Haiti,HTI,Employment and Time Use,58.394,2006
Haiti,HTI,Employment and Time Use,61.314,2007
Haiti,HTI,Employment and Time Use,56.204,2008
Haiti,HTI,Employment and Time Use,56.204,2009
Haiti,HTI,Employment and Time Use,59.124,2010
Haiti,HTI,Employment and Time Use,56.204,2011
Haiti,HTI,Employment and Time Use,88.321,2012
Haiti,HTI,Employment and Time Use,56.204,2013
Haiti,HTI,Employment and Time Use,56.204,2014
Haiti,HTI,Employment and Time Use,56.204,2015
Haiti,HTI,Employment and Time Use,56.204,2016
Haiti,HTI,Employment and Time Use,56.204,2017
Haiti,HTI,Employment and Time Use,56.204,2018
Haiti,HTI,Employment and Time Use,56.204,2019
