Country Name,Country Code,Topic,% of available indicators,Year
Hungary,HUN,Assets,0.000,1960
Hungary,HUN,Assets,0.000,1961
Hungary,HUN,Assets,0.000,1962
Hungary,HUN,Assets,0.000,1963
Hungary,HUN,Assets,0.000,1964
Hungary,HUN,Assets,0.000,1965
Hungary,HUN,Assets,0.000,1966
Hungary,HUN,Assets,0.000,1967
Hungary,HUN,Assets,0.000,1968
Hungary,HUN,Assets,0.000,1969
Hungary,HUN,Assets,2.208,1970
Hungary,HUN,Assets,2.208,1971
Hungary,HUN,Assets,2.208,1972
Hungary,HUN,Assets,2.208,1973
Hungary,HUN,Assets,2.208,1974
Hungary,HUN,Assets,2.208,1975
Hungary,HUN,Assets,2.208,1976
Hungary,HUN,Assets,2.208,1977
Hungary,HUN,Assets,2.208,1978
Hungary,HUN,Assets,2.208,1979
Hungary,HUN,Assets,2.208,1980
Hungary,HUN,Assets,2.208,1981
Hungary,HUN,Assets,2.208,1982
Hungary,HUN,Assets,2.208,1983
Hungary,HUN,Assets,2.208,1984
Hungary,HUN,Assets,2.208,1985
Hungary,HUN,Assets,2.208,1986
Hungary,HUN,Assets,2.208,1987
Hungary,HUN,Assets,2.208,1988
Hungary,HUN,Assets,2.208,1989
Hungary,HUN,Assets,2.208,1990
Hungary,HUN,Assets,2.208,1991
Hungary,HUN,Assets,2.208,1992
Hungary,HUN,Assets,2.208,1993
Hungary,HUN,Assets,2.208,1994
Hungary,HUN,Assets,2.208,1995
Hungary,HUN,Assets,2.208,1996
Hungary,HUN,Assets,2.208,1997
Hungary,HUN,Assets,2.208,1998
Hungary,HUN,Assets,2.208,1999
Hungary,HUN,Assets,2.208,2000
Hungary,HUN,Assets,2.208,2001
Hungary,HUN,Assets,2.208,2002
Hungary,HUN,Assets,2.208,2003
Hungary,HUN,Assets,2.208,2004
Hungary,HUN,Assets,2.208,2005
Hungary,HUN,Assets,2.208,2006
Hungary,HUN,Assets,2.208,2007
Hungary,HUN,Assets,2.208,2008
Hungary,HUN,Assets,2.208,2009
Hungary,HUN,Assets,2.208,2010
Hungary,HUN,Assets,11.672,2011
Hungary,HUN,Assets,2.208,2012
Hungary,HUN,Assets,2.208,2013
Hungary,HUN,Assets,30.599,2014
Hungary,HUN,Assets,2.208,2015
Hungary,HUN,Assets,2.208,2016
Hungary,HUN,Assets,33.123,2017
Hungary,HUN,Assets,2.208,2018
Hungary,HUN,Assets,2.208,2019
Hungary,HUN,Assets,2.208,2020
Hungary,HUN,Assets,58.360,2021
Hungary,HUN,Assets,2.208,2022
Hungary,HUN,Assets,2.208,2023
Hungary,HUN,Children 0-14,19.231,1960
Hungary,HUN,Children 0-14,19.231,1961
Hungary,HUN,Children 0-14,19.231,1962
Hungary,HUN,Children 0-14,19.231,1963
Hungary,HUN,Children 0-14,19.231,1964
Hungary,HUN,Children 0-14,19.231,1965
Hungary,HUN,Children 0-14,19.231,1966
Hungary,HUN,Children 0-14,19.231,1967
Hungary,HUN,Children 0-14,19.231,1968
Hungary,HUN,Children 0-14,19.231,1969
Hungary,HUN,Children 0-14,23.846,1970
Hungary,HUN,Children 0-14,27.692,1971
Hungary,HUN,Children 0-14,27.692,1972
Hungary,HUN,Children 0-14,27.692,1973
Hungary,HUN,Children 0-14,27.692,1974
Hungary,HUN,Children 0-14,27.692,1975
Hungary,HUN,Children 0-14,30.769,1976
Hungary,HUN,Children 0-14,30.769,1977
Hungary,HUN,Children 0-14,30.769,1978
Hungary,HUN,Children 0-14,30.769,1979
Hungary,HUN,Children 0-14,36.923,1980
Hungary,HUN,Children 0-14,32.308,1981
Hungary,HUN,Children 0-14,32.308,1982
Hungary,HUN,Children 0-14,32.308,1983
Hungary,HUN,Children 0-14,32.308,1984
Hungary,HUN,Children 0-14,32.308,1985
Hungary,HUN,Children 0-14,32.308,1986
Hungary,HUN,Children 0-14,32.308,1987
Hungary,HUN,Children 0-14,32.308,1988
Hungary,HUN,Children 0-14,32.308,1989
Hungary,HUN,Children 0-14,32.308,1990
Hungary,HUN,Children 0-14,29.231,1991
Hungary,HUN,Children 0-14,29.231,1992
Hungary,HUN,Children 0-14,24.615,1993
Hungary,HUN,Children 0-14,30.000,1994
Hungary,HUN,Children 0-14,30.000,1995
Hungary,HUN,Children 0-14,34.615,1996
Hungary,HUN,Children 0-14,40.000,1997
Hungary,HUN,Children 0-14,37.692,1998
Hungary,HUN,Children 0-14,37.692,1999
Hungary,HUN,Children 0-14,51.538,2000
Hungary,HUN,Children 0-14,48.462,2001
Hungary,HUN,Children 0-14,36.154,2002
Hungary,HUN,Children 0-14,36.154,2003
Hungary,HUN,Children 0-14,39.231,2004
Hungary,HUN,Children 0-14,43.846,2005
Hungary,HUN,Children 0-14,46.923,2006
Hungary,HUN,Children 0-14,40.769,2007
Hungary,HUN,Children 0-14,40.769,2008
Hungary,HUN,Children 0-14,43.077,2009
Hungary,HUN,Children 0-14,59.231,2010
Hungary,HUN,Children 0-14,50.000,2011
Hungary,HUN,Children 0-14,44.615,2012
Hungary,HUN,Children 0-14,51.538,2013
Hungary,HUN,Children 0-14,50.769,2014
Hungary,HUN,Children 0-14,66.154,2015
Hungary,HUN,Children 0-14,58.462,2016
Hungary,HUN,Children 0-14,55.385,2017
Hungary,HUN,Children 0-14,41.538,2018
Hungary,HUN,Children 0-14,52.308,2019
Hungary,HUN,Children 0-14,42.308,2020
Hungary,HUN,Children 0-14,37.692,2021
Hungary,HUN,Children 0-14,36.154,2022
Hungary,HUN,Children 0-14,9.231,2023
Hungary,HUN,Education,0.000,1960
Hungary,HUN,Education,0.000,1961
Hungary,HUN,Education,0.000,1962
Hungary,HUN,Education,0.000,1963
Hungary,HUN,Education,0.000,1964
Hungary,HUN,Education,0.000,1965
Hungary,HUN,Education,0.000,1966
Hungary,HUN,Education,0.000,1967
Hungary,HUN,Education,0.000,1968
Hungary,HUN,Education,0.000,1969
Hungary,HUN,Education,7.975,1970
Hungary,HUN,Education,19.632,1971
Hungary,HUN,Education,19.632,1972
Hungary,HUN,Education,19.632,1973
Hungary,HUN,Education,19.632,1974
Hungary,HUN,Education,20.859,1975
Hungary,HUN,Education,23.313,1976
Hungary,HUN,Education,23.313,1977
Hungary,HUN,Education,23.313,1978
Hungary,HUN,Education,23.313,1979
Hungary,HUN,Education,37.423,1980
Hungary,HUN,Education,23.313,1981
Hungary,HUN,Education,23.313,1982
Hungary,HUN,Education,23.313,1983
Hungary,HUN,Education,23.313,1984
Hungary,HUN,Education,23.313,1985
Hungary,HUN,Education,23.313,1986
Hungary,HUN,Education,23.313,1987
Hungary,HUN,Education,23.313,1988
Hungary,HUN,Education,23.313,1989
Hungary,HUN,Education,30.061,1990
Hungary,HUN,Education,19.632,1991
Hungary,HUN,Education,19.632,1992
Hungary,HUN,Education,6.748,1993
Hungary,HUN,Education,20.245,1994
Hungary,HUN,Education,20.245,1995
Hungary,HUN,Education,26.994,1996
Hungary,HUN,Education,34.969,1997
Hungary,HUN,Education,38.037,1998
Hungary,HUN,Education,47.239,1999
Hungary,HUN,Education,47.239,2000
Hungary,HUN,Education,61.350,2001
Hungary,HUN,Education,46.012,2002
Hungary,HUN,Education,46.012,2003
Hungary,HUN,Education,48.466,2004
Hungary,HUN,Education,59.509,2005
Hungary,HUN,Education,56.442,2006
Hungary,HUN,Education,44.172,2007
Hungary,HUN,Education,51.534,2008
Hungary,HUN,Education,57.055,2009
Hungary,HUN,Education,68.098,2010
Hungary,HUN,Education,61.963,2011
Hungary,HUN,Education,60.123,2012
Hungary,HUN,Education,71.166,2013
Hungary,HUN,Education,76.074,2014
Hungary,HUN,Education,72.393,2015
Hungary,HUN,Education,77.301,2016
Hungary,HUN,Education,78.528,2017
Hungary,HUN,Education,51.534,2018
Hungary,HUN,Education,39.264,2019
Hungary,HUN,Education,50.307,2020
Hungary,HUN,Education,41.718,2021
Hungary,HUN,Education,34.969,2022
Hungary,HUN,Education,1.840,2023
Hungary,HUN,Employment and Time Use,5.109,1960
Hungary,HUN,Employment and Time Use,0.000,1961
Hungary,HUN,Employment and Time Use,0.000,1962
Hungary,HUN,Employment and Time Use,0.000,1963
Hungary,HUN,Employment and Time Use,0.000,1964
Hungary,HUN,Employment and Time Use,0.000,1965
Hungary,HUN,Employment and Time Use,0.000,1966
Hungary,HUN,Employment and Time Use,0.000,1967
Hungary,HUN,Employment and Time Use,0.000,1968
Hungary,HUN,Employment and Time Use,0.000,1969
Hungary,HUN,Employment and Time Use,26.277,1970
Hungary,HUN,Employment and Time Use,21.168,1971
Hungary,HUN,Employment and Time Use,21.168,1972
Hungary,HUN,Employment and Time Use,21.168,1973
Hungary,HUN,Employment and Time Use,21.168,1974
Hungary,HUN,Employment and Time Use,21.168,1975
Hungary,HUN,Employment and Time Use,21.168,1976
Hungary,HUN,Employment and Time Use,21.168,1977
Hungary,HUN,Employment and Time Use,26.277,1978
Hungary,HUN,Employment and Time Use,26.277,1979
Hungary,HUN,Employment and Time Use,26.277,1980
Hungary,HUN,Employment and Time Use,26.277,1981
Hungary,HUN,Employment and Time Use,24.088,1982
Hungary,HUN,Employment and Time Use,24.088,1983
Hungary,HUN,Employment and Time Use,24.088,1984
Hungary,HUN,Employment and Time Use,26.277,1985
Hungary,HUN,Employment and Time Use,26.277,1986
Hungary,HUN,Employment and Time Use,26.277,1987
Hungary,HUN,Employment and Time Use,26.277,1988
Hungary,HUN,Employment and Time Use,26.277,1989
Hungary,HUN,Employment and Time Use,40.876,1990
Hungary,HUN,Employment and Time Use,63.504,1991
Hungary,HUN,Employment and Time Use,70.803,1992
Hungary,HUN,Employment and Time Use,70.803,1993
Hungary,HUN,Employment and Time Use,70.803,1994
Hungary,HUN,Employment and Time Use,70.803,1995
Hungary,HUN,Employment and Time Use,75.182,1996
Hungary,HUN,Employment and Time Use,88.321,1997
Hungary,HUN,Employment and Time Use,88.321,1998
Hungary,HUN,Employment and Time Use,89.781,1999
Hungary,HUN,Employment and Time Use,91.971,2000
Hungary,HUN,Employment and Time Use,90.511,2001
Hungary,HUN,Employment and Time Use,90.511,2002
Hungary,HUN,Employment and Time Use,90.511,2003
Hungary,HUN,Employment and Time Use,90.511,2004
Hungary,HUN,Employment and Time Use,90.511,2005
Hungary,HUN,Employment and Time Use,90.511,2006
Hungary,HUN,Employment and Time Use,90.511,2007
Hungary,HUN,Employment and Time Use,90.511,2008
Hungary,HUN,Employment and Time Use,90.511,2009
Hungary,HUN,Employment and Time Use,91.971,2010
Hungary,HUN,Employment and Time Use,90.511,2011
Hungary,HUN,Employment and Time Use,90.511,2012
Hungary,HUN,Employment and Time Use,90.511,2013
Hungary,HUN,Employment and Time Use,90.511,2014
Hungary,HUN,Employment and Time Use,90.511,2015
Hungary,HUN,Employment and Time Use,90.511,2016
Hungary,HUN,Employment and Time Use,90.511,2017
Hungary,HUN,Employment and Time Use,90.511,2018
Hungary,HUN,Employment and Time Use,90.511,2019
Hungary,HUN,Employment and Time Use,90.511,2020
Hungary,HUN,Employment and Time Use,90.511,2021
Hungary,HUN,Employment and Time Use,90.511,2022
Hungary,HUN,Employment and Time Use,92.701,2023
Hungary,HUN,Entrepreneurship,0.000,1960
Hungary,HUN,Entrepreneurship,0.000,1961
Hungary,HUN,Entrepreneurship,0.000,1962
Hungary,HUN,Entrepreneurship,0.000,1963
Hungary,HUN,Entrepreneurship,0.000,1964
Hungary,HUN,Entrepreneurship,0.000,1965
Hungary,HUN,Entrepreneurship,0.000,1966
Hungary,HUN,Entrepreneurship,0.000,1967
Hungary,HUN,Entrepreneurship,0.000,1968
Hungary,HUN,Entrepreneurship,0.000,1969
Hungary,HUN,Entrepreneurship,9.375,1970
Hungary,HUN,Entrepreneurship,9.375,1971
Hungary,HUN,Entrepreneurship,9.375,1972
Hungary,HUN,Entrepreneurship,9.375,1973
Hungary,HUN,Entrepreneurship,9.375,1974
Hungary,HUN,Entrepreneurship,9.375,1975
Hungary,HUN,Entrepreneurship,9.375,1976
Hungary,HUN,Entrepreneurship,9.375,1977
Hungary,HUN,Entrepreneurship,9.375,1978
Hungary,HUN,Entrepreneurship,9.375,1979
Hungary,HUN,Entrepreneurship,9.375,1980
Hungary,HUN,Entrepreneurship,9.375,1981
Hungary,HUN,Entrepreneurship,9.375,1982
Hungary,HUN,Entrepreneurship,9.375,1983
Hungary,HUN,Entrepreneurship,9.375,1984
Hungary,HUN,Entrepreneurship,9.375,1985
Hungary,HUN,Entrepreneurship,9.375,1986
Hungary,HUN,Entrepreneurship,9.375,1987
Hungary,HUN,Entrepreneurship,9.375,1988
Hungary,HUN,Entrepreneurship,9.375,1989
Hungary,HUN,Entrepreneurship,9.375,1990
Hungary,HUN,Entrepreneurship,9.375,1991
Hungary,HUN,Entrepreneurship,9.375,1992
Hungary,HUN,Entrepreneurship,9.375,1993
Hungary,HUN,Entrepreneurship,9.375,1994
Hungary,HUN,Entrepreneurship,9.375,1995
Hungary,HUN,Entrepreneurship,9.375,1996
Hungary,HUN,Entrepreneurship,9.375,1997
Hungary,HUN,Entrepreneurship,9.375,1998
Hungary,HUN,Entrepreneurship,9.375,1999
Hungary,HUN,Entrepreneurship,9.375,2000
Hungary,HUN,Entrepreneurship,9.375,2001
Hungary,HUN,Entrepreneurship,9.375,2002
Hungary,HUN,Entrepreneurship,37.500,2003
Hungary,HUN,Entrepreneurship,37.500,2004
Hungary,HUN,Entrepreneurship,40.625,2005
Hungary,HUN,Entrepreneurship,37.500,2006
Hungary,HUN,Entrepreneurship,37.500,2007
Hungary,HUN,Entrepreneurship,37.500,2008
Hungary,HUN,Entrepreneurship,43.750,2009
Hungary,HUN,Entrepreneurship,37.500,2010
Hungary,HUN,Entrepreneurship,37.500,2011
Hungary,HUN,Entrepreneurship,37.500,2012
Hungary,HUN,Entrepreneurship,43.750,2013
Hungary,HUN,Entrepreneurship,56.250,2014
Hungary,HUN,Entrepreneurship,37.500,2015
