Country Name,Country Code,Topic,% of available indicators,Year
Indonesia,IDN,Assets,0.000,1960
Indonesia,IDN,Assets,0.000,1961
Indonesia,IDN,Assets,0.000,1962
Indonesia,IDN,Assets,0.000,1963
Indonesia,IDN,Assets,0.000,1964
Indonesia,IDN,Assets,0.000,1965
Indonesia,IDN,Assets,0.000,1966
Indonesia,IDN,Assets,0.000,1967
Indonesia,IDN,Assets,0.000,1968
Indonesia,IDN,Assets,0.000,1969
Indonesia,IDN,Assets,2.208,1970
Indonesia,IDN,Assets,2.208,1971
Indonesia,IDN,Assets,2.208,1972
Indonesia,IDN,Assets,2.208,1973
Indonesia,IDN,Assets,2.208,1974
Indonesia,IDN,Assets,2.208,1975
Indonesia,IDN,Assets,2.208,1976
Indonesia,IDN,Assets,2.208,1977
Indonesia,IDN,Assets,2.208,1978
Indonesia,IDN,Assets,2.208,1979
Indonesia,IDN,Assets,2.208,1980
Indonesia,IDN,Assets,2.208,1981
Indonesia,IDN,Assets,2.208,1982
Indonesia,IDN,Assets,2.208,1983
Indonesia,IDN,Assets,2.208,1984
Indonesia,IDN,Assets,2.208,1985
Indonesia,IDN,Assets,2.208,1986
Indonesia,IDN,Assets,2.208,1987
Indonesia,IDN,Assets,2.208,1988
Indonesia,IDN,Assets,2.208,1989
Indonesia,IDN,Assets,2.208,1990
Indonesia,IDN,Assets,2.208,1991
Indonesia,IDN,Assets,2.208,1992
Indonesia,IDN,Assets,2.208,1993
Indonesia,IDN,Assets,2.208,1994
Indonesia,IDN,Assets,2.208,1995
Indonesia,IDN,Assets,2.208,1996
Indonesia,IDN,Assets,2.208,1997
Indonesia,IDN,Assets,2.208,1998
Indonesia,IDN,Assets,2.208,1999
Indonesia,IDN,Assets,2.208,2000
Indonesia,IDN,Assets,2.208,2001
Indonesia,IDN,Assets,2.208,2002
Indonesia,IDN,Assets,2.208,2003
Indonesia,IDN,Assets,2.208,2004
Indonesia,IDN,Assets,2.208,2005
Indonesia,IDN,Assets,2.208,2006
Indonesia,IDN,Assets,2.208,2007
Indonesia,IDN,Assets,2.208,2008
Indonesia,IDN,Assets,2.208,2009
Indonesia,IDN,Assets,2.208,2010
Indonesia,IDN,Assets,11.672,2011
Indonesia,IDN,Assets,32.492,2012
Indonesia,IDN,Assets,2.208,2013
Indonesia,IDN,Assets,31.546,2014
Indonesia,IDN,Assets,2.208,2015
Indonesia,IDN,Assets,2.208,2016
Indonesia,IDN,Assets,49.211,2017
Indonesia,IDN,Assets,2.208,2018
Indonesia,IDN,Assets,2.208,2019
Indonesia,IDN,Assets,2.208,2020
Indonesia,IDN,Assets,63.091,2021
Indonesia,IDN,Assets,2.208,2022
Indonesia,IDN,Assets,2.208,2023
Indonesia,IDN,Children 0-14,19.231,1960
Indonesia,IDN,Children 0-14,19.231,1961
Indonesia,IDN,Children 0-14,19.231,1962
Indonesia,IDN,Children 0-14,19.231,1963
Indonesia,IDN,Children 0-14,19.231,1964
Indonesia,IDN,Children 0-14,19.231,1965
Indonesia,IDN,Children 0-14,19.231,1966
Indonesia,IDN,Children 0-14,19.231,1967
Indonesia,IDN,Children 0-14,19.231,1968
Indonesia,IDN,Children 0-14,19.231,1969
Indonesia,IDN,Children 0-14,23.846,1970
Indonesia,IDN,Children 0-14,38.462,1971
Indonesia,IDN,Children 0-14,34.615,1972
Indonesia,IDN,Children 0-14,26.923,1973
Indonesia,IDN,Children 0-14,34.615,1974
Indonesia,IDN,Children 0-14,34.615,1975
Indonesia,IDN,Children 0-14,33.077,1976
Indonesia,IDN,Children 0-14,30.000,1977
Indonesia,IDN,Children 0-14,33.077,1978
Indonesia,IDN,Children 0-14,21.538,1979
Indonesia,IDN,Children 0-14,24.615,1980
Indonesia,IDN,Children 0-14,33.846,1981
Indonesia,IDN,Children 0-14,29.231,1982
Indonesia,IDN,Children 0-14,30.000,1983
Indonesia,IDN,Children 0-14,30.769,1984
Indonesia,IDN,Children 0-14,30.769,1985
Indonesia,IDN,Children 0-14,30.769,1986
Indonesia,IDN,Children 0-14,33.846,1987
Indonesia,IDN,Children 0-14,30.769,1988
Indonesia,IDN,Children 0-14,36.923,1989
Indonesia,IDN,Children 0-14,36.923,1990
Indonesia,IDN,Children 0-14,36.154,1991
Indonesia,IDN,Children 0-14,36.923,1992
Indonesia,IDN,Children 0-14,34.615,1993
Indonesia,IDN,Children 0-14,37.692,1994
Indonesia,IDN,Children 0-14,41.538,1995
Indonesia,IDN,Children 0-14,42.308,1996
Indonesia,IDN,Children 0-14,37.692,1997
Indonesia,IDN,Children 0-14,27.692,1998
Indonesia,IDN,Children 0-14,30.000,1999
Indonesia,IDN,Children 0-14,55.385,2000
Indonesia,IDN,Children 0-14,53.077,2001
Indonesia,IDN,Children 0-14,46.923,2002
Indonesia,IDN,Children 0-14,46.154,2003
Indonesia,IDN,Children 0-14,55.385,2004
Indonesia,IDN,Children 0-14,42.308,2005
Indonesia,IDN,Children 0-14,50.769,2006
Indonesia,IDN,Children 0-14,49.231,2007
Indonesia,IDN,Children 0-14,56.923,2008
Indonesia,IDN,Children 0-14,46.154,2009
Indonesia,IDN,Children 0-14,78.462,2010
Indonesia,IDN,Children 0-14,47.692,2011
Indonesia,IDN,Children 0-14,47.692,2012
Indonesia,IDN,Children 0-14,59.231,2013
Indonesia,IDN,Children 0-14,46.923,2014
Indonesia,IDN,Children 0-14,53.846,2015
Indonesia,IDN,Children 0-14,51.538,2016
Indonesia,IDN,Children 0-14,59.231,2017
Indonesia,IDN,Children 0-14,64.615,2018
Indonesia,IDN,Children 0-14,47.692,2019
Indonesia,IDN,Children 0-14,38.462,2020
Indonesia,IDN,Children 0-14,34.615,2021
Indonesia,IDN,Children 0-14,33.846,2022
Indonesia,IDN,Children 0-14,22.308,2023
Indonesia,IDN,Education,0.000,1960
Indonesia,IDN,Education,0.000,1961
Indonesia,IDN,Education,0.000,1962
Indonesia,IDN,Education,0.000,1963
Indonesia,IDN,Education,0.000,1964
Indonesia,IDN,Education,0.000,1965
Indonesia,IDN,Education,0.000,1966
Indonesia,IDN,Education,0.000,1967
Indonesia,IDN,Education,0.000,1968
Indonesia,IDN,Education,0.000,1969
Indonesia,IDN,Education,15.337,1970
Indonesia,IDN,Education,23.926,1971
Indonesia,IDN,Education,26.380,1972
