Country Name,Country Code,Topic,% of available indicators,Year
Isle of Man,IMN,Assets,0.000,1960
Isle of Man,IMN,Assets,0.000,1961
Isle of Man,IMN,Assets,0.000,1962
Isle of Man,IMN,Assets,0.000,1963
Isle of Man,IMN,Assets,0.000,1964
Isle of Man,IMN,Assets,0.000,1965
Isle of Man,IMN,Assets,0.000,1966
Isle of Man,IMN,Assets,0.000,1967
Isle of Man,IMN,Assets,0.000,1968
Isle of Man,IMN,Assets,0.000,1969
Isle of Man,IMN,Assets,0.000,1970
Isle of Man,IMN,Assets,0.000,1971
Isle of Man,IMN,Assets,0.000,1972
Isle of Man,IMN,Assets,0.000,1973
Isle of Man,IMN,Assets,0.000,1974
Isle of Man,IMN,Assets,0.000,1975
Isle of Man,IMN,Assets,0.000,1976
Isle of Man,IMN,Assets,0.000,1977
Isle of Man,IMN,Assets,0.000,1978
Isle of Man,IMN,Assets,0.000,1979
Isle of Man,IMN,Assets,0.000,1980
Isle of Man,IMN,Assets,0.000,1981
Isle of Man,IMN,Assets,0.000,1982
Isle of Man,IMN,Assets,0.000,1983
Isle of Man,IMN,Assets,0.000,1984
Isle of Man,IMN,Assets,0.000,1985
Isle of Man,IMN,Assets,0.000,1986
Isle of Man,IMN,Assets,0.000,1987
Isle of Man,IMN,Assets,0.000,1988
Isle of Man,IMN,Assets,0.000,1989
Isle of Man,IMN,Assets,0.000,1990
Isle of Man,IMN,Assets,0.000,1991
Isle of Man,IMN,Assets,0.000,1992
Isle of Man,IMN,Assets,0.000,1993
Isle of Man,IMN,Assets,0.000,1994
Isle of Man,IMN,Assets,0.000,1995
Isle of Man,IMN,Assets,0.000,1996
Isle of Man,IMN,Assets,0.000,1997
Isle of Man,IMN,Assets,0.000,1998
Isle of Man,IMN,Assets,0.000,1999
Isle of Man,IMN,Assets,0.000,2000
Isle of Man,IMN,Assets,0.000,2001
Isle of Man,IMN,Assets,0.000,2002
Isle of Man,IMN,Assets,0.000,2003
Isle of Man,IMN,Assets,0.000,2004
Isle of Man,IMN,Assets,0.000,2005
Isle of Man,IMN,Assets,0.000,2006
Isle of Man,IMN,Assets,0.000,2007
Isle of Man,IMN,Assets,0.000,2008
Isle of Man,IMN,Assets,0.000,2009
Isle of Man,IMN,Assets,0.000,2010
Isle of Man,IMN,Assets,0.000,2011
Isle of Man,IMN,Assets,0.000,2012
Isle of Man,IMN,Assets,0.000,2013
Isle of Man,IMN,Assets,0.000,2014
Isle of Man,IMN,Assets,0.000,2015
Isle of Man,IMN,Assets,0.000,2016
Isle of Man,IMN,Assets,0.000,2017
Isle of Man,IMN,Assets,0.000,2018
Isle of Man,IMN,Assets,0.000,2019
Isle of Man,IMN,Assets,0.000,2020
Isle of Man,IMN,Assets,0.000,2021
Isle of Man,IMN,Assets,0.000,2022
Isle of Man,IMN,Assets,0.000,2023
Isle of Man,IMN,Children 0-14,10.769,1960
Isle of Man,IMN,Children 0-14,10.769,1961
Isle of Man,IMN,Children 0-14,10.769,1962
Isle of Man,IMN,Children 0-14,10.769,1963
Isle of Man,IMN,Children 0-14,10.769,1964
Isle of Man,IMN,Children 0-14,10.769,1965
Isle of Man,IMN,Children 0-14,10.769,1966
Isle of Man,IMN,Children 0-14,10.769,1967
Isle of Man,IMN,Children 0-14,10.769,1968
Isle of Man,IMN,Children 0-14,10.769,1969
Isle of Man,IMN,Children 0-14,10.769,1970
Isle of Man,IMN,Children 0-14,10.769,1971
Isle of Man,IMN,Children 0-14,10.769,1972
Isle of Man,IMN,Children 0-14,10.769,1973
Isle of Man,IMN,Children 0-14,10.769,1974
Isle of Man,IMN,Children 0-14,10.769,1975
Isle of Man,IMN,Children 0-14,10.769,1976
Isle of Man,IMN,Children 0-14,10.769,1977
Isle of Man,IMN,Children 0-14,10.769,1978
Isle of Man,IMN,Children 0-14,10.769,1979
Isle of Man,IMN,Children 0-14,10.769,1980
Isle of Man,IMN,Children 0-14,10.769,1981
Isle of Man,IMN,Children 0-14,10.769,1982
Isle of Man,IMN,Children 0-14,10.769,1983
Isle of Man,IMN,Children 0-14,10.769,1984
Isle of Man,IMN,Children 0-14,10.769,1985
Isle of Man,IMN,Children 0-14,10.769,1986
Isle of Man,IMN,Children 0-14,10.769,1987
Isle of Man,IMN,Children 0-14,10.769,1988
Isle of Man,IMN,Children 0-14,10.769,1989
Isle of Man,IMN,Children 0-14,10.769,1990
Isle of Man,IMN,Children 0-14,10.769,1991
Isle of Man,IMN,Children 0-14,10.769,1992
Isle of Man,IMN,Children 0-14,10.769,1993
Isle of Man,IMN,Children 0-14,10.769,1994
Isle of Man,IMN,Children 0-14,10.769,1995
Isle of Man,IMN,Children 0-14,10.769,1996
Isle of Man,IMN,Children 0-14,10.769,1997
Isle of Man,IMN,Children 0-14,10.769,1998
Isle of Man,IMN,Children 0-14,10.769,1999
Isle of Man,IMN,Children 0-14,10.769,2000
Isle of Man,IMN,Children 0-14,10.769,2001
Isle of Man,IMN,Children 0-14,10.769,2002
Isle of Man,IMN,Children 0-14,10.769,2003
Isle of Man,IMN,Children 0-14,10.769,2004
Isle of Man,IMN,Children 0-14,10.769,2005
Isle of Man,IMN,Children 0-14,10.769,2006
Isle of Man,IMN,Children 0-14,10.769,2007
Isle of Man,IMN,Children 0-14,10.769,2008
Isle of Man,IMN,Children 0-14,11.538,2009
Isle of Man,IMN,Children 0-14,10.769,2010
Isle of Man,IMN,Children 0-14,10.769,2011
Isle of Man,IMN,Children 0-14,10.769,2012
Isle of Man,IMN,Children 0-14,10.769,2013
Isle of Man,IMN,Children 0-14,10.769,2014
Isle of Man,IMN,Children 0-14,10.769,2015
Isle of Man,IMN,Children 0-14,10.769,2016
Isle of Man,IMN,Children 0-14,10.769,2017
Isle of Man,IMN,Children 0-14,10.769,2018
Isle of Man,IMN,Children 0-14,10.769,2019
Isle of Man,IMN,Children 0-14,10.769,2020
Isle of Man,IMN,Children 0-14,10.769,2021
Isle of Man,IMN,Children 0-14,10.769,2022
