Country Name,Country Code,Topic,% of available indicators,Year
India,IND,Assets,0.000,1960
India,IND,Assets,0.000,1961
India,IND,Assets,0.000,1962
India,IND,Assets,0.000,1963
India,IND,Assets,0.000,1964
India,IND,Assets,0.000,1965
India,IND,Assets,0.000,1966
India,IND,Assets,0.000,1967
India,IND,Assets,0.000,1968
India,IND,Assets,0.000,1969
India,IND,Assets,2.208,1970
India,IND,Assets,2.208,1971
India,IND,Assets,2.208,1972
India,IND,Assets,2.208,1973
India,IND,Assets,2.208,1974
India,IND,Assets,2.208,1975
India,IND,Assets,2.208,1976
India,IND,Assets,2.208,1977
India,IND,Assets,2.208,1978
India,IND,Assets,2.208,1979
India,IND,Assets,2.208,1980
India,IND,Assets,2.208,1981
India,IND,Assets,2.208,1982
India,IND,Assets,2.208,1983
India,IND,Assets,2.208,1984
India,IND,Assets,2.208,1985
India,IND,Assets,2.208,1986
India,IND,Assets,2.208,1987
India,IND,Assets,2.208,1988
India,IND,Assets,2.208,1989
India,IND,Assets,2.208,1990
India,IND,Assets,2.208,1991
India,IND,Assets,2.208,1992
India,IND,Assets,2.208,1993
India,IND,Assets,2.208,1994
India,IND,Assets,2.208,1995
India,IND,Assets,2.208,1996
India,IND,Assets,2.208,1997
India,IND,Assets,2.208,1998
India,IND,Assets,2.208,1999
India,IND,Assets,2.208,2000
India,IND,Assets,2.208,2001
India,IND,Assets,2.208,2002
India,IND,Assets,2.208,2003
India,IND,Assets,2.208,2004
India,IND,Assets,2.208,2005
India,IND,Assets,2.208,2006
India,IND,Assets,2.208,2007
India,IND,Assets,2.208,2008
India,IND,Assets,2.208,2009
India,IND,Assets,2.208,2010
India,IND,Assets,11.672,2011
India,IND,Assets,2.208,2012
India,IND,Assets,2.208,2013
India,IND,Assets,31.546,2014
India,IND,Assets,2.208,2015
India,IND,Assets,32.492,2016
India,IND,Assets,34.069,2017
India,IND,Assets,2.208,2018
India,IND,Assets,2.208,2019
India,IND,Assets,2.208,2020
India,IND,Assets,92.744,2021
India,IND,Assets,2.208,2022
