Country Name,Country Code,Topic,% of available indicators,Year
Ireland,IRL,Assets,0.000,1960
Ireland,IRL,Assets,0.000,1961
Ireland,IRL,Assets,0.000,1962
Ireland,IRL,Assets,0.000,1963
Ireland,IRL,Assets,0.000,1964
Ireland,IRL,Assets,0.000,1965
Ireland,IRL,Assets,0.000,1966
Ireland,IRL,Assets,0.000,1967
Ireland,IRL,Assets,0.000,1968
Ireland,IRL,Assets,0.000,1969
Ireland,IRL,Assets,2.208,1970
Ireland,IRL,Assets,2.208,1971
Ireland,IRL,Assets,2.208,1972
Ireland,IRL,Assets,2.208,1973
Ireland,IRL,Assets,2.208,1974
Ireland,IRL,Assets,2.208,1975
Ireland,IRL,Assets,2.208,1976
Ireland,IRL,Assets,2.208,1977
Ireland,IRL,Assets,2.208,1978
Ireland,IRL,Assets,2.208,1979
Ireland,IRL,Assets,2.208,1980
Ireland,IRL,Assets,2.208,1981
Ireland,IRL,Assets,2.208,1982
Ireland,IRL,Assets,2.208,1983
Ireland,IRL,Assets,2.208,1984
Ireland,IRL,Assets,2.208,1985
Ireland,IRL,Assets,2.208,1986
Ireland,IRL,Assets,2.208,1987
Ireland,IRL,Assets,2.208,1988
Ireland,IRL,Assets,2.208,1989
Ireland,IRL,Assets,2.208,1990
Ireland,IRL,Assets,2.208,1991
Ireland,IRL,Assets,2.208,1992
Ireland,IRL,Assets,2.208,1993
Ireland,IRL,Assets,2.208,1994
Ireland,IRL,Assets,2.208,1995
Ireland,IRL,Assets,2.208,1996
Ireland,IRL,Assets,2.208,1997
Ireland,IRL,Assets,2.208,1998
Ireland,IRL,Assets,2.208,1999
Ireland,IRL,Assets,2.208,2000
Ireland,IRL,Assets,2.208,2001
Ireland,IRL,Assets,2.208,2002
Ireland,IRL,Assets,2.208,2003
Ireland,IRL,Assets,2.208,2004
Ireland,IRL,Assets,2.208,2005
Ireland,IRL,Assets,2.208,2006
Ireland,IRL,Assets,2.208,2007
Ireland,IRL,Assets,2.208,2008
Ireland,IRL,Assets,2.208,2009
Ireland,IRL,Assets,2.208,2010
Ireland,IRL,Assets,10.726,2011
Ireland,IRL,Assets,2.208,2012
Ireland,IRL,Assets,2.208,2013
Ireland,IRL,Assets,24.921,2014
Ireland,IRL,Assets,2.208,2015
Ireland,IRL,Assets,2.208,2016
Ireland,IRL,Assets,26.814,2017
Ireland,IRL,Assets,2.208,2018
Ireland,IRL,Assets,2.208,2019
Ireland,IRL,Assets,2.208,2020
Ireland,IRL,Assets,51.104,2021
Ireland,IRL,Assets,2.208,2022
Ireland,IRL,Assets,2.208,2023
Ireland,IRL,Children 0-14,19.231,1960
Ireland,IRL,Children 0-14,19.231,1961
Ireland,IRL,Children 0-14,19.231,1962
Ireland,IRL,Children 0-14,19.231,1963
Ireland,IRL,Children 0-14,19.231,1964
Ireland,IRL,Children 0-14,19.231,1965
Ireland,IRL,Children 0-14,19.231,1966
Ireland,IRL,Children 0-14,19.231,1967
Ireland,IRL,Children 0-14,19.231,1968
Ireland,IRL,Children 0-14,19.231,1969
Ireland,IRL,Children 0-14,19.231,1970
Ireland,IRL,Children 0-14,35.385,1971
Ireland,IRL,Children 0-14,33.077,1972
Ireland,IRL,Children 0-14,33.077,1973
Ireland,IRL,Children 0-14,33.077,1974
Ireland,IRL,Children 0-14,33.077,1975
Ireland,IRL,Children 0-14,33.077,1976
Ireland,IRL,Children 0-14,33.077,1977
Ireland,IRL,Children 0-14,33.077,1978
