Country Name,Country Code,Topic,% of available indicators,Year
"Iran, Islamic Rep.",IRN,Assets,0.000,1960
"Iran, Islamic Rep.",IRN,Assets,0.000,1961
"Iran, Islamic Rep.",IRN,Assets,0.000,1962
"Iran, Islamic Rep.",IRN,Assets,0.000,1963
"Iran, Islamic Rep.",IRN,Assets,0.000,1964
"Iran, Islamic Rep.",IRN,Assets,0.000,1965
"Iran, Islamic Rep.",IRN,Assets,0.000,1966
"Iran, Islamic Rep.",IRN,Assets,0.000,1967
"Iran, Islamic Rep.",IRN,Assets,0.000,1968
"Iran, Islamic Rep.",IRN,Assets,0.000,1969
"Iran, Islamic Rep.",IRN,Assets,2.208,1970
"Iran, Islamic Rep.",IRN,Assets,2.208,1971
"Iran, Islamic Rep.",IRN,Assets,2.208,1972
"Iran, Islamic Rep.",IRN,Assets,2.208,1973
"Iran, Islamic Rep.",IRN,Assets,2.208,1974
"Iran, Islamic Rep.",IRN,Assets,2.208,1975
"Iran, Islamic Rep.",IRN,Assets,2.208,1976
"Iran, Islamic Rep.",IRN,Assets,2.208,1977
"Iran, Islamic Rep.",IRN,Assets,2.208,1978
"Iran, Islamic Rep.",IRN,Assets,2.208,1979
"Iran, Islamic Rep.",IRN,Assets,2.208,1980
"Iran, Islamic Rep.",IRN,Assets,2.208,1981
"Iran, Islamic Rep.",IRN,Assets,2.208,1982
"Iran, Islamic Rep.",IRN,Assets,2.208,1983
"Iran, Islamic Rep.",IRN,Assets,2.208,1984
"Iran, Islamic Rep.",IRN,Assets,2.208,1985
"Iran, Islamic Rep.",IRN,Assets,2.208,1986
"Iran, Islamic Rep.",IRN,Assets,2.208,1987
"Iran, Islamic Rep.",IRN,Assets,2.208,1988
"Iran, Islamic Rep.",IRN,Assets,2.208,1989
"Iran, Islamic Rep.",IRN,Assets,2.208,1990
"Iran, Islamic Rep.",IRN,Assets,2.208,1991
"Iran, Islamic Rep.",IRN,Assets,2.208,1992
"Iran, Islamic Rep.",IRN,Assets,2.208,1993
"Iran, Islamic Rep.",IRN,Assets,2.208,1994
"Iran, Islamic Rep.",IRN,Assets,2.208,1995
"Iran, Islamic Rep.",IRN,Assets,2.208,1996
"Iran, Islamic Rep.",IRN,Assets,2.208,1997
"Iran, Islamic Rep.",IRN,Assets,2.208,1998
"Iran, Islamic Rep.",IRN,Assets,2.208,1999
"Iran, Islamic Rep.",IRN,Assets,2.208,2000
"Iran, Islamic Rep.",IRN,Assets,2.208,2001
"Iran, Islamic Rep.",IRN,Assets,2.208,2002
"Iran, Islamic Rep.",IRN,Assets,2.208,2003
"Iran, Islamic Rep.",IRN,Assets,2.208,2004
"Iran, Islamic Rep.",IRN,Assets,2.208,2005
"Iran, Islamic Rep.",IRN,Assets,2.208,2006
"Iran, Islamic Rep.",IRN,Assets,2.208,2007
"Iran, Islamic Rep.",IRN,Assets,2.208,2008
"Iran, Islamic Rep.",IRN,Assets,2.208,2009
"Iran, Islamic Rep.",IRN,Assets,2.208,2010
"Iran, Islamic Rep.",IRN,Assets,11.672,2011
"Iran, Islamic Rep.",IRN,Assets,2.208,2012
"Iran, Islamic Rep.",IRN,Assets,2.208,2013
"Iran, Islamic Rep.",IRN,Assets,31.546,2014
"Iran, Islamic Rep.",IRN,Assets,2.208,2015
"Iran, Islamic Rep.",IRN,Assets,2.208,2016
"Iran, Islamic Rep.",IRN,Assets,27.760,2017
"Iran, Islamic Rep.",IRN,Assets,2.208,2018
"Iran, Islamic Rep.",IRN,Assets,2.208,2019
"Iran, Islamic Rep.",IRN,Assets,2.208,2020
"Iran, Islamic Rep.",IRN,Assets,53.628,2021
"Iran, Islamic Rep.",IRN,Assets,2.208,2022
"Iran, Islamic Rep.",IRN,Assets,2.208,2023
"Iran, Islamic Rep.",IRN,Children 0-14,10.769,1960
"Iran, Islamic Rep.",IRN,Children 0-14,10.769,1961
"Iran, Islamic Rep.",IRN,Children 0-14,10.769,1962
"Iran, Islamic Rep.",IRN,Children 0-14,10.769,1963
"Iran, Islamic Rep.",IRN,Children 0-14,10.769,1964
"Iran, Islamic Rep.",IRN,Children 0-14,10.769,1965
"Iran, Islamic Rep.",IRN,Children 0-14,10.769,1966
"Iran, Islamic Rep.",IRN,Children 0-14,10.769,1967
"Iran, Islamic Rep.",IRN,Children 0-14,10.769,1968
"Iran, Islamic Rep.",IRN,Children 0-14,10.769,1969
"Iran, Islamic Rep.",IRN,Children 0-14,10.769,1970
