Country Name,Country Code,Topic,% of available indicators,Year
Iraq,IRQ,Assets,0.000,1960
Iraq,IRQ,Assets,0.000,1961
Iraq,IRQ,Assets,0.000,1962
Iraq,IRQ,Assets,0.000,1963
Iraq,IRQ,Assets,0.000,1964
Iraq,IRQ,Assets,0.000,1965
Iraq,IRQ,Assets,0.000,1966
Iraq,IRQ,Assets,0.000,1967
Iraq,IRQ,Assets,0.000,1968
Iraq,IRQ,Assets,0.000,1969
Iraq,IRQ,Assets,2.208,1970
Iraq,IRQ,Assets,2.208,1971
Iraq,IRQ,Assets,2.208,1972
Iraq,IRQ,Assets,2.208,1973
Iraq,IRQ,Assets,2.208,1974
Iraq,IRQ,Assets,2.208,1975
Iraq,IRQ,Assets,2.208,1976
Iraq,IRQ,Assets,2.208,1977
Iraq,IRQ,Assets,2.208,1978
Iraq,IRQ,Assets,2.208,1979
Iraq,IRQ,Assets,2.208,1980
Iraq,IRQ,Assets,2.208,1981
Iraq,IRQ,Assets,2.208,1982
Iraq,IRQ,Assets,2.208,1983
Iraq,IRQ,Assets,2.208,1984
Iraq,IRQ,Assets,2.208,1985
Iraq,IRQ,Assets,2.208,1986
Iraq,IRQ,Assets,2.208,1987
Iraq,IRQ,Assets,2.208,1988
Iraq,IRQ,Assets,2.208,1989
Iraq,IRQ,Assets,2.208,1990
Iraq,IRQ,Assets,2.208,1991
Iraq,IRQ,Assets,2.208,1992
Iraq,IRQ,Assets,2.208,1993
Iraq,IRQ,Assets,2.208,1994
Iraq,IRQ,Assets,2.208,1995
Iraq,IRQ,Assets,2.208,1996
Iraq,IRQ,Assets,2.208,1997
Iraq,IRQ,Assets,2.208,1998
Iraq,IRQ,Assets,2.208,1999
Iraq,IRQ,Assets,2.208,2000
Iraq,IRQ,Assets,2.208,2001
Iraq,IRQ,Assets,2.208,2002
Iraq,IRQ,Assets,2.208,2003
Iraq,IRQ,Assets,2.208,2004
Iraq,IRQ,Assets,2.208,2005
Iraq,IRQ,Assets,2.208,2006
Iraq,IRQ,Assets,2.208,2007
Iraq,IRQ,Assets,2.208,2008
Iraq,IRQ,Assets,2.208,2009
Iraq,IRQ,Assets,2.208,2010
Iraq,IRQ,Assets,11.672,2011
Iraq,IRQ,Assets,2.208,2012
Iraq,IRQ,Assets,2.208,2013
Iraq,IRQ,Assets,30.599,2014
Iraq,IRQ,Assets,2.208,2015
Iraq,IRQ,Assets,2.208,2016
Iraq,IRQ,Assets,27.760,2017
Iraq,IRQ,Assets,2.208,2018
Iraq,IRQ,Assets,2.208,2019
Iraq,IRQ,Assets,2.208,2020
Iraq,IRQ,Assets,63.091,2021
Iraq,IRQ,Assets,2.208,2022
Iraq,IRQ,Assets,2.208,2023
Iraq,IRQ,Children 0-14,19.231,1960
Iraq,IRQ,Children 0-14,19.231,1961
Iraq,IRQ,Children 0-14,19.231,1962
Iraq,IRQ,Children 0-14,19.231,1963
Iraq,IRQ,Children 0-14,19.231,1964
Iraq,IRQ,Children 0-14,19.231,1965
Iraq,IRQ,Children 0-14,19.231,1966
Iraq,IRQ,Children 0-14,19.231,1967
Iraq,IRQ,Children 0-14,19.231,1968
Iraq,IRQ,Children 0-14,19.231,1969
Iraq,IRQ,Children 0-14,19.231,1970
Iraq,IRQ,Children 0-14,40.000,1971
Iraq,IRQ,Children 0-14,40.000,1972
Iraq,IRQ,Children 0-14,40.000,1973
Iraq,IRQ,Children 0-14,40.000,1974
Iraq,IRQ,Children 0-14,38.462,1975
Iraq,IRQ,Children 0-14,38.462,1976
Iraq,IRQ,Children 0-14,38.462,1977
Iraq,IRQ,Children 0-14,38.462,1978
Iraq,IRQ,Children 0-14,35.385,1979
Iraq,IRQ,Children 0-14,40.000,1980
Iraq,IRQ,Children 0-14,34.615,1981
Iraq,IRQ,Children 0-14,28.462,1982
Iraq,IRQ,Children 0-14,40.000,1983
Iraq,IRQ,Children 0-14,28.462,1984
Iraq,IRQ,Children 0-14,41.538,1985
Iraq,IRQ,Children 0-14,41.538,1986
Iraq,IRQ,Children 0-14,41.538,1987
Iraq,IRQ,Children 0-14,41.538,1988
Iraq,IRQ,Children 0-14,40.000,1989
Iraq,IRQ,Children 0-14,20.769,1990
Iraq,IRQ,Children 0-14,29.231,1991
Iraq,IRQ,Children 0-14,27.692,1992
Iraq,IRQ,Children 0-14,40.000,1993
Iraq,IRQ,Children 0-14,20.769,1994
Iraq,IRQ,Children 0-14,20.769,1995
Iraq,IRQ,Children 0-14,34.615,1996
Iraq,IRQ,Children 0-14,20.769,1997
Iraq,IRQ,Children 0-14,23.077,1998
Iraq,IRQ,Children 0-14,43.846,1999
Iraq,IRQ,Children 0-14,70.000,2000
Iraq,IRQ,Children 0-14,20.769,2001
Iraq,IRQ,Children 0-14,20.769,2002
Iraq,IRQ,Children 0-14,33.846,2003
Iraq,IRQ,Children 0-14,46.923,2004
Iraq,IRQ,Children 0-14,20.769,2005
Iraq,IRQ,Children 0-14,35.385,2006
Iraq,IRQ,Children 0-14,37.692,2007
Iraq,IRQ,Children 0-14,20.769,2008
Iraq,IRQ,Children 0-14,20.769,2009
Iraq,IRQ,Children 0-14,39.231,2010
Iraq,IRQ,Children 0-14,37.692,2011
Iraq,IRQ,Children 0-14,25.385,2012
Iraq,IRQ,Children 0-14,25.385,2013
Iraq,IRQ,Children 0-14,20.769,2014
Iraq,IRQ,Children 0-14,34.615,2015
Iraq,IRQ,Children 0-14,20.769,2016
Iraq,IRQ,Children 0-14,25.385,2017
Iraq,IRQ,Children 0-14,43.846,2018
Iraq,IRQ,Children 0-14,34.615,2019
Iraq,IRQ,Children 0-14,25.385,2020
Iraq,IRQ,Children 0-14,25.385,2021
Iraq,IRQ,Children 0-14,20.769,2022
Iraq,IRQ,Children 0-14,9.231,2023
Iraq,IRQ,Education,0.000,1960
Iraq,IRQ,Education,0.000,1961
Iraq,IRQ,Education,0.000,1962
Iraq,IRQ,Education,0.000,1963
Iraq,IRQ,Education,0.000,1964
Iraq,IRQ,Education,0.000,1965
Iraq,IRQ,Education,0.000,1966
Iraq,IRQ,Education,0.000,1967
Iraq,IRQ,Education,0.000,1968
Iraq,IRQ,Education,0.000,1969
