Country Name,Country Code,Topic,% of available indicators,Year
Iceland,ISL,Assets,0.000,1960
Iceland,ISL,Assets,0.000,1961
Iceland,ISL,Assets,0.000,1962
Iceland,ISL,Assets,0.000,1963
Iceland,ISL,Assets,0.000,1964
Iceland,ISL,Assets,0.000,1965
Iceland,ISL,Assets,0.000,1966
Iceland,ISL,Assets,0.000,1967
Iceland,ISL,Assets,0.000,1968
Iceland,ISL,Assets,0.000,1969
Iceland,ISL,Assets,2.208,1970
Iceland,ISL,Assets,2.208,1971
Iceland,ISL,Assets,2.208,1972
Iceland,ISL,Assets,2.208,1973
Iceland,ISL,Assets,2.208,1974
Iceland,ISL,Assets,2.208,1975
Iceland,ISL,Assets,2.208,1976
Iceland,ISL,Assets,2.208,1977
Iceland,ISL,Assets,2.208,1978
Iceland,ISL,Assets,2.208,1979
Iceland,ISL,Assets,2.208,1980
Iceland,ISL,Assets,2.208,1981
Iceland,ISL,Assets,2.208,1982
Iceland,ISL,Assets,2.208,1983
Iceland,ISL,Assets,2.208,1984
Iceland,ISL,Assets,2.208,1985
Iceland,ISL,Assets,2.208,1986
Iceland,ISL,Assets,2.208,1987
Iceland,ISL,Assets,2.208,1988
Iceland,ISL,Assets,2.208,1989
Iceland,ISL,Assets,2.208,1990
Iceland,ISL,Assets,2.208,1991
Iceland,ISL,Assets,2.208,1992
Iceland,ISL,Assets,2.208,1993
Iceland,ISL,Assets,2.208,1994
Iceland,ISL,Assets,2.208,1995
Iceland,ISL,Assets,2.208,1996
Iceland,ISL,Assets,2.208,1997
Iceland,ISL,Assets,2.208,1998
Iceland,ISL,Assets,2.208,1999
Iceland,ISL,Assets,2.208,2000
Iceland,ISL,Assets,2.208,2001
Iceland,ISL,Assets,2.208,2002
Iceland,ISL,Assets,2.208,2003
Iceland,ISL,Assets,2.208,2004
Iceland,ISL,Assets,2.208,2005
Iceland,ISL,Assets,2.208,2006
Iceland,ISL,Assets,2.208,2007
Iceland,ISL,Assets,2.208,2008
Iceland,ISL,Assets,2.208,2009
Iceland,ISL,Assets,2.208,2010
Iceland,ISL,Assets,2.208,2011
Iceland,ISL,Assets,2.208,2012
Iceland,ISL,Assets,2.208,2013
Iceland,ISL,Assets,2.208,2014
Iceland,ISL,Assets,2.208,2015
Iceland,ISL,Assets,2.208,2016
Iceland,ISL,Assets,2.208,2017
Iceland,ISL,Assets,2.208,2018
Iceland,ISL,Assets,2.208,2019
Iceland,ISL,Assets,2.208,2020
Iceland,ISL,Assets,51.735,2021
Iceland,ISL,Assets,2.208,2022
Iceland,ISL,Assets,2.208,2023
Iceland,ISL,Children 0-14,19.231,1960
Iceland,ISL,Children 0-14,19.231,1961
Iceland,ISL,Children 0-14,19.231,1962
Iceland,ISL,Children 0-14,19.231,1963
Iceland,ISL,Children 0-14,19.231,1964
Iceland,ISL,Children 0-14,19.231,1965
Iceland,ISL,Children 0-14,19.231,1966
Iceland,ISL,Children 0-14,19.231,1967
Iceland,ISL,Children 0-14,19.231,1968
Iceland,ISL,Children 0-14,19.231,1969
Iceland,ISL,Children 0-14,19.231,1970
Iceland,ISL,Children 0-14,23.077,1971
Iceland,ISL,Children 0-14,23.846,1972
Iceland,ISL,Children 0-14,23.846,1973
Iceland,ISL,Children 0-14,23.846,1974
Iceland,ISL,Children 0-14,23.846,1975
Iceland,ISL,Children 0-14,23.846,1976
Iceland,ISL,Children 0-14,26.923,1977
Iceland,ISL,Children 0-14,20.769,1978
Iceland,ISL,Children 0-14,20.769,1979
Iceland,ISL,Children 0-14,21.538,1980
Iceland,ISL,Children 0-14,21.538,1981
Iceland,ISL,Children 0-14,21.538,1982
Iceland,ISL,Children 0-14,26.923,1983
Iceland,ISL,Children 0-14,26.923,1984
Iceland,ISL,Children 0-14,22.308,1985
Iceland,ISL,Children 0-14,26.923,1986
Iceland,ISL,Children 0-14,26.923,1987
Iceland,ISL,Children 0-14,26.923,1988
Iceland,ISL,Children 0-14,26.923,1989
Iceland,ISL,Children 0-14,22.308,1990
Iceland,ISL,Children 0-14,21.538,1991
Iceland,ISL,Children 0-14,21.538,1992
Iceland,ISL,Children 0-14,24.615,1993
Iceland,ISL,Children 0-14,32.308,1994
Iceland,ISL,Children 0-14,24.615,1995
Iceland,ISL,Children 0-14,32.308,1996
Iceland,ISL,Children 0-14,33.846,1997
Iceland,ISL,Children 0-14,43.846,1998
Iceland,ISL,Children 0-14,40.769,1999
Iceland,ISL,Children 0-14,54.615,2000
Iceland,ISL,Children 0-14,45.385,2001
Iceland,ISL,Children 0-14,40.769,2002
Iceland,ISL,Children 0-14,43.846,2003
Iceland,ISL,Children 0-14,43.846,2004
Iceland,ISL,Children 0-14,46.154,2005
Iceland,ISL,Children 0-14,46.154,2006
Iceland,ISL,Children 0-14,41.538,2007
Iceland,ISL,Children 0-14,41.538,2008
Iceland,ISL,Children 0-14,40.769,2009
