Country Name,Country Code,Topic,% of available indicators,Year
Israel,ISR,Assets,0.000,1960
Israel,ISR,Assets,0.000,1961
Israel,ISR,Assets,0.000,1962
Israel,ISR,Assets,0.000,1963
Israel,ISR,Assets,0.000,1964
Israel,ISR,Assets,0.000,1965
Israel,ISR,Assets,0.000,1966
Israel,ISR,Assets,0.000,1967
Israel,ISR,Assets,0.000,1968
Israel,ISR,Assets,0.000,1969
Israel,ISR,Assets,2.208,1970
Israel,ISR,Assets,2.208,1971
Israel,ISR,Assets,2.208,1972
Israel,ISR,Assets,2.208,1973
Israel,ISR,Assets,2.208,1974
Israel,ISR,Assets,2.208,1975
Israel,ISR,Assets,2.208,1976
Israel,ISR,Assets,2.208,1977
Israel,ISR,Assets,2.208,1978
Israel,ISR,Assets,2.208,1979
Israel,ISR,Assets,2.208,1980
Israel,ISR,Assets,2.208,1981
Israel,ISR,Assets,2.208,1982
Israel,ISR,Assets,2.208,1983
Israel,ISR,Assets,2.208,1984
Israel,ISR,Assets,2.208,1985
Israel,ISR,Assets,2.208,1986
Israel,ISR,Assets,2.208,1987
Israel,ISR,Assets,2.208,1988
Israel,ISR,Assets,2.208,1989
Israel,ISR,Assets,2.208,1990
Israel,ISR,Assets,2.208,1991
Israel,ISR,Assets,2.208,1992
Israel,ISR,Assets,2.208,1993
Israel,ISR,Assets,2.208,1994
Israel,ISR,Assets,2.208,1995
Israel,ISR,Assets,2.208,1996
Israel,ISR,Assets,2.208,1997
Israel,ISR,Assets,2.208,1998
Israel,ISR,Assets,2.208,1999
Israel,ISR,Assets,2.208,2000
Israel,ISR,Assets,2.208,2001
Israel,ISR,Assets,2.208,2002
Israel,ISR,Assets,2.208,2003
Israel,ISR,Assets,2.208,2004
Israel,ISR,Assets,2.208,2005
Israel,ISR,Assets,2.208,2006
Israel,ISR,Assets,2.208,2007
Israel,ISR,Assets,2.208,2008
Israel,ISR,Assets,2.208,2009
Israel,ISR,Assets,2.208,2010
Israel,ISR,Assets,11.672,2011
Israel,ISR,Assets,2.208,2012
Israel,ISR,Assets,2.208,2013
Israel,ISR,Assets,30.599,2014
Israel,ISR,Assets,2.208,2015
Israel,ISR,Assets,2.208,2016
Israel,ISR,Assets,33.123,2017
Israel,ISR,Assets,2.208,2018
Israel,ISR,Assets,2.208,2019
Israel,ISR,Assets,2.208,2020
Israel,ISR,Assets,58.360,2021
Israel,ISR,Assets,2.208,2022
Israel,ISR,Assets,2.208,2023
Israel,ISR,Children 0-14,16.923,1960
