Country Name,Country Code,Topic,% of available indicators,Year
Italy,ITA,Assets,0.000,1960
Italy,ITA,Assets,0.000,1961
Italy,ITA,Assets,0.000,1962
Italy,ITA,Assets,0.000,1963
Italy,ITA,Assets,0.000,1964
Italy,ITA,Assets,0.000,1965
Italy,ITA,Assets,0.000,1966
Italy,ITA,Assets,0.000,1967
Italy,ITA,Assets,0.000,1968
Italy,ITA,Assets,0.000,1969
Italy,ITA,Assets,2.208,1970
Italy,ITA,Assets,2.208,1971
Italy,ITA,Assets,2.208,1972
Italy,ITA,Assets,2.208,1973
Italy,ITA,Assets,2.208,1974
Italy,ITA,Assets,2.208,1975
Italy,ITA,Assets,2.208,1976
Italy,ITA,Assets,2.208,1977
Italy,ITA,Assets,2.208,1978
Italy,ITA,Assets,2.208,1979
Italy,ITA,Assets,2.208,1980
Italy,ITA,Assets,2.208,1981
Italy,ITA,Assets,2.208,1982
Italy,ITA,Assets,2.208,1983
Italy,ITA,Assets,2.208,1984
Italy,ITA,Assets,2.208,1985
Italy,ITA,Assets,2.208,1986
Italy,ITA,Assets,2.208,1987
Italy,ITA,Assets,2.208,1988
Italy,ITA,Assets,2.208,1989
Italy,ITA,Assets,2.208,1990
Italy,ITA,Assets,2.208,1991
Italy,ITA,Assets,2.208,1992
Italy,ITA,Assets,2.208,1993
Italy,ITA,Assets,2.208,1994
Italy,ITA,Assets,2.208,1995
Italy,ITA,Assets,2.208,1996
Italy,ITA,Assets,2.208,1997
Italy,ITA,Assets,2.208,1998
Italy,ITA,Assets,2.208,1999
Italy,ITA,Assets,2.208,2000
Italy,ITA,Assets,2.208,2001
Italy,ITA,Assets,2.208,2002
Italy,ITA,Assets,2.208,2003
Italy,ITA,Assets,2.208,2004
Italy,ITA,Assets,2.208,2005
Italy,ITA,Assets,2.208,2006
Italy,ITA,Assets,2.208,2007
Italy,ITA,Assets,2.208,2008
Italy,ITA,Assets,2.208,2009
Italy,ITA,Assets,2.208,2010
Italy,ITA,Assets,10.726,2011
Italy,ITA,Assets,2.208,2012
Italy,ITA,Assets,2.208,2013
Italy,ITA,Assets,24.921,2014
Italy,ITA,Assets,2.208,2015
Italy,ITA,Assets,2.208,2016
Italy,ITA,Assets,26.814,2017
Italy,ITA,Assets,2.208,2018
Italy,ITA,Assets,2.208,2019
Italy,ITA,Assets,2.208,2020
Italy,ITA,Assets,51.735,2021
Italy,ITA,Assets,2.208,2022
Italy,ITA,Assets,2.208,2023
Italy,ITA,Children 0-14,19.231,1960
Italy,ITA,Children 0-14,19.231,1961
Italy,ITA,Children 0-14,19.231,1962
Italy,ITA,Children 0-14,19.231,1963
Italy,ITA,Children 0-14,19.231,1964
Italy,ITA,Children 0-14,19.231,1965
Italy,ITA,Children 0-14,19.231,1966
Italy,ITA,Children 0-14,19.231,1967
Italy,ITA,Children 0-14,19.231,1968
Italy,ITA,Children 0-14,19.231,1969
Italy,ITA,Children 0-14,19.231,1970
Italy,ITA,Children 0-14,35.385,1971
Italy,ITA,Children 0-14,30.769,1972
Italy,ITA,Children 0-14,33.846,1973
Italy,ITA,Children 0-14,30.769,1974
Italy,ITA,Children 0-14,30.769,1975
Italy,ITA,Children 0-14,38.462,1976
Italy,ITA,Children 0-14,30.769,1977
Italy,ITA,Children 0-14,30.769,1978
Italy,ITA,Children 0-14,38.462,1979
Italy,ITA,Children 0-14,30.769,1980
Italy,ITA,Children 0-14,33.077,1981
Italy,ITA,Children 0-14,30.769,1982
Italy,ITA,Children 0-14,30.769,1983
Italy,ITA,Children 0-14,30.769,1984
Italy,ITA,Children 0-14,38.462,1985
Italy,ITA,Children 0-14,30.769,1986
Italy,ITA,Children 0-14,30.769,1987
Italy,ITA,Children 0-14,30.769,1988
Italy,ITA,Children 0-14,30.769,1989
Italy,ITA,Children 0-14,32.308,1990
Italy,ITA,Children 0-14,32.308,1991
Italy,ITA,Children 0-14,32.308,1992
Italy,ITA,Children 0-14,29.231,1993
Italy,ITA,Children 0-14,32.308,1994
Italy,ITA,Children 0-14,35.385,1995
Italy,ITA,Children 0-14,38.462,1996
Italy,ITA,Children 0-14,38.462,1997
Italy,ITA,Children 0-14,26.923,1998
Italy,ITA,Children 0-14,35.385,1999
Italy,ITA,Children 0-14,46.923,2000
Italy,ITA,Children 0-14,47.692,2001
Italy,ITA,Children 0-14,35.385,2002
Italy,ITA,Children 0-14,35.385,2003
Italy,ITA,Children 0-14,36.923,2004
Italy,ITA,Children 0-14,41.538,2005
Italy,ITA,Children 0-14,47.692,2006
Italy,ITA,Children 0-14,41.538,2007
Italy,ITA,Children 0-14,41.538,2008
Italy,ITA,Children 0-14,41.538,2009
Italy,ITA,Children 0-14,57.692,2010
Italy,ITA,Children 0-14,48.462,2011
Italy,ITA,Children 0-14,43.077,2012
Italy,ITA,Children 0-14,46.154,2013
Italy,ITA,Children 0-14,46.923,2014
Italy,ITA,Children 0-14,60.000,2015
Italy,ITA,Children 0-14,52.308,2016
Italy,ITA,Children 0-14,49.231,2017
Italy,ITA,Children 0-14,42.308,2018
Italy,ITA,Children 0-14,53.846,2019
Italy,ITA,Children 0-14,43.846,2020
Italy,ITA,Children 0-14,39.231,2021
Italy,ITA,Children 0-14,36.154,2022
Italy,ITA,Children 0-14,9.231,2023
Italy,ITA,Education,0.000,1960
Italy,ITA,Education,0.000,1961
Italy,ITA,Education,0.000,1962
Italy,ITA,Education,0.000,1963
Italy,ITA,Education,0.000,1964
Italy,ITA,Education,0.000,1965
Italy,ITA,Education,0.000,1966
Italy,ITA,Education,0.000,1967
Italy,ITA,Education,0.000,1968
Italy,ITA,Education,0.000,1969
Italy,ITA,Education,0.613,1970
Italy,ITA,Education,28.834,1971
Italy,ITA,Education,22.699,1972
Italy,ITA,Education,24.540,1973
Italy,ITA,Education,22.699,1974
Italy,ITA,Education,22.699,1975
Italy,ITA,Education,29.448,1976
Italy,ITA,Education,23.313,1977
Italy,ITA,Education,23.926,1978
Italy,ITA,Education,30.061,1979
Italy,ITA,Education,23.313,1980
Italy,ITA,Education,35.583,1981
Italy,ITA,Education,19.018,1982
Italy,ITA,Education,25.767,1983
Italy,ITA,Education,25.767,1984
Italy,ITA,Education,31.902,1985
Italy,ITA,Education,25.767,1986
Italy,ITA,Education,25.153,1987
Italy,ITA,Education,25.767,1988
Italy,ITA,Education,25.153,1989
Italy,ITA,Education,25.153,1990
Italy,ITA,Education,25.153,1991
Italy,ITA,Education,23.313,1992
Italy,ITA,Education,21.472,1993
Italy,ITA,Education,25.767,1994
Italy,ITA,Education,28.834,1995
Italy,ITA,Education,31.288,1996
