Country Name,Country Code,Topic,% of available indicators,Year
Jamaica,JAM,Assets,0.000,1960
Jamaica,JAM,Assets,0.000,1961
Jamaica,JAM,Assets,0.000,1962
Jamaica,JAM,Assets,0.000,1963
Jamaica,JAM,Assets,0.000,1964
Jamaica,JAM,Assets,0.000,1965
Jamaica,JAM,Assets,0.000,1966
Jamaica,JAM,Assets,0.000,1967
Jamaica,JAM,Assets,0.000,1968
Jamaica,JAM,Assets,0.000,1969
Jamaica,JAM,Assets,2.208,1970
Jamaica,JAM,Assets,2.208,1971
Jamaica,JAM,Assets,2.208,1972
Jamaica,JAM,Assets,2.208,1973
Jamaica,JAM,Assets,2.208,1974
Jamaica,JAM,Assets,2.208,1975
Jamaica,JAM,Assets,2.208,1976
Jamaica,JAM,Assets,2.208,1977
Jamaica,JAM,Assets,2.208,1978
Jamaica,JAM,Assets,2.208,1979
Jamaica,JAM,Assets,2.208,1980
Jamaica,JAM,Assets,2.208,1981
Jamaica,JAM,Assets,2.208,1982
Jamaica,JAM,Assets,2.208,1983
Jamaica,JAM,Assets,2.208,1984
Jamaica,JAM,Assets,2.208,1985
Jamaica,JAM,Assets,2.208,1986
Jamaica,JAM,Assets,2.208,1987
Jamaica,JAM,Assets,2.208,1988
Jamaica,JAM,Assets,2.208,1989
Jamaica,JAM,Assets,2.208,1990
Jamaica,JAM,Assets,2.208,1991
Jamaica,JAM,Assets,2.208,1992
Jamaica,JAM,Assets,2.208,1993
Jamaica,JAM,Assets,2.208,1994
Jamaica,JAM,Assets,2.208,1995
Jamaica,JAM,Assets,2.208,1996
Jamaica,JAM,Assets,2.208,1997
Jamaica,JAM,Assets,2.208,1998
Jamaica,JAM,Assets,2.208,1999
Jamaica,JAM,Assets,2.208,2000
Jamaica,JAM,Assets,2.208,2001
Jamaica,JAM,Assets,2.208,2002
Jamaica,JAM,Assets,2.208,2003
Jamaica,JAM,Assets,2.208,2004
Jamaica,JAM,Assets,2.208,2005
Jamaica,JAM,Assets,2.208,2006
Jamaica,JAM,Assets,2.208,2007
Jamaica,JAM,Assets,2.208,2008
Jamaica,JAM,Assets,2.208,2009
Jamaica,JAM,Assets,2.208,2010
Jamaica,JAM,Assets,11.672,2011
Jamaica,JAM,Assets,2.208,2012
Jamaica,JAM,Assets,2.208,2013
Jamaica,JAM,Assets,31.546,2014
Jamaica,JAM,Assets,2.208,2015
Jamaica,JAM,Assets,2.208,2016
Jamaica,JAM,Assets,2.208,2017
Jamaica,JAM,Assets,2.208,2018
