Country Name,Country Code,Topic,% of available indicators,Year
Jordan,JOR,Assets,0.000,1960
Jordan,JOR,Assets,0.000,1961
Jordan,JOR,Assets,0.000,1962
Jordan,JOR,Assets,0.000,1963
Jordan,JOR,Assets,0.000,1964
Jordan,JOR,Assets,0.000,1965
Jordan,JOR,Assets,0.000,1966
Jordan,JOR,Assets,0.000,1967
Jordan,JOR,Assets,0.000,1968
Jordan,JOR,Assets,0.000,1969
Jordan,JOR,Assets,2.208,1970
Jordan,JOR,Assets,2.208,1971
Jordan,JOR,Assets,2.208,1972
Jordan,JOR,Assets,2.208,1973
Jordan,JOR,Assets,2.208,1974
Jordan,JOR,Assets,2.208,1975
Jordan,JOR,Assets,2.208,1976
Jordan,JOR,Assets,2.208,1977
Jordan,JOR,Assets,2.208,1978
Jordan,JOR,Assets,2.208,1979
Jordan,JOR,Assets,2.208,1980
Jordan,JOR,Assets,2.208,1981
Jordan,JOR,Assets,2.208,1982
Jordan,JOR,Assets,2.208,1983
Jordan,JOR,Assets,2.208,1984
Jordan,JOR,Assets,2.208,1985
Jordan,JOR,Assets,2.208,1986
Jordan,JOR,Assets,2.208,1987
Jordan,JOR,Assets,2.208,1988
Jordan,JOR,Assets,2.208,1989
Jordan,JOR,Assets,2.208,1990
Jordan,JOR,Assets,2.208,1991
Jordan,JOR,Assets,2.208,1992
Jordan,JOR,Assets,2.208,1993
Jordan,JOR,Assets,2.208,1994
Jordan,JOR,Assets,2.208,1995
Jordan,JOR,Assets,2.208,1996
Jordan,JOR,Assets,2.208,1997
Jordan,JOR,Assets,2.208,1998
Jordan,JOR,Assets,2.208,1999
Jordan,JOR,Assets,2.208,2000
Jordan,JOR,Assets,2.208,2001
Jordan,JOR,Assets,2.208,2002
Jordan,JOR,Assets,2.208,2003
Jordan,JOR,Assets,2.208,2004
Jordan,JOR,Assets,2.208,2005
Jordan,JOR,Assets,2.208,2006
Jordan,JOR,Assets,2.208,2007
Jordan,JOR,Assets,2.208,2008
Jordan,JOR,Assets,2.208,2009
Jordan,JOR,Assets,2.208,2010
Jordan,JOR,Assets,11.672,2011
Jordan,JOR,Assets,17.350,2012
Jordan,JOR,Assets,2.208,2013
Jordan,JOR,Assets,31.546,2014
Jordan,JOR,Assets,2.208,2015
Jordan,JOR,Assets,2.208,2016
Jordan,JOR,Assets,34.069,2017
Jordan,JOR,Assets,32.492,2018
Jordan,JOR,Assets,2.208,2019
Jordan,JOR,Assets,2.208,2020
Jordan,JOR,Assets,63.091,2021
Jordan,JOR,Assets,2.208,2022
Jordan,JOR,Assets,32.492,2023
Jordan,JOR,Children 0-14,19.231,1960
Jordan,JOR,Children 0-14,19.231,1961
Jordan,JOR,Children 0-14,19.231,1962
Jordan,JOR,Children 0-14,19.231,1963
Jordan,JOR,Children 0-14,19.231,1964
Jordan,JOR,Children 0-14,19.231,1965
Jordan,JOR,Children 0-14,19.231,1966
Jordan,JOR,Children 0-14,19.231,1967
Jordan,JOR,Children 0-14,19.231,1968
Jordan,JOR,Children 0-14,19.231,1969
Jordan,JOR,Children 0-14,19.231,1970
Jordan,JOR,Children 0-14,26.923,1971
Jordan,JOR,Children 0-14,37.692,1972
Jordan,JOR,Children 0-14,37.692,1973
Jordan,JOR,Children 0-14,34.615,1974
Jordan,JOR,Children 0-14,33.077,1975
Jordan,JOR,Children 0-14,33.077,1976
Jordan,JOR,Children 0-14,33.077,1977
Jordan,JOR,Children 0-14,36.154,1978
Jordan,JOR,Children 0-14,36.154,1979
Jordan,JOR,Children 0-14,39.231,1980
Jordan,JOR,Children 0-14,37.692,1981
Jordan,JOR,Children 0-14,39.231,1982
Jordan,JOR,Children 0-14,39.231,1983
Jordan,JOR,Children 0-14,37.692,1984
Jordan,JOR,Children 0-14,37.692,1985
Jordan,JOR,Children 0-14,26.923,1986
Jordan,JOR,Children 0-14,30.000,1987
Jordan,JOR,Children 0-14,33.846,1988
Jordan,JOR,Children 0-14,33.846,1989
Jordan,JOR,Children 0-14,41.538,1990
Jordan,JOR,Children 0-14,30.000,1991
Jordan,JOR,Children 0-14,30.000,1992
Jordan,JOR,Children 0-14,31.538,1993
Jordan,JOR,Children 0-14,30.000,1994
Jordan,JOR,Children 0-14,26.923,1995
Jordan,JOR,Children 0-14,30.000,1996
Jordan,JOR,Children 0-14,34.615,1997
Jordan,JOR,Children 0-14,27.692,1998
Jordan,JOR,Children 0-14,41.538,1999
Jordan,JOR,Children 0-14,53.846,2000
Jordan,JOR,Children 0-14,20.769,2001
Jordan,JOR,Children 0-14,55.385,2002
Jordan,JOR,Children 0-14,46.154,2003
Jordan,JOR,Children 0-14,43.846,2004
Jordan,JOR,Children 0-14,37.692,2005
Jordan,JOR,Children 0-14,41.538,2006
Jordan,JOR,Children 0-14,42.308,2007
Jordan,JOR,Children 0-14,44.615,2008
Jordan,JOR,Children 0-14,32.308,2009
Jordan,JOR,Children 0-14,57.692,2010
Jordan,JOR,Children 0-14,40.000,2011
Jordan,JOR,Children 0-14,53.846,2012
Jordan,JOR,Children 0-14,42.308,2013
Jordan,JOR,Children 0-14,33.846,2014
Jordan,JOR,Children 0-14,43.077,2015
Jordan,JOR,Children 0-14,40.000,2016
Jordan,JOR,Children 0-14,55.385,2017
Jordan,JOR,Children 0-14,55.385,2018
Jordan,JOR,Children 0-14,60.769,2019
Jordan,JOR,Children 0-14,42.308,2020
Jordan,JOR,Children 0-14,37.692,2021
Jordan,JOR,Children 0-14,32.308,2022
Jordan,JOR,Children 0-14,35.385,2023
Jordan,JOR,Education,0.000,1960
Jordan,JOR,Education,0.000,1961
Jordan,JOR,Education,0.000,1962
Jordan,JOR,Education,0.000,1963
Jordan,JOR,Education,0.000,1964
Jordan,JOR,Education,0.000,1965
Jordan,JOR,Education,0.000,1966
Jordan,JOR,Education,0.000,1967
Jordan,JOR,Education,0.000,1968
Jordan,JOR,Education,0.000,1969
Jordan,JOR,Education,0.613,1970
Jordan,JOR,Education,21.472,1971
Jordan,JOR,Education,30.061,1972
Jordan,JOR,Education,30.061,1973
Jordan,JOR,Education,27.607,1974
Jordan,JOR,Education,26.380,1975
Jordan,JOR,Education,26.380,1976
Jordan,JOR,Education,26.380,1977
Jordan,JOR,Education,28.834,1978
Jordan,JOR,Education,34.969,1979
Jordan,JOR,Education,28.834,1980
Jordan,JOR,Education,28.221,1981
Jordan,JOR,Education,30.061,1982
Jordan,JOR,Education,28.221,1983
Jordan,JOR,Education,26.994,1984
Jordan,JOR,Education,26.380,1985
Jordan,JOR,Education,20.245,1986
Jordan,JOR,Education,22.086,1987
Jordan,JOR,Education,25.767,1988
Jordan,JOR,Education,23.313,1989
Jordan,JOR,Education,19.018,1990
Jordan,JOR,Education,19.632,1991
Jordan,JOR,Education,20.859,1992
Jordan,JOR,Education,22.086,1993
Jordan,JOR,Education,19.018,1994
Jordan,JOR,Education,7.362,1995
Jordan,JOR,Education,19.632,1996
Jordan,JOR,Education,5.521,1997
Jordan,JOR,Education,8.589,1998
Jordan,JOR,Education,32.515,1999
Jordan,JOR,Education,34.356,2000
Jordan,JOR,Education,0.000,2001
Jordan,JOR,Education,41.718,2002
Jordan,JOR,Education,53.988,2003
Jordan,JOR,Education,47.853,2004
Jordan,JOR,Education,49.693,2005
Jordan,JOR,Education,38.650,2006
Jordan,JOR,Education,45.399,2007
Jordan,JOR,Education,42.945,2008
Jordan,JOR,Education,6.135,2009
Jordan,JOR,Education,55.828,2010
Jordan,JOR,Education,47.239,2011
Jordan,JOR,Education,30.061,2012
Jordan,JOR,Education,31.288,2013
Jordan,JOR,Education,27.607,2014
Jordan,JOR,Education,9.816,2015
Jordan,JOR,Education,22.086,2016
Jordan,JOR,Education,62.577,2017
Jordan,JOR,Education,77.914,2018
Jordan,JOR,Education,25.767,2019
Jordan,JOR,Education,47.239,2020
Jordan,JOR,Education,25.767,2021
Jordan,JOR,Education,20.245,2022
Jordan,JOR,Education,35.583,2023
Jordan,JOR,Employment and Time Use,0.000,1960
Jordan,JOR,Employment and Time Use,5.109,1961
Jordan,JOR,Employment and Time Use,0.000,1962
Jordan,JOR,Employment and Time Use,0.000,1963
Jordan,JOR,Employment and Time Use,0.000,1964
Jordan,JOR,Employment and Time Use,0.000,1965
Jordan,JOR,Employment and Time Use,0.000,1966
Jordan,JOR,Employment and Time Use,0.000,1967
Jordan,JOR,Employment and Time Use,0.000,1968
Jordan,JOR,Employment and Time Use,0.000,1969
Jordan,JOR,Employment and Time Use,21.168,1970
Jordan,JOR,Employment and Time Use,21.168,1971
Jordan,JOR,Employment and Time Use,21.168,1972
