Country Name,Country Code,Topic,% of available indicators,Year
Japan,JPN,Assets,0.000,1960
Japan,JPN,Assets,0.000,1961
Japan,JPN,Assets,0.000,1962
Japan,JPN,Assets,0.000,1963
Japan,JPN,Assets,0.000,1964
Japan,JPN,Assets,0.000,1965
Japan,JPN,Assets,0.000,1966
Japan,JPN,Assets,0.000,1967
Japan,JPN,Assets,0.000,1968
Japan,JPN,Assets,0.000,1969
Japan,JPN,Assets,2.208,1970
Japan,JPN,Assets,2.208,1971
Japan,JPN,Assets,2.208,1972
Japan,JPN,Assets,2.208,1973
Japan,JPN,Assets,2.208,1974
Japan,JPN,Assets,2.208,1975
Japan,JPN,Assets,2.208,1976
Japan,JPN,Assets,2.208,1977
Japan,JPN,Assets,2.208,1978
Japan,JPN,Assets,2.208,1979
Japan,JPN,Assets,2.208,1980
Japan,JPN,Assets,2.208,1981
Japan,JPN,Assets,2.208,1982
Japan,JPN,Assets,2.208,1983
Japan,JPN,Assets,2.208,1984
Japan,JPN,Assets,2.208,1985
Japan,JPN,Assets,2.208,1986
Japan,JPN,Assets,2.208,1987
Japan,JPN,Assets,2.208,1988
Japan,JPN,Assets,2.208,1989
Japan,JPN,Assets,2.208,1990
Japan,JPN,Assets,2.208,1991
Japan,JPN,Assets,2.208,1992
Japan,JPN,Assets,2.208,1993
Japan,JPN,Assets,2.208,1994
Japan,JPN,Assets,2.208,1995
Japan,JPN,Assets,2.208,1996
Japan,JPN,Assets,2.208,1997
Japan,JPN,Assets,2.208,1998
Japan,JPN,Assets,2.208,1999
Japan,JPN,Assets,2.208,2000
Japan,JPN,Assets,2.208,2001
Japan,JPN,Assets,2.208,2002
Japan,JPN,Assets,2.208,2003
Japan,JPN,Assets,2.208,2004
Japan,JPN,Assets,2.208,2005
Japan,JPN,Assets,2.208,2006
Japan,JPN,Assets,2.208,2007
Japan,JPN,Assets,2.208,2008
Japan,JPN,Assets,2.208,2009
Japan,JPN,Assets,2.208,2010
Japan,JPN,Assets,10.726,2011
Japan,JPN,Assets,2.208,2012
Japan,JPN,Assets,2.208,2013
Japan,JPN,Assets,24.921,2014
Japan,JPN,Assets,2.208,2015
Japan,JPN,Assets,2.208,2016
Japan,JPN,Assets,26.814,2017
Japan,JPN,Assets,2.208,2018
Japan,JPN,Assets,2.208,2019
Japan,JPN,Assets,2.208,2020
Japan,JPN,Assets,51.104,2021
Japan,JPN,Assets,2.208,2022
Japan,JPN,Assets,2.208,2023
Japan,JPN,Children 0-14,19.231,1960
Japan,JPN,Children 0-14,19.231,1961
Japan,JPN,Children 0-14,19.231,1962
Japan,JPN,Children 0-14,19.231,1963
Japan,JPN,Children 0-14,19.231,1964
Japan,JPN,Children 0-14,19.231,1965
Japan,JPN,Children 0-14,19.231,1966
Japan,JPN,Children 0-14,19.231,1967
Japan,JPN,Children 0-14,19.231,1968
Japan,JPN,Children 0-14,19.231,1969
Japan,JPN,Children 0-14,19.231,1970
Japan,JPN,Children 0-14,32.308,1971
Japan,JPN,Children 0-14,33.846,1972
Japan,JPN,Children 0-14,32.308,1973
Japan,JPN,Children 0-14,32.308,1974
Japan,JPN,Children 0-14,32.308,1975
Japan,JPN,Children 0-14,32.308,1976
Japan,JPN,Children 0-14,30.769,1977
Japan,JPN,Children 0-14,32.308,1978
Japan,JPN,Children 0-14,33.846,1979
Japan,JPN,Children 0-14,33.846,1980
Japan,JPN,Children 0-14,33.846,1981
Japan,JPN,Children 0-14,33.846,1982
Japan,JPN,Children 0-14,33.846,1983
Japan,JPN,Children 0-14,33.846,1984
Japan,JPN,Children 0-14,33.846,1985
Japan,JPN,Children 0-14,33.846,1986
