Country Name,Country Code,Topic,% of available indicators,Year
Kazakhstan,KAZ,Assets,0.000,1960
Kazakhstan,KAZ,Assets,0.000,1961
Kazakhstan,KAZ,Assets,0.000,1962
Kazakhstan,KAZ,Assets,0.000,1963
Kazakhstan,KAZ,Assets,0.000,1964
Kazakhstan,KAZ,Assets,0.000,1965
Kazakhstan,KAZ,Assets,0.000,1966
Kazakhstan,KAZ,Assets,0.000,1967
Kazakhstan,KAZ,Assets,0.000,1968
Kazakhstan,KAZ,Assets,0.000,1969
Kazakhstan,KAZ,Assets,2.208,1970
Kazakhstan,KAZ,Assets,2.208,1971
Kazakhstan,KAZ,Assets,2.208,1972
Kazakhstan,KAZ,Assets,2.208,1973
Kazakhstan,KAZ,Assets,2.208,1974
Kazakhstan,KAZ,Assets,2.208,1975
Kazakhstan,KAZ,Assets,2.208,1976
Kazakhstan,KAZ,Assets,2.208,1977
Kazakhstan,KAZ,Assets,2.208,1978
Kazakhstan,KAZ,Assets,2.208,1979
Kazakhstan,KAZ,Assets,2.208,1980
Kazakhstan,KAZ,Assets,2.208,1981
Kazakhstan,KAZ,Assets,2.208,1982
Kazakhstan,KAZ,Assets,2.208,1983
Kazakhstan,KAZ,Assets,2.208,1984
Kazakhstan,KAZ,Assets,2.208,1985
Kazakhstan,KAZ,Assets,2.208,1986
Kazakhstan,KAZ,Assets,2.208,1987
Kazakhstan,KAZ,Assets,2.208,1988
Kazakhstan,KAZ,Assets,2.208,1989
Kazakhstan,KAZ,Assets,2.208,1990
Kazakhstan,KAZ,Assets,2.208,1991
Kazakhstan,KAZ,Assets,2.208,1992
Kazakhstan,KAZ,Assets,2.208,1993
Kazakhstan,KAZ,Assets,2.208,1994
Kazakhstan,KAZ,Assets,2.208,1995
Kazakhstan,KAZ,Assets,2.208,1996
Kazakhstan,KAZ,Assets,2.208,1997
Kazakhstan,KAZ,Assets,2.208,1998
Kazakhstan,KAZ,Assets,2.208,1999
Kazakhstan,KAZ,Assets,2.208,2000
Kazakhstan,KAZ,Assets,2.208,2001
Kazakhstan,KAZ,Assets,2.208,2002
Kazakhstan,KAZ,Assets,2.208,2003
Kazakhstan,KAZ,Assets,2.208,2004
Kazakhstan,KAZ,Assets,2.208,2005
Kazakhstan,KAZ,Assets,2.208,2006
Kazakhstan,KAZ,Assets,2.208,2007
Kazakhstan,KAZ,Assets,2.208,2008
Kazakhstan,KAZ,Assets,2.208,2009
Kazakhstan,KAZ,Assets,2.208,2010
Kazakhstan,KAZ,Assets,11.672,2011
Kazakhstan,KAZ,Assets,2.208,2012
Kazakhstan,KAZ,Assets,2.208,2013
Kazakhstan,KAZ,Assets,30.599,2014
Kazakhstan,KAZ,Assets,2.208,2015
Kazakhstan,KAZ,Assets,2.208,2016
Kazakhstan,KAZ,Assets,33.123,2017
Kazakhstan,KAZ,Assets,2.208,2018
Kazakhstan,KAZ,Assets,2.208,2019
Kazakhstan,KAZ,Assets,2.208,2020
Kazakhstan,KAZ,Assets,61.199,2021
Kazakhstan,KAZ,Assets,2.208,2022
Kazakhstan,KAZ,Assets,2.208,2023
Kazakhstan,KAZ,Children 0-14,10.769,1960
Kazakhstan,KAZ,Children 0-14,10.769,1961
Kazakhstan,KAZ,Children 0-14,10.769,1962
Kazakhstan,KAZ,Children 0-14,10.769,1963
Kazakhstan,KAZ,Children 0-14,10.769,1964
Kazakhstan,KAZ,Children 0-14,10.769,1965
Kazakhstan,KAZ,Children 0-14,10.769,1966
Kazakhstan,KAZ,Children 0-14,10.769,1967
Kazakhstan,KAZ,Children 0-14,10.769,1968
Kazakhstan,KAZ,Children 0-14,10.769,1969
Kazakhstan,KAZ,Children 0-14,10.769,1970
Kazakhstan,KAZ,Children 0-14,15.385,1971
Kazakhstan,KAZ,Children 0-14,17.692,1972
Kazakhstan,KAZ,Children 0-14,17.692,1973
Kazakhstan,KAZ,Children 0-14,17.692,1974
Kazakhstan,KAZ,Children 0-14,17.692,1975
Kazakhstan,KAZ,Children 0-14,19.231,1976
Kazakhstan,KAZ,Children 0-14,19.231,1977
Kazakhstan,KAZ,Children 0-14,19.231,1978
Kazakhstan,KAZ,Children 0-14,19.231,1979
Kazakhstan,KAZ,Children 0-14,19.231,1980
Kazakhstan,KAZ,Children 0-14,20.769,1981
Kazakhstan,KAZ,Children 0-14,19.231,1982
Kazakhstan,KAZ,Children 0-14,19.231,1983
Kazakhstan,KAZ,Children 0-14,19.231,1984
Kazakhstan,KAZ,Children 0-14,19.231,1985
Kazakhstan,KAZ,Children 0-14,20.769,1986
Kazakhstan,KAZ,Children 0-14,19.231,1987
Kazakhstan,KAZ,Children 0-14,19.231,1988
Kazakhstan,KAZ,Children 0-14,25.385,1989
Kazakhstan,KAZ,Children 0-14,25.385,1990
Kazakhstan,KAZ,Children 0-14,25.385,1991
Kazakhstan,KAZ,Children 0-14,26.923,1992
Kazakhstan,KAZ,Children 0-14,26.923,1993
Kazakhstan,KAZ,Children 0-14,30.769,1994
Kazakhstan,KAZ,Children 0-14,38.462,1995
Kazakhstan,KAZ,Children 0-14,29.231,1996
Kazakhstan,KAZ,Children 0-14,29.231,1997
Kazakhstan,KAZ,Children 0-14,28.462,1998
Kazakhstan,KAZ,Children 0-14,43.846,1999
Kazakhstan,KAZ,Children 0-14,56.154,2000
Kazakhstan,KAZ,Children 0-14,37.692,2001
Kazakhstan,KAZ,Children 0-14,40.769,2002
Kazakhstan,KAZ,Children 0-14,37.692,2003
Kazakhstan,KAZ,Children 0-14,40.000,2004
Kazakhstan,KAZ,Children 0-14,40.000,2005
Kazakhstan,KAZ,Children 0-14,56.923,2006
Kazakhstan,KAZ,Children 0-14,46.923,2007
Kazakhstan,KAZ,Children 0-14,39.231,2008
Kazakhstan,KAZ,Children 0-14,43.846,2009
Kazakhstan,KAZ,Children 0-14,69.231,2010
Kazakhstan,KAZ,Children 0-14,40.000,2011
Kazakhstan,KAZ,Children 0-14,39.231,2012
Kazakhstan,KAZ,Children 0-14,39.231,2013
Kazakhstan,KAZ,Children 0-14,39.231,2014
Kazakhstan,KAZ,Children 0-14,71.538,2015
Kazakhstan,KAZ,Children 0-14,45.385,2016
Kazakhstan,KAZ,Children 0-14,46.154,2017
Kazakhstan,KAZ,Children 0-14,49.231,2018
Kazakhstan,KAZ,Children 0-14,60.000,2019
Kazakhstan,KAZ,Children 0-14,38.462,2020
Kazakhstan,KAZ,Children 0-14,33.077,2021
Kazakhstan,KAZ,Children 0-14,30.769,2022
Kazakhstan,KAZ,Children 0-14,19.231,2023
Kazakhstan,KAZ,Education,0.000,1960
Kazakhstan,KAZ,Education,0.000,1961
Kazakhstan,KAZ,Education,0.000,1962
Kazakhstan,KAZ,Education,0.000,1963
Kazakhstan,KAZ,Education,0.000,1964
Kazakhstan,KAZ,Education,0.000,1965
Kazakhstan,KAZ,Education,0.000,1966
Kazakhstan,KAZ,Education,0.000,1967
Kazakhstan,KAZ,Education,0.000,1968
Kazakhstan,KAZ,Education,0.000,1969
Kazakhstan,KAZ,Education,0.000,1970
Kazakhstan,KAZ,Education,0.000,1971
Kazakhstan,KAZ,Education,0.000,1972
Kazakhstan,KAZ,Education,0.000,1973
Kazakhstan,KAZ,Education,0.000,1974
Kazakhstan,KAZ,Education,0.000,1975
Kazakhstan,KAZ,Education,0.000,1976
Kazakhstan,KAZ,Education,0.000,1977
Kazakhstan,KAZ,Education,0.000,1978
Kazakhstan,KAZ,Education,0.000,1979
Kazakhstan,KAZ,Education,0.000,1980
Kazakhstan,KAZ,Education,4.294,1981
Kazakhstan,KAZ,Education,0.000,1982
Kazakhstan,KAZ,Education,0.000,1983
Kazakhstan,KAZ,Education,0.000,1984
Kazakhstan,KAZ,Education,0.000,1985
Kazakhstan,KAZ,Education,4.908,1986
Kazakhstan,KAZ,Education,0.000,1987
Kazakhstan,KAZ,Education,0.613,1988
Kazakhstan,KAZ,Education,17.178,1989
Kazakhstan,KAZ,Education,8.589,1990
Kazakhstan,KAZ,Education,8.589,1991
Kazakhstan,KAZ,Education,8.589,1992
Kazakhstan,KAZ,Education,10.429,1993
Kazakhstan,KAZ,Education,13.497,1994
Kazakhstan,KAZ,Education,11.043,1995
Kazakhstan,KAZ,Education,9.202,1996
Kazakhstan,KAZ,Education,15.337,1997
Kazakhstan,KAZ,Education,18.405,1998
Kazakhstan,KAZ,Education,38.037,1999
Kazakhstan,KAZ,Education,41.104,2000
Kazakhstan,KAZ,Education,19.018,2001
Kazakhstan,KAZ,Education,21.472,2002
Kazakhstan,KAZ,Education,19.018,2003
Kazakhstan,KAZ,Education,20.859,2004
Kazakhstan,KAZ,Education,20.859,2005
Kazakhstan,KAZ,Education,41.718,2006
Kazakhstan,KAZ,Education,30.061,2007
Kazakhstan,KAZ,Education,18.405,2008
Kazakhstan,KAZ,Education,39.877,2009
Kazakhstan,KAZ,Education,54.601,2010
Kazakhstan,KAZ,Education,36.810,2011
Kazakhstan,KAZ,Education,35.583,2012
Kazakhstan,KAZ,Education,39.877,2013
Kazakhstan,KAZ,Education,44.785,2014
Kazakhstan,KAZ,Education,50.920,2015
Kazakhstan,KAZ,Education,51.534,2016
Kazakhstan,KAZ,Education,58.896,2017
Kazakhstan,KAZ,Education,73.006,2018
