Country Name,Country Code,Topic,% of available indicators,Year
Kenya,KEN,Assets,0.000,1960
Kenya,KEN,Assets,0.000,1961
Kenya,KEN,Assets,0.000,1962
Kenya,KEN,Assets,0.000,1963
Kenya,KEN,Assets,0.000,1964
Kenya,KEN,Assets,0.000,1965
Kenya,KEN,Assets,0.000,1966
Kenya,KEN,Assets,0.000,1967
Kenya,KEN,Assets,0.000,1968
Kenya,KEN,Assets,0.000,1969
Kenya,KEN,Assets,2.208,1970
Kenya,KEN,Assets,2.208,1971
Kenya,KEN,Assets,2.208,1972
Kenya,KEN,Assets,2.208,1973
Kenya,KEN,Assets,2.208,1974
Kenya,KEN,Assets,2.208,1975
Kenya,KEN,Assets,2.208,1976
Kenya,KEN,Assets,2.208,1977
Kenya,KEN,Assets,2.208,1978
Kenya,KEN,Assets,2.208,1979
Kenya,KEN,Assets,2.208,1980
Kenya,KEN,Assets,2.208,1981
Kenya,KEN,Assets,2.208,1982
Kenya,KEN,Assets,2.208,1983
Kenya,KEN,Assets,2.208,1984
Kenya,KEN,Assets,2.208,1985
Kenya,KEN,Assets,2.208,1986
Kenya,KEN,Assets,2.208,1987
Kenya,KEN,Assets,2.208,1988
Kenya,KEN,Assets,2.208,1989
Kenya,KEN,Assets,2.208,1990
Kenya,KEN,Assets,2.208,1991
Kenya,KEN,Assets,2.208,1992
Kenya,KEN,Assets,2.208,1993
Kenya,KEN,Assets,2.208,1994
Kenya,KEN,Assets,2.208,1995
Kenya,KEN,Assets,2.208,1996
Kenya,KEN,Assets,2.208,1997
Kenya,KEN,Assets,2.208,1998
Kenya,KEN,Assets,2.208,1999
Kenya,KEN,Assets,2.208,2000
Kenya,KEN,Assets,2.208,2001
Kenya,KEN,Assets,2.208,2002
Kenya,KEN,Assets,2.208,2003
Kenya,KEN,Assets,2.208,2004
Kenya,KEN,Assets,2.208,2005
Kenya,KEN,Assets,2.208,2006
Kenya,KEN,Assets,2.208,2007
Kenya,KEN,Assets,2.208,2008
Kenya,KEN,Assets,2.208,2009
Kenya,KEN,Assets,2.208,2010
Kenya,KEN,Assets,11.672,2011
Kenya,KEN,Assets,2.208,2012
Kenya,KEN,Assets,2.208,2013
Kenya,KEN,Assets,61.830,2014
Kenya,KEN,Assets,2.208,2015
Kenya,KEN,Assets,2.208,2016
Kenya,KEN,Assets,34.069,2017
Kenya,KEN,Assets,2.208,2018
Kenya,KEN,Assets,2.208,2019
Kenya,KEN,Assets,2.208,2020
Kenya,KEN,Assets,63.091,2021
Kenya,KEN,Assets,32.492,2022
Kenya,KEN,Assets,2.208,2023
Kenya,KEN,Children 0-14,19.231,1960
Kenya,KEN,Children 0-14,19.231,1961
Kenya,KEN,Children 0-14,19.231,1962
Kenya,KEN,Children 0-14,19.231,1963
Kenya,KEN,Children 0-14,19.231,1964
Kenya,KEN,Children 0-14,19.231,1965
Kenya,KEN,Children 0-14,19.231,1966
Kenya,KEN,Children 0-14,19.231,1967
Kenya,KEN,Children 0-14,19.231,1968
Kenya,KEN,Children 0-14,19.231,1969
Kenya,KEN,Children 0-14,27.692,1970
Kenya,KEN,Children 0-14,30.000,1971
Kenya,KEN,Children 0-14,30.000,1972
Kenya,KEN,Children 0-14,26.154,1973
Kenya,KEN,Children 0-14,23.077,1974
Kenya,KEN,Children 0-14,24.615,1975
Kenya,KEN,Children 0-14,26.154,1976
Kenya,KEN,Children 0-14,27.692,1977
Kenya,KEN,Children 0-14,26.154,1978
Kenya,KEN,Children 0-14,28.462,1979
Kenya,KEN,Children 0-14,27.692,1980
Kenya,KEN,Children 0-14,26.154,1981
Kenya,KEN,Children 0-14,23.077,1982
Kenya,KEN,Children 0-14,25.385,1983
Kenya,KEN,Children 0-14,24.615,1984
Kenya,KEN,Children 0-14,26.923,1985
Kenya,KEN,Children 0-14,26.923,1986
Kenya,KEN,Children 0-14,28.462,1987
Kenya,KEN,Children 0-14,24.615,1988
Kenya,KEN,Children 0-14,25.385,1989
Kenya,KEN,Children 0-14,26.923,1990
Kenya,KEN,Children 0-14,25.385,1991
Kenya,KEN,Children 0-14,25.385,1992
Kenya,KEN,Children 0-14,40.769,1993
Kenya,KEN,Children 0-14,38.462,1994
Kenya,KEN,Children 0-14,26.923,1995
Kenya,KEN,Children 0-14,23.077,1996
Kenya,KEN,Children 0-14,23.077,1997
Kenya,KEN,Children 0-14,40.000,1998
Kenya,KEN,Children 0-14,40.000,1999
Kenya,KEN,Children 0-14,62.308,2000
Kenya,KEN,Children 0-14,34.615,2001
Kenya,KEN,Children 0-14,34.615,2002
Kenya,KEN,Children 0-14,51.538,2003
Kenya,KEN,Children 0-14,39.231,2004
Kenya,KEN,Children 0-14,49.231,2005
Kenya,KEN,Children 0-14,34.615,2006
Kenya,KEN,Children 0-14,34.615,2007
Kenya,KEN,Children 0-14,46.154,2008
Kenya,KEN,Children 0-14,49.231,2009
Kenya,KEN,Children 0-14,43.846,2010
Kenya,KEN,Children 0-14,25.385,2011
Kenya,KEN,Children 0-14,34.615,2012
Kenya,KEN,Children 0-14,20.769,2013
Kenya,KEN,Children 0-14,51.538,2014
Kenya,KEN,Children 0-14,48.462,2015
Kenya,KEN,Children 0-14,50.769,2016
Kenya,KEN,Children 0-14,26.154,2017
Kenya,KEN,Children 0-14,26.154,2018
Kenya,KEN,Children 0-14,44.615,2019
Kenya,KEN,Children 0-14,30.000,2020
