Country Name,Country Code,Topic,% of available indicators,Year
Kyrgyz Republic,KGZ,Assets,0.000,1960
Kyrgyz Republic,KGZ,Assets,0.000,1961
Kyrgyz Republic,KGZ,Assets,0.000,1962
Kyrgyz Republic,KGZ,Assets,0.000,1963
Kyrgyz Republic,KGZ,Assets,0.000,1964
Kyrgyz Republic,KGZ,Assets,0.000,1965
Kyrgyz Republic,KGZ,Assets,0.000,1966
Kyrgyz Republic,KGZ,Assets,0.000,1967
Kyrgyz Republic,KGZ,Assets,0.000,1968
Kyrgyz Republic,KGZ,Assets,0.000,1969
Kyrgyz Republic,KGZ,Assets,2.208,1970
Kyrgyz Republic,KGZ,Assets,2.208,1971
Kyrgyz Republic,KGZ,Assets,2.208,1972
Kyrgyz Republic,KGZ,Assets,2.208,1973
Kyrgyz Republic,KGZ,Assets,2.208,1974
Kyrgyz Republic,KGZ,Assets,2.208,1975
Kyrgyz Republic,KGZ,Assets,2.208,1976
Kyrgyz Republic,KGZ,Assets,2.208,1977
Kyrgyz Republic,KGZ,Assets,2.208,1978
Kyrgyz Republic,KGZ,Assets,2.208,1979
Kyrgyz Republic,KGZ,Assets,2.208,1980
Kyrgyz Republic,KGZ,Assets,2.208,1981
Kyrgyz Republic,KGZ,Assets,2.208,1982
Kyrgyz Republic,KGZ,Assets,2.208,1983
Kyrgyz Republic,KGZ,Assets,2.208,1984
Kyrgyz Republic,KGZ,Assets,2.208,1985
Kyrgyz Republic,KGZ,Assets,2.208,1986
Kyrgyz Republic,KGZ,Assets,2.208,1987
Kyrgyz Republic,KGZ,Assets,2.208,1988
Kyrgyz Republic,KGZ,Assets,2.208,1989
Kyrgyz Republic,KGZ,Assets,2.208,1990
Kyrgyz Republic,KGZ,Assets,2.208,1991
Kyrgyz Republic,KGZ,Assets,2.208,1992
Kyrgyz Republic,KGZ,Assets,2.208,1993
Kyrgyz Republic,KGZ,Assets,2.208,1994
Kyrgyz Republic,KGZ,Assets,2.208,1995
Kyrgyz Republic,KGZ,Assets,2.208,1996
Kyrgyz Republic,KGZ,Assets,2.208,1997
Kyrgyz Republic,KGZ,Assets,2.208,1998
Kyrgyz Republic,KGZ,Assets,2.208,1999
Kyrgyz Republic,KGZ,Assets,2.208,2000
Kyrgyz Republic,KGZ,Assets,2.208,2001
Kyrgyz Republic,KGZ,Assets,2.208,2002
Kyrgyz Republic,KGZ,Assets,2.208,2003
Kyrgyz Republic,KGZ,Assets,2.208,2004
Kyrgyz Republic,KGZ,Assets,2.208,2005
Kyrgyz Republic,KGZ,Assets,2.208,2006
Kyrgyz Republic,KGZ,Assets,2.208,2007
Kyrgyz Republic,KGZ,Assets,2.208,2008
Kyrgyz Republic,KGZ,Assets,2.208,2009
Kyrgyz Republic,KGZ,Assets,2.208,2010
Kyrgyz Republic,KGZ,Assets,11.672,2011
Kyrgyz Republic,KGZ,Assets,32.492,2012
Kyrgyz Republic,KGZ,Assets,2.208,2013
Kyrgyz Republic,KGZ,Assets,30.599,2014
Kyrgyz Republic,KGZ,Assets,2.208,2015
Kyrgyz Republic,KGZ,Assets,2.208,2016
Kyrgyz Republic,KGZ,Assets,34.069,2017
Kyrgyz Republic,KGZ,Assets,2.208,2018
Kyrgyz Republic,KGZ,Assets,2.208,2019
Kyrgyz Republic,KGZ,Assets,2.208,2020
Kyrgyz Republic,KGZ,Assets,63.091,2021
Kyrgyz Republic,KGZ,Assets,2.208,2022
Kyrgyz Republic,KGZ,Assets,2.208,2023
Kyrgyz Republic,KGZ,Children 0-14,10.769,1960
Kyrgyz Republic,KGZ,Children 0-14,10.769,1961
Kyrgyz Republic,KGZ,Children 0-14,10.769,1962
Kyrgyz Republic,KGZ,Children 0-14,10.769,1963
Kyrgyz Republic,KGZ,Children 0-14,10.769,1964
Kyrgyz Republic,KGZ,Children 0-14,10.769,1965
Kyrgyz Republic,KGZ,Children 0-14,10.769,1966
Kyrgyz Republic,KGZ,Children 0-14,10.769,1967
Kyrgyz Republic,KGZ,Children 0-14,10.769,1968
Kyrgyz Republic,KGZ,Children 0-14,10.769,1969
Kyrgyz Republic,KGZ,Children 0-14,10.769,1970
Kyrgyz Republic,KGZ,Children 0-14,10.769,1971
Kyrgyz Republic,KGZ,Children 0-14,10.769,1972
Kyrgyz Republic,KGZ,Children 0-14,10.769,1973
Kyrgyz Republic,KGZ,Children 0-14,10.769,1974
Kyrgyz Republic,KGZ,Children 0-14,15.385,1975
Kyrgyz Republic,KGZ,Children 0-14,17.692,1976
Kyrgyz Republic,KGZ,Children 0-14,17.692,1977
Kyrgyz Republic,KGZ,Children 0-14,17.692,1978
Kyrgyz Republic,KGZ,Children 0-14,17.692,1979
Kyrgyz Republic,KGZ,Children 0-14,19.231,1980
Kyrgyz Republic,KGZ,Children 0-14,23.077,1981
Kyrgyz Republic,KGZ,Children 0-14,19.231,1982
Kyrgyz Republic,KGZ,Children 0-14,19.231,1983
Kyrgyz Republic,KGZ,Children 0-14,19.231,1984
Kyrgyz Republic,KGZ,Children 0-14,19.231,1985
Kyrgyz Republic,KGZ,Children 0-14,25.385,1986
Kyrgyz Republic,KGZ,Children 0-14,19.231,1987
Kyrgyz Republic,KGZ,Children 0-14,19.231,1988
Kyrgyz Republic,KGZ,Children 0-14,25.385,1989
Kyrgyz Republic,KGZ,Children 0-14,25.385,1990
Kyrgyz Republic,KGZ,Children 0-14,22.308,1991
Kyrgyz Republic,KGZ,Children 0-14,26.923,1992
Kyrgyz Republic,KGZ,Children 0-14,26.923,1993
Kyrgyz Republic,KGZ,Children 0-14,26.923,1994
Kyrgyz Republic,KGZ,Children 0-14,29.231,1995
Kyrgyz Republic,KGZ,Children 0-14,33.846,1996
Kyrgyz Republic,KGZ,Children 0-14,33.846,1997
Kyrgyz Republic,KGZ,Children 0-14,27.692,1998
Kyrgyz Republic,KGZ,Children 0-14,44.615,1999
Kyrgyz Republic,KGZ,Children 0-14,53.846,2000
Kyrgyz Republic,KGZ,Children 0-14,42.308,2001
Kyrgyz Republic,KGZ,Children 0-14,42.308,2002
Kyrgyz Republic,KGZ,Children 0-14,42.308,2003
Kyrgyz Republic,KGZ,Children 0-14,44.615,2004
Kyrgyz Republic,KGZ,Children 0-14,44.615,2005
Kyrgyz Republic,KGZ,Children 0-14,56.923,2006
Kyrgyz Republic,KGZ,Children 0-14,46.923,2007
Kyrgyz Republic,KGZ,Children 0-14,44.615,2008
Kyrgyz Republic,KGZ,Children 0-14,54.615,2009
Kyrgyz Republic,KGZ,Children 0-14,63.077,2010
Kyrgyz Republic,KGZ,Children 0-14,44.615,2011
Kyrgyz Republic,KGZ,Children 0-14,63.846,2012
Kyrgyz Republic,KGZ,Children 0-14,41.538,2013
Kyrgyz Republic,KGZ,Children 0-14,62.308,2014
Kyrgyz Republic,KGZ,Children 0-14,60.000,2015
Kyrgyz Republic,KGZ,Children 0-14,46.154,2016
Kyrgyz Republic,KGZ,Children 0-14,50.769,2017
Kyrgyz Republic,KGZ,Children 0-14,62.308,2018
Kyrgyz Republic,KGZ,Children 0-14,47.692,2019
Kyrgyz Republic,KGZ,Children 0-14,38.462,2020
Kyrgyz Republic,KGZ,Children 0-14,40.769,2021
Kyrgyz Republic,KGZ,Children 0-14,30.769,2022
Kyrgyz Republic,KGZ,Children 0-14,16.923,2023
Kyrgyz Republic,KGZ,Education,0.000,1960
Kyrgyz Republic,KGZ,Education,0.000,1961
Kyrgyz Republic,KGZ,Education,0.000,1962
Kyrgyz Republic,KGZ,Education,0.000,1963
Kyrgyz Republic,KGZ,Education,0.000,1964
Kyrgyz Republic,KGZ,Education,0.000,1965
Kyrgyz Republic,KGZ,Education,0.000,1966
Kyrgyz Republic,KGZ,Education,0.000,1967
Kyrgyz Republic,KGZ,Education,0.000,1968
Kyrgyz Republic,KGZ,Education,0.000,1969
Kyrgyz Republic,KGZ,Education,0.000,1970
Kyrgyz Republic,KGZ,Education,0.000,1971
Kyrgyz Republic,KGZ,Education,0.000,1972
Kyrgyz Republic,KGZ,Education,0.000,1973
Kyrgyz Republic,KGZ,Education,0.000,1974
Kyrgyz Republic,KGZ,Education,0.000,1975
Kyrgyz Republic,KGZ,Education,0.000,1976
