Country Name,Country Code,Topic,% of available indicators,Year
Cambodia,KHM,Assets,0.000,1960
Cambodia,KHM,Assets,0.000,1961
Cambodia,KHM,Assets,0.000,1962
Cambodia,KHM,Assets,0.000,1963
Cambodia,KHM,Assets,0.000,1964
Cambodia,KHM,Assets,0.000,1965
Cambodia,KHM,Assets,0.000,1966
Cambodia,KHM,Assets,0.000,1967
Cambodia,KHM,Assets,0.000,1968
Cambodia,KHM,Assets,0.000,1969
Cambodia,KHM,Assets,2.208,1970
Cambodia,KHM,Assets,2.208,1971
Cambodia,KHM,Assets,2.208,1972
Cambodia,KHM,Assets,2.208,1973
Cambodia,KHM,Assets,2.208,1974
Cambodia,KHM,Assets,2.208,1975
Cambodia,KHM,Assets,2.208,1976
Cambodia,KHM,Assets,2.208,1977
Cambodia,KHM,Assets,2.208,1978
Cambodia,KHM,Assets,2.208,1979
Cambodia,KHM,Assets,2.208,1980
Cambodia,KHM,Assets,2.208,1981
Cambodia,KHM,Assets,2.208,1982
Cambodia,KHM,Assets,2.208,1983
Cambodia,KHM,Assets,2.208,1984
Cambodia,KHM,Assets,2.208,1985
Cambodia,KHM,Assets,2.208,1986
Cambodia,KHM,Assets,2.208,1987
Cambodia,KHM,Assets,2.208,1988
Cambodia,KHM,Assets,2.208,1989
Cambodia,KHM,Assets,2.208,1990
Cambodia,KHM,Assets,2.208,1991
Cambodia,KHM,Assets,2.208,1992
Cambodia,KHM,Assets,2.208,1993
Cambodia,KHM,Assets,2.208,1994
Cambodia,KHM,Assets,2.208,1995
Cambodia,KHM,Assets,2.208,1996
Cambodia,KHM,Assets,2.208,1997
Cambodia,KHM,Assets,2.208,1998
Cambodia,KHM,Assets,2.208,1999
Cambodia,KHM,Assets,2.208,2000
Cambodia,KHM,Assets,2.208,2001
Cambodia,KHM,Assets,2.208,2002
Cambodia,KHM,Assets,2.208,2003
Cambodia,KHM,Assets,2.208,2004
Cambodia,KHM,Assets,2.208,2005
Cambodia,KHM,Assets,2.208,2006
Cambodia,KHM,Assets,2.208,2007
Cambodia,KHM,Assets,2.208,2008
Cambodia,KHM,Assets,2.208,2009
Cambodia,KHM,Assets,2.208,2010
Cambodia,KHM,Assets,11.672,2011
Cambodia,KHM,Assets,2.208,2012
Cambodia,KHM,Assets,2.208,2013
Cambodia,KHM,Assets,61.830,2014
Cambodia,KHM,Assets,2.208,2015
Cambodia,KHM,Assets,2.208,2016
Cambodia,KHM,Assets,34.069,2017
Cambodia,KHM,Assets,2.208,2018
Cambodia,KHM,Assets,2.208,2019
Cambodia,KHM,Assets,2.208,2020
Cambodia,KHM,Assets,63.091,2021
Cambodia,KHM,Assets,32.492,2022
Cambodia,KHM,Assets,2.208,2023
Cambodia,KHM,Children 0-14,10.769,1960
Cambodia,KHM,Children 0-14,10.769,1961
Cambodia,KHM,Children 0-14,10.769,1962
Cambodia,KHM,Children 0-14,10.769,1963
Cambodia,KHM,Children 0-14,10.769,1964
Cambodia,KHM,Children 0-14,10.769,1965
Cambodia,KHM,Children 0-14,10.769,1966
Cambodia,KHM,Children 0-14,10.769,1967
Cambodia,KHM,Children 0-14,10.769,1968
Cambodia,KHM,Children 0-14,10.769,1969
Cambodia,KHM,Children 0-14,10.769,1970
Cambodia,KHM,Children 0-14,14.615,1971
Cambodia,KHM,Children 0-14,14.615,1972
Cambodia,KHM,Children 0-14,14.615,1973
Cambodia,KHM,Children 0-14,10.769,1974
Cambodia,KHM,Children 0-14,10.769,1975
Cambodia,KHM,Children 0-14,10.769,1976
Cambodia,KHM,Children 0-14,10.769,1977
Cambodia,KHM,Children 0-14,15.385,1978
Cambodia,KHM,Children 0-14,17.692,1979
Cambodia,KHM,Children 0-14,17.692,1980
Cambodia,KHM,Children 0-14,19.231,1981
Cambodia,KHM,Children 0-14,19.231,1982
Cambodia,KHM,Children 0-14,20.769,1983
Cambodia,KHM,Children 0-14,22.308,1984
Cambodia,KHM,Children 0-14,22.308,1985
Cambodia,KHM,Children 0-14,25.385,1986
Cambodia,KHM,Children 0-14,25.385,1987
Cambodia,KHM,Children 0-14,25.385,1988
Cambodia,KHM,Children 0-14,25.385,1989
Cambodia,KHM,Children 0-14,22.308,1990
Cambodia,KHM,Children 0-14,23.846,1991
Cambodia,KHM,Children 0-14,20.769,1992
Cambodia,KHM,Children 0-14,20.769,1993
Cambodia,KHM,Children 0-14,29.231,1994
Cambodia,KHM,Children 0-14,27.692,1995
Cambodia,KHM,Children 0-14,32.308,1996
Cambodia,KHM,Children 0-14,41.538,1997
Cambodia,KHM,Children 0-14,39.231,1998
Cambodia,KHM,Children 0-14,42.308,1999
Cambodia,KHM,Children 0-14,64.615,2000
Cambodia,KHM,Children 0-14,38.462,2001
Cambodia,KHM,Children 0-14,36.154,2002
Cambodia,KHM,Children 0-14,35.385,2003
Cambodia,KHM,Children 0-14,38.462,2004
Cambodia,KHM,Children 0-14,53.077,2005
Cambodia,KHM,Children 0-14,44.615,2006
Cambodia,KHM,Children 0-14,49.231,2007
Cambodia,KHM,Children 0-14,59.231,2008
