Country Name,Country Code,Topic,% of available indicators,Year
Kiribati,KIR,Assets,0.000,1960
Kiribati,KIR,Assets,0.000,1961
Kiribati,KIR,Assets,0.000,1962
Kiribati,KIR,Assets,0.000,1963
Kiribati,KIR,Assets,0.000,1964
Kiribati,KIR,Assets,0.000,1965
Kiribati,KIR,Assets,0.000,1966
Kiribati,KIR,Assets,0.000,1967
Kiribati,KIR,Assets,0.000,1968
Kiribati,KIR,Assets,0.000,1969
Kiribati,KIR,Assets,2.208,1970
Kiribati,KIR,Assets,2.208,1971
Kiribati,KIR,Assets,2.208,1972
Kiribati,KIR,Assets,2.208,1973
Kiribati,KIR,Assets,2.208,1974
Kiribati,KIR,Assets,2.208,1975
Kiribati,KIR,Assets,2.208,1976
Kiribati,KIR,Assets,2.208,1977
Kiribati,KIR,Assets,2.208,1978
Kiribati,KIR,Assets,2.208,1979
Kiribati,KIR,Assets,2.208,1980
Kiribati,KIR,Assets,2.208,1981
Kiribati,KIR,Assets,2.208,1982
Kiribati,KIR,Assets,2.208,1983
Kiribati,KIR,Assets,2.208,1984
Kiribati,KIR,Assets,2.208,1985
Kiribati,KIR,Assets,2.208,1986
Kiribati,KIR,Assets,2.208,1987
Kiribati,KIR,Assets,2.208,1988
Kiribati,KIR,Assets,2.208,1989
Kiribati,KIR,Assets,2.208,1990
Kiribati,KIR,Assets,2.208,1991
Kiribati,KIR,Assets,2.208,1992
Kiribati,KIR,Assets,2.208,1993
Kiribati,KIR,Assets,2.208,1994
Kiribati,KIR,Assets,2.208,1995
Kiribati,KIR,Assets,2.208,1996
Kiribati,KIR,Assets,2.208,1997
Kiribati,KIR,Assets,2.208,1998
Kiribati,KIR,Assets,2.208,1999
Kiribati,KIR,Assets,2.208,2000
Kiribati,KIR,Assets,2.208,2001
Kiribati,KIR,Assets,2.208,2002
Kiribati,KIR,Assets,2.208,2003
Kiribati,KIR,Assets,2.208,2004
Kiribati,KIR,Assets,2.208,2005
Kiribati,KIR,Assets,2.208,2006
Kiribati,KIR,Assets,2.208,2007
Kiribati,KIR,Assets,2.208,2008
Kiribati,KIR,Assets,2.208,2009
Kiribati,KIR,Assets,2.208,2010
Kiribati,KIR,Assets,2.208,2011
Kiribati,KIR,Assets,2.208,2012
Kiribati,KIR,Assets,2.208,2013
Kiribati,KIR,Assets,2.208,2014
Kiribati,KIR,Assets,2.208,2015
Kiribati,KIR,Assets,2.208,2016
Kiribati,KIR,Assets,2.208,2017
Kiribati,KIR,Assets,2.208,2018
Kiribati,KIR,Assets,2.208,2019
Kiribati,KIR,Assets,2.208,2020
Kiribati,KIR,Assets,2.208,2021
Kiribati,KIR,Assets,2.208,2022
Kiribati,KIR,Assets,2.208,2023
Kiribati,KIR,Children 0-14,19.231,1960
Kiribati,KIR,Children 0-14,19.231,1961
Kiribati,KIR,Children 0-14,19.231,1962
Kiribati,KIR,Children 0-14,19.231,1963
Kiribati,KIR,Children 0-14,19.231,1964
Kiribati,KIR,Children 0-14,19.231,1965
Kiribati,KIR,Children 0-14,19.231,1966
Kiribati,KIR,Children 0-14,19.231,1967
Kiribati,KIR,Children 0-14,19.231,1968
Kiribati,KIR,Children 0-14,19.231,1969
Kiribati,KIR,Children 0-14,19.231,1970
Kiribati,KIR,Children 0-14,23.077,1971
Kiribati,KIR,Children 0-14,23.077,1972
Kiribati,KIR,Children 0-14,23.077,1973
Kiribati,KIR,Children 0-14,19.231,1974
Kiribati,KIR,Children 0-14,20.000,1975
Kiribati,KIR,Children 0-14,20.000,1976
Kiribati,KIR,Children 0-14,26.154,1977
Kiribati,KIR,Children 0-14,30.000,1978
Kiribati,KIR,Children 0-14,33.077,1979
Kiribati,KIR,Children 0-14,30.769,1980
Kiribati,KIR,Children 0-14,33.846,1981
Kiribati,KIR,Children 0-14,32.308,1982
Kiribati,KIR,Children 0-14,36.154,1983
Kiribati,KIR,Children 0-14,34.615,1984
Kiribati,KIR,Children 0-14,38.462,1985
Kiribati,KIR,Children 0-14,37.692,1986
Kiribati,KIR,Children 0-14,35.385,1987
Kiribati,KIR,Children 0-14,27.692,1988
Kiribati,KIR,Children 0-14,37.692,1989
Kiribati,KIR,Children 0-14,30.000,1990
Kiribati,KIR,Children 0-14,33.077,1991
Kiribati,KIR,Children 0-14,34.615,1992
Kiribati,KIR,Children 0-14,32.308,1993
Kiribati,KIR,Children 0-14,30.769,1994
Kiribati,KIR,Children 0-14,30.769,1995
Kiribati,KIR,Children 0-14,30.769,1996
Kiribati,KIR,Children 0-14,32.308,1997
Kiribati,KIR,Children 0-14,24.615,1998
Kiribati,KIR,Children 0-14,27.692,1999
Kiribati,KIR,Children 0-14,43.077,2000
Kiribati,KIR,Children 0-14,29.231,2001
Kiribati,KIR,Children 0-14,28.462,2002
Kiribati,KIR,Children 0-14,30.000,2003
Kiribati,KIR,Children 0-14,27.692,2004
Kiribati,KIR,Children 0-14,29.231,2005
Kiribati,KIR,Children 0-14,27.692,2006
Kiribati,KIR,Children 0-14,27.692,2007
