Country Name,Country Code,Topic,% of available indicators,Year
St. Kitts and Nevis,KNA,Assets,0.000,1960
St. Kitts and Nevis,KNA,Assets,0.000,1961
St. Kitts and Nevis,KNA,Assets,0.000,1962
St. Kitts and Nevis,KNA,Assets,0.000,1963
St. Kitts and Nevis,KNA,Assets,0.000,1964
St. Kitts and Nevis,KNA,Assets,0.000,1965
St. Kitts and Nevis,KNA,Assets,0.000,1966
St. Kitts and Nevis,KNA,Assets,0.000,1967
St. Kitts and Nevis,KNA,Assets,0.000,1968
St. Kitts and Nevis,KNA,Assets,0.000,1969
St. Kitts and Nevis,KNA,Assets,2.208,1970
St. Kitts and Nevis,KNA,Assets,2.208,1971
St. Kitts and Nevis,KNA,Assets,2.208,1972
St. Kitts and Nevis,KNA,Assets,2.208,1973
St. Kitts and Nevis,KNA,Assets,2.208,1974
St. Kitts and Nevis,KNA,Assets,2.208,1975
St. Kitts and Nevis,KNA,Assets,2.208,1976
St. Kitts and Nevis,KNA,Assets,2.208,1977
St. Kitts and Nevis,KNA,Assets,2.208,1978
St. Kitts and Nevis,KNA,Assets,2.208,1979
St. Kitts and Nevis,KNA,Assets,2.208,1980
St. Kitts and Nevis,KNA,Assets,2.208,1981
St. Kitts and Nevis,KNA,Assets,2.208,1982
St. Kitts and Nevis,KNA,Assets,2.208,1983
St. Kitts and Nevis,KNA,Assets,2.208,1984
St. Kitts and Nevis,KNA,Assets,2.208,1985
St. Kitts and Nevis,KNA,Assets,2.208,1986
St. Kitts and Nevis,KNA,Assets,2.208,1987
St. Kitts and Nevis,KNA,Assets,2.208,1988
St. Kitts and Nevis,KNA,Assets,2.208,1989
St. Kitts and Nevis,KNA,Assets,2.208,1990
St. Kitts and Nevis,KNA,Assets,2.208,1991
St. Kitts and Nevis,KNA,Assets,2.208,1992
St. Kitts and Nevis,KNA,Assets,2.208,1993
St. Kitts and Nevis,KNA,Assets,2.208,1994
St. Kitts and Nevis,KNA,Assets,2.208,1995
St. Kitts and Nevis,KNA,Assets,2.208,1996
St. Kitts and Nevis,KNA,Assets,2.208,1997
St. Kitts and Nevis,KNA,Assets,2.208,1998
St. Kitts and Nevis,KNA,Assets,2.208,1999
St. Kitts and Nevis,KNA,Assets,2.208,2000
St. Kitts and Nevis,KNA,Assets,2.208,2001
St. Kitts and Nevis,KNA,Assets,2.208,2002
St. Kitts and Nevis,KNA,Assets,2.208,2003
St. Kitts and Nevis,KNA,Assets,2.208,2004
St. Kitts and Nevis,KNA,Assets,2.208,2005
St. Kitts and Nevis,KNA,Assets,2.208,2006
St. Kitts and Nevis,KNA,Assets,2.208,2007
St. Kitts and Nevis,KNA,Assets,2.208,2008
St. Kitts and Nevis,KNA,Assets,2.208,2009
St. Kitts and Nevis,KNA,Assets,2.208,2010
St. Kitts and Nevis,KNA,Assets,2.208,2011
St. Kitts and Nevis,KNA,Assets,2.208,2012
St. Kitts and Nevis,KNA,Assets,2.208,2013
St. Kitts and Nevis,KNA,Assets,2.208,2014
St. Kitts and Nevis,KNA,Assets,2.208,2015
St. Kitts and Nevis,KNA,Assets,2.208,2016
St. Kitts and Nevis,KNA,Assets,2.208,2017
St. Kitts and Nevis,KNA,Assets,2.208,2018
St. Kitts and Nevis,KNA,Assets,2.208,2019
