Country Name,Country Code,Topic,% of available indicators,Year
"Korea, Rep.",KOR,Assets,0.000,1960
"Korea, Rep.",KOR,Assets,0.000,1961
"Korea, Rep.",KOR,Assets,0.000,1962
"Korea, Rep.",KOR,Assets,0.000,1963
"Korea, Rep.",KOR,Assets,0.000,1964
"Korea, Rep.",KOR,Assets,0.000,1965
"Korea, Rep.",KOR,Assets,0.000,1966
"Korea, Rep.",KOR,Assets,0.000,1967
"Korea, Rep.",KOR,Assets,0.000,1968
"Korea, Rep.",KOR,Assets,0.000,1969
"Korea, Rep.",KOR,Assets,2.208,1970
"Korea, Rep.",KOR,Assets,2.208,1971
"Korea, Rep.",KOR,Assets,2.208,1972
"Korea, Rep.",KOR,Assets,2.208,1973
"Korea, Rep.",KOR,Assets,2.208,1974
"Korea, Rep.",KOR,Assets,2.208,1975
"Korea, Rep.",KOR,Assets,2.208,1976
"Korea, Rep.",KOR,Assets,2.208,1977
"Korea, Rep.",KOR,Assets,2.208,1978
"Korea, Rep.",KOR,Assets,2.208,1979
"Korea, Rep.",KOR,Assets,2.208,1980
"Korea, Rep.",KOR,Assets,2.208,1981
"Korea, Rep.",KOR,Assets,2.208,1982
"Korea, Rep.",KOR,Assets,2.208,1983
"Korea, Rep.",KOR,Assets,2.208,1984
"Korea, Rep.",KOR,Assets,2.208,1985
"Korea, Rep.",KOR,Assets,2.208,1986
"Korea, Rep.",KOR,Assets,2.208,1987
"Korea, Rep.",KOR,Assets,2.208,1988
"Korea, Rep.",KOR,Assets,2.208,1989
"Korea, Rep.",KOR,Assets,2.208,1990
"Korea, Rep.",KOR,Assets,2.208,1991
"Korea, Rep.",KOR,Assets,2.208,1992
"Korea, Rep.",KOR,Assets,2.208,1993
"Korea, Rep.",KOR,Assets,2.208,1994
"Korea, Rep.",KOR,Assets,2.208,1995
"Korea, Rep.",KOR,Assets,2.208,1996
"Korea, Rep.",KOR,Assets,2.208,1997
"Korea, Rep.",KOR,Assets,2.208,1998
"Korea, Rep.",KOR,Assets,2.208,1999
"Korea, Rep.",KOR,Assets,2.208,2000
"Korea, Rep.",KOR,Assets,2.208,2001
"Korea, Rep.",KOR,Assets,2.208,2002
"Korea, Rep.",KOR,Assets,2.208,2003
"Korea, Rep.",KOR,Assets,2.208,2004
"Korea, Rep.",KOR,Assets,2.208,2005
