Country Name,Country Code,Topic,% of available indicators,Year
Kuwait,KWT,Assets,0.000,1960
Kuwait,KWT,Assets,0.000,1961
Kuwait,KWT,Assets,0.000,1962
Kuwait,KWT,Assets,0.000,1963
Kuwait,KWT,Assets,0.000,1964
Kuwait,KWT,Assets,0.000,1965
Kuwait,KWT,Assets,0.000,1966
Kuwait,KWT,Assets,0.000,1967
Kuwait,KWT,Assets,0.000,1968
Kuwait,KWT,Assets,0.000,1969
Kuwait,KWT,Assets,2.208,1970
Kuwait,KWT,Assets,2.208,1971
Kuwait,KWT,Assets,2.208,1972
Kuwait,KWT,Assets,2.208,1973
Kuwait,KWT,Assets,2.208,1974
Kuwait,KWT,Assets,2.208,1975
Kuwait,KWT,Assets,2.208,1976
Kuwait,KWT,Assets,2.208,1977
Kuwait,KWT,Assets,2.208,1978
Kuwait,KWT,Assets,2.208,1979
Kuwait,KWT,Assets,2.208,1980
Kuwait,KWT,Assets,2.208,1981
Kuwait,KWT,Assets,2.208,1982
Kuwait,KWT,Assets,2.208,1983
Kuwait,KWT,Assets,2.208,1984
Kuwait,KWT,Assets,2.208,1985
Kuwait,KWT,Assets,2.208,1986
Kuwait,KWT,Assets,2.208,1987
Kuwait,KWT,Assets,2.208,1988
Kuwait,KWT,Assets,2.208,1989
Kuwait,KWT,Assets,2.208,1990
Kuwait,KWT,Assets,2.208,1991
Kuwait,KWT,Assets,2.208,1992
Kuwait,KWT,Assets,2.208,1993
Kuwait,KWT,Assets,2.208,1994
Kuwait,KWT,Assets,2.208,1995
Kuwait,KWT,Assets,2.208,1996
Kuwait,KWT,Assets,2.208,1997
Kuwait,KWT,Assets,2.208,1998
Kuwait,KWT,Assets,2.208,1999
Kuwait,KWT,Assets,2.208,2000
Kuwait,KWT,Assets,2.208,2001
Kuwait,KWT,Assets,2.208,2002
Kuwait,KWT,Assets,2.208,2003
Kuwait,KWT,Assets,2.208,2004
Kuwait,KWT,Assets,2.208,2005
Kuwait,KWT,Assets,2.208,2006
Kuwait,KWT,Assets,2.208,2007
Kuwait,KWT,Assets,2.208,2008
Kuwait,KWT,Assets,2.208,2009
Kuwait,KWT,Assets,2.208,2010
Kuwait,KWT,Assets,10.726,2011
Kuwait,KWT,Assets,2.208,2012
Kuwait,KWT,Assets,2.208,2013
Kuwait,KWT,Assets,24.921,2014
Kuwait,KWT,Assets,2.208,2015
Kuwait,KWT,Assets,2.208,2016
