Country Name,Country Code,Topic,% of available indicators,Year
Lao PDR,LAO,Assets,0.000,1960
Lao PDR,LAO,Assets,0.000,1961
Lao PDR,LAO,Assets,0.000,1962
Lao PDR,LAO,Assets,0.000,1963
Lao PDR,LAO,Assets,0.000,1964
Lao PDR,LAO,Assets,0.000,1965
Lao PDR,LAO,Assets,0.000,1966
Lao PDR,LAO,Assets,0.000,1967
Lao PDR,LAO,Assets,0.000,1968
Lao PDR,LAO,Assets,0.000,1969
Lao PDR,LAO,Assets,2.208,1970
Lao PDR,LAO,Assets,2.208,1971
Lao PDR,LAO,Assets,2.208,1972
Lao PDR,LAO,Assets,2.208,1973
Lao PDR,LAO,Assets,2.208,1974
Lao PDR,LAO,Assets,2.208,1975
Lao PDR,LAO,Assets,2.208,1976
Lao PDR,LAO,Assets,2.208,1977
Lao PDR,LAO,Assets,2.208,1978
Lao PDR,LAO,Assets,2.208,1979
Lao PDR,LAO,Assets,2.208,1980
Lao PDR,LAO,Assets,2.208,1981
Lao PDR,LAO,Assets,2.208,1982
Lao PDR,LAO,Assets,2.208,1983
Lao PDR,LAO,Assets,2.208,1984
Lao PDR,LAO,Assets,2.208,1985
Lao PDR,LAO,Assets,2.208,1986
Lao PDR,LAO,Assets,2.208,1987
Lao PDR,LAO,Assets,2.208,1988
Lao PDR,LAO,Assets,2.208,1989
Lao PDR,LAO,Assets,2.208,1990
Lao PDR,LAO,Assets,2.208,1991
Lao PDR,LAO,Assets,2.208,1992
Lao PDR,LAO,Assets,2.208,1993
Lao PDR,LAO,Assets,2.208,1994
Lao PDR,LAO,Assets,2.208,1995
Lao PDR,LAO,Assets,2.208,1996
Lao PDR,LAO,Assets,2.208,1997
Lao PDR,LAO,Assets,2.208,1998
Lao PDR,LAO,Assets,2.208,1999
Lao PDR,LAO,Assets,2.208,2000
Lao PDR,LAO,Assets,2.208,2001
Lao PDR,LAO,Assets,2.208,2002
Lao PDR,LAO,Assets,2.208,2003
Lao PDR,LAO,Assets,2.208,2004
Lao PDR,LAO,Assets,2.208,2005
Lao PDR,LAO,Assets,2.208,2006
Lao PDR,LAO,Assets,2.208,2007
Lao PDR,LAO,Assets,2.208,2008
Lao PDR,LAO,Assets,2.208,2009
Lao PDR,LAO,Assets,2.208,2010
Lao PDR,LAO,Assets,10.726,2011
Lao PDR,LAO,Assets,2.208,2012
Lao PDR,LAO,Assets,2.208,2013
Lao PDR,LAO,Assets,2.208,2014
Lao PDR,LAO,Assets,2.208,2015
Lao PDR,LAO,Assets,2.208,2016
Lao PDR,LAO,Assets,33.123,2017
