Country Name,Country Code,Topic,% of available indicators,Year
Lebanon,LBN,Assets,0.000,1960
Lebanon,LBN,Assets,0.000,1961
Lebanon,LBN,Assets,0.000,1962
Lebanon,LBN,Assets,0.000,1963
Lebanon,LBN,Assets,0.000,1964
Lebanon,LBN,Assets,0.000,1965
Lebanon,LBN,Assets,0.000,1966
Lebanon,LBN,Assets,0.000,1967
Lebanon,LBN,Assets,0.000,1968
Lebanon,LBN,Assets,0.000,1969
Lebanon,LBN,Assets,2.208,1970
Lebanon,LBN,Assets,2.208,1971
Lebanon,LBN,Assets,2.208,1972
Lebanon,LBN,Assets,2.208,1973
Lebanon,LBN,Assets,2.208,1974
Lebanon,LBN,Assets,2.208,1975
Lebanon,LBN,Assets,2.208,1976
Lebanon,LBN,Assets,2.208,1977
Lebanon,LBN,Assets,2.208,1978
Lebanon,LBN,Assets,2.208,1979
Lebanon,LBN,Assets,2.208,1980
Lebanon,LBN,Assets,2.208,1981
Lebanon,LBN,Assets,2.208,1982
Lebanon,LBN,Assets,2.208,1983
Lebanon,LBN,Assets,2.208,1984
Lebanon,LBN,Assets,2.208,1985
Lebanon,LBN,Assets,2.208,1986
Lebanon,LBN,Assets,2.208,1987
Lebanon,LBN,Assets,2.208,1988
Lebanon,LBN,Assets,2.208,1989
Lebanon,LBN,Assets,2.208,1990
Lebanon,LBN,Assets,2.208,1991
Lebanon,LBN,Assets,2.208,1992
Lebanon,LBN,Assets,2.208,1993
Lebanon,LBN,Assets,2.208,1994
Lebanon,LBN,Assets,2.208,1995
Lebanon,LBN,Assets,2.208,1996
Lebanon,LBN,Assets,2.208,1997
Lebanon,LBN,Assets,2.208,1998
Lebanon,LBN,Assets,2.208,1999
Lebanon,LBN,Assets,2.208,2000
Lebanon,LBN,Assets,2.208,2001
Lebanon,LBN,Assets,2.208,2002
Lebanon,LBN,Assets,2.208,2003
Lebanon,LBN,Assets,2.208,2004
Lebanon,LBN,Assets,2.208,2005
Lebanon,LBN,Assets,2.208,2006
Lebanon,LBN,Assets,2.208,2007
Lebanon,LBN,Assets,2.208,2008
Lebanon,LBN,Assets,2.208,2009
Lebanon,LBN,Assets,2.208,2010
Lebanon,LBN,Assets,11.672,2011
Lebanon,LBN,Assets,2.208,2012
Lebanon,LBN,Assets,2.208,2013
Lebanon,LBN,Assets,31.546,2014
Lebanon,LBN,Assets,2.208,2015
Lebanon,LBN,Assets,2.208,2016
Lebanon,LBN,Assets,33.123,2017
Lebanon,LBN,Assets,2.208,2018
Lebanon,LBN,Assets,2.208,2019
Lebanon,LBN,Assets,2.208,2020
Lebanon,LBN,Assets,61.199,2021
Lebanon,LBN,Assets,2.208,2022
Lebanon,LBN,Assets,2.208,2023
Lebanon,LBN,Children 0-14,17.692,1960
Lebanon,LBN,Children 0-14,19.231,1961
Lebanon,LBN,Children 0-14,19.231,1962
Lebanon,LBN,Children 0-14,19.231,1963
Lebanon,LBN,Children 0-14,19.231,1964
Lebanon,LBN,Children 0-14,19.231,1965
Lebanon,LBN,Children 0-14,19.231,1966
Lebanon,LBN,Children 0-14,19.231,1967
Lebanon,LBN,Children 0-14,19.231,1968
