Country Name,Country Code,Topic,% of available indicators,Year
Liberia,LBR,Assets,0.000,1960
Liberia,LBR,Assets,0.000,1961
Liberia,LBR,Assets,0.000,1962
Liberia,LBR,Assets,0.000,1963
Liberia,LBR,Assets,0.000,1964
Liberia,LBR,Assets,0.000,1965
Liberia,LBR,Assets,0.000,1966
Liberia,LBR,Assets,0.000,1967
Liberia,LBR,Assets,0.000,1968
Liberia,LBR,Assets,0.000,1969
Liberia,LBR,Assets,2.208,1970
Liberia,LBR,Assets,2.208,1971
Liberia,LBR,Assets,2.208,1972
Liberia,LBR,Assets,2.208,1973
Liberia,LBR,Assets,2.208,1974
Liberia,LBR,Assets,2.208,1975
Liberia,LBR,Assets,2.208,1976
Liberia,LBR,Assets,2.208,1977
Liberia,LBR,Assets,2.208,1978
Liberia,LBR,Assets,2.208,1979
Liberia,LBR,Assets,2.208,1980
Liberia,LBR,Assets,2.208,1981
Liberia,LBR,Assets,2.208,1982
Liberia,LBR,Assets,2.208,1983
Liberia,LBR,Assets,2.208,1984
Liberia,LBR,Assets,2.208,1985
Liberia,LBR,Assets,2.208,1986
Liberia,LBR,Assets,2.208,1987
Liberia,LBR,Assets,2.208,1988
Liberia,LBR,Assets,2.208,1989
Liberia,LBR,Assets,2.208,1990
Liberia,LBR,Assets,2.208,1991
Liberia,LBR,Assets,2.208,1992
Liberia,LBR,Assets,2.208,1993
Liberia,LBR,Assets,2.208,1994
Liberia,LBR,Assets,2.208,1995
Liberia,LBR,Assets,2.208,1996
Liberia,LBR,Assets,2.208,1997
Liberia,LBR,Assets,2.208,1998
Liberia,LBR,Assets,2.208,1999
Liberia,LBR,Assets,2.208,2000
Liberia,LBR,Assets,2.208,2001
Liberia,LBR,Assets,2.208,2002
Liberia,LBR,Assets,2.208,2003
Liberia,LBR,Assets,2.208,2004
Liberia,LBR,Assets,2.208,2005
Liberia,LBR,Assets,2.208,2006
Liberia,LBR,Assets,2.208,2007
Liberia,LBR,Assets,2.208,2008
Liberia,LBR,Assets,2.208,2009
Liberia,LBR,Assets,2.208,2010
Liberia,LBR,Assets,10.726,2011
Liberia,LBR,Assets,2.208,2012
Liberia,LBR,Assets,17.350,2013
Liberia,LBR,Assets,2.208,2014
Liberia,LBR,Assets,2.208,2015
Liberia,LBR,Assets,2.208,2016
Liberia,LBR,Assets,33.438,2017
Liberia,LBR,Assets,2.208,2018
Liberia,LBR,Assets,2.208,2019
Liberia,LBR,Assets,32.492,2020
Liberia,LBR,Assets,63.091,2021
Liberia,LBR,Assets,2.208,2022
Liberia,LBR,Assets,2.208,2023
Liberia,LBR,Children 0-14,17.692,1960
Liberia,LBR,Children 0-14,19.231,1961
Liberia,LBR,Children 0-14,19.231,1962
Liberia,LBR,Children 0-14,19.231,1963
Liberia,LBR,Children 0-14,19.231,1964
Liberia,LBR,Children 0-14,19.231,1965
Liberia,LBR,Children 0-14,19.231,1966
Liberia,LBR,Children 0-14,19.231,1967
Liberia,LBR,Children 0-14,19.231,1968
Liberia,LBR,Children 0-14,19.231,1969
Liberia,LBR,Children 0-14,25.385,1970
Liberia,LBR,Children 0-14,25.385,1971
Liberia,LBR,Children 0-14,25.385,1972
Liberia,LBR,Children 0-14,19.231,1973
Liberia,LBR,Children 0-14,23.846,1974
Liberia,LBR,Children 0-14,25.385,1975
Liberia,LBR,Children 0-14,25.385,1976
Liberia,LBR,Children 0-14,19.231,1977
Liberia,LBR,Children 0-14,30.769,1978
Liberia,LBR,Children 0-14,25.385,1979
Liberia,LBR,Children 0-14,25.385,1980
Liberia,LBR,Children 0-14,19.231,1981
Liberia,LBR,Children 0-14,19.231,1982
Liberia,LBR,Children 0-14,19.231,1983
Liberia,LBR,Children 0-14,20.769,1984
Liberia,LBR,Children 0-14,19.231,1985
Liberia,LBR,Children 0-14,19.231,1986
Liberia,LBR,Children 0-14,19.231,1987
Liberia,LBR,Children 0-14,19.231,1988
Liberia,LBR,Children 0-14,19.231,1989
Liberia,LBR,Children 0-14,19.231,1990
Liberia,LBR,Children 0-14,19.231,1991
