Country Name,Country Code,Topic,% of available indicators,Year
Libya,LBY,Assets,0.000,1960
Libya,LBY,Assets,0.000,1961
Libya,LBY,Assets,0.000,1962
Libya,LBY,Assets,0.000,1963
Libya,LBY,Assets,0.000,1964
Libya,LBY,Assets,0.000,1965
Libya,LBY,Assets,0.000,1966
Libya,LBY,Assets,0.000,1967
Libya,LBY,Assets,0.000,1968
Libya,LBY,Assets,0.000,1969
Libya,LBY,Assets,2.208,1970
Libya,LBY,Assets,2.208,1971
Libya,LBY,Assets,2.208,1972
Libya,LBY,Assets,2.208,1973
Libya,LBY,Assets,2.208,1974
Libya,LBY,Assets,2.208,1975
Libya,LBY,Assets,2.208,1976
Libya,LBY,Assets,2.208,1977
Libya,LBY,Assets,2.208,1978
Libya,LBY,Assets,2.208,1979
Libya,LBY,Assets,2.208,1980
Libya,LBY,Assets,2.208,1981
Libya,LBY,Assets,2.208,1982
Libya,LBY,Assets,2.208,1983
Libya,LBY,Assets,2.208,1984
Libya,LBY,Assets,2.208,1985
Libya,LBY,Assets,2.208,1986
Libya,LBY,Assets,2.208,1987
Libya,LBY,Assets,2.208,1988
Libya,LBY,Assets,2.208,1989
Libya,LBY,Assets,2.208,1990
Libya,LBY,Assets,2.208,1991
Libya,LBY,Assets,2.208,1992
Libya,LBY,Assets,2.208,1993
Libya,LBY,Assets,2.208,1994
Libya,LBY,Assets,2.208,1995
Libya,LBY,Assets,2.208,1996
Libya,LBY,Assets,2.208,1997
Libya,LBY,Assets,2.208,1998
Libya,LBY,Assets,2.208,1999
Libya,LBY,Assets,2.208,2000
Libya,LBY,Assets,2.208,2001
Libya,LBY,Assets,2.208,2002
Libya,LBY,Assets,2.208,2003
Libya,LBY,Assets,2.208,2004
Libya,LBY,Assets,2.208,2005
Libya,LBY,Assets,2.208,2006
Libya,LBY,Assets,2.208,2007
Libya,LBY,Assets,2.208,2008
Libya,LBY,Assets,2.208,2009
Libya,LBY,Assets,2.208,2010
Libya,LBY,Assets,2.208,2011
Libya,LBY,Assets,2.208,2012
Libya,LBY,Assets,2.208,2013
Libya,LBY,Assets,2.208,2014
Libya,LBY,Assets,2.208,2015
Libya,LBY,Assets,2.208,2016
Libya,LBY,Assets,26.814,2017
Libya,LBY,Assets,2.208,2018
Libya,LBY,Assets,2.208,2019
Libya,LBY,Assets,2.208,2020
Libya,LBY,Assets,2.208,2021
Libya,LBY,Assets,2.208,2022
Libya,LBY,Assets,2.208,2023
Libya,LBY,Children 0-14,17.692,1960
Libya,LBY,Children 0-14,17.692,1961
Libya,LBY,Children 0-14,17.692,1962
Libya,LBY,Children 0-14,19.231,1963
Libya,LBY,Children 0-14,19.231,1964
Libya,LBY,Children 0-14,19.231,1965
Libya,LBY,Children 0-14,19.231,1966
Libya,LBY,Children 0-14,19.231,1967
Libya,LBY,Children 0-14,19.231,1968
Libya,LBY,Children 0-14,19.231,1969
