Country Name,Country Code,Topic,% of available indicators,Year
St. Lucia,LCA,Assets,0.000,1960
St. Lucia,LCA,Assets,0.000,1961
St. Lucia,LCA,Assets,0.000,1962
St. Lucia,LCA,Assets,0.000,1963
St. Lucia,LCA,Assets,0.000,1964
St. Lucia,LCA,Assets,0.000,1965
St. Lucia,LCA,Assets,0.000,1966
St. Lucia,LCA,Assets,0.000,1967
St. Lucia,LCA,Assets,0.000,1968
St. Lucia,LCA,Assets,0.000,1969
St. Lucia,LCA,Assets,2.208,1970
St. Lucia,LCA,Assets,2.208,1971
St. Lucia,LCA,Assets,2.208,1972
St. Lucia,LCA,Assets,2.208,1973
St. Lucia,LCA,Assets,2.208,1974
St. Lucia,LCA,Assets,2.208,1975
St. Lucia,LCA,Assets,2.208,1976
St. Lucia,LCA,Assets,2.208,1977
St. Lucia,LCA,Assets,2.208,1978
St. Lucia,LCA,Assets,2.208,1979
St. Lucia,LCA,Assets,2.208,1980
St. Lucia,LCA,Assets,2.208,1981
St. Lucia,LCA,Assets,2.208,1982
St. Lucia,LCA,Assets,2.208,1983
St. Lucia,LCA,Assets,2.208,1984
St. Lucia,LCA,Assets,2.208,1985
St. Lucia,LCA,Assets,2.208,1986
St. Lucia,LCA,Assets,2.208,1987
St. Lucia,LCA,Assets,2.208,1988
St. Lucia,LCA,Assets,2.208,1989
St. Lucia,LCA,Assets,2.208,1990
St. Lucia,LCA,Assets,2.208,1991
St. Lucia,LCA,Assets,2.208,1992
St. Lucia,LCA,Assets,2.208,1993
St. Lucia,LCA,Assets,2.208,1994
St. Lucia,LCA,Assets,2.208,1995
St. Lucia,LCA,Assets,2.208,1996
St. Lucia,LCA,Assets,2.208,1997
St. Lucia,LCA,Assets,2.208,1998
St. Lucia,LCA,Assets,2.208,1999
St. Lucia,LCA,Assets,2.208,2000
St. Lucia,LCA,Assets,2.208,2001
St. Lucia,LCA,Assets,2.208,2002
St. Lucia,LCA,Assets,2.208,2003
St. Lucia,LCA,Assets,2.208,2004
St. Lucia,LCA,Assets,2.208,2005
St. Lucia,LCA,Assets,2.208,2006
St. Lucia,LCA,Assets,2.208,2007
St. Lucia,LCA,Assets,2.208,2008
St. Lucia,LCA,Assets,2.208,2009
St. Lucia,LCA,Assets,2.208,2010
St. Lucia,LCA,Assets,2.208,2011
St. Lucia,LCA,Assets,2.208,2012
St. Lucia,LCA,Assets,2.208,2013
St. Lucia,LCA,Assets,2.208,2014
St. Lucia,LCA,Assets,2.208,2015
St. Lucia,LCA,Assets,2.208,2016
St. Lucia,LCA,Assets,2.208,2017
St. Lucia,LCA,Assets,2.208,2018
St. Lucia,LCA,Assets,2.208,2019
St. Lucia,LCA,Assets,2.208,2020
St. Lucia,LCA,Assets,2.208,2021
St. Lucia,LCA,Assets,2.208,2022
St. Lucia,LCA,Assets,2.208,2023
St. Lucia,LCA,Children 0-14,19.231,1960
St. Lucia,LCA,Children 0-14,19.231,1961
St. Lucia,LCA,Children 0-14,19.231,1962
St. Lucia,LCA,Children 0-14,19.231,1963
St. Lucia,LCA,Children 0-14,19.231,1964
St. Lucia,LCA,Children 0-14,19.231,1965
St. Lucia,LCA,Children 0-14,19.231,1966
St. Lucia,LCA,Children 0-14,19.231,1967
St. Lucia,LCA,Children 0-14,19.231,1968
St. Lucia,LCA,Children 0-14,19.231,1969
St. Lucia,LCA,Children 0-14,23.846,1970
St. Lucia,LCA,Children 0-14,23.077,1971
St. Lucia,LCA,Children 0-14,23.077,1972
St. Lucia,LCA,Children 0-14,23.077,1973
St. Lucia,LCA,Children 0-14,23.077,1974
St. Lucia,LCA,Children 0-14,23.077,1975
St. Lucia,LCA,Children 0-14,23.077,1976
St. Lucia,LCA,Children 0-14,23.077,1977
St. Lucia,LCA,Children 0-14,23.077,1978
St. Lucia,LCA,Children 0-14,23.077,1979
St. Lucia,LCA,Children 0-14,28.462,1980
St. Lucia,LCA,Children 0-14,31.538,1981
St. Lucia,LCA,Children 0-14,32.308,1982
St. Lucia,LCA,Children 0-14,36.154,1983
St. Lucia,LCA,Children 0-14,33.077,1984
St. Lucia,LCA,Children 0-14,27.692,1985
St. Lucia,LCA,Children 0-14,29.231,1986
St. Lucia,LCA,Children 0-14,27.692,1987
St. Lucia,LCA,Children 0-14,24.615,1988
St. Lucia,LCA,Children 0-14,25.385,1989
St. Lucia,LCA,Children 0-14,36.154,1990
St. Lucia,LCA,Children 0-14,30.769,1991
