Country Name,Country Code,Topic,% of available indicators,Year
Liechtenstein,LIE,Assets,0.000,1960
Liechtenstein,LIE,Assets,0.000,1961
Liechtenstein,LIE,Assets,0.000,1962
Liechtenstein,LIE,Assets,0.000,1963
Liechtenstein,LIE,Assets,0.000,1964
Liechtenstein,LIE,Assets,0.000,1965
Liechtenstein,LIE,Assets,0.000,1966
Liechtenstein,LIE,Assets,0.000,1967
Liechtenstein,LIE,Assets,0.000,1968
Liechtenstein,LIE,Assets,0.000,1969
Liechtenstein,LIE,Assets,0.000,1970
Liechtenstein,LIE,Assets,0.000,1971
Liechtenstein,LIE,Assets,0.000,1972
Liechtenstein,LIE,Assets,0.000,1973
Liechtenstein,LIE,Assets,0.000,1974
Liechtenstein,LIE,Assets,0.000,1975
Liechtenstein,LIE,Assets,0.000,1976
Liechtenstein,LIE,Assets,0.000,1977
Liechtenstein,LIE,Assets,0.000,1978
Liechtenstein,LIE,Assets,0.000,1979
Liechtenstein,LIE,Assets,0.000,1980
Liechtenstein,LIE,Assets,0.000,1981
Liechtenstein,LIE,Assets,0.000,1982
Liechtenstein,LIE,Assets,0.000,1983
Liechtenstein,LIE,Assets,0.000,1984
Liechtenstein,LIE,Assets,0.000,1985
Liechtenstein,LIE,Assets,0.000,1986
Liechtenstein,LIE,Assets,0.000,1987
Liechtenstein,LIE,Assets,0.000,1988
Liechtenstein,LIE,Assets,0.000,1989
Liechtenstein,LIE,Assets,0.000,1990
Liechtenstein,LIE,Assets,0.000,1991
Liechtenstein,LIE,Assets,0.000,1992
Liechtenstein,LIE,Assets,0.000,1993
Liechtenstein,LIE,Assets,0.000,1994
Liechtenstein,LIE,Assets,0.000,1995
Liechtenstein,LIE,Assets,0.000,1996
Liechtenstein,LIE,Assets,0.000,1997
Liechtenstein,LIE,Assets,0.000,1998
Liechtenstein,LIE,Assets,0.000,1999
Liechtenstein,LIE,Assets,0.000,2000
Liechtenstein,LIE,Assets,0.000,2001
Liechtenstein,LIE,Assets,0.000,2002
Liechtenstein,LIE,Assets,0.000,2003
Liechtenstein,LIE,Assets,0.000,2004
Liechtenstein,LIE,Assets,0.000,2005
Liechtenstein,LIE,Assets,0.000,2006
Liechtenstein,LIE,Assets,0.000,2007
Liechtenstein,LIE,Assets,0.000,2008
Liechtenstein,LIE,Assets,0.000,2009
Liechtenstein,LIE,Assets,0.000,2010
Liechtenstein,LIE,Assets,0.000,2011
Liechtenstein,LIE,Assets,0.000,2012
Liechtenstein,LIE,Assets,0.000,2013
Liechtenstein,LIE,Assets,0.000,2014
Liechtenstein,LIE,Assets,0.000,2015
Liechtenstein,LIE,Assets,0.000,2016
Liechtenstein,LIE,Assets,0.000,2017
Liechtenstein,LIE,Assets,0.000,2018
Liechtenstein,LIE,Assets,0.000,2019
Liechtenstein,LIE,Assets,0.000,2020
Liechtenstein,LIE,Assets,0.000,2021
Liechtenstein,LIE,Assets,0.000,2022
Liechtenstein,LIE,Assets,0.000,2023
Liechtenstein,LIE,Children 0-14,8.462,1960
Liechtenstein,LIE,Children 0-14,8.462,1961
Liechtenstein,LIE,Children 0-14,8.462,1962
Liechtenstein,LIE,Children 0-14,8.462,1963
Liechtenstein,LIE,Children 0-14,8.462,1964
Liechtenstein,LIE,Children 0-14,8.462,1965
Liechtenstein,LIE,Children 0-14,8.462,1966
Liechtenstein,LIE,Children 0-14,8.462,1967
Liechtenstein,LIE,Children 0-14,8.462,1968
Liechtenstein,LIE,Children 0-14,8.462,1969
Liechtenstein,LIE,Children 0-14,10.769,1970
Liechtenstein,LIE,Children 0-14,8.462,1971
Liechtenstein,LIE,Children 0-14,8.462,1972
Liechtenstein,LIE,Children 0-14,8.462,1973
Liechtenstein,LIE,Children 0-14,8.462,1974
Liechtenstein,LIE,Children 0-14,8.462,1975
Liechtenstein,LIE,Children 0-14,8.462,1976
Liechtenstein,LIE,Children 0-14,8.462,1977
