Country Name,Country Code,Topic,% of available indicators,Year
Sri Lanka,LKA,Assets,0.000,1960
Sri Lanka,LKA,Assets,0.000,1961
Sri Lanka,LKA,Assets,0.000,1962
Sri Lanka,LKA,Assets,0.000,1963
Sri Lanka,LKA,Assets,0.000,1964
Sri Lanka,LKA,Assets,0.000,1965
Sri Lanka,LKA,Assets,0.000,1966
Sri Lanka,LKA,Assets,0.000,1967
Sri Lanka,LKA,Assets,0.000,1968
Sri Lanka,LKA,Assets,0.000,1969
Sri Lanka,LKA,Assets,2.208,1970
Sri Lanka,LKA,Assets,2.208,1971
Sri Lanka,LKA,Assets,2.208,1972
Sri Lanka,LKA,Assets,2.208,1973
Sri Lanka,LKA,Assets,2.208,1974
Sri Lanka,LKA,Assets,2.208,1975
Sri Lanka,LKA,Assets,2.208,1976
Sri Lanka,LKA,Assets,2.208,1977
Sri Lanka,LKA,Assets,2.208,1978
Sri Lanka,LKA,Assets,2.208,1979
Sri Lanka,LKA,Assets,2.208,1980
Sri Lanka,LKA,Assets,2.208,1981
Sri Lanka,LKA,Assets,2.208,1982
Sri Lanka,LKA,Assets,2.208,1983
Sri Lanka,LKA,Assets,2.208,1984
Sri Lanka,LKA,Assets,2.208,1985
Sri Lanka,LKA,Assets,2.208,1986
Sri Lanka,LKA,Assets,2.208,1987
Sri Lanka,LKA,Assets,2.208,1988
Sri Lanka,LKA,Assets,2.208,1989
Sri Lanka,LKA,Assets,2.208,1990
Sri Lanka,LKA,Assets,2.208,1991
Sri Lanka,LKA,Assets,2.208,1992
Sri Lanka,LKA,Assets,2.208,1993
Sri Lanka,LKA,Assets,2.208,1994
Sri Lanka,LKA,Assets,2.208,1995
Sri Lanka,LKA,Assets,2.208,1996
Sri Lanka,LKA,Assets,2.208,1997
Sri Lanka,LKA,Assets,2.208,1998
Sri Lanka,LKA,Assets,2.208,1999
Sri Lanka,LKA,Assets,2.208,2000
Sri Lanka,LKA,Assets,2.208,2001
Sri Lanka,LKA,Assets,2.208,2002
Sri Lanka,LKA,Assets,2.208,2003
Sri Lanka,LKA,Assets,2.208,2004
Sri Lanka,LKA,Assets,2.208,2005
Sri Lanka,LKA,Assets,2.208,2006
Sri Lanka,LKA,Assets,2.208,2007
Sri Lanka,LKA,Assets,2.208,2008
Sri Lanka,LKA,Assets,2.208,2009
Sri Lanka,LKA,Assets,2.208,2010
Sri Lanka,LKA,Assets,11.672,2011
Sri Lanka,LKA,Assets,2.208,2012
Sri Lanka,LKA,Assets,2.208,2013
Sri Lanka,LKA,Assets,31.546,2014
Sri Lanka,LKA,Assets,2.208,2015
Sri Lanka,LKA,Assets,2.208,2016
Sri Lanka,LKA,Assets,34.069,2017
Sri Lanka,LKA,Assets,2.208,2018
Sri Lanka,LKA,Assets,2.208,2019
Sri Lanka,LKA,Assets,2.208,2020
Sri Lanka,LKA,Assets,63.091,2021
Sri Lanka,LKA,Assets,2.208,2022
Sri Lanka,LKA,Assets,2.208,2023
Sri Lanka,LKA,Children 0-14,19.231,1960
Sri Lanka,LKA,Children 0-14,19.231,1961
Sri Lanka,LKA,Children 0-14,19.231,1962
Sri Lanka,LKA,Children 0-14,19.231,1963
Sri Lanka,LKA,Children 0-14,19.231,1964
Sri Lanka,LKA,Children 0-14,19.231,1965
Sri Lanka,LKA,Children 0-14,19.231,1966
Sri Lanka,LKA,Children 0-14,19.231,1967
Sri Lanka,LKA,Children 0-14,19.231,1968
Sri Lanka,LKA,Children 0-14,19.231,1969
Sri Lanka,LKA,Children 0-14,28.462,1970
Sri Lanka,LKA,Children 0-14,26.154,1971
Sri Lanka,LKA,Children 0-14,22.308,1972
Sri Lanka,LKA,Children 0-14,20.769,1973
Sri Lanka,LKA,Children 0-14,22.308,1974
Sri Lanka,LKA,Children 0-14,25.385,1975
Sri Lanka,LKA,Children 0-14,25.385,1976
Sri Lanka,LKA,Children 0-14,28.462,1977
Sri Lanka,LKA,Children 0-14,24.615,1978
Sri Lanka,LKA,Children 0-14,22.308,1979
Sri Lanka,LKA,Children 0-14,26.154,1980
Sri Lanka,LKA,Children 0-14,28.462,1981
Sri Lanka,LKA,Children 0-14,27.692,1982
Sri Lanka,LKA,Children 0-14,27.692,1983
Sri Lanka,LKA,Children 0-14,26.923,1984
Sri Lanka,LKA,Children 0-14,31.538,1985
Sri Lanka,LKA,Children 0-14,34.615,1986
Sri Lanka,LKA,Children 0-14,36.923,1987
Sri Lanka,LKA,Children 0-14,26.154,1988
Sri Lanka,LKA,Children 0-14,31.538,1989
Sri Lanka,LKA,Children 0-14,31.538,1990
Sri Lanka,LKA,Children 0-14,31.538,1991
Sri Lanka,LKA,Children 0-14,30.000,1992
Sri Lanka,LKA,Children 0-14,31.538,1993
Sri Lanka,LKA,Children 0-14,24.615,1994
Sri Lanka,LKA,Children 0-14,26.923,1995
Sri Lanka,LKA,Children 0-14,24.615,1996
Sri Lanka,LKA,Children 0-14,20.769,1997
Sri Lanka,LKA,Children 0-14,30.000,1998
Sri Lanka,LKA,Children 0-14,23.077,1999
Sri Lanka,LKA,Children 0-14,46.154,2000
Sri Lanka,LKA,Children 0-14,43.077,2001
Sri Lanka,LKA,Children 0-14,38.462,2002
Sri Lanka,LKA,Children 0-14,40.000,2003
Sri Lanka,LKA,Children 0-14,29.231,2004
Sri Lanka,LKA,Children 0-14,39.231,2005
Sri Lanka,LKA,Children 0-14,43.846,2006
Sri Lanka,LKA,Children 0-14,53.846,2007
Sri Lanka,LKA,Children 0-14,36.923,2008
Sri Lanka,LKA,Children 0-14,53.077,2009
Sri Lanka,LKA,Children 0-14,64.615,2010
Sri Lanka,LKA,Children 0-14,46.154,2011
Sri Lanka,LKA,Children 0-14,53.077,2012
Sri Lanka,LKA,Children 0-14,48.462,2013
Sri Lanka,LKA,Children 0-14,46.154,2014
Sri Lanka,LKA,Children 0-14,58.462,2015
Sri Lanka,LKA,Children 0-14,56.923,2016
Sri Lanka,LKA,Children 0-14,50.769,2017
Sri Lanka,LKA,Children 0-14,44.615,2018
Sri Lanka,LKA,Children 0-14,53.846,2019
Sri Lanka,LKA,Children 0-14,43.077,2020
Sri Lanka,LKA,Children 0-14,33.846,2021
Sri Lanka,LKA,Children 0-14,33.846,2022
Sri Lanka,LKA,Children 0-14,9.231,2023
Sri Lanka,LKA,Education,0.000,1960
Sri Lanka,LKA,Education,0.000,1961
Sri Lanka,LKA,Education,0.000,1962
Sri Lanka,LKA,Education,0.000,1963
Sri Lanka,LKA,Education,0.000,1964
Sri Lanka,LKA,Education,0.000,1965
Sri Lanka,LKA,Education,0.000,1966
Sri Lanka,LKA,Education,0.000,1967
Sri Lanka,LKA,Education,0.000,1968
Sri Lanka,LKA,Education,0.000,1969
Sri Lanka,LKA,Education,12.883,1970
Sri Lanka,LKA,Education,15.337,1971
Sri Lanka,LKA,Education,4.294,1972
Sri Lanka,LKA,Education,7.975,1973
Sri Lanka,LKA,Education,8.589,1974
Sri Lanka,LKA,Education,8.589,1975
Sri Lanka,LKA,Education,12.270,1976
Sri Lanka,LKA,Education,9.816,1977
Sri Lanka,LKA,Education,7.975,1978
Sri Lanka,LKA,Education,6.135,1979
Sri Lanka,LKA,Education,7.975,1980
Sri Lanka,LKA,Education,26.994,1981
Sri Lanka,LKA,Education,14.724,1982
Sri Lanka,LKA,Education,18.405,1983
Sri Lanka,LKA,Education,17.791,1984
Sri Lanka,LKA,Education,21.472,1985
Sri Lanka,LKA,Education,25.767,1986
Sri Lanka,LKA,Education,14.110,1987
Sri Lanka,LKA,Education,12.883,1988
Sri Lanka,LKA,Education,17.178,1989
Sri Lanka,LKA,Education,17.178,1990
Sri Lanka,LKA,Education,17.178,1991
Sri Lanka,LKA,Education,14.724,1992
Sri Lanka,LKA,Education,10.429,1993
Sri Lanka,LKA,Education,15.337,1994
Sri Lanka,LKA,Education,8.589,1995
Sri Lanka,LKA,Education,4.294,1996
Sri Lanka,LKA,Education,0.000,1997
Sri Lanka,LKA,Education,9.816,1998
Sri Lanka,LKA,Education,0.000,1999
Sri Lanka,LKA,Education,0.000,2000
Sri Lanka,LKA,Education,31.902,2001
Sri Lanka,LKA,Education,16.564,2002
Sri Lanka,LKA,Education,15.951,2003
Sri Lanka,LKA,Education,7.362,2004
Sri Lanka,LKA,Education,17.178,2005
Sri Lanka,LKA,Education,31.288,2006
Sri Lanka,LKA,Education,19.632,2007
Sri Lanka,LKA,Education,25.767,2008
Sri Lanka,LKA,Education,22.086,2009
Sri Lanka,LKA,Education,70.552,2010
Sri Lanka,LKA,Education,61.350,2011
Sri Lanka,LKA,Education,39.264,2012
Sri Lanka,LKA,Education,57.055,2013
Sri Lanka,LKA,Education,49.693,2014
Sri Lanka,LKA,Education,45.399,2015
Sri Lanka,LKA,Education,61.963,2016
Sri Lanka,LKA,Education,76.074,2017
Sri Lanka,LKA,Education,69.325,2018
Sri Lanka,LKA,Education,38.650,2019
Sri Lanka,LKA,Education,42.945,2020
Sri Lanka,LKA,Education,34.356,2021
Sri Lanka,LKA,Education,34.969,2022
Sri Lanka,LKA,Education,0.613,2023
Sri Lanka,LKA,Employment and Time Use,0.000,1960
Sri Lanka,LKA,Employment and Time Use,0.000,1961
Sri Lanka,LKA,Employment and Time Use,0.000,1962
Sri Lanka,LKA,Employment and Time Use,5.109,1963
Sri Lanka,LKA,Employment and Time Use,0.000,1964
Sri Lanka,LKA,Employment and Time Use,0.000,1965
Sri Lanka,LKA,Employment and Time Use,0.000,1966
Sri Lanka,LKA,Employment and Time Use,0.000,1967
Sri Lanka,LKA,Employment and Time Use,0.000,1968
Sri Lanka,LKA,Employment and Time Use,0.000,1969
Sri Lanka,LKA,Employment and Time Use,24.088,1970
Sri Lanka,LKA,Employment and Time Use,26.277,1971
Sri Lanka,LKA,Employment and Time Use,21.168,1972
Sri Lanka,LKA,Employment and Time Use,21.168,1973
Sri Lanka,LKA,Employment and Time Use,21.168,1974
Sri Lanka,LKA,Employment and Time Use,21.168,1975
Sri Lanka,LKA,Employment and Time Use,21.168,1976
Sri Lanka,LKA,Employment and Time Use,21.168,1977
Sri Lanka,LKA,Employment and Time Use,21.168,1978
Sri Lanka,LKA,Employment and Time Use,21.168,1979
Sri Lanka,LKA,Employment and Time Use,21.168,1980
Sri Lanka,LKA,Employment and Time Use,26.277,1981
Sri Lanka,LKA,Employment and Time Use,21.168,1982
Sri Lanka,LKA,Employment and Time Use,21.168,1983
Sri Lanka,LKA,Employment and Time Use,21.168,1984
Sri Lanka,LKA,Employment and Time Use,28.467,1985
Sri Lanka,LKA,Employment and Time Use,26.277,1986
Sri Lanka,LKA,Employment and Time Use,21.168,1987
Sri Lanka,LKA,Employment and Time Use,21.168,1988
Sri Lanka,LKA,Employment and Time Use,21.168,1989
Sri Lanka,LKA,Employment and Time Use,37.226,1990
Sri Lanka,LKA,Employment and Time Use,57.664,1991
Sri Lanka,LKA,Employment and Time Use,62.044,1992
Sri Lanka,LKA,Employment and Time Use,64.234,1993
Sri Lanka,LKA,Employment and Time Use,64.964,1994
Sri Lanka,LKA,Employment and Time Use,64.964,1995
Sri Lanka,LKA,Employment and Time Use,64.964,1996
Sri Lanka,LKA,Employment and Time Use,64.964,1997
Sri Lanka,LKA,Employment and Time Use,64.964,1998
Sri Lanka,LKA,Employment and Time Use,70.803,1999
Sri Lanka,LKA,Employment and Time Use,66.423,2000
Sri Lanka,LKA,Employment and Time Use,63.504,2001
Sri Lanka,LKA,Employment and Time Use,63.504,2002
Sri Lanka,LKA,Employment and Time Use,66.423,2003
Sri Lanka,LKA,Employment and Time Use,66.423,2004
Sri Lanka,LKA,Employment and Time Use,68.613,2005
Sri Lanka,LKA,Employment and Time Use,64.234,2006
Sri Lanka,LKA,Employment and Time Use,66.423,2007
Sri Lanka,LKA,Employment and Time Use,64.234,2008
Sri Lanka,LKA,Employment and Time Use,77.372,2009
Sri Lanka,LKA,Employment and Time Use,91.971,2010
Sri Lanka,LKA,Employment and Time Use,91.971,2011
Sri Lanka,LKA,Employment and Time Use,87.591,2012
Sri Lanka,LKA,Employment and Time Use,91.971,2013
Sri Lanka,LKA,Employment and Time Use,91.971,2014
Sri Lanka,LKA,Employment and Time Use,91.971,2015
Sri Lanka,LKA,Employment and Time Use,91.971,2016
Sri Lanka,LKA,Employment and Time Use,91.971,2017
Sri Lanka,LKA,Employment and Time Use,91.971,2018
Sri Lanka,LKA,Employment and Time Use,90.511,2019
Sri Lanka,LKA,Employment and Time Use,90.511,2020
Sri Lanka,LKA,Employment and Time Use,90.511,2021
Sri Lanka,LKA,Employment and Time Use,90.511,2022
Sri Lanka,LKA,Employment and Time Use,57.664,2023
Sri Lanka,LKA,Entrepreneurship,0.000,1960
Sri Lanka,LKA,Entrepreneurship,0.000,1961
Sri Lanka,LKA,Entrepreneurship,0.000,1962
Sri Lanka,LKA,Entrepreneurship,0.000,1963
Sri Lanka,LKA,Entrepreneurship,0.000,1964
Sri Lanka,LKA,Entrepreneurship,0.000,1965
Sri Lanka,LKA,Entrepreneurship,0.000,1966
Sri Lanka,LKA,Entrepreneurship,0.000,1967
Sri Lanka,LKA,Entrepreneurship,0.000,1968
Sri Lanka,LKA,Entrepreneurship,0.000,1969
Sri Lanka,LKA,Entrepreneurship,9.375,1970
Sri Lanka,LKA,Entrepreneurship,9.375,1971
Sri Lanka,LKA,Entrepreneurship,9.375,1972
Sri Lanka,LKA,Entrepreneurship,9.375,1973
Sri Lanka,LKA,Entrepreneurship,9.375,1974
Sri Lanka,LKA,Entrepreneurship,9.375,1975
Sri Lanka,LKA,Entrepreneurship,9.375,1976
Sri Lanka,LKA,Entrepreneurship,9.375,1977
Sri Lanka,LKA,Entrepreneurship,9.375,1978
Sri Lanka,LKA,Entrepreneurship,9.375,1979
Sri Lanka,LKA,Entrepreneurship,9.375,1980
Sri Lanka,LKA,Entrepreneurship,9.375,1981
Sri Lanka,LKA,Entrepreneurship,9.375,1982
Sri Lanka,LKA,Entrepreneurship,9.375,1983
Sri Lanka,LKA,Entrepreneurship,9.375,1984
Sri Lanka,LKA,Entrepreneurship,9.375,1985
Sri Lanka,LKA,Entrepreneurship,9.375,1986
Sri Lanka,LKA,Entrepreneurship,9.375,1987
Sri Lanka,LKA,Entrepreneurship,9.375,1988
Sri Lanka,LKA,Entrepreneurship,9.375,1989
Sri Lanka,LKA,Entrepreneurship,9.375,1990
Sri Lanka,LKA,Entrepreneurship,9.375,1991
Sri Lanka,LKA,Entrepreneurship,9.375,1992
Sri Lanka,LKA,Entrepreneurship,9.375,1993
Sri Lanka,LKA,Entrepreneurship,9.375,1994
Sri Lanka,LKA,Entrepreneurship,9.375,1995
Sri Lanka,LKA,Entrepreneurship,9.375,1996
Sri Lanka,LKA,Entrepreneurship,9.375,1997
Sri Lanka,LKA,Entrepreneurship,9.375,1998
Sri Lanka,LKA,Entrepreneurship,9.375,1999
Sri Lanka,LKA,Entrepreneurship,9.375,2000
Sri Lanka,LKA,Entrepreneurship,9.375,2001
Sri Lanka,LKA,Entrepreneurship,9.375,2002
Sri Lanka,LKA,Entrepreneurship,37.500,2003
Sri Lanka,LKA,Entrepreneurship,37.500,2004
Sri Lanka,LKA,Entrepreneurship,37.500,2005
Sri Lanka,LKA,Entrepreneurship,37.500,2006
Sri Lanka,LKA,Entrepreneurship,37.500,2007
Sri Lanka,LKA,Entrepreneurship,37.500,2008
Sri Lanka,LKA,Entrepreneurship,37.500,2009
Sri Lanka,LKA,Entrepreneurship,37.500,2010
Sri Lanka,LKA,Entrepreneurship,43.750,2011
Sri Lanka,LKA,Entrepreneurship,37.500,2012
Sri Lanka,LKA,Entrepreneurship,37.500,2013
Sri Lanka,LKA,Entrepreneurship,56.250,2014
Sri Lanka,LKA,Entrepreneurship,37.500,2015
Sri Lanka,LKA,Entrepreneurship,37.500,2016
Sri Lanka,LKA,Entrepreneurship,56.250,2017
Sri Lanka,LKA,Entrepreneurship,37.500,2018
Sri Lanka,LKA,Entrepreneurship,37.500,2019
Sri Lanka,LKA,Entrepreneurship,9.375,2020
Sri Lanka,LKA,Entrepreneurship,9.375,2021
Sri Lanka,LKA,Entrepreneurship,9.375,2022
Sri Lanka,LKA,Entrepreneurship,9.375,2023
Sri Lanka,LKA,Environment,0.000,1960
Sri Lanka,LKA,Environment,0.000,1961
Sri Lanka,LKA,Environment,0.000,1962
Sri Lanka,LKA,Environment,0.000,1963
Sri Lanka,LKA,Environment,0.000,1964
Sri Lanka,LKA,Environment,0.000,1965
Sri Lanka,LKA,Environment,0.000,1966
Sri Lanka,LKA,Environment,0.000,1967
Sri Lanka,LKA,Environment,0.000,1968
Sri Lanka,LKA,Environment,0.000,1969
Sri Lanka,LKA,Environment,0.000,1970
Sri Lanka,LKA,Environment,0.000,1971
Sri Lanka,LKA,Environment,0.000,1972
Sri Lanka,LKA,Environment,0.000,1973
Sri Lanka,LKA,Environment,0.000,1974
Sri Lanka,LKA,Environment,0.000,1975
Sri Lanka,LKA,Environment,0.000,1976
Sri Lanka,LKA,Environment,0.000,1977
Sri Lanka,LKA,Environment,0.000,1978
Sri Lanka,LKA,Environment,0.000,1979
Sri Lanka,LKA,Environment,0.000,1980
Sri Lanka,LKA,Environment,0.000,1981
Sri Lanka,LKA,Environment,0.000,1982
Sri Lanka,LKA,Environment,0.000,1983
Sri Lanka,LKA,Environment,0.000,1984
Sri Lanka,LKA,Environment,0.000,1985
Sri Lanka,LKA,Environment,0.000,1986
Sri Lanka,LKA,Environment,0.000,1987
Sri Lanka,LKA,Environment,0.000,1988
Sri Lanka,LKA,Environment,0.000,1989
Sri Lanka,LKA,Environment,0.000,1990
Sri Lanka,LKA,Environment,0.000,1991
Sri Lanka,LKA,Environment,0.000,1992
Sri Lanka,LKA,Environment,0.000,1993
Sri Lanka,LKA,Environment,0.000,1994
Sri Lanka,LKA,Environment,0.000,1995
Sri Lanka,LKA,Environment,0.000,1996
Sri Lanka,LKA,Environment,0.000,1997
Sri Lanka,LKA,Environment,0.000,1998
Sri Lanka,LKA,Environment,0.000,1999
Sri Lanka,LKA,Environment,10.000,2000
Sri Lanka,LKA,Environment,10.000,2001
Sri Lanka,LKA,Environment,10.000,2002
