Country Name,Country Code,Topic,% of available indicators,Year
Lesotho,LSO,Assets,0.000,1960
Lesotho,LSO,Assets,0.000,1961
Lesotho,LSO,Assets,0.000,1962
Lesotho,LSO,Assets,0.000,1963
Lesotho,LSO,Assets,0.000,1964
Lesotho,LSO,Assets,0.000,1965
Lesotho,LSO,Assets,0.000,1966
Lesotho,LSO,Assets,0.000,1967
Lesotho,LSO,Assets,0.000,1968
Lesotho,LSO,Assets,0.000,1969
Lesotho,LSO,Assets,2.208,1970
Lesotho,LSO,Assets,2.208,1971
Lesotho,LSO,Assets,2.208,1972
Lesotho,LSO,Assets,2.208,1973
Lesotho,LSO,Assets,2.208,1974
Lesotho,LSO,Assets,2.208,1975
Lesotho,LSO,Assets,2.208,1976
Lesotho,LSO,Assets,2.208,1977
Lesotho,LSO,Assets,2.208,1978
Lesotho,LSO,Assets,2.208,1979
Lesotho,LSO,Assets,2.208,1980
Lesotho,LSO,Assets,2.208,1981
Lesotho,LSO,Assets,2.208,1982
Lesotho,LSO,Assets,2.208,1983
Lesotho,LSO,Assets,2.208,1984
Lesotho,LSO,Assets,2.208,1985
Lesotho,LSO,Assets,2.208,1986
Lesotho,LSO,Assets,2.208,1987
Lesotho,LSO,Assets,2.208,1988
Lesotho,LSO,Assets,2.208,1989
Lesotho,LSO,Assets,2.208,1990
Lesotho,LSO,Assets,2.208,1991
Lesotho,LSO,Assets,2.208,1992
Lesotho,LSO,Assets,2.208,1993
Lesotho,LSO,Assets,2.208,1994
Lesotho,LSO,Assets,2.208,1995
Lesotho,LSO,Assets,2.208,1996
Lesotho,LSO,Assets,2.208,1997
Lesotho,LSO,Assets,2.208,1998
Lesotho,LSO,Assets,2.208,1999
Lesotho,LSO,Assets,2.208,2000
Lesotho,LSO,Assets,2.208,2001
Lesotho,LSO,Assets,2.208,2002
Lesotho,LSO,Assets,2.208,2003
Lesotho,LSO,Assets,2.208,2004
Lesotho,LSO,Assets,2.208,2005
Lesotho,LSO,Assets,2.208,2006
Lesotho,LSO,Assets,2.208,2007
Lesotho,LSO,Assets,2.208,2008
Lesotho,LSO,Assets,2.208,2009
Lesotho,LSO,Assets,2.208,2010
Lesotho,LSO,Assets,10.726,2011
Lesotho,LSO,Assets,2.208,2012
Lesotho,LSO,Assets,2.208,2013
