Country Name,Country Code,Topic,% of available indicators,Year
Luxembourg,LUX,Assets,0.000,1960
Luxembourg,LUX,Assets,0.000,1961
Luxembourg,LUX,Assets,0.000,1962
Luxembourg,LUX,Assets,0.000,1963
Luxembourg,LUX,Assets,0.000,1964
Luxembourg,LUX,Assets,0.000,1965
Luxembourg,LUX,Assets,0.000,1966
Luxembourg,LUX,Assets,0.000,1967
Luxembourg,LUX,Assets,0.000,1968
Luxembourg,LUX,Assets,0.000,1969
Luxembourg,LUX,Assets,2.208,1970
Luxembourg,LUX,Assets,2.208,1971
Luxembourg,LUX,Assets,2.208,1972
Luxembourg,LUX,Assets,2.208,1973
Luxembourg,LUX,Assets,2.208,1974
Luxembourg,LUX,Assets,2.208,1975
Luxembourg,LUX,Assets,2.208,1976
Luxembourg,LUX,Assets,2.208,1977
Luxembourg,LUX,Assets,2.208,1978
Luxembourg,LUX,Assets,2.208,1979
Luxembourg,LUX,Assets,2.208,1980
Luxembourg,LUX,Assets,2.208,1981
Luxembourg,LUX,Assets,2.208,1982
Luxembourg,LUX,Assets,2.208,1983
Luxembourg,LUX,Assets,2.208,1984
Luxembourg,LUX,Assets,2.208,1985
Luxembourg,LUX,Assets,2.208,1986
Luxembourg,LUX,Assets,2.208,1987
Luxembourg,LUX,Assets,2.208,1988
Luxembourg,LUX,Assets,2.208,1989
Luxembourg,LUX,Assets,2.208,1990
Luxembourg,LUX,Assets,2.208,1991
Luxembourg,LUX,Assets,2.208,1992
Luxembourg,LUX,Assets,2.208,1993
Luxembourg,LUX,Assets,2.208,1994
Luxembourg,LUX,Assets,2.208,1995
Luxembourg,LUX,Assets,2.208,1996
Luxembourg,LUX,Assets,2.208,1997
Luxembourg,LUX,Assets,2.208,1998
Luxembourg,LUX,Assets,2.208,1999
Luxembourg,LUX,Assets,2.208,2000
Luxembourg,LUX,Assets,2.208,2001
Luxembourg,LUX,Assets,2.208,2002
Luxembourg,LUX,Assets,2.208,2003
Luxembourg,LUX,Assets,2.208,2004
Luxembourg,LUX,Assets,2.208,2005
Luxembourg,LUX,Assets,2.208,2006
Luxembourg,LUX,Assets,2.208,2007
Luxembourg,LUX,Assets,2.208,2008
Luxembourg,LUX,Assets,2.208,2009
Luxembourg,LUX,Assets,2.208,2010
Luxembourg,LUX,Assets,10.726,2011
Luxembourg,LUX,Assets,2.208,2012
Luxembourg,LUX,Assets,2.208,2013
Luxembourg,LUX,Assets,24.921,2014
Luxembourg,LUX,Assets,2.208,2015
Luxembourg,LUX,Assets,2.208,2016
Luxembourg,LUX,Assets,26.814,2017
Luxembourg,LUX,Assets,2.208,2018
Luxembourg,LUX,Assets,2.208,2019
Luxembourg,LUX,Assets,2.208,2020
Luxembourg,LUX,Assets,2.208,2021
Luxembourg,LUX,Assets,2.208,2022
Luxembourg,LUX,Assets,2.208,2023
Luxembourg,LUX,Children 0-14,19.231,1960
Luxembourg,LUX,Children 0-14,19.231,1961
Luxembourg,LUX,Children 0-14,19.231,1962
Luxembourg,LUX,Children 0-14,19.231,1963
Luxembourg,LUX,Children 0-14,19.231,1964
Luxembourg,LUX,Children 0-14,19.231,1965
Luxembourg,LUX,Children 0-14,19.231,1966
Luxembourg,LUX,Children 0-14,19.231,1967
Luxembourg,LUX,Children 0-14,19.231,1968
Luxembourg,LUX,Children 0-14,19.231,1969
Luxembourg,LUX,Children 0-14,23.846,1970
Luxembourg,LUX,Children 0-14,27.692,1971
