Country Name,Country Code,Topic,% of available indicators,Year
"Macao SAR, China",MAC,Assets,0.000,1960
"Macao SAR, China",MAC,Assets,0.000,1961
"Macao SAR, China",MAC,Assets,0.000,1962
"Macao SAR, China",MAC,Assets,0.000,1963
"Macao SAR, China",MAC,Assets,0.000,1964
"Macao SAR, China",MAC,Assets,0.000,1965
"Macao SAR, China",MAC,Assets,0.000,1966
"Macao SAR, China",MAC,Assets,0.000,1967
"Macao SAR, China",MAC,Assets,0.000,1968
"Macao SAR, China",MAC,Assets,0.000,1969
"Macao SAR, China",MAC,Assets,0.000,1970
"Macao SAR, China",MAC,Assets,0.000,1971
"Macao SAR, China",MAC,Assets,0.000,1972
"Macao SAR, China",MAC,Assets,0.000,1973
"Macao SAR, China",MAC,Assets,0.000,1974
"Macao SAR, China",MAC,Assets,0.000,1975
"Macao SAR, China",MAC,Assets,0.000,1976
"Macao SAR, China",MAC,Assets,0.000,1977
"Macao SAR, China",MAC,Assets,0.000,1978
"Macao SAR, China",MAC,Assets,0.000,1979
"Macao SAR, China",MAC,Assets,0.000,1980
"Macao SAR, China",MAC,Assets,0.000,1981
"Macao SAR, China",MAC,Assets,0.000,1982
"Macao SAR, China",MAC,Assets,0.000,1983
"Macao SAR, China",MAC,Assets,0.000,1984
"Macao SAR, China",MAC,Assets,0.000,1985
"Macao SAR, China",MAC,Assets,0.000,1986
"Macao SAR, China",MAC,Assets,0.000,1987
"Macao SAR, China",MAC,Assets,0.000,1988
"Macao SAR, China",MAC,Assets,0.000,1989
"Macao SAR, China",MAC,Assets,0.000,1990
"Macao SAR, China",MAC,Assets,0.000,1991
"Macao SAR, China",MAC,Assets,0.000,1992
"Macao SAR, China",MAC,Assets,0.000,1993
"Macao SAR, China",MAC,Assets,0.000,1994
"Macao SAR, China",MAC,Assets,0.000,1995
"Macao SAR, China",MAC,Assets,0.000,1996
"Macao SAR, China",MAC,Assets,0.000,1997
"Macao SAR, China",MAC,Assets,0.000,1998
"Macao SAR, China",MAC,Assets,0.000,1999
"Macao SAR, China",MAC,Assets,0.000,2000
"Macao SAR, China",MAC,Assets,0.000,2001
"Macao SAR, China",MAC,Assets,0.000,2002
"Macao SAR, China",MAC,Assets,0.000,2003
"Macao SAR, China",MAC,Assets,0.000,2004
"Macao SAR, China",MAC,Assets,0.000,2005
"Macao SAR, China",MAC,Assets,0.000,2006
"Macao SAR, China",MAC,Assets,0.000,2007
"Macao SAR, China",MAC,Assets,0.000,2008
"Macao SAR, China",MAC,Assets,0.000,2009
"Macao SAR, China",MAC,Assets,0.000,2010
"Macao SAR, China",MAC,Assets,0.000,2011
"Macao SAR, China",MAC,Assets,0.000,2012
"Macao SAR, China",MAC,Assets,0.000,2013
"Macao SAR, China",MAC,Assets,0.000,2014
"Macao SAR, China",MAC,Assets,0.000,2015
"Macao SAR, China",MAC,Assets,0.000,2016
"Macao SAR, China",MAC,Assets,0.000,2017
"Macao SAR, China",MAC,Assets,0.000,2018
"Macao SAR, China",MAC,Assets,0.000,2019
"Macao SAR, China",MAC,Assets,0.000,2020
"Macao SAR, China",MAC,Assets,0.000,2021
"Macao SAR, China",MAC,Assets,0.000,2022
"Macao SAR, China",MAC,Assets,0.000,2023
"Macao SAR, China",MAC,Children 0-14,10.769,1960
"Macao SAR, China",MAC,Children 0-14,10.769,1961
"Macao SAR, China",MAC,Children 0-14,10.769,1962
"Macao SAR, China",MAC,Children 0-14,10.769,1963
"Macao SAR, China",MAC,Children 0-14,10.769,1964
"Macao SAR, China",MAC,Children 0-14,10.769,1965
"Macao SAR, China",MAC,Children 0-14,10.769,1966
"Macao SAR, China",MAC,Children 0-14,10.769,1967
"Macao SAR, China",MAC,Children 0-14,10.769,1968
"Macao SAR, China",MAC,Children 0-14,10.769,1969
"Macao SAR, China",MAC,Children 0-14,13.077,1970
"Macao SAR, China",MAC,Children 0-14,16.923,1971
"Macao SAR, China",MAC,Children 0-14,16.923,1972
"Macao SAR, China",MAC,Children 0-14,14.615,1973
"Macao SAR, China",MAC,Children 0-14,16.923,1974
"Macao SAR, China",MAC,Children 0-14,12.308,1975
"Macao SAR, China",MAC,Children 0-14,12.308,1976
"Macao SAR, China",MAC,Children 0-14,12.308,1977
"Macao SAR, China",MAC,Children 0-14,12.308,1978
"Macao SAR, China",MAC,Children 0-14,12.308,1979
"Macao SAR, China",MAC,Children 0-14,10.769,1980
"Macao SAR, China",MAC,Children 0-14,10.769,1981
"Macao SAR, China",MAC,Children 0-14,10.769,1982
"Macao SAR, China",MAC,Children 0-14,10.769,1983
"Macao SAR, China",MAC,Children 0-14,10.769,1984
"Macao SAR, China",MAC,Children 0-14,10.769,1985
"Macao SAR, China",MAC,Children 0-14,10.769,1986
"Macao SAR, China",MAC,Children 0-14,10.769,1987
"Macao SAR, China",MAC,Children 0-14,10.769,1988
"Macao SAR, China",MAC,Children 0-14,12.308,1989
"Macao SAR, China",MAC,Children 0-14,30.000,1990
"Macao SAR, China",MAC,Children 0-14,21.538,1991
"Macao SAR, China",MAC,Children 0-14,30.000,1992
"Macao SAR, China",MAC,Children 0-14,22.308,1993
"Macao SAR, China",MAC,Children 0-14,10.769,1994
"Macao SAR, China",MAC,Children 0-14,10.769,1995
"Macao SAR, China",MAC,Children 0-14,10.769,1996
"Macao SAR, China",MAC,Children 0-14,10.769,1997
"Macao SAR, China",MAC,Children 0-14,10.769,1998
"Macao SAR, China",MAC,Children 0-14,35.385,1999
"Macao SAR, China",MAC,Children 0-14,35.385,2000
"Macao SAR, China",MAC,Children 0-14,40.000,2001
"Macao SAR, China",MAC,Children 0-14,36.923,2002
"Macao SAR, China",MAC,Children 0-14,35.385,2003
"Macao SAR, China",MAC,Children 0-14,37.692,2004
"Macao SAR, China",MAC,Children 0-14,37.692,2005
"Macao SAR, China",MAC,Children 0-14,42.308,2006
"Macao SAR, China",MAC,Children 0-14,37.692,2007
"Macao SAR, China",MAC,Children 0-14,36.154,2008
"Macao SAR, China",MAC,Children 0-14,36.154,2009
"Macao SAR, China",MAC,Children 0-14,36.923,2010
"Macao SAR, China",MAC,Children 0-14,39.231,2011
"Macao SAR, China",MAC,Children 0-14,34.615,2012
"Macao SAR, China",MAC,Children 0-14,34.615,2013
"Macao SAR, China",MAC,Children 0-14,39.231,2014
"Macao SAR, China",MAC,Children 0-14,34.615,2015
"Macao SAR, China",MAC,Children 0-14,45.385,2016
"Macao SAR, China",MAC,Children 0-14,36.923,2017
"Macao SAR, China",MAC,Children 0-14,38.462,2018
"Macao SAR, China",MAC,Children 0-14,25.385,2019
"Macao SAR, China",MAC,Children 0-14,27.692,2020
"Macao SAR, China",MAC,Children 0-14,27.692,2021
"Macao SAR, China",MAC,Children 0-14,22.308,2022
"Macao SAR, China",MAC,Children 0-14,17.692,2023
"Macao SAR, China",MAC,Education,0.000,1960
"Macao SAR, China",MAC,Education,0.000,1961
"Macao SAR, China",MAC,Education,0.000,1962
"Macao SAR, China",MAC,Education,0.000,1963
"Macao SAR, China",MAC,Education,0.000,1964
"Macao SAR, China",MAC,Education,0.000,1965
"Macao SAR, China",MAC,Education,0.000,1966
"Macao SAR, China",MAC,Education,0.000,1967
"Macao SAR, China",MAC,Education,0.000,1968
"Macao SAR, China",MAC,Education,0.000,1969
"Macao SAR, China",MAC,Education,3.681,1970
"Macao SAR, China",MAC,Education,11.656,1971
"Macao SAR, China",MAC,Education,11.656,1972
"Macao SAR, China",MAC,Education,9.816,1973
"Macao SAR, China",MAC,Education,12.270,1974
"Macao SAR, China",MAC,Education,3.067,1975
"Macao SAR, China",MAC,Education,3.067,1976
"Macao SAR, China",MAC,Education,3.067,1977
"Macao SAR, China",MAC,Education,3.067,1978
"Macao SAR, China",MAC,Education,3.067,1979
"Macao SAR, China",MAC,Education,0.000,1980
"Macao SAR, China",MAC,Education,6.748,1981
"Macao SAR, China",MAC,Education,0.000,1982
"Macao SAR, China",MAC,Education,0.000,1983
"Macao SAR, China",MAC,Education,0.000,1984
"Macao SAR, China",MAC,Education,0.000,1985
"Macao SAR, China",MAC,Education,0.000,1986
"Macao SAR, China",MAC,Education,0.000,1987
"Macao SAR, China",MAC,Education,0.613,1988
