Country Name,Country Code,Topic,% of available indicators,Year
St. Martin (French part),MAF,Assets,0.000,1960
St. Martin (French part),MAF,Assets,0.000,1961
St. Martin (French part),MAF,Assets,0.000,1962
St. Martin (French part),MAF,Assets,0.000,1963
St. Martin (French part),MAF,Assets,0.000,1964
St. Martin (French part),MAF,Assets,0.000,1965
St. Martin (French part),MAF,Assets,0.000,1966
St. Martin (French part),MAF,Assets,0.000,1967
St. Martin (French part),MAF,Assets,0.000,1968
St. Martin (French part),MAF,Assets,0.000,1969
St. Martin (French part),MAF,Assets,0.000,1970
St. Martin (French part),MAF,Assets,0.000,1971
St. Martin (French part),MAF,Assets,0.000,1972
St. Martin (French part),MAF,Assets,0.000,1973
St. Martin (French part),MAF,Assets,0.000,1974
St. Martin (French part),MAF,Assets,0.000,1975
St. Martin (French part),MAF,Assets,0.000,1976
St. Martin (French part),MAF,Assets,0.000,1977
St. Martin (French part),MAF,Assets,0.000,1978
St. Martin (French part),MAF,Assets,0.000,1979
St. Martin (French part),MAF,Assets,0.000,1980
St. Martin (French part),MAF,Assets,0.000,1981
St. Martin (French part),MAF,Assets,0.000,1982
St. Martin (French part),MAF,Assets,0.000,1983
St. Martin (French part),MAF,Assets,0.000,1984
St. Martin (French part),MAF,Assets,0.000,1985
St. Martin (French part),MAF,Assets,0.000,1986
St. Martin (French part),MAF,Assets,0.000,1987
St. Martin (French part),MAF,Assets,0.000,1988
St. Martin (French part),MAF,Assets,0.000,1989
St. Martin (French part),MAF,Assets,0.000,1990
St. Martin (French part),MAF,Assets,0.000,1991
St. Martin (French part),MAF,Assets,0.000,1992
St. Martin (French part),MAF,Assets,0.000,1993
St. Martin (French part),MAF,Assets,0.000,1994
St. Martin (French part),MAF,Assets,0.000,1995
St. Martin (French part),MAF,Assets,0.000,1996
St. Martin (French part),MAF,Assets,0.000,1997
St. Martin (French part),MAF,Assets,0.000,1998
St. Martin (French part),MAF,Assets,0.000,1999
St. Martin (French part),MAF,Assets,0.000,2000
St. Martin (French part),MAF,Assets,0.000,2001
St. Martin (French part),MAF,Assets,0.000,2002
St. Martin (French part),MAF,Assets,0.000,2003
St. Martin (French part),MAF,Assets,0.000,2004
St. Martin (French part),MAF,Assets,0.000,2005
St. Martin (French part),MAF,Assets,0.000,2006
St. Martin (French part),MAF,Assets,0.000,2007
St. Martin (French part),MAF,Assets,0.000,2008
St. Martin (French part),MAF,Assets,0.000,2009
St. Martin (French part),MAF,Assets,0.000,2010
St. Martin (French part),MAF,Assets,0.000,2011
St. Martin (French part),MAF,Assets,0.000,2012
St. Martin (French part),MAF,Assets,0.000,2013
St. Martin (French part),MAF,Assets,0.000,2014
St. Martin (French part),MAF,Assets,0.000,2015
St. Martin (French part),MAF,Assets,0.000,2016
St. Martin (French part),MAF,Assets,0.000,2017
St. Martin (French part),MAF,Assets,0.000,2018
St. Martin (French part),MAF,Assets,0.000,2019
St. Martin (French part),MAF,Assets,0.000,2020
St. Martin (French part),MAF,Assets,0.000,2021
St. Martin (French part),MAF,Assets,0.000,2022
St. Martin (French part),MAF,Assets,0.000,2023
St. Martin (French part),MAF,Children 0-14,10.769,1960
St. Martin (French part),MAF,Children 0-14,10.769,1961
St. Martin (French part),MAF,Children 0-14,10.769,1962
St. Martin (French part),MAF,Children 0-14,10.769,1963
St. Martin (French part),MAF,Children 0-14,10.769,1964
St. Martin (French part),MAF,Children 0-14,10.769,1965
St. Martin (French part),MAF,Children 0-14,10.769,1966
St. Martin (French part),MAF,Children 0-14,10.769,1967
St. Martin (French part),MAF,Children 0-14,10.769,1968
St. Martin (French part),MAF,Children 0-14,10.769,1969
St. Martin (French part),MAF,Children 0-14,10.769,1970
St. Martin (French part),MAF,Children 0-14,10.769,1971
St. Martin (French part),MAF,Children 0-14,10.769,1972
St. Martin (French part),MAF,Children 0-14,10.769,1973
St. Martin (French part),MAF,Children 0-14,10.769,1974
St. Martin (French part),MAF,Children 0-14,10.769,1975
St. Martin (French part),MAF,Children 0-14,10.769,1976
St. Martin (French part),MAF,Children 0-14,10.769,1977
St. Martin (French part),MAF,Children 0-14,10.769,1978
St. Martin (French part),MAF,Children 0-14,10.769,1979
St. Martin (French part),MAF,Children 0-14,10.769,1980
St. Martin (French part),MAF,Children 0-14,10.769,1981
St. Martin (French part),MAF,Children 0-14,10.769,1982
St. Martin (French part),MAF,Children 0-14,10.769,1983
St. Martin (French part),MAF,Children 0-14,10.769,1984
St. Martin (French part),MAF,Children 0-14,10.769,1985
St. Martin (French part),MAF,Children 0-14,10.769,1986
St. Martin (French part),MAF,Children 0-14,10.769,1987
St. Martin (French part),MAF,Children 0-14,10.769,1988
St. Martin (French part),MAF,Children 0-14,10.769,1989
St. Martin (French part),MAF,Children 0-14,10.769,1990
St. Martin (French part),MAF,Children 0-14,10.769,1991
St. Martin (French part),MAF,Children 0-14,10.769,1992
St. Martin (French part),MAF,Children 0-14,10.769,1993
St. Martin (French part),MAF,Children 0-14,10.769,1994
St. Martin (French part),MAF,Children 0-14,10.769,1995
St. Martin (French part),MAF,Children 0-14,10.769,1996
St. Martin (French part),MAF,Children 0-14,10.769,1997
St. Martin (French part),MAF,Children 0-14,10.769,1998
St. Martin (French part),MAF,Children 0-14,10.769,1999
St. Martin (French part),MAF,Children 0-14,10.769,2000
St. Martin (French part),MAF,Children 0-14,10.769,2001
St. Martin (French part),MAF,Children 0-14,10.769,2002
St. Martin (French part),MAF,Children 0-14,10.769,2003
St. Martin (French part),MAF,Children 0-14,10.769,2004
St. Martin (French part),MAF,Children 0-14,10.769,2005
St. Martin (French part),MAF,Children 0-14,10.769,2006
St. Martin (French part),MAF,Children 0-14,10.769,2007
St. Martin (French part),MAF,Children 0-14,10.769,2008
St. Martin (French part),MAF,Children 0-14,10.769,2009
St. Martin (French part),MAF,Children 0-14,10.769,2010
St. Martin (French part),MAF,Children 0-14,10.769,2011
St. Martin (French part),MAF,Children 0-14,10.769,2012
St. Martin (French part),MAF,Children 0-14,10.769,2013
St. Martin (French part),MAF,Children 0-14,10.769,2014
St. Martin (French part),MAF,Children 0-14,10.769,2015
St. Martin (French part),MAF,Children 0-14,10.769,2016
St. Martin (French part),MAF,Children 0-14,10.769,2017
St. Martin (French part),MAF,Children 0-14,10.769,2018
St. Martin (French part),MAF,Children 0-14,10.769,2019
St. Martin (French part),MAF,Children 0-14,10.769,2020
St. Martin (French part),MAF,Children 0-14,10.769,2021
St. Martin (French part),MAF,Children 0-14,10.769,2022
St. Martin (French part),MAF,Children 0-14,7.692,2023
St. Martin (French part),MAF,Education,0.000,1960
St. Martin (French part),MAF,Education,0.000,1961
St. Martin (French part),MAF,Education,0.000,1962
St. Martin (French part),MAF,Education,0.000,1963
St. Martin (French part),MAF,Education,0.000,1964
St. Martin (French part),MAF,Education,0.000,1965
St. Martin (French part),MAF,Education,0.000,1966
St. Martin (French part),MAF,Education,0.000,1967
St. Martin (French part),MAF,Education,0.000,1968
St. Martin (French part),MAF,Education,0.000,1969
St. Martin (French part),MAF,Education,0.000,1970
St. Martin (French part),MAF,Education,0.000,1971
St. Martin (French part),MAF,Education,0.000,1972
St. Martin (French part),MAF,Education,0.000,1973
St. Martin (French part),MAF,Education,0.000,1974
St. Martin (French part),MAF,Education,0.000,1975
St. Martin (French part),MAF,Education,0.000,1976
St. Martin (French part),MAF,Education,0.000,1977
St. Martin (French part),MAF,Education,0.000,1978
St. Martin (French part),MAF,Education,0.000,1979
St. Martin (French part),MAF,Education,0.000,1980
