Country Name,Country Code,Topic,% of available indicators,Year
Monaco,MCO,Assets,0.000,1960
Monaco,MCO,Assets,0.000,1961
Monaco,MCO,Assets,0.000,1962
Monaco,MCO,Assets,0.000,1963
Monaco,MCO,Assets,0.000,1964
Monaco,MCO,Assets,0.000,1965
Monaco,MCO,Assets,0.000,1966
Monaco,MCO,Assets,0.000,1967
Monaco,MCO,Assets,0.000,1968
Monaco,MCO,Assets,0.000,1969
Monaco,MCO,Assets,0.000,1970
Monaco,MCO,Assets,0.000,1971
Monaco,MCO,Assets,0.000,1972
Monaco,MCO,Assets,0.000,1973
Monaco,MCO,Assets,0.000,1974
Monaco,MCO,Assets,0.000,1975
Monaco,MCO,Assets,0.000,1976
Monaco,MCO,Assets,0.000,1977
Monaco,MCO,Assets,0.000,1978
Monaco,MCO,Assets,0.000,1979
Monaco,MCO,Assets,0.000,1980
Monaco,MCO,Assets,0.000,1981
Monaco,MCO,Assets,0.000,1982
Monaco,MCO,Assets,0.000,1983
Monaco,MCO,Assets,0.000,1984
Monaco,MCO,Assets,0.000,1985
Monaco,MCO,Assets,0.000,1986
Monaco,MCO,Assets,0.000,1987
Monaco,MCO,Assets,0.000,1988
Monaco,MCO,Assets,0.000,1989
Monaco,MCO,Assets,0.000,1990
Monaco,MCO,Assets,0.000,1991
Monaco,MCO,Assets,0.000,1992
Monaco,MCO,Assets,0.000,1993
Monaco,MCO,Assets,0.000,1994
Monaco,MCO,Assets,0.000,1995
Monaco,MCO,Assets,0.000,1996
Monaco,MCO,Assets,0.000,1997
Monaco,MCO,Assets,0.000,1998
Monaco,MCO,Assets,0.000,1999
Monaco,MCO,Assets,0.000,2000
Monaco,MCO,Assets,0.000,2001
Monaco,MCO,Assets,0.000,2002
Monaco,MCO,Assets,0.000,2003
Monaco,MCO,Assets,0.000,2004
Monaco,MCO,Assets,0.000,2005
Monaco,MCO,Assets,0.000,2006
Monaco,MCO,Assets,0.000,2007
Monaco,MCO,Assets,0.000,2008
Monaco,MCO,Assets,0.000,2009
Monaco,MCO,Assets,0.000,2010
Monaco,MCO,Assets,0.000,2011
Monaco,MCO,Assets,0.000,2012
Monaco,MCO,Assets,0.000,2013
Monaco,MCO,Assets,0.000,2014
Monaco,MCO,Assets,0.000,2015
Monaco,MCO,Assets,0.000,2016
Monaco,MCO,Assets,0.000,2017
Monaco,MCO,Assets,0.000,2018
Monaco,MCO,Assets,0.000,2019
Monaco,MCO,Assets,0.000,2020
Monaco,MCO,Assets,0.000,2021
Monaco,MCO,Assets,0.000,2022
Monaco,MCO,Assets,0.000,2023
Monaco,MCO,Children 0-14,8.462,1960
Monaco,MCO,Children 0-14,8.462,1961
Monaco,MCO,Children 0-14,8.462,1962
Monaco,MCO,Children 0-14,8.462,1963
Monaco,MCO,Children 0-14,8.462,1964
Monaco,MCO,Children 0-14,8.462,1965
Monaco,MCO,Children 0-14,8.462,1966
Monaco,MCO,Children 0-14,8.462,1967
Monaco,MCO,Children 0-14,8.462,1968
Monaco,MCO,Children 0-14,8.462,1969
Monaco,MCO,Children 0-14,8.462,1970
Monaco,MCO,Children 0-14,11.538,1971
Monaco,MCO,Children 0-14,11.538,1972
Monaco,MCO,Children 0-14,8.462,1973
Monaco,MCO,Children 0-14,8.462,1974
Monaco,MCO,Children 0-14,10.769,1975
Monaco,MCO,Children 0-14,8.462,1976
Monaco,MCO,Children 0-14,8.462,1977
Monaco,MCO,Children 0-14,11.538,1978
Monaco,MCO,Children 0-14,8.462,1979
Monaco,MCO,Children 0-14,8.462,1980
Monaco,MCO,Children 0-14,8.462,1981
Monaco,MCO,Children 0-14,8.462,1982
Monaco,MCO,Children 0-14,9.231,1983
Monaco,MCO,Children 0-14,8.462,1984
Monaco,MCO,Children 0-14,13.077,1985
Monaco,MCO,Children 0-14,15.385,1986
Monaco,MCO,Children 0-14,15.385,1987
Monaco,MCO,Children 0-14,16.923,1988
Monaco,MCO,Children 0-14,16.923,1989
Monaco,MCO,Children 0-14,18.462,1990
Monaco,MCO,Children 0-14,25.385,1991
Monaco,MCO,Children 0-14,26.154,1992
Monaco,MCO,Children 0-14,18.462,1993
Monaco,MCO,Children 0-14,21.538,1994
Monaco,MCO,Children 0-14,21.538,1995
Monaco,MCO,Children 0-14,21.538,1996
Monaco,MCO,Children 0-14,21.538,1997
Monaco,MCO,Children 0-14,24.615,1998
Monaco,MCO,Children 0-14,21.538,1999
Monaco,MCO,Children 0-14,21.538,2000
Monaco,MCO,Children 0-14,19.231,2001
Monaco,MCO,Children 0-14,18.462,2002
Monaco,MCO,Children 0-14,18.462,2003
Monaco,MCO,Children 0-14,18.462,2004
Monaco,MCO,Children 0-14,18.462,2005
Monaco,MCO,Children 0-14,19.231,2006
Monaco,MCO,Children 0-14,18.462,2007
Monaco,MCO,Children 0-14,21.538,2008
Monaco,MCO,Children 0-14,22.308,2009
Monaco,MCO,Children 0-14,19.231,2010
Monaco,MCO,Children 0-14,19.231,2011
Monaco,MCO,Children 0-14,19.231,2012
Monaco,MCO,Children 0-14,19.231,2013
Monaco,MCO,Children 0-14,20.000,2014
Monaco,MCO,Children 0-14,19.231,2015
Monaco,MCO,Children 0-14,30.769,2016
Monaco,MCO,Children 0-14,20.000,2017
Monaco,MCO,Children 0-14,19.231,2018
Monaco,MCO,Children 0-14,19.231,2019
Monaco,MCO,Children 0-14,22.308,2020
Monaco,MCO,Children 0-14,18.462,2021
Monaco,MCO,Children 0-14,19.231,2022
Monaco,MCO,Children 0-14,9.231,2023
Monaco,MCO,Education,0.000,1960
Monaco,MCO,Education,0.000,1961
Monaco,MCO,Education,0.000,1962
Monaco,MCO,Education,0.000,1963
Monaco,MCO,Education,0.000,1964
Monaco,MCO,Education,0.000,1965
Monaco,MCO,Education,0.000,1966
Monaco,MCO,Education,0.000,1967
Monaco,MCO,Education,0.000,1968
Monaco,MCO,Education,0.000,1969
Monaco,MCO,Education,0.000,1970
Monaco,MCO,Education,4.294,1971
Monaco,MCO,Education,7.975,1972
Monaco,MCO,Education,1.227,1973
Monaco,MCO,Education,1.227,1974
Monaco,MCO,Education,3.681,1975
Monaco,MCO,Education,0.000,1976
Monaco,MCO,Education,0.613,1977
Monaco,MCO,Education,8.589,1978
Monaco,MCO,Education,0.000,1979
Monaco,MCO,Education,0.000,1980
Monaco,MCO,Education,0.000,1981
Monaco,MCO,Education,0.000,1982
Monaco,MCO,Education,2.454,1983
Monaco,MCO,Education,0.000,1984
Monaco,MCO,Education,0.000,1985
Monaco,MCO,Education,0.613,1986
Monaco,MCO,Education,0.000,1987
Monaco,MCO,Education,0.613,1988
Monaco,MCO,Education,0.613,1989
