Country Name,Country Code,Topic,% of available indicators,Year
Moldova,MDA,Assets,0.000,1960
Moldova,MDA,Assets,0.000,1961
Moldova,MDA,Assets,0.000,1962
Moldova,MDA,Assets,0.000,1963
Moldova,MDA,Assets,0.000,1964
Moldova,MDA,Assets,0.000,1965
Moldova,MDA,Assets,0.000,1966
Moldova,MDA,Assets,0.000,1967
Moldova,MDA,Assets,0.000,1968
Moldova,MDA,Assets,0.000,1969
Moldova,MDA,Assets,2.208,1970
Moldova,MDA,Assets,2.208,1971
Moldova,MDA,Assets,2.208,1972
Moldova,MDA,Assets,2.208,1973
Moldova,MDA,Assets,2.208,1974
Moldova,MDA,Assets,2.208,1975
Moldova,MDA,Assets,2.208,1976
Moldova,MDA,Assets,2.208,1977
Moldova,MDA,Assets,2.208,1978
Moldova,MDA,Assets,2.208,1979
Moldova,MDA,Assets,2.208,1980
Moldova,MDA,Assets,2.208,1981
Moldova,MDA,Assets,2.208,1982
Moldova,MDA,Assets,2.208,1983
Moldova,MDA,Assets,2.208,1984
Moldova,MDA,Assets,2.208,1985
Moldova,MDA,Assets,2.208,1986
Moldova,MDA,Assets,2.208,1987
Moldova,MDA,Assets,2.208,1988
Moldova,MDA,Assets,2.208,1989
Moldova,MDA,Assets,2.208,1990
Moldova,MDA,Assets,2.208,1991
Moldova,MDA,Assets,2.208,1992
Moldova,MDA,Assets,2.208,1993
Moldova,MDA,Assets,2.208,1994
Moldova,MDA,Assets,2.208,1995
Moldova,MDA,Assets,2.208,1996
Moldova,MDA,Assets,2.208,1997
Moldova,MDA,Assets,2.208,1998
Moldova,MDA,Assets,2.208,1999
Moldova,MDA,Assets,2.208,2000
Moldova,MDA,Assets,2.208,2001
Moldova,MDA,Assets,2.208,2002
Moldova,MDA,Assets,2.208,2003
Moldova,MDA,Assets,2.208,2004
Moldova,MDA,Assets,2.208,2005
Moldova,MDA,Assets,2.208,2006
Moldova,MDA,Assets,2.208,2007
Moldova,MDA,Assets,2.208,2008
Moldova,MDA,Assets,2.208,2009
Moldova,MDA,Assets,2.208,2010
Moldova,MDA,Assets,11.672,2011
Moldova,MDA,Assets,2.208,2012
Moldova,MDA,Assets,2.208,2013
Moldova,MDA,Assets,30.599,2014
Moldova,MDA,Assets,2.208,2015
Moldova,MDA,Assets,2.208,2016
Moldova,MDA,Assets,33.123,2017
Moldova,MDA,Assets,2.208,2018
Moldova,MDA,Assets,2.208,2019
Moldova,MDA,Assets,2.208,2020
Moldova,MDA,Assets,61.199,2021
Moldova,MDA,Assets,2.208,2022
Moldova,MDA,Assets,2.208,2023
Moldova,MDA,Children 0-14,10.769,1960
Moldova,MDA,Children 0-14,10.769,1961
Moldova,MDA,Children 0-14,10.769,1962
Moldova,MDA,Children 0-14,10.769,1963
Moldova,MDA,Children 0-14,10.769,1964
Moldova,MDA,Children 0-14,10.769,1965
Moldova,MDA,Children 0-14,10.769,1966
Moldova,MDA,Children 0-14,10.769,1967
Moldova,MDA,Children 0-14,10.769,1968
Moldova,MDA,Children 0-14,10.769,1969
Moldova,MDA,Children 0-14,10.769,1970
Moldova,MDA,Children 0-14,15.385,1971
Moldova,MDA,Children 0-14,17.692,1972
Moldova,MDA,Children 0-14,17.692,1973
Moldova,MDA,Children 0-14,17.692,1974
Moldova,MDA,Children 0-14,17.692,1975
Moldova,MDA,Children 0-14,19.231,1976
Moldova,MDA,Children 0-14,19.231,1977
Moldova,MDA,Children 0-14,19.231,1978
Moldova,MDA,Children 0-14,19.231,1979
Moldova,MDA,Children 0-14,19.231,1980
Moldova,MDA,Children 0-14,20.000,1981
Moldova,MDA,Children 0-14,19.231,1982
Moldova,MDA,Children 0-14,19.231,1983
Moldova,MDA,Children 0-14,19.231,1984
Moldova,MDA,Children 0-14,19.231,1985
Moldova,MDA,Children 0-14,20.000,1986
Moldova,MDA,Children 0-14,19.231,1987
Moldova,MDA,Children 0-14,19.231,1988
Moldova,MDA,Children 0-14,22.308,1989
Moldova,MDA,Children 0-14,20.000,1990
Moldova,MDA,Children 0-14,20.000,1991
Moldova,MDA,Children 0-14,21.538,1992
Moldova,MDA,Children 0-14,21.538,1993
Moldova,MDA,Children 0-14,21.538,1994
Moldova,MDA,Children 0-14,22.308,1995
Moldova,MDA,Children 0-14,20.769,1996
Moldova,MDA,Children 0-14,20.769,1997
Moldova,MDA,Children 0-14,20.769,1998
Moldova,MDA,Children 0-14,22.308,1999
Moldova,MDA,Children 0-14,43.846,2000
Moldova,MDA,Children 0-14,28.462,2001
Moldova,MDA,Children 0-14,26.923,2002
Moldova,MDA,Children 0-14,26.923,2003
Moldova,MDA,Children 0-14,26.923,2004
Moldova,MDA,Children 0-14,43.846,2005
Moldova,MDA,Children 0-14,30.769,2006
Moldova,MDA,Children 0-14,36.154,2007
Moldova,MDA,Children 0-14,36.154,2008
Moldova,MDA,Children 0-14,38.462,2009
Moldova,MDA,Children 0-14,54.615,2010
Moldova,MDA,Children 0-14,36.923,2011
Moldova,MDA,Children 0-14,52.308,2012
Moldova,MDA,Children 0-14,36.923,2013
Moldova,MDA,Children 0-14,47.692,2014
Moldova,MDA,Children 0-14,61.538,2015
Moldova,MDA,Children 0-14,47.692,2016
Moldova,MDA,Children 0-14,52.308,2017
Moldova,MDA,Children 0-14,50.000,2018
Moldova,MDA,Children 0-14,50.769,2019
Moldova,MDA,Children 0-14,41.538,2020
Moldova,MDA,Children 0-14,30.769,2021
Moldova,MDA,Children 0-14,27.692,2022
Moldova,MDA,Children 0-14,13.846,2023
Moldova,MDA,Education,0.000,1960
Moldova,MDA,Education,0.000,1961
Moldova,MDA,Education,0.000,1962
