Country Name,Country Code,Topic,% of available indicators,Year
Madagascar,MDG,Assets,0.000,1960
Madagascar,MDG,Assets,0.000,1961
Madagascar,MDG,Assets,0.000,1962
Madagascar,MDG,Assets,0.000,1963
Madagascar,MDG,Assets,0.000,1964
Madagascar,MDG,Assets,0.000,1965
Madagascar,MDG,Assets,0.000,1966
Madagascar,MDG,Assets,0.000,1967
Madagascar,MDG,Assets,0.000,1968
Madagascar,MDG,Assets,0.000,1969
Madagascar,MDG,Assets,2.208,1970
Madagascar,MDG,Assets,2.208,1971
Madagascar,MDG,Assets,2.208,1972
Madagascar,MDG,Assets,2.208,1973
Madagascar,MDG,Assets,2.208,1974
Madagascar,MDG,Assets,2.208,1975
Madagascar,MDG,Assets,2.208,1976
Madagascar,MDG,Assets,2.208,1977
Madagascar,MDG,Assets,2.208,1978
Madagascar,MDG,Assets,2.208,1979
Madagascar,MDG,Assets,2.208,1980
Madagascar,MDG,Assets,2.208,1981
Madagascar,MDG,Assets,2.208,1982
Madagascar,MDG,Assets,2.208,1983
Madagascar,MDG,Assets,2.208,1984
Madagascar,MDG,Assets,2.208,1985
Madagascar,MDG,Assets,2.208,1986
Madagascar,MDG,Assets,2.208,1987
Madagascar,MDG,Assets,2.208,1988
Madagascar,MDG,Assets,2.208,1989
Madagascar,MDG,Assets,2.208,1990
Madagascar,MDG,Assets,2.208,1991
Madagascar,MDG,Assets,2.208,1992
Madagascar,MDG,Assets,2.208,1993
Madagascar,MDG,Assets,2.208,1994
Madagascar,MDG,Assets,2.208,1995
Madagascar,MDG,Assets,2.208,1996
Madagascar,MDG,Assets,2.208,1997
Madagascar,MDG,Assets,2.208,1998
Madagascar,MDG,Assets,2.208,1999
Madagascar,MDG,Assets,2.208,2000
Madagascar,MDG,Assets,2.208,2001
Madagascar,MDG,Assets,2.208,2002
Madagascar,MDG,Assets,2.208,2003
Madagascar,MDG,Assets,2.208,2004
Madagascar,MDG,Assets,2.208,2005
Madagascar,MDG,Assets,2.208,2006
Madagascar,MDG,Assets,2.208,2007
Madagascar,MDG,Assets,2.208,2008
Madagascar,MDG,Assets,2.208,2009
Madagascar,MDG,Assets,2.208,2010
Madagascar,MDG,Assets,11.672,2011
Madagascar,MDG,Assets,2.208,2012
Madagascar,MDG,Assets,2.208,2013
Madagascar,MDG,Assets,30.599,2014
Madagascar,MDG,Assets,2.208,2015
Madagascar,MDG,Assets,2.208,2016
Madagascar,MDG,Assets,33.123,2017
Madagascar,MDG,Assets,2.208,2018
Madagascar,MDG,Assets,2.208,2019
Madagascar,MDG,Assets,2.208,2020
Madagascar,MDG,Assets,32.492,2021
Madagascar,MDG,Assets,62.461,2022
Madagascar,MDG,Assets,2.208,2023
Madagascar,MDG,Children 0-14,10.769,1960
Madagascar,MDG,Children 0-14,10.769,1961
Madagascar,MDG,Children 0-14,10.769,1962
Madagascar,MDG,Children 0-14,10.769,1963
Madagascar,MDG,Children 0-14,10.769,1964
Madagascar,MDG,Children 0-14,10.769,1965
Madagascar,MDG,Children 0-14,10.769,1966
Madagascar,MDG,Children 0-14,10.769,1967
Madagascar,MDG,Children 0-14,15.385,1968
Madagascar,MDG,Children 0-14,17.692,1969
Madagascar,MDG,Children 0-14,17.692,1970
Madagascar,MDG,Children 0-14,28.462,1971
Madagascar,MDG,Children 0-14,36.154,1972
Madagascar,MDG,Children 0-14,26.154,1973
Madagascar,MDG,Children 0-14,26.923,1974
Madagascar,MDG,Children 0-14,28.462,1975
Madagascar,MDG,Children 0-14,23.077,1976
Madagascar,MDG,Children 0-14,23.077,1977
Madagascar,MDG,Children 0-14,23.077,1978
Madagascar,MDG,Children 0-14,23.077,1979
Madagascar,MDG,Children 0-14,23.077,1980
Madagascar,MDG,Children 0-14,23.077,1981
Madagascar,MDG,Children 0-14,23.846,1982
Madagascar,MDG,Children 0-14,23.846,1983
Madagascar,MDG,Children 0-14,21.538,1984
Madagascar,MDG,Children 0-14,26.923,1985
Madagascar,MDG,Children 0-14,20.769,1986
Madagascar,MDG,Children 0-14,20.769,1987
Madagascar,MDG,Children 0-14,31.538,1988
Madagascar,MDG,Children 0-14,39.231,1989
Madagascar,MDG,Children 0-14,39.231,1990
Madagascar,MDG,Children 0-14,31.538,1991
Madagascar,MDG,Children 0-14,42.308,1992
Madagascar,MDG,Children 0-14,31.538,1993
Madagascar,MDG,Children 0-14,31.538,1994
Madagascar,MDG,Children 0-14,41.538,1995
Madagascar,MDG,Children 0-14,37.692,1996
Madagascar,MDG,Children 0-14,29.231,1997
Madagascar,MDG,Children 0-14,30.000,1998
Madagascar,MDG,Children 0-14,39.231,1999
Madagascar,MDG,Children 0-14,55.385,2000
Madagascar,MDG,Children 0-14,43.846,2001
Madagascar,MDG,Children 0-14,40.000,2002
Madagascar,MDG,Children 0-14,42.308,2003
Madagascar,MDG,Children 0-14,47.692,2004
Madagascar,MDG,Children 0-14,40.000,2005
Madagascar,MDG,Children 0-14,39.231,2006
Madagascar,MDG,Children 0-14,43.846,2007
Madagascar,MDG,Children 0-14,41.538,2008
Madagascar,MDG,Children 0-14,43.846,2009
Madagascar,MDG,Children 0-14,58.462,2010
Madagascar,MDG,Children 0-14,43.077,2011
Madagascar,MDG,Children 0-14,55.385,2012
Madagascar,MDG,Children 0-14,41.538,2013
Madagascar,MDG,Children 0-14,40.769,2014
Madagascar,MDG,Children 0-14,62.308,2015
Madagascar,MDG,Children 0-14,41.538,2016
Madagascar,MDG,Children 0-14,38.462,2017
Madagascar,MDG,Children 0-14,67.692,2018
Madagascar,MDG,Children 0-14,49.231,2019
Madagascar,MDG,Children 0-14,35.385,2020
Madagascar,MDG,Children 0-14,51.538,2021
Madagascar,MDG,Children 0-14,27.692,2022
Madagascar,MDG,Children 0-14,16.154,2023
Madagascar,MDG,Education,0.000,1960
Madagascar,MDG,Education,0.000,1961
Madagascar,MDG,Education,0.000,1962
Madagascar,MDG,Education,0.000,1963
Madagascar,MDG,Education,0.000,1964
Madagascar,MDG,Education,0.000,1965
Madagascar,MDG,Education,0.000,1966
Madagascar,MDG,Education,0.000,1967
Madagascar,MDG,Education,0.000,1968
Madagascar,MDG,Education,0.000,1969
Madagascar,MDG,Education,0.000,1970
Madagascar,MDG,Education,22.699,1971
Madagascar,MDG,Education,23.926,1972
Madagascar,MDG,Education,9.202,1973
Madagascar,MDG,Education,15.337,1974
Madagascar,MDG,Education,9.202,1975
Madagascar,MDG,Education,6.135,1976
