Country Name,Country Code,Topic,% of available indicators,Year
Maldives,MDV,Assets,0.000,1960
Maldives,MDV,Assets,0.000,1961
Maldives,MDV,Assets,0.000,1962
Maldives,MDV,Assets,0.000,1963
Maldives,MDV,Assets,0.000,1964
Maldives,MDV,Assets,0.000,1965
Maldives,MDV,Assets,0.000,1966
Maldives,MDV,Assets,0.000,1967
Maldives,MDV,Assets,0.000,1968
Maldives,MDV,Assets,0.000,1969
Maldives,MDV,Assets,2.208,1970
Maldives,MDV,Assets,2.208,1971
Maldives,MDV,Assets,2.208,1972
Maldives,MDV,Assets,2.208,1973
Maldives,MDV,Assets,2.208,1974
Maldives,MDV,Assets,2.208,1975
Maldives,MDV,Assets,2.208,1976
Maldives,MDV,Assets,2.208,1977
Maldives,MDV,Assets,2.208,1978
Maldives,MDV,Assets,2.208,1979
Maldives,MDV,Assets,2.208,1980
Maldives,MDV,Assets,2.208,1981
Maldives,MDV,Assets,2.208,1982
Maldives,MDV,Assets,2.208,1983
Maldives,MDV,Assets,2.208,1984
Maldives,MDV,Assets,2.208,1985
Maldives,MDV,Assets,2.208,1986
Maldives,MDV,Assets,2.208,1987
Maldives,MDV,Assets,2.208,1988
Maldives,MDV,Assets,2.208,1989
Maldives,MDV,Assets,2.208,1990
Maldives,MDV,Assets,2.208,1991
Maldives,MDV,Assets,2.208,1992
Maldives,MDV,Assets,2.208,1993
Maldives,MDV,Assets,2.208,1994
Maldives,MDV,Assets,2.208,1995
Maldives,MDV,Assets,2.208,1996
Maldives,MDV,Assets,2.208,1997
Maldives,MDV,Assets,2.208,1998
Maldives,MDV,Assets,2.208,1999
Maldives,MDV,Assets,2.208,2000
Maldives,MDV,Assets,2.208,2001
Maldives,MDV,Assets,2.208,2002
Maldives,MDV,Assets,2.208,2003
Maldives,MDV,Assets,2.208,2004
Maldives,MDV,Assets,2.208,2005
Maldives,MDV,Assets,2.208,2006
Maldives,MDV,Assets,2.208,2007
Maldives,MDV,Assets,2.208,2008
Maldives,MDV,Assets,2.208,2009
Maldives,MDV,Assets,2.208,2010
Maldives,MDV,Assets,2.208,2011
Maldives,MDV,Assets,2.208,2012
Maldives,MDV,Assets,2.208,2013
Maldives,MDV,Assets,2.208,2014
Maldives,MDV,Assets,2.208,2015
Maldives,MDV,Assets,2.208,2016
Maldives,MDV,Assets,48.580,2017
Maldives,MDV,Assets,2.208,2018
Maldives,MDV,Assets,2.208,2019
Maldives,MDV,Assets,2.208,2020
Maldives,MDV,Assets,2.208,2021
Maldives,MDV,Assets,2.208,2022
Maldives,MDV,Assets,2.208,2023
Maldives,MDV,Children 0-14,10.769,1960
Maldives,MDV,Children 0-14,10.769,1961
Maldives,MDV,Children 0-14,11.538,1962
Maldives,MDV,Children 0-14,11.538,1963
Maldives,MDV,Children 0-14,15.385,1964
Maldives,MDV,Children 0-14,17.692,1965
Maldives,MDV,Children 0-14,17.692,1966
Maldives,MDV,Children 0-14,17.692,1967
Maldives,MDV,Children 0-14,17.692,1968
Maldives,MDV,Children 0-14,19.231,1969
Maldives,MDV,Children 0-14,21.538,1970
Maldives,MDV,Children 0-14,21.538,1971
Maldives,MDV,Children 0-14,19.231,1972
Maldives,MDV,Children 0-14,19.231,1973
