Country Name,Country Code,Topic,% of available indicators,Year
Mexico,MEX,Assets,0.000,1960
Mexico,MEX,Assets,0.000,1961
Mexico,MEX,Assets,0.000,1962
Mexico,MEX,Assets,0.000,1963
Mexico,MEX,Assets,0.000,1964
Mexico,MEX,Assets,0.000,1965
Mexico,MEX,Assets,0.000,1966
Mexico,MEX,Assets,0.000,1967
Mexico,MEX,Assets,0.000,1968
Mexico,MEX,Assets,0.000,1969
Mexico,MEX,Assets,2.208,1970
Mexico,MEX,Assets,2.208,1971
Mexico,MEX,Assets,2.208,1972
Mexico,MEX,Assets,2.208,1973
Mexico,MEX,Assets,2.208,1974
Mexico,MEX,Assets,2.208,1975
Mexico,MEX,Assets,2.208,1976
Mexico,MEX,Assets,2.208,1977
Mexico,MEX,Assets,2.208,1978
Mexico,MEX,Assets,2.208,1979
Mexico,MEX,Assets,2.208,1980
Mexico,MEX,Assets,2.208,1981
Mexico,MEX,Assets,2.208,1982
Mexico,MEX,Assets,2.208,1983
Mexico,MEX,Assets,2.208,1984
Mexico,MEX,Assets,2.208,1985
Mexico,MEX,Assets,2.208,1986
Mexico,MEX,Assets,2.208,1987
Mexico,MEX,Assets,2.208,1988
Mexico,MEX,Assets,2.208,1989
Mexico,MEX,Assets,2.208,1990
Mexico,MEX,Assets,2.208,1991
Mexico,MEX,Assets,2.208,1992
Mexico,MEX,Assets,2.208,1993
Mexico,MEX,Assets,2.208,1994
Mexico,MEX,Assets,2.208,1995
Mexico,MEX,Assets,2.208,1996
Mexico,MEX,Assets,2.208,1997
Mexico,MEX,Assets,2.208,1998
Mexico,MEX,Assets,2.208,1999
Mexico,MEX,Assets,2.208,2000
Mexico,MEX,Assets,2.208,2001
Mexico,MEX,Assets,2.208,2002
Mexico,MEX,Assets,2.208,2003
Mexico,MEX,Assets,2.208,2004
Mexico,MEX,Assets,2.208,2005
Mexico,MEX,Assets,2.208,2006
Mexico,MEX,Assets,2.208,2007
Mexico,MEX,Assets,2.208,2008
Mexico,MEX,Assets,2.208,2009
Mexico,MEX,Assets,2.208,2010
Mexico,MEX,Assets,11.672,2011
Mexico,MEX,Assets,2.208,2012
Mexico,MEX,Assets,2.208,2013
Mexico,MEX,Assets,31.546,2014
Mexico,MEX,Assets,2.208,2015
Mexico,MEX,Assets,2.208,2016
Mexico,MEX,Assets,34.069,2017
Mexico,MEX,Assets,2.208,2018
Mexico,MEX,Assets,2.208,2019
Mexico,MEX,Assets,2.208,2020
Mexico,MEX,Assets,2.208,2021
Mexico,MEX,Assets,62.461,2022
Mexico,MEX,Assets,2.208,2023
Mexico,MEX,Children 0-14,19.231,1960
Mexico,MEX,Children 0-14,19.231,1961
Mexico,MEX,Children 0-14,19.231,1962
Mexico,MEX,Children 0-14,19.231,1963
Mexico,MEX,Children 0-14,19.231,1964
Mexico,MEX,Children 0-14,19.231,1965
Mexico,MEX,Children 0-14,19.231,1966
Mexico,MEX,Children 0-14,19.231,1967
Mexico,MEX,Children 0-14,19.231,1968
Mexico,MEX,Children 0-14,19.231,1969
Mexico,MEX,Children 0-14,19.231,1970
Mexico,MEX,Children 0-14,33.077,1971
Mexico,MEX,Children 0-14,25.385,1972
Mexico,MEX,Children 0-14,20.000,1973
Mexico,MEX,Children 0-14,23.846,1974
Mexico,MEX,Children 0-14,28.462,1975
Mexico,MEX,Children 0-14,30.000,1976
Mexico,MEX,Children 0-14,32.308,1977
Mexico,MEX,Children 0-14,27.692,1978
Mexico,MEX,Children 0-14,25.385,1979
Mexico,MEX,Children 0-14,32.308,1980
Mexico,MEX,Children 0-14,29.231,1981
Mexico,MEX,Children 0-14,29.231,1982
Mexico,MEX,Children 0-14,29.231,1983
Mexico,MEX,Children 0-14,28.462,1984
Mexico,MEX,Children 0-14,32.308,1985
Mexico,MEX,Children 0-14,32.308,1986
Mexico,MEX,Children 0-14,32.308,1987
Mexico,MEX,Children 0-14,43.846,1988
Mexico,MEX,Children 0-14,36.154,1989
Mexico,MEX,Children 0-14,36.923,1990
Mexico,MEX,Children 0-14,32.308,1991
Mexico,MEX,Children 0-14,33.846,1992
Mexico,MEX,Children 0-14,36.923,1993
Mexico,MEX,Children 0-14,36.923,1994
Mexico,MEX,Children 0-14,36.923,1995
Mexico,MEX,Children 0-14,36.923,1996
Mexico,MEX,Children 0-14,40.000,1997
Mexico,MEX,Children 0-14,50.769,1998
Mexico,MEX,Children 0-14,40.000,1999
Mexico,MEX,Children 0-14,60.769,2000
