Country Name,Country Code,Topic,% of available indicators,Year
Marshall Islands,MHL,Assets,0.000,1960
Marshall Islands,MHL,Assets,0.000,1961
Marshall Islands,MHL,Assets,0.000,1962
Marshall Islands,MHL,Assets,0.000,1963
Marshall Islands,MHL,Assets,0.000,1964
Marshall Islands,MHL,Assets,0.000,1965
Marshall Islands,MHL,Assets,0.000,1966
Marshall Islands,MHL,Assets,0.000,1967
Marshall Islands,MHL,Assets,0.000,1968
Marshall Islands,MHL,Assets,0.000,1969
Marshall Islands,MHL,Assets,2.208,1970
Marshall Islands,MHL,Assets,2.208,1971
Marshall Islands,MHL,Assets,2.208,1972
Marshall Islands,MHL,Assets,2.208,1973
Marshall Islands,MHL,Assets,2.208,1974
Marshall Islands,MHL,Assets,2.208,1975
Marshall Islands,MHL,Assets,2.208,1976
Marshall Islands,MHL,Assets,2.208,1977
Marshall Islands,MHL,Assets,2.208,1978
Marshall Islands,MHL,Assets,2.208,1979
Marshall Islands,MHL,Assets,2.208,1980
Marshall Islands,MHL,Assets,2.208,1981
Marshall Islands,MHL,Assets,2.208,1982
Marshall Islands,MHL,Assets,2.208,1983
Marshall Islands,MHL,Assets,2.208,1984
Marshall Islands,MHL,Assets,2.208,1985
Marshall Islands,MHL,Assets,2.208,1986
Marshall Islands,MHL,Assets,2.208,1987
Marshall Islands,MHL,Assets,2.208,1988
Marshall Islands,MHL,Assets,2.208,1989
Marshall Islands,MHL,Assets,2.208,1990
Marshall Islands,MHL,Assets,2.208,1991
Marshall Islands,MHL,Assets,2.208,1992
Marshall Islands,MHL,Assets,2.208,1993
Marshall Islands,MHL,Assets,2.208,1994
Marshall Islands,MHL,Assets,2.208,1995
Marshall Islands,MHL,Assets,2.208,1996
Marshall Islands,MHL,Assets,2.208,1997
Marshall Islands,MHL,Assets,2.208,1998
Marshall Islands,MHL,Assets,2.208,1999
Marshall Islands,MHL,Assets,2.208,2000
Marshall Islands,MHL,Assets,2.208,2001
Marshall Islands,MHL,Assets,2.208,2002
Marshall Islands,MHL,Assets,2.208,2003
Marshall Islands,MHL,Assets,2.208,2004
Marshall Islands,MHL,Assets,2.208,2005
Marshall Islands,MHL,Assets,2.208,2006
Marshall Islands,MHL,Assets,2.208,2007
Marshall Islands,MHL,Assets,2.208,2008
Marshall Islands,MHL,Assets,2.208,2009
Marshall Islands,MHL,Assets,2.208,2010
Marshall Islands,MHL,Assets,2.208,2011
Marshall Islands,MHL,Assets,2.208,2012
Marshall Islands,MHL,Assets,2.208,2013
Marshall Islands,MHL,Assets,2.208,2014
Marshall Islands,MHL,Assets,2.208,2015
Marshall Islands,MHL,Assets,2.208,2016
Marshall Islands,MHL,Assets,2.208,2017
Marshall Islands,MHL,Assets,2.208,2018
Marshall Islands,MHL,Assets,2.208,2019
Marshall Islands,MHL,Assets,2.208,2020
Marshall Islands,MHL,Assets,2.208,2021
Marshall Islands,MHL,Assets,2.208,2022
Marshall Islands,MHL,Assets,2.208,2023
Marshall Islands,MHL,Children 0-14,17.692,1960
Marshall Islands,MHL,Children 0-14,17.692,1961
Marshall Islands,MHL,Children 0-14,17.692,1962
Marshall Islands,MHL,Children 0-14,17.692,1963
Marshall Islands,MHL,Children 0-14,19.231,1964
Marshall Islands,MHL,Children 0-14,19.231,1965
Marshall Islands,MHL,Children 0-14,19.231,1966
Marshall Islands,MHL,Children 0-14,19.231,1967
Marshall Islands,MHL,Children 0-14,19.231,1968
Marshall Islands,MHL,Children 0-14,19.231,1969
