Country Name,Country Code,Topic,% of available indicators,Year
North Macedonia,MKD,Assets,0.000,1960
North Macedonia,MKD,Assets,0.000,1961
North Macedonia,MKD,Assets,0.000,1962
North Macedonia,MKD,Assets,0.000,1963
North Macedonia,MKD,Assets,0.000,1964
North Macedonia,MKD,Assets,0.000,1965
North Macedonia,MKD,Assets,0.000,1966
North Macedonia,MKD,Assets,0.000,1967
North Macedonia,MKD,Assets,0.000,1968
North Macedonia,MKD,Assets,0.000,1969
North Macedonia,MKD,Assets,2.208,1970
North Macedonia,MKD,Assets,2.208,1971
North Macedonia,MKD,Assets,2.208,1972
North Macedonia,MKD,Assets,2.208,1973
North Macedonia,MKD,Assets,2.208,1974
North Macedonia,MKD,Assets,2.208,1975
North Macedonia,MKD,Assets,2.208,1976
North Macedonia,MKD,Assets,2.208,1977
North Macedonia,MKD,Assets,2.208,1978
North Macedonia,MKD,Assets,2.208,1979
North Macedonia,MKD,Assets,2.208,1980
North Macedonia,MKD,Assets,2.208,1981
North Macedonia,MKD,Assets,2.208,1982
North Macedonia,MKD,Assets,2.208,1983
North Macedonia,MKD,Assets,2.208,1984
North Macedonia,MKD,Assets,2.208,1985
North Macedonia,MKD,Assets,2.208,1986
North Macedonia,MKD,Assets,2.208,1987
North Macedonia,MKD,Assets,2.208,1988
North Macedonia,MKD,Assets,2.208,1989
North Macedonia,MKD,Assets,2.208,1990
North Macedonia,MKD,Assets,2.208,1991
North Macedonia,MKD,Assets,2.208,1992
North Macedonia,MKD,Assets,2.208,1993
North Macedonia,MKD,Assets,2.208,1994
North Macedonia,MKD,Assets,2.208,1995
North Macedonia,MKD,Assets,2.208,1996
North Macedonia,MKD,Assets,2.208,1997
North Macedonia,MKD,Assets,2.208,1998
North Macedonia,MKD,Assets,2.208,1999
North Macedonia,MKD,Assets,2.208,2000
North Macedonia,MKD,Assets,2.208,2001
North Macedonia,MKD,Assets,2.208,2002
North Macedonia,MKD,Assets,2.208,2003
North Macedonia,MKD,Assets,2.208,2004
North Macedonia,MKD,Assets,2.208,2005
North Macedonia,MKD,Assets,2.208,2006
North Macedonia,MKD,Assets,2.208,2007
North Macedonia,MKD,Assets,2.208,2008
North Macedonia,MKD,Assets,2.208,2009
North Macedonia,MKD,Assets,2.208,2010
North Macedonia,MKD,Assets,10.726,2011
North Macedonia,MKD,Assets,2.208,2012
North Macedonia,MKD,Assets,2.208,2013
North Macedonia,MKD,Assets,24.921,2014
North Macedonia,MKD,Assets,2.208,2015
North Macedonia,MKD,Assets,2.208,2016
North Macedonia,MKD,Assets,27.445,2017
North Macedonia,MKD,Assets,2.208,2018
North Macedonia,MKD,Assets,2.208,2019
North Macedonia,MKD,Assets,2.208,2020
North Macedonia,MKD,Assets,61.199,2021
North Macedonia,MKD,Assets,2.208,2022
North Macedonia,MKD,Assets,2.208,2023
North Macedonia,MKD,Children 0-14,10.769,1960
North Macedonia,MKD,Children 0-14,10.769,1961
North Macedonia,MKD,Children 0-14,10.769,1962
North Macedonia,MKD,Children 0-14,10.769,1963
North Macedonia,MKD,Children 0-14,10.769,1964
North Macedonia,MKD,Children 0-14,10.769,1965
North Macedonia,MKD,Children 0-14,10.769,1966
North Macedonia,MKD,Children 0-14,10.769,1967
North Macedonia,MKD,Children 0-14,10.769,1968
North Macedonia,MKD,Children 0-14,10.769,1969
North Macedonia,MKD,Children 0-14,10.769,1970
North Macedonia,MKD,Children 0-14,10.769,1971
North Macedonia,MKD,Children 0-14,10.769,1972
North Macedonia,MKD,Children 0-14,10.769,1973
North Macedonia,MKD,Children 0-14,10.769,1974
North Macedonia,MKD,Children 0-14,10.769,1975
North Macedonia,MKD,Children 0-14,10.769,1976
North Macedonia,MKD,Children 0-14,10.769,1977
North Macedonia,MKD,Children 0-14,10.769,1978
North Macedonia,MKD,Children 0-14,10.769,1979
North Macedonia,MKD,Children 0-14,10.769,1980
North Macedonia,MKD,Children 0-14,15.385,1981
North Macedonia,MKD,Children 0-14,17.692,1982
