Country Name,Country Code,Topic,% of available indicators,Year
Mali,MLI,Assets,0.000,1960
Mali,MLI,Assets,0.000,1961
Mali,MLI,Assets,0.000,1962
Mali,MLI,Assets,0.000,1963
Mali,MLI,Assets,0.000,1964
Mali,MLI,Assets,0.000,1965
Mali,MLI,Assets,0.000,1966
Mali,MLI,Assets,0.000,1967
Mali,MLI,Assets,0.000,1968
Mali,MLI,Assets,0.000,1969
Mali,MLI,Assets,2.208,1970
Mali,MLI,Assets,2.208,1971
Mali,MLI,Assets,2.208,1972
Mali,MLI,Assets,2.208,1973
Mali,MLI,Assets,2.208,1974
Mali,MLI,Assets,2.208,1975
Mali,MLI,Assets,2.208,1976
Mali,MLI,Assets,2.208,1977
Mali,MLI,Assets,2.208,1978
Mali,MLI,Assets,2.208,1979
Mali,MLI,Assets,2.208,1980
Mali,MLI,Assets,2.208,1981
Mali,MLI,Assets,2.208,1982
Mali,MLI,Assets,2.208,1983
Mali,MLI,Assets,2.208,1984
Mali,MLI,Assets,2.208,1985
Mali,MLI,Assets,2.208,1986
Mali,MLI,Assets,2.208,1987
Mali,MLI,Assets,2.208,1988
Mali,MLI,Assets,2.208,1989
Mali,MLI,Assets,2.208,1990
Mali,MLI,Assets,2.208,1991
Mali,MLI,Assets,2.208,1992
Mali,MLI,Assets,2.208,1993
Mali,MLI,Assets,2.208,1994
Mali,MLI,Assets,2.208,1995
Mali,MLI,Assets,2.208,1996
Mali,MLI,Assets,2.208,1997
Mali,MLI,Assets,2.208,1998
Mali,MLI,Assets,2.208,1999
Mali,MLI,Assets,2.208,2000
Mali,MLI,Assets,2.208,2001
Mali,MLI,Assets,2.208,2002
Mali,MLI,Assets,2.208,2003
Mali,MLI,Assets,2.208,2004
Mali,MLI,Assets,2.208,2005
Mali,MLI,Assets,2.208,2006
Mali,MLI,Assets,2.208,2007
Mali,MLI,Assets,2.208,2008
Mali,MLI,Assets,2.208,2009
Mali,MLI,Assets,2.208,2010
Mali,MLI,Assets,11.672,2011
Mali,MLI,Assets,2.208,2012
Mali,MLI,Assets,32.492,2013
Mali,MLI,Assets,31.546,2014
Mali,MLI,Assets,4.101,2015
Mali,MLI,Assets,2.208,2016
Mali,MLI,Assets,34.069,2017
Mali,MLI,Assets,32.492,2018
Mali,MLI,Assets,2.208,2019
Mali,MLI,Assets,2.208,2020
Mali,MLI,Assets,63.091,2021
Mali,MLI,Assets,2.208,2022
Mali,MLI,Assets,2.208,2023
Mali,MLI,Children 0-14,10.769,1960
Mali,MLI,Children 0-14,10.769,1961
Mali,MLI,Children 0-14,10.769,1962
Mali,MLI,Children 0-14,15.385,1963
Mali,MLI,Children 0-14,17.692,1964
Mali,MLI,Children 0-14,17.692,1965
Mali,MLI,Children 0-14,17.692,1966
Mali,MLI,Children 0-14,17.692,1967
Mali,MLI,Children 0-14,19.231,1968
Mali,MLI,Children 0-14,19.231,1969
Mali,MLI,Children 0-14,19.231,1970
Mali,MLI,Children 0-14,33.077,1971
Mali,MLI,Children 0-14,28.462,1972
Mali,MLI,Children 0-14,28.462,1973
Mali,MLI,Children 0-14,28.462,1974
Mali,MLI,Children 0-14,23.077,1975
Mali,MLI,Children 0-14,30.000,1976
Mali,MLI,Children 0-14,27.692,1977
Mali,MLI,Children 0-14,26.923,1978
Mali,MLI,Children 0-14,26.154,1979
Mali,MLI,Children 0-14,26.154,1980
Mali,MLI,Children 0-14,28.462,1981
Mali,MLI,Children 0-14,25.385,1982
Mali,MLI,Children 0-14,26.923,1983
Mali,MLI,Children 0-14,30.000,1984
Mali,MLI,Children 0-14,30.000,1985
Mali,MLI,Children 0-14,28.462,1986
Mali,MLI,Children 0-14,38.462,1987
Mali,MLI,Children 0-14,30.000,1988
Mali,MLI,Children 0-14,24.615,1989
Mali,MLI,Children 0-14,24.615,1990
Mali,MLI,Children 0-14,24.615,1991
Mali,MLI,Children 0-14,24.615,1992
Mali,MLI,Children 0-14,24.615,1993
Mali,MLI,Children 0-14,24.615,1994
Mali,MLI,Children 0-14,26.923,1995
Mali,MLI,Children 0-14,36.923,1996
Mali,MLI,Children 0-14,26.923,1997
Mali,MLI,Children 0-14,26.923,1998
Mali,MLI,Children 0-14,36.923,1999
Mali,MLI,Children 0-14,43.846,2000
Mali,MLI,Children 0-14,48.462,2001
Mali,MLI,Children 0-14,41.538,2002
Mali,MLI,Children 0-14,43.846,2003
Mali,MLI,Children 0-14,43.846,2004
Mali,MLI,Children 0-14,46.154,2005
Mali,MLI,Children 0-14,63.846,2006
Mali,MLI,Children 0-14,44.615,2007
Mali,MLI,Children 0-14,38.462,2008
Mali,MLI,Children 0-14,43.846,2009
Mali,MLI,Children 0-14,76.923,2010
Mali,MLI,Children 0-14,60.000,2011
Mali,MLI,Children 0-14,42.308,2012
Mali,MLI,Children 0-14,46.923,2013
Mali,MLI,Children 0-14,56.154,2014
Mali,MLI,Children 0-14,73.077,2015
Mali,MLI,Children 0-14,58.462,2016
Mali,MLI,Children 0-14,63.077,2017
Mali,MLI,Children 0-14,63.077,2018
Mali,MLI,Children 0-14,46.154,2019
Mali,MLI,Children 0-14,46.923,2020
Mali,MLI,Children 0-14,34.615,2021
Mali,MLI,Children 0-14,36.923,2022
Mali,MLI,Children 0-14,19.231,2023
Mali,MLI,Education,0.000,1960
Mali,MLI,Education,0.000,1961
Mali,MLI,Education,0.000,1962
Mali,MLI,Education,0.000,1963
Mali,MLI,Education,0.000,1964
Mali,MLI,Education,0.000,1965
Mali,MLI,Education,0.000,1966
Mali,MLI,Education,0.000,1967
Mali,MLI,Education,0.000,1968
Mali,MLI,Education,0.000,1969
Mali,MLI,Education,0.000,1970
Mali,MLI,Education,26.380,1971
Mali,MLI,Education,15.951,1972
Mali,MLI,Education,15.951,1973
Mali,MLI,Education,16.564,1974
Mali,MLI,Education,9.202,1975
Mali,MLI,Education,30.675,1976
Mali,MLI,Education,12.883,1977
Mali,MLI,Education,17.791,1978
Mali,MLI,Education,17.791,1979
Mali,MLI,Education,20.859,1980
Mali,MLI,Education,15.337,1981
Mali,MLI,Education,17.791,1982
Mali,MLI,Education,19.632,1983
Mali,MLI,Education,19.018,1984
Mali,MLI,Education,13.497,1985
Mali,MLI,Education,11.656,1986
Mali,MLI,Education,22.086,1987
Mali,MLI,Education,14.724,1988
Mali,MLI,Education,14.724,1989
Mali,MLI,Education,14.724,1990
Mali,MLI,Education,17.178,1991
Mali,MLI,Education,14.724,1992
Mali,MLI,Education,14.724,1993
Mali,MLI,Education,10.429,1994
Mali,MLI,Education,16.564,1995
Mali,MLI,Education,16.564,1996
Mali,MLI,Education,16.564,1997
Mali,MLI,Education,25.767,1998
Mali,MLI,Education,31.288,1999
Mali,MLI,Education,24.540,2000
Mali,MLI,Education,17.791,2001
Mali,MLI,Education,23.926,2002
Mali,MLI,Education,32.515,2003
Mali,MLI,Education,30.675,2004
Mali,MLI,Education,30.675,2005
Mali,MLI,Education,38.037,2006
Mali,MLI,Education,29.448,2007
Mali,MLI,Education,35.583,2008
Mali,MLI,Education,39.877,2009
Mali,MLI,Education,51.534,2010
Mali,MLI,Education,52.147,2011
Mali,MLI,Education,24.540,2012
Mali,MLI,Education,42.331,2013
Mali,MLI,Education,53.988,2014
Mali,MLI,Education,64.417,2015
Mali,MLI,Education,57.669,2016
Mali,MLI,Education,66.871,2017
Mali,MLI,Education,63.804,2018
Mali,MLI,Education,17.178,2019
Mali,MLI,Education,39.264,2020
