Country Name,Country Code,Topic,% of available indicators,Year
Malta,MLT,Assets,0.000,1960
Malta,MLT,Assets,0.000,1961
Malta,MLT,Assets,0.000,1962
Malta,MLT,Assets,0.000,1963
Malta,MLT,Assets,0.000,1964
Malta,MLT,Assets,0.000,1965
Malta,MLT,Assets,0.000,1966
Malta,MLT,Assets,0.000,1967
Malta,MLT,Assets,0.000,1968
Malta,MLT,Assets,0.000,1969
Malta,MLT,Assets,2.208,1970
Malta,MLT,Assets,2.208,1971
Malta,MLT,Assets,2.208,1972
Malta,MLT,Assets,2.208,1973
Malta,MLT,Assets,2.208,1974
Malta,MLT,Assets,2.208,1975
Malta,MLT,Assets,2.208,1976
Malta,MLT,Assets,2.208,1977
Malta,MLT,Assets,2.208,1978
Malta,MLT,Assets,2.208,1979
Malta,MLT,Assets,2.208,1980
Malta,MLT,Assets,2.208,1981
Malta,MLT,Assets,2.208,1982
Malta,MLT,Assets,2.208,1983
Malta,MLT,Assets,2.208,1984
Malta,MLT,Assets,2.208,1985
Malta,MLT,Assets,2.208,1986
Malta,MLT,Assets,2.208,1987
Malta,MLT,Assets,2.208,1988
Malta,MLT,Assets,2.208,1989
Malta,MLT,Assets,2.208,1990
Malta,MLT,Assets,2.208,1991
Malta,MLT,Assets,2.208,1992
Malta,MLT,Assets,2.208,1993
Malta,MLT,Assets,2.208,1994
Malta,MLT,Assets,2.208,1995
Malta,MLT,Assets,2.208,1996
Malta,MLT,Assets,2.208,1997
Malta,MLT,Assets,2.208,1998
Malta,MLT,Assets,2.208,1999
Malta,MLT,Assets,2.208,2000
Malta,MLT,Assets,2.208,2001
Malta,MLT,Assets,2.208,2002
Malta,MLT,Assets,2.208,2003
Malta,MLT,Assets,2.208,2004
Malta,MLT,Assets,2.208,2005
Malta,MLT,Assets,2.208,2006
Malta,MLT,Assets,2.208,2007
Malta,MLT,Assets,2.208,2008
Malta,MLT,Assets,2.208,2009
Malta,MLT,Assets,2.208,2010
Malta,MLT,Assets,10.726,2011
Malta,MLT,Assets,2.208,2012
Malta,MLT,Assets,2.208,2013
Malta,MLT,Assets,24.921,2014
Malta,MLT,Assets,2.208,2015
Malta,MLT,Assets,2.208,2016
Malta,MLT,Assets,26.814,2017
Malta,MLT,Assets,2.208,2018
Malta,MLT,Assets,2.208,2019
Malta,MLT,Assets,2.208,2020
Malta,MLT,Assets,51.735,2021
Malta,MLT,Assets,2.208,2022
Malta,MLT,Assets,2.208,2023
Malta,MLT,Children 0-14,19.231,1960
Malta,MLT,Children 0-14,19.231,1961
Malta,MLT,Children 0-14,19.231,1962
Malta,MLT,Children 0-14,19.231,1963
Malta,MLT,Children 0-14,19.231,1964
Malta,MLT,Children 0-14,19.231,1965
Malta,MLT,Children 0-14,19.231,1966
Malta,MLT,Children 0-14,19.231,1967
Malta,MLT,Children 0-14,19.231,1968
Malta,MLT,Children 0-14,19.231,1969
Malta,MLT,Children 0-14,20.000,1970
Malta,MLT,Children 0-14,38.462,1971
Malta,MLT,Children 0-14,38.462,1972
Malta,MLT,Children 0-14,38.462,1973
Malta,MLT,Children 0-14,38.462,1974
Malta,MLT,Children 0-14,38.462,1975
Malta,MLT,Children 0-14,38.462,1976
Malta,MLT,Children 0-14,38.462,1977
Malta,MLT,Children 0-14,40.000,1978
Malta,MLT,Children 0-14,40.000,1979
Malta,MLT,Children 0-14,40.000,1980
Malta,MLT,Children 0-14,38.462,1981
Malta,MLT,Children 0-14,38.462,1982
Malta,MLT,Children 0-14,38.462,1983
Malta,MLT,Children 0-14,41.538,1984
Malta,MLT,Children 0-14,41.538,1985
Malta,MLT,Children 0-14,40.000,1986
Malta,MLT,Children 0-14,40.000,1987
Malta,MLT,Children 0-14,40.000,1988
Malta,MLT,Children 0-14,40.000,1989
Malta,MLT,Children 0-14,40.000,1990
Malta,MLT,Children 0-14,41.538,1991
Malta,MLT,Children 0-14,41.538,1992
Malta,MLT,Children 0-14,40.000,1993
Malta,MLT,Children 0-14,41.538,1994
Malta,MLT,Children 0-14,40.000,1995
Malta,MLT,Children 0-14,41.538,1996
Malta,MLT,Children 0-14,41.538,1997
Malta,MLT,Children 0-14,36.923,1998
Malta,MLT,Children 0-14,36.923,1999
Malta,MLT,Children 0-14,55.385,2000
Malta,MLT,Children 0-14,36.923,2001
Malta,MLT,Children 0-14,36.923,2002
Malta,MLT,Children 0-14,35.385,2003
Malta,MLT,Children 0-14,34.615,2004
Malta,MLT,Children 0-14,39.231,2005
Malta,MLT,Children 0-14,36.923,2006
Malta,MLT,Children 0-14,43.077,2007
Malta,MLT,Children 0-14,36.154,2008
Malta,MLT,Children 0-14,34.615,2009
Malta,MLT,Children 0-14,55.385,2010
Malta,MLT,Children 0-14,49.231,2011
Malta,MLT,Children 0-14,43.846,2012
Malta,MLT,Children 0-14,46.923,2013
Malta,MLT,Children 0-14,47.692,2014
Malta,MLT,Children 0-14,58.462,2015
Malta,MLT,Children 0-14,48.462,2016
Malta,MLT,Children 0-14,50.769,2017
Malta,MLT,Children 0-14,43.077,2018
Malta,MLT,Children 0-14,53.077,2019
Malta,MLT,Children 0-14,43.846,2020
Malta,MLT,Children 0-14,39.231,2021
Malta,MLT,Children 0-14,36.154,2022
Malta,MLT,Children 0-14,9.231,2023
Malta,MLT,Education,0.000,1960
Malta,MLT,Education,0.000,1961
Malta,MLT,Education,0.000,1962
Malta,MLT,Education,0.000,1963
Malta,MLT,Education,0.000,1964
Malta,MLT,Education,0.000,1965
Malta,MLT,Education,0.000,1966
Malta,MLT,Education,0.000,1967
Malta,MLT,Education,0.000,1968
Malta,MLT,Education,0.000,1969
Malta,MLT,Education,1.227,1970
Malta,MLT,Education,28.221,1971
Malta,MLT,Education,31.902,1972
Malta,MLT,Education,31.902,1973
Malta,MLT,Education,32.515,1974
Malta,MLT,Education,31.902,1975
Malta,MLT,Education,32.515,1976
Malta,MLT,Education,32.515,1977
