Country Name,Country Code,Topic,% of available indicators,Year
Montenegro,MNE,Assets,0.000,1960
Montenegro,MNE,Assets,0.000,1961
Montenegro,MNE,Assets,0.000,1962
Montenegro,MNE,Assets,0.000,1963
Montenegro,MNE,Assets,0.000,1964
Montenegro,MNE,Assets,0.000,1965
Montenegro,MNE,Assets,0.000,1966
Montenegro,MNE,Assets,0.000,1967
Montenegro,MNE,Assets,0.000,1968
Montenegro,MNE,Assets,0.000,1969
Montenegro,MNE,Assets,2.208,1970
Montenegro,MNE,Assets,2.208,1971
Montenegro,MNE,Assets,2.208,1972
Montenegro,MNE,Assets,2.208,1973
Montenegro,MNE,Assets,2.208,1974
Montenegro,MNE,Assets,2.208,1975
Montenegro,MNE,Assets,2.208,1976
Montenegro,MNE,Assets,2.208,1977
Montenegro,MNE,Assets,2.208,1978
Montenegro,MNE,Assets,2.208,1979
Montenegro,MNE,Assets,2.208,1980
Montenegro,MNE,Assets,2.208,1981
Montenegro,MNE,Assets,2.208,1982
Montenegro,MNE,Assets,2.208,1983
Montenegro,MNE,Assets,2.208,1984
Montenegro,MNE,Assets,2.208,1985
Montenegro,MNE,Assets,2.208,1986
Montenegro,MNE,Assets,2.208,1987
Montenegro,MNE,Assets,2.208,1988
Montenegro,MNE,Assets,2.208,1989
Montenegro,MNE,Assets,2.208,1990
Montenegro,MNE,Assets,2.208,1991
Montenegro,MNE,Assets,2.208,1992
Montenegro,MNE,Assets,2.208,1993
Montenegro,MNE,Assets,2.208,1994
Montenegro,MNE,Assets,2.208,1995
Montenegro,MNE,Assets,2.208,1996
Montenegro,MNE,Assets,2.208,1997
Montenegro,MNE,Assets,2.208,1998
Montenegro,MNE,Assets,2.208,1999
Montenegro,MNE,Assets,2.208,2000
Montenegro,MNE,Assets,2.208,2001
Montenegro,MNE,Assets,2.208,2002
Montenegro,MNE,Assets,2.208,2003
Montenegro,MNE,Assets,2.208,2004
Montenegro,MNE,Assets,2.208,2005
Montenegro,MNE,Assets,2.208,2006
Montenegro,MNE,Assets,2.208,2007
Montenegro,MNE,Assets,2.208,2008
Montenegro,MNE,Assets,2.208,2009
Montenegro,MNE,Assets,2.208,2010
Montenegro,MNE,Assets,11.672,2011
Montenegro,MNE,Assets,2.208,2012
Montenegro,MNE,Assets,2.208,2013
Montenegro,MNE,Assets,30.599,2014
Montenegro,MNE,Assets,2.208,2015
Montenegro,MNE,Assets,2.208,2016
Montenegro,MNE,Assets,33.123,2017
Montenegro,MNE,Assets,2.208,2018
Montenegro,MNE,Assets,2.208,2019
Montenegro,MNE,Assets,2.208,2020
Montenegro,MNE,Assets,2.208,2021
Montenegro,MNE,Assets,2.208,2022
Montenegro,MNE,Assets,2.208,2023
Montenegro,MNE,Children 0-14,10.769,1960
Montenegro,MNE,Children 0-14,10.769,1961
Montenegro,MNE,Children 0-14,10.769,1962
Montenegro,MNE,Children 0-14,10.769,1963
Montenegro,MNE,Children 0-14,10.769,1964
Montenegro,MNE,Children 0-14,10.769,1965
Montenegro,MNE,Children 0-14,10.769,1966
Montenegro,MNE,Children 0-14,10.769,1967
Montenegro,MNE,Children 0-14,10.769,1968
Montenegro,MNE,Children 0-14,10.769,1969
Montenegro,MNE,Children 0-14,10.769,1970
Montenegro,MNE,Children 0-14,10.769,1971
Montenegro,MNE,Children 0-14,10.769,1972
Montenegro,MNE,Children 0-14,10.769,1973
Montenegro,MNE,Children 0-14,10.769,1974
Montenegro,MNE,Children 0-14,10.769,1975
Montenegro,MNE,Children 0-14,10.769,1976
Montenegro,MNE,Children 0-14,10.769,1977
Montenegro,MNE,Children 0-14,10.769,1978
Montenegro,MNE,Children 0-14,10.769,1979
Montenegro,MNE,Children 0-14,10.769,1980
Montenegro,MNE,Children 0-14,10.769,1981
Montenegro,MNE,Children 0-14,10.769,1982
Montenegro,MNE,Children 0-14,10.769,1983
Montenegro,MNE,Children 0-14,15.385,1984
Montenegro,MNE,Children 0-14,17.692,1985
Montenegro,MNE,Children 0-14,17.692,1986
Montenegro,MNE,Children 0-14,17.692,1987
Montenegro,MNE,Children 0-14,17.692,1988
Montenegro,MNE,Children 0-14,19.231,1989
Montenegro,MNE,Children 0-14,19.231,1990
Montenegro,MNE,Children 0-14,19.231,1991
Montenegro,MNE,Children 0-14,19.231,1992
Montenegro,MNE,Children 0-14,19.231,1993
Montenegro,MNE,Children 0-14,19.231,1994
Montenegro,MNE,Children 0-14,19.231,1995
Montenegro,MNE,Children 0-14,19.231,1996
Montenegro,MNE,Children 0-14,19.231,1997
Montenegro,MNE,Children 0-14,19.231,1998
Montenegro,MNE,Children 0-14,19.231,1999
Montenegro,MNE,Children 0-14,33.077,2000
Montenegro,MNE,Children 0-14,22.308,2001
Montenegro,MNE,Children 0-14,22.308,2002
Montenegro,MNE,Children 0-14,38.462,2003
Montenegro,MNE,Children 0-14,26.154,2004
Montenegro,MNE,Children 0-14,46.154,2005
Montenegro,MNE,Children 0-14,36.154,2006
Montenegro,MNE,Children 0-14,35.385,2007
Montenegro,MNE,Children 0-14,35.385,2008
Montenegro,MNE,Children 0-14,27.692,2009
Montenegro,MNE,Children 0-14,46.154,2010
Montenegro,MNE,Children 0-14,41.538,2011
