Country Name,Country Code,Topic,% of available indicators,Year
Northern Mariana Islands,MNP,Assets,0.000,1960
Northern Mariana Islands,MNP,Assets,0.000,1961
Northern Mariana Islands,MNP,Assets,0.000,1962
Northern Mariana Islands,MNP,Assets,0.000,1963
Northern Mariana Islands,MNP,Assets,0.000,1964
Northern Mariana Islands,MNP,Assets,0.000,1965
Northern Mariana Islands,MNP,Assets,0.000,1966
Northern Mariana Islands,MNP,Assets,0.000,1967
Northern Mariana Islands,MNP,Assets,0.000,1968
Northern Mariana Islands,MNP,Assets,0.000,1969
Northern Mariana Islands,MNP,Assets,0.000,1970
Northern Mariana Islands,MNP,Assets,0.000,1971
Northern Mariana Islands,MNP,Assets,0.000,1972
Northern Mariana Islands,MNP,Assets,0.000,1973
Northern Mariana Islands,MNP,Assets,0.000,1974
Northern Mariana Islands,MNP,Assets,0.000,1975
Northern Mariana Islands,MNP,Assets,0.000,1976
Northern Mariana Islands,MNP,Assets,0.000,1977
Northern Mariana Islands,MNP,Assets,0.000,1978
Northern Mariana Islands,MNP,Assets,0.000,1979
Northern Mariana Islands,MNP,Assets,0.000,1980
Northern Mariana Islands,MNP,Assets,0.000,1981
Northern Mariana Islands,MNP,Assets,0.000,1982
Northern Mariana Islands,MNP,Assets,0.000,1983
Northern Mariana Islands,MNP,Assets,0.000,1984
Northern Mariana Islands,MNP,Assets,0.000,1985
Northern Mariana Islands,MNP,Assets,0.000,1986
Northern Mariana Islands,MNP,Assets,0.000,1987
Northern Mariana Islands,MNP,Assets,0.000,1988
Northern Mariana Islands,MNP,Assets,0.000,1989
Northern Mariana Islands,MNP,Assets,0.000,1990
Northern Mariana Islands,MNP,Assets,0.000,1991
Northern Mariana Islands,MNP,Assets,0.000,1992
Northern Mariana Islands,MNP,Assets,0.000,1993
Northern Mariana Islands,MNP,Assets,0.000,1994
Northern Mariana Islands,MNP,Assets,0.000,1995
Northern Mariana Islands,MNP,Assets,0.000,1996
Northern Mariana Islands,MNP,Assets,0.000,1997
Northern Mariana Islands,MNP,Assets,0.000,1998
Northern Mariana Islands,MNP,Assets,0.000,1999
Northern Mariana Islands,MNP,Assets,0.000,2000
Northern Mariana Islands,MNP,Assets,0.000,2001
Northern Mariana Islands,MNP,Assets,0.000,2002
Northern Mariana Islands,MNP,Assets,0.000,2003
Northern Mariana Islands,MNP,Assets,0.000,2004
Northern Mariana Islands,MNP,Assets,0.000,2005
Northern Mariana Islands,MNP,Assets,0.000,2006
Northern Mariana Islands,MNP,Assets,0.000,2007
Northern Mariana Islands,MNP,Assets,0.000,2008
Northern Mariana Islands,MNP,Assets,0.000,2009
Northern Mariana Islands,MNP,Assets,0.000,2010
Northern Mariana Islands,MNP,Assets,0.000,2011
Northern Mariana Islands,MNP,Assets,0.000,2012
Northern Mariana Islands,MNP,Assets,0.000,2013
Northern Mariana Islands,MNP,Assets,0.000,2014
Northern Mariana Islands,MNP,Assets,0.000,2015
Northern Mariana Islands,MNP,Assets,0.000,2016
Northern Mariana Islands,MNP,Assets,0.000,2017
Northern Mariana Islands,MNP,Assets,0.000,2018
Northern Mariana Islands,MNP,Assets,0.000,2019
Northern Mariana Islands,MNP,Assets,0.000,2020
Northern Mariana Islands,MNP,Assets,0.000,2021
Northern Mariana Islands,MNP,Assets,0.000,2022
Northern Mariana Islands,MNP,Assets,0.000,2023
Northern Mariana Islands,MNP,Children 0-14,8.462,1960
Northern Mariana Islands,MNP,Children 0-14,8.462,1961
Northern Mariana Islands,MNP,Children 0-14,8.462,1962
Northern Mariana Islands,MNP,Children 0-14,8.462,1963
Northern Mariana Islands,MNP,Children 0-14,8.462,1964
Northern Mariana Islands,MNP,Children 0-14,8.462,1965
Northern Mariana Islands,MNP,Children 0-14,8.462,1966
Northern Mariana Islands,MNP,Children 0-14,8.462,1967
Northern Mariana Islands,MNP,Children 0-14,8.462,1968
Northern Mariana Islands,MNP,Children 0-14,8.462,1969
Northern Mariana Islands,MNP,Children 0-14,8.462,1970
Northern Mariana Islands,MNP,Children 0-14,8.462,1971
Northern Mariana Islands,MNP,Children 0-14,8.462,1972
Northern Mariana Islands,MNP,Children 0-14,8.462,1973
Northern Mariana Islands,MNP,Children 0-14,8.462,1974
Northern Mariana Islands,MNP,Children 0-14,8.462,1975
Northern Mariana Islands,MNP,Children 0-14,8.462,1976
Northern Mariana Islands,MNP,Children 0-14,8.462,1977
Northern Mariana Islands,MNP,Children 0-14,8.462,1978
Northern Mariana Islands,MNP,Children 0-14,8.462,1979
Northern Mariana Islands,MNP,Children 0-14,8.462,1980
Northern Mariana Islands,MNP,Children 0-14,8.462,1981
Northern Mariana Islands,MNP,Children 0-14,8.462,1982
Northern Mariana Islands,MNP,Children 0-14,8.462,1983
Northern Mariana Islands,MNP,Children 0-14,8.462,1984
Northern Mariana Islands,MNP,Children 0-14,8.462,1985
Northern Mariana Islands,MNP,Children 0-14,8.462,1986
Northern Mariana Islands,MNP,Children 0-14,8.462,1987
Northern Mariana Islands,MNP,Children 0-14,8.462,1988
Northern Mariana Islands,MNP,Children 0-14,8.462,1989
Northern Mariana Islands,MNP,Children 0-14,8.462,1990
Northern Mariana Islands,MNP,Children 0-14,8.462,1991
Northern Mariana Islands,MNP,Children 0-14,8.462,1992
Northern Mariana Islands,MNP,Children 0-14,8.462,1993
Northern Mariana Islands,MNP,Children 0-14,8.462,1994
Northern Mariana Islands,MNP,Children 0-14,8.462,1995
Northern Mariana Islands,MNP,Children 0-14,8.462,1996
Northern Mariana Islands,MNP,Children 0-14,8.462,1997
Northern Mariana Islands,MNP,Children 0-14,8.462,1998
Northern Mariana Islands,MNP,Children 0-14,8.462,1999
Northern Mariana Islands,MNP,Children 0-14,8.462,2000
Northern Mariana Islands,MNP,Children 0-14,8.462,2001
Northern Mariana Islands,MNP,Children 0-14,8.462,2002
Northern Mariana Islands,MNP,Children 0-14,8.462,2003
Northern Mariana Islands,MNP,Children 0-14,8.462,2004
Northern Mariana Islands,MNP,Children 0-14,8.462,2005
Northern Mariana Islands,MNP,Children 0-14,8.462,2006
Northern Mariana Islands,MNP,Children 0-14,8.462,2007
Northern Mariana Islands,MNP,Children 0-14,8.462,2008
Northern Mariana Islands,MNP,Children 0-14,8.462,2009
Northern Mariana Islands,MNP,Children 0-14,8.462,2010
Northern Mariana Islands,MNP,Children 0-14,8.462,2011
Northern Mariana Islands,MNP,Children 0-14,8.462,2012
Northern Mariana Islands,MNP,Children 0-14,8.462,2013
Northern Mariana Islands,MNP,Children 0-14,8.462,2014
Northern Mariana Islands,MNP,Children 0-14,8.462,2015
