Country Name,Country Code,Topic,% of available indicators,Year
Mozambique,MOZ,Assets,0.000,1960
Mozambique,MOZ,Assets,0.000,1961
Mozambique,MOZ,Assets,0.000,1962
Mozambique,MOZ,Assets,0.000,1963
Mozambique,MOZ,Assets,0.000,1964
Mozambique,MOZ,Assets,0.000,1965
Mozambique,MOZ,Assets,0.000,1966
Mozambique,MOZ,Assets,0.000,1967
Mozambique,MOZ,Assets,0.000,1968
Mozambique,MOZ,Assets,0.000,1969
Mozambique,MOZ,Assets,2.208,1970
Mozambique,MOZ,Assets,2.208,1971
Mozambique,MOZ,Assets,2.208,1972
Mozambique,MOZ,Assets,2.208,1973
Mozambique,MOZ,Assets,2.208,1974
Mozambique,MOZ,Assets,2.208,1975
Mozambique,MOZ,Assets,2.208,1976
Mozambique,MOZ,Assets,2.208,1977
Mozambique,MOZ,Assets,2.208,1978
Mozambique,MOZ,Assets,2.208,1979
Mozambique,MOZ,Assets,2.208,1980
Mozambique,MOZ,Assets,2.208,1981
Mozambique,MOZ,Assets,2.208,1982
Mozambique,MOZ,Assets,2.208,1983
Mozambique,MOZ,Assets,2.208,1984
Mozambique,MOZ,Assets,2.208,1985
Mozambique,MOZ,Assets,2.208,1986
Mozambique,MOZ,Assets,2.208,1987
Mozambique,MOZ,Assets,2.208,1988
Mozambique,MOZ,Assets,2.208,1989
Mozambique,MOZ,Assets,2.208,1990
Mozambique,MOZ,Assets,2.208,1991
Mozambique,MOZ,Assets,2.208,1992
Mozambique,MOZ,Assets,2.208,1993
Mozambique,MOZ,Assets,2.208,1994
Mozambique,MOZ,Assets,2.208,1995
Mozambique,MOZ,Assets,2.208,1996
Mozambique,MOZ,Assets,2.208,1997
Mozambique,MOZ,Assets,2.208,1998
Mozambique,MOZ,Assets,2.208,1999
Mozambique,MOZ,Assets,2.208,2000
Mozambique,MOZ,Assets,2.208,2001
Mozambique,MOZ,Assets,2.208,2002
Mozambique,MOZ,Assets,2.208,2003
Mozambique,MOZ,Assets,2.208,2004
