Country Name,Country Code,Topic,% of available indicators,Year
Mauritania,MRT,Assets,0.000,1960
Mauritania,MRT,Assets,0.000,1961
Mauritania,MRT,Assets,0.000,1962
Mauritania,MRT,Assets,0.000,1963
Mauritania,MRT,Assets,0.000,1964
Mauritania,MRT,Assets,0.000,1965
Mauritania,MRT,Assets,0.000,1966
Mauritania,MRT,Assets,0.000,1967
Mauritania,MRT,Assets,0.000,1968
Mauritania,MRT,Assets,0.000,1969
Mauritania,MRT,Assets,2.208,1970
Mauritania,MRT,Assets,2.208,1971
Mauritania,MRT,Assets,2.208,1972
Mauritania,MRT,Assets,2.208,1973
Mauritania,MRT,Assets,2.208,1974
Mauritania,MRT,Assets,2.208,1975
Mauritania,MRT,Assets,2.208,1976
Mauritania,MRT,Assets,2.208,1977
Mauritania,MRT,Assets,2.208,1978
Mauritania,MRT,Assets,2.208,1979
Mauritania,MRT,Assets,2.208,1980
Mauritania,MRT,Assets,2.208,1981
Mauritania,MRT,Assets,2.208,1982
Mauritania,MRT,Assets,2.208,1983
Mauritania,MRT,Assets,2.208,1984
Mauritania,MRT,Assets,2.208,1985
Mauritania,MRT,Assets,2.208,1986
Mauritania,MRT,Assets,2.208,1987
Mauritania,MRT,Assets,2.208,1988
Mauritania,MRT,Assets,2.208,1989
Mauritania,MRT,Assets,2.208,1990
Mauritania,MRT,Assets,2.208,1991
Mauritania,MRT,Assets,2.208,1992
Mauritania,MRT,Assets,2.208,1993
Mauritania,MRT,Assets,2.208,1994
Mauritania,MRT,Assets,2.208,1995
Mauritania,MRT,Assets,2.208,1996
Mauritania,MRT,Assets,2.208,1997
Mauritania,MRT,Assets,2.208,1998
Mauritania,MRT,Assets,2.208,1999
Mauritania,MRT,Assets,2.208,2000
Mauritania,MRT,Assets,2.208,2001
Mauritania,MRT,Assets,2.208,2002
Mauritania,MRT,Assets,2.208,2003
Mauritania,MRT,Assets,2.208,2004
Mauritania,MRT,Assets,2.208,2005
Mauritania,MRT,Assets,2.208,2006
Mauritania,MRT,Assets,2.208,2007
Mauritania,MRT,Assets,2.208,2008
Mauritania,MRT,Assets,2.208,2009
Mauritania,MRT,Assets,2.208,2010
Mauritania,MRT,Assets,11.672,2011
Mauritania,MRT,Assets,2.208,2012
Mauritania,MRT,Assets,2.208,2013
Mauritania,MRT,Assets,31.546,2014
Mauritania,MRT,Assets,2.208,2015
Mauritania,MRT,Assets,2.208,2016
Mauritania,MRT,Assets,34.069,2017
Mauritania,MRT,Assets,2.208,2018
Mauritania,MRT,Assets,2.208,2019
Mauritania,MRT,Assets,2.208,2020
Mauritania,MRT,Assets,32.492,2021
Mauritania,MRT,Assets,62.461,2022
Mauritania,MRT,Assets,2.208,2023
Mauritania,MRT,Children 0-14,19.231,1960
Mauritania,MRT,Children 0-14,19.231,1961
Mauritania,MRT,Children 0-14,19.231,1962
Mauritania,MRT,Children 0-14,19.231,1963
Mauritania,MRT,Children 0-14,19.231,1964
Mauritania,MRT,Children 0-14,19.231,1965
Mauritania,MRT,Children 0-14,19.231,1966
Mauritania,MRT,Children 0-14,19.231,1967
Mauritania,MRT,Children 0-14,19.231,1968
Mauritania,MRT,Children 0-14,19.231,1969
Mauritania,MRT,Children 0-14,19.231,1970
Mauritania,MRT,Children 0-14,23.077,1971
Mauritania,MRT,Children 0-14,23.077,1972
Mauritania,MRT,Children 0-14,20.000,1973
Mauritania,MRT,Children 0-14,20.000,1974
Mauritania,MRT,Children 0-14,20.000,1975
Mauritania,MRT,Children 0-14,26.154,1976
Mauritania,MRT,Children 0-14,26.154,1977
Mauritania,MRT,Children 0-14,28.462,1978
Mauritania,MRT,Children 0-14,28.462,1979
Mauritania,MRT,Children 0-14,23.846,1980
Mauritania,MRT,Children 0-14,30.000,1981
Mauritania,MRT,Children 0-14,24.615,1982
Mauritania,MRT,Children 0-14,26.923,1983
Mauritania,MRT,Children 0-14,24.615,1984
Mauritania,MRT,Children 0-14,31.538,1985
Mauritania,MRT,Children 0-14,28.462,1986
Mauritania,MRT,Children 0-14,28.462,1987
Mauritania,MRT,Children 0-14,32.308,1988
Mauritania,MRT,Children 0-14,31.538,1989
Mauritania,MRT,Children 0-14,29.231,1990
Mauritania,MRT,Children 0-14,31.538,1991
Mauritania,MRT,Children 0-14,31.538,1992
Mauritania,MRT,Children 0-14,32.308,1993
Mauritania,MRT,Children 0-14,39.231,1994
Mauritania,MRT,Children 0-14,39.231,1995
Mauritania,MRT,Children 0-14,39.231,1996
Mauritania,MRT,Children 0-14,29.231,1997
Mauritania,MRT,Children 0-14,36.923,1998
Mauritania,MRT,Children 0-14,37.692,1999
Mauritania,MRT,Children 0-14,57.692,2000
Mauritania,MRT,Children 0-14,44.615,2001
Mauritania,MRT,Children 0-14,40.000,2002
Mauritania,MRT,Children 0-14,43.846,2003
Mauritania,MRT,Children 0-14,46.923,2004
Mauritania,MRT,Children 0-14,44.615,2005
Mauritania,MRT,Children 0-14,44.615,2006
Mauritania,MRT,Children 0-14,56.923,2007
Mauritania,MRT,Children 0-14,50.769,2008
Mauritania,MRT,Children 0-14,42.308,2009
Mauritania,MRT,Children 0-14,56.154,2010
Mauritania,MRT,Children 0-14,54.615,2011
Mauritania,MRT,Children 0-14,57.692,2012
Mauritania,MRT,Children 0-14,44.615,2013
Mauritania,MRT,Children 0-14,44.615,2014
Mauritania,MRT,Children 0-14,69.231,2015
Mauritania,MRT,Children 0-14,41.538,2016
Mauritania,MRT,Children 0-14,52.308,2017
Mauritania,MRT,Children 0-14,60.769,2018
Mauritania,MRT,Children 0-14,62.308,2019
Mauritania,MRT,Children 0-14,40.000,2020
Mauritania,MRT,Children 0-14,36.923,2021
Mauritania,MRT,Children 0-14,26.923,2022
Mauritania,MRT,Children 0-14,11.538,2023
Mauritania,MRT,Education,0.000,1960
Mauritania,MRT,Education,0.000,1961
Mauritania,MRT,Education,0.000,1962
Mauritania,MRT,Education,0.000,1963
Mauritania,MRT,Education,0.000,1964
Mauritania,MRT,Education,0.000,1965
Mauritania,MRT,Education,0.000,1966
Mauritania,MRT,Education,0.000,1967
Mauritania,MRT,Education,0.000,1968
Mauritania,MRT,Education,0.000,1969
Mauritania,MRT,Education,0.000,1970
Mauritania,MRT,Education,3.681,1971
Mauritania,MRT,Education,4.908,1972
