Country Name,Country Code,Topic,% of available indicators,Year
Malawi,MWI,Assets,0.000,1960
Malawi,MWI,Assets,0.000,1961
Malawi,MWI,Assets,0.000,1962
Malawi,MWI,Assets,0.000,1963
Malawi,MWI,Assets,0.000,1964
Malawi,MWI,Assets,0.000,1965
Malawi,MWI,Assets,0.000,1966
Malawi,MWI,Assets,0.000,1967
Malawi,MWI,Assets,0.000,1968
Malawi,MWI,Assets,0.000,1969
Malawi,MWI,Assets,2.208,1970
Malawi,MWI,Assets,2.208,1971
Malawi,MWI,Assets,2.208,1972
Malawi,MWI,Assets,2.208,1973
Malawi,MWI,Assets,2.208,1974
Malawi,MWI,Assets,2.208,1975
Malawi,MWI,Assets,2.208,1976
Malawi,MWI,Assets,2.208,1977
Malawi,MWI,Assets,2.208,1978
Malawi,MWI,Assets,2.208,1979
Malawi,MWI,Assets,2.208,1980
Malawi,MWI,Assets,2.208,1981
Malawi,MWI,Assets,2.208,1982
Malawi,MWI,Assets,2.208,1983
Malawi,MWI,Assets,2.208,1984
Malawi,MWI,Assets,2.208,1985
Malawi,MWI,Assets,2.208,1986
Malawi,MWI,Assets,2.208,1987
Malawi,MWI,Assets,2.208,1988
Malawi,MWI,Assets,2.208,1989
Malawi,MWI,Assets,2.208,1990
Malawi,MWI,Assets,2.208,1991
Malawi,MWI,Assets,2.208,1992
Malawi,MWI,Assets,2.208,1993
Malawi,MWI,Assets,2.208,1994
Malawi,MWI,Assets,2.208,1995
Malawi,MWI,Assets,2.208,1996
Malawi,MWI,Assets,2.208,1997
Malawi,MWI,Assets,2.208,1998
Malawi,MWI,Assets,2.208,1999
Malawi,MWI,Assets,2.208,2000
Malawi,MWI,Assets,2.208,2001
Malawi,MWI,Assets,2.208,2002
Malawi,MWI,Assets,2.208,2003
Malawi,MWI,Assets,2.208,2004
Malawi,MWI,Assets,2.208,2005
Malawi,MWI,Assets,2.208,2006
Malawi,MWI,Assets,2.208,2007
Malawi,MWI,Assets,2.208,2008
Malawi,MWI,Assets,2.208,2009
Malawi,MWI,Assets,2.208,2010
Malawi,MWI,Assets,11.672,2011
Malawi,MWI,Assets,2.208,2012
Malawi,MWI,Assets,2.208,2013
Malawi,MWI,Assets,31.546,2014
Malawi,MWI,Assets,2.208,2015
Malawi,MWI,Assets,32.492,2016
Malawi,MWI,Assets,34.069,2017
Malawi,MWI,Assets,2.208,2018
Malawi,MWI,Assets,2.208,2019
Malawi,MWI,Assets,2.208,2020
Malawi,MWI,Assets,63.091,2021
Malawi,MWI,Assets,2.208,2022
Malawi,MWI,Assets,2.208,2023
Malawi,MWI,Children 0-14,10.769,1960
Malawi,MWI,Children 0-14,11.538,1961
Malawi,MWI,Children 0-14,11.538,1962
