Country Name,Country Code,Topic,% of available indicators,Year
Malaysia,MYS,Assets,0.000,1960
Malaysia,MYS,Assets,0.000,1961
Malaysia,MYS,Assets,0.000,1962
Malaysia,MYS,Assets,0.000,1963
Malaysia,MYS,Assets,0.000,1964
Malaysia,MYS,Assets,0.000,1965
Malaysia,MYS,Assets,0.000,1966
Malaysia,MYS,Assets,0.000,1967
Malaysia,MYS,Assets,0.000,1968
Malaysia,MYS,Assets,0.000,1969
Malaysia,MYS,Assets,2.208,1970
Malaysia,MYS,Assets,2.208,1971
Malaysia,MYS,Assets,2.208,1972
Malaysia,MYS,Assets,2.208,1973
Malaysia,MYS,Assets,2.208,1974
Malaysia,MYS,Assets,2.208,1975
Malaysia,MYS,Assets,2.208,1976
Malaysia,MYS,Assets,2.208,1977
Malaysia,MYS,Assets,2.208,1978
Malaysia,MYS,Assets,2.208,1979
Malaysia,MYS,Assets,2.208,1980
Malaysia,MYS,Assets,2.208,1981
Malaysia,MYS,Assets,2.208,1982
Malaysia,MYS,Assets,2.208,1983
Malaysia,MYS,Assets,2.208,1984
Malaysia,MYS,Assets,2.208,1985
Malaysia,MYS,Assets,2.208,1986
Malaysia,MYS,Assets,2.208,1987
Malaysia,MYS,Assets,2.208,1988
Malaysia,MYS,Assets,2.208,1989
Malaysia,MYS,Assets,2.208,1990
Malaysia,MYS,Assets,2.208,1991
Malaysia,MYS,Assets,2.208,1992
Malaysia,MYS,Assets,2.208,1993
Malaysia,MYS,Assets,2.208,1994
Malaysia,MYS,Assets,2.208,1995
Malaysia,MYS,Assets,2.208,1996
Malaysia,MYS,Assets,2.208,1997
Malaysia,MYS,Assets,2.208,1998
Malaysia,MYS,Assets,2.208,1999
Malaysia,MYS,Assets,2.208,2000
Malaysia,MYS,Assets,2.208,2001
Malaysia,MYS,Assets,2.208,2002
Malaysia,MYS,Assets,2.208,2003
Malaysia,MYS,Assets,2.208,2004
Malaysia,MYS,Assets,2.208,2005
Malaysia,MYS,Assets,2.208,2006
Malaysia,MYS,Assets,2.208,2007
Malaysia,MYS,Assets,2.208,2008
Malaysia,MYS,Assets,2.208,2009
Malaysia,MYS,Assets,2.208,2010
Malaysia,MYS,Assets,11.672,2011
Malaysia,MYS,Assets,2.208,2012
Malaysia,MYS,Assets,2.208,2013
Malaysia,MYS,Assets,31.546,2014
Malaysia,MYS,Assets,2.208,2015
Malaysia,MYS,Assets,2.208,2016
Malaysia,MYS,Assets,34.069,2017
Malaysia,MYS,Assets,2.208,2018
Malaysia,MYS,Assets,2.208,2019
Malaysia,MYS,Assets,2.208,2020
Malaysia,MYS,Assets,63.091,2021
Malaysia,MYS,Assets,2.208,2022
Malaysia,MYS,Assets,2.208,2023
Malaysia,MYS,Children 0-14,19.231,1960
Malaysia,MYS,Children 0-14,19.231,1961
Malaysia,MYS,Children 0-14,19.231,1962
Malaysia,MYS,Children 0-14,19.231,1963
Malaysia,MYS,Children 0-14,19.231,1964
Malaysia,MYS,Children 0-14,19.231,1965
Malaysia,MYS,Children 0-14,19.231,1966
Malaysia,MYS,Children 0-14,19.231,1967
Malaysia,MYS,Children 0-14,19.231,1968
Malaysia,MYS,Children 0-14,19.231,1969
Malaysia,MYS,Children 0-14,30.769,1970
Malaysia,MYS,Children 0-14,26.923,1971
Malaysia,MYS,Children 0-14,26.923,1972
Malaysia,MYS,Children 0-14,19.231,1973
Malaysia,MYS,Children 0-14,24.615,1974
Malaysia,MYS,Children 0-14,23.077,1975
Malaysia,MYS,Children 0-14,19.231,1976
Malaysia,MYS,Children 0-14,20.000,1977
Malaysia,MYS,Children 0-14,20.000,1978
Malaysia,MYS,Children 0-14,20.000,1979
Malaysia,MYS,Children 0-14,33.846,1980
Malaysia,MYS,Children 0-14,28.462,1981
Malaysia,MYS,Children 0-14,29.231,1982
Malaysia,MYS,Children 0-14,30.000,1983
Malaysia,MYS,Children 0-14,30.000,1984
Malaysia,MYS,Children 0-14,28.462,1985
Malaysia,MYS,Children 0-14,20.769,1986
Malaysia,MYS,Children 0-14,31.538,1987
Malaysia,MYS,Children 0-14,31.538,1988
Malaysia,MYS,Children 0-14,31.538,1989
Malaysia,MYS,Children 0-14,32.308,1990
Malaysia,MYS,Children 0-14,30.769,1991
Malaysia,MYS,Children 0-14,30.000,1992
Malaysia,MYS,Children 0-14,30.769,1993
Malaysia,MYS,Children 0-14,33.846,1994
Malaysia,MYS,Children 0-14,27.692,1995
Malaysia,MYS,Children 0-14,31.538,1996
Malaysia,MYS,Children 0-14,20.769,1997
Malaysia,MYS,Children 0-14,38.462,1998
Malaysia,MYS,Children 0-14,41.538,1999
Malaysia,MYS,Children 0-14,55.385,2000
Malaysia,MYS,Children 0-14,39.231,2001
Malaysia,MYS,Children 0-14,41.538,2002
Malaysia,MYS,Children 0-14,40.000,2003
Malaysia,MYS,Children 0-14,41.538,2004
Malaysia,MYS,Children 0-14,46.154,2005
Malaysia,MYS,Children 0-14,53.077,2006
Malaysia,MYS,Children 0-14,40.000,2007
Malaysia,MYS,Children 0-14,40.769,2008
Malaysia,MYS,Children 0-14,45.385,2009
Malaysia,MYS,Children 0-14,63.846,2010
Malaysia,MYS,Children 0-14,35.385,2011
Malaysia,MYS,Children 0-14,42.308,2012
Malaysia,MYS,Children 0-14,46.154,2013
Malaysia,MYS,Children 0-14,46.923,2014
Malaysia,MYS,Children 0-14,70.000,2015
Malaysia,MYS,Children 0-14,61.538,2016
Malaysia,MYS,Children 0-14,55.385,2017
Malaysia,MYS,Children 0-14,47.692,2018
Malaysia,MYS,Children 0-14,68.462,2019
Malaysia,MYS,Children 0-14,44.615,2020
Malaysia,MYS,Children 0-14,37.692,2021
Malaysia,MYS,Children 0-14,44.615,2022
Malaysia,MYS,Children 0-14,19.231,2023
Malaysia,MYS,Education,0.000,1960
Malaysia,MYS,Education,0.000,1961
Malaysia,MYS,Education,0.000,1962
Malaysia,MYS,Education,0.000,1963
Malaysia,MYS,Education,0.000,1964
Malaysia,MYS,Education,0.000,1965
Malaysia,MYS,Education,0.000,1966
Malaysia,MYS,Education,0.000,1967
Malaysia,MYS,Education,0.000,1968
Malaysia,MYS,Education,0.000,1969
Malaysia,MYS,Education,20.245,1970
Malaysia,MYS,Education,15.337,1971
Malaysia,MYS,Education,14.724,1972
Malaysia,MYS,Education,1.227,1973
Malaysia,MYS,Education,10.429,1974
Malaysia,MYS,Education,4.908,1975
Malaysia,MYS,Education,3.067,1976
Malaysia,MYS,Education,1.227,1977
Malaysia,MYS,Education,3.067,1978
Malaysia,MYS,Education,11.043,1979
Malaysia,MYS,Education,36.810,1980
Malaysia,MYS,Education,15.337,1981
Malaysia,MYS,Education,20.245,1982
Malaysia,MYS,Education,19.632,1983
Malaysia,MYS,Education,20.859,1984
Malaysia,MYS,Education,19.632,1985
Malaysia,MYS,Education,7.975,1986
Malaysia,MYS,Education,18.405,1987
Malaysia,MYS,Education,20.859,1988
Malaysia,MYS,Education,20.859,1989
Malaysia,MYS,Education,17.791,1990
Malaysia,MYS,Education,25.153,1991
Malaysia,MYS,Education,16.564,1992
Malaysia,MYS,Education,16.564,1993
Malaysia,MYS,Education,19.632,1994
Malaysia,MYS,Education,11.656,1995
Malaysia,MYS,Education,14.110,1996
Malaysia,MYS,Education,4.908,1997
