Country Name,Country Code,Topic,% of available indicators,Year
Namibia,NAM,Assets,0.000,1960
Namibia,NAM,Assets,0.000,1961
Namibia,NAM,Assets,0.000,1962
Namibia,NAM,Assets,0.000,1963
Namibia,NAM,Assets,0.000,1964
Namibia,NAM,Assets,0.000,1965
Namibia,NAM,Assets,0.000,1966
Namibia,NAM,Assets,0.000,1967
Namibia,NAM,Assets,0.000,1968
Namibia,NAM,Assets,0.000,1969
Namibia,NAM,Assets,2.208,1970
Namibia,NAM,Assets,2.208,1971
Namibia,NAM,Assets,2.208,1972
Namibia,NAM,Assets,2.208,1973
Namibia,NAM,Assets,2.208,1974
Namibia,NAM,Assets,2.208,1975
Namibia,NAM,Assets,2.208,1976
Namibia,NAM,Assets,2.208,1977
Namibia,NAM,Assets,2.208,1978
Namibia,NAM,Assets,2.208,1979
Namibia,NAM,Assets,2.208,1980
Namibia,NAM,Assets,2.208,1981
Namibia,NAM,Assets,2.208,1982
Namibia,NAM,Assets,2.208,1983
Namibia,NAM,Assets,2.208,1984
Namibia,NAM,Assets,2.208,1985
Namibia,NAM,Assets,2.208,1986
Namibia,NAM,Assets,2.208,1987
Namibia,NAM,Assets,2.208,1988
Namibia,NAM,Assets,2.208,1989
Namibia,NAM,Assets,2.208,1990
Namibia,NAM,Assets,2.208,1991
Namibia,NAM,Assets,2.208,1992
Namibia,NAM,Assets,2.208,1993
Namibia,NAM,Assets,2.208,1994
Namibia,NAM,Assets,2.208,1995
Namibia,NAM,Assets,2.208,1996
Namibia,NAM,Assets,2.208,1997
Namibia,NAM,Assets,2.208,1998
Namibia,NAM,Assets,2.208,1999
Namibia,NAM,Assets,2.208,2000
Namibia,NAM,Assets,2.208,2001
Namibia,NAM,Assets,2.208,2002
Namibia,NAM,Assets,2.208,2003
Namibia,NAM,Assets,2.208,2004
Namibia,NAM,Assets,2.208,2005
Namibia,NAM,Assets,2.208,2006
Namibia,NAM,Assets,2.208,2007
Namibia,NAM,Assets,2.208,2008
Namibia,NAM,Assets,2.208,2009
Namibia,NAM,Assets,2.208,2010
Namibia,NAM,Assets,2.208,2011
Namibia,NAM,Assets,2.208,2012
Namibia,NAM,Assets,32.492,2013
Namibia,NAM,Assets,31.546,2014
Namibia,NAM,Assets,2.208,2015
Namibia,NAM,Assets,2.208,2016
Namibia,NAM,Assets,34.069,2017
Namibia,NAM,Assets,2.208,2018
Namibia,NAM,Assets,2.208,2019
Namibia,NAM,Assets,2.208,2020
Namibia,NAM,Assets,63.091,2021
Namibia,NAM,Assets,2.208,2022
Namibia,NAM,Assets,2.208,2023
Namibia,NAM,Children 0-14,10.769,1960
Namibia,NAM,Children 0-14,10.769,1961
Namibia,NAM,Children 0-14,10.769,1962
Namibia,NAM,Children 0-14,10.769,1963
Namibia,NAM,Children 0-14,10.769,1964
Namibia,NAM,Children 0-14,10.769,1965
Namibia,NAM,Children 0-14,10.769,1966
Namibia,NAM,Children 0-14,15.385,1967
Namibia,NAM,Children 0-14,17.692,1968
Namibia,NAM,Children 0-14,17.692,1969
Namibia,NAM,Children 0-14,17.692,1970
Namibia,NAM,Children 0-14,17.692,1971
Namibia,NAM,Children 0-14,19.231,1972
Namibia,NAM,Children 0-14,19.231,1973
Namibia,NAM,Children 0-14,19.231,1974
Namibia,NAM,Children 0-14,19.231,1975
Namibia,NAM,Children 0-14,19.231,1976
Namibia,NAM,Children 0-14,19.231,1977
Namibia,NAM,Children 0-14,19.231,1978
Namibia,NAM,Children 0-14,19.231,1979
Namibia,NAM,Children 0-14,19.231,1980
Namibia,NAM,Children 0-14,19.231,1981
Namibia,NAM,Children 0-14,19.231,1982
Namibia,NAM,Children 0-14,19.231,1983
Namibia,NAM,Children 0-14,19.231,1984
Namibia,NAM,Children 0-14,19.231,1985
Namibia,NAM,Children 0-14,20.769,1986
Namibia,NAM,Children 0-14,20.769,1987
Namibia,NAM,Children 0-14,20.769,1988
Namibia,NAM,Children 0-14,33.077,1989
Namibia,NAM,Children 0-14,33.077,1990
Namibia,NAM,Children 0-14,30.769,1991
Namibia,NAM,Children 0-14,53.077,1992
