Country Name,Country Code,Topic,% of available indicators,Year
New Caledonia,NCL,Assets,0.000,1960
New Caledonia,NCL,Assets,0.000,1961
New Caledonia,NCL,Assets,0.000,1962
New Caledonia,NCL,Assets,0.000,1963
New Caledonia,NCL,Assets,0.000,1964
New Caledonia,NCL,Assets,0.000,1965
New Caledonia,NCL,Assets,0.000,1966
New Caledonia,NCL,Assets,0.000,1967
New Caledonia,NCL,Assets,0.000,1968
New Caledonia,NCL,Assets,0.000,1969
New Caledonia,NCL,Assets,0.000,1970
New Caledonia,NCL,Assets,0.000,1971
New Caledonia,NCL,Assets,0.000,1972
New Caledonia,NCL,Assets,0.000,1973
New Caledonia,NCL,Assets,0.000,1974
New Caledonia,NCL,Assets,0.000,1975
New Caledonia,NCL,Assets,0.000,1976
New Caledonia,NCL,Assets,0.000,1977
New Caledonia,NCL,Assets,0.000,1978
New Caledonia,NCL,Assets,0.000,1979
New Caledonia,NCL,Assets,0.000,1980
New Caledonia,NCL,Assets,0.000,1981
New Caledonia,NCL,Assets,0.000,1982
New Caledonia,NCL,Assets,0.000,1983
New Caledonia,NCL,Assets,0.000,1984
New Caledonia,NCL,Assets,0.000,1985
New Caledonia,NCL,Assets,0.000,1986
New Caledonia,NCL,Assets,0.000,1987
New Caledonia,NCL,Assets,0.000,1988
New Caledonia,NCL,Assets,0.000,1989
New Caledonia,NCL,Assets,0.000,1990
New Caledonia,NCL,Assets,0.000,1991
New Caledonia,NCL,Assets,0.000,1992
New Caledonia,NCL,Assets,0.000,1993
New Caledonia,NCL,Assets,0.000,1994
New Caledonia,NCL,Assets,0.000,1995
New Caledonia,NCL,Assets,0.000,1996
New Caledonia,NCL,Assets,0.000,1997
New Caledonia,NCL,Assets,0.000,1998
New Caledonia,NCL,Assets,0.000,1999
New Caledonia,NCL,Assets,0.000,2000
New Caledonia,NCL,Assets,0.000,2001
New Caledonia,NCL,Assets,0.000,2002
New Caledonia,NCL,Assets,0.000,2003
New Caledonia,NCL,Assets,0.000,2004
New Caledonia,NCL,Assets,0.000,2005
New Caledonia,NCL,Assets,0.000,2006
New Caledonia,NCL,Assets,0.000,2007
New Caledonia,NCL,Assets,0.000,2008
New Caledonia,NCL,Assets,0.000,2009
New Caledonia,NCL,Assets,0.000,2010
New Caledonia,NCL,Assets,0.000,2011
New Caledonia,NCL,Assets,0.000,2012
New Caledonia,NCL,Assets,0.000,2013
New Caledonia,NCL,Assets,0.000,2014
New Caledonia,NCL,Assets,0.000,2015
New Caledonia,NCL,Assets,0.000,2016
New Caledonia,NCL,Assets,0.000,2017
New Caledonia,NCL,Assets,0.000,2018
New Caledonia,NCL,Assets,0.000,2019
New Caledonia,NCL,Assets,0.000,2020
New Caledonia,NCL,Assets,0.000,2021
New Caledonia,NCL,Assets,0.000,2022
New Caledonia,NCL,Assets,0.000,2023
New Caledonia,NCL,Children 0-14,10.769,1960
New Caledonia,NCL,Children 0-14,10.769,1961
New Caledonia,NCL,Children 0-14,10.769,1962
New Caledonia,NCL,Children 0-14,10.769,1963
New Caledonia,NCL,Children 0-14,10.769,1964
New Caledonia,NCL,Children 0-14,10.769,1965
New Caledonia,NCL,Children 0-14,10.769,1966
New Caledonia,NCL,Children 0-14,10.769,1967
New Caledonia,NCL,Children 0-14,10.769,1968
New Caledonia,NCL,Children 0-14,10.769,1969
New Caledonia,NCL,Children 0-14,13.077,1970
New Caledonia,NCL,Children 0-14,11.538,1971
New Caledonia,NCL,Children 0-14,11.538,1972
New Caledonia,NCL,Children 0-14,11.538,1973
New Caledonia,NCL,Children 0-14,11.538,1974
New Caledonia,NCL,Children 0-14,11.538,1975
New Caledonia,NCL,Children 0-14,11.538,1976
New Caledonia,NCL,Children 0-14,11.538,1977
New Caledonia,NCL,Children 0-14,11.538,1978
New Caledonia,NCL,Children 0-14,11.538,1979
New Caledonia,NCL,Children 0-14,11.538,1980
New Caledonia,NCL,Children 0-14,13.077,1981
New Caledonia,NCL,Children 0-14,20.769,1982
New Caledonia,NCL,Children 0-14,20.769,1983
New Caledonia,NCL,Children 0-14,20.769,1984
New Caledonia,NCL,Children 0-14,20.769,1985
New Caledonia,NCL,Children 0-14,19.231,1986
New Caledonia,NCL,Children 0-14,20.769,1987
New Caledonia,NCL,Children 0-14,23.077,1988
New Caledonia,NCL,Children 0-14,23.077,1989
New Caledonia,NCL,Children 0-14,21.538,1990
New Caledonia,NCL,Children 0-14,16.923,1991
New Caledonia,NCL,Children 0-14,11.538,1992
New Caledonia,NCL,Children 0-14,11.538,1993
New Caledonia,NCL,Children 0-14,11.538,1994
New Caledonia,NCL,Children 0-14,10.769,1995
New Caledonia,NCL,Children 0-14,10.769,1996
New Caledonia,NCL,Children 0-14,10.769,1997
New Caledonia,NCL,Children 0-14,10.769,1998
New Caledonia,NCL,Children 0-14,10.769,1999
New Caledonia,NCL,Children 0-14,10.769,2000
New Caledonia,NCL,Children 0-14,10.769,2001
New Caledonia,NCL,Children 0-14,10.769,2002
New Caledonia,NCL,Children 0-14,10.769,2003
New Caledonia,NCL,Children 0-14,10.769,2004
New Caledonia,NCL,Children 0-14,10.769,2005
New Caledonia,NCL,Children 0-14,10.769,2006
New Caledonia,NCL,Children 0-14,10.769,2007
New Caledonia,NCL,Children 0-14,10.769,2008
New Caledonia,NCL,Children 0-14,10.769,2009
New Caledonia,NCL,Children 0-14,10.769,2010
New Caledonia,NCL,Children 0-14,10.769,2011
New Caledonia,NCL,Children 0-14,10.769,2012
New Caledonia,NCL,Children 0-14,10.769,2013
New Caledonia,NCL,Children 0-14,15.385,2014
New Caledonia,NCL,Children 0-14,10.769,2015
New Caledonia,NCL,Children 0-14,10.769,2016
New Caledonia,NCL,Children 0-14,10.769,2017
New Caledonia,NCL,Children 0-14,10.769,2018
New Caledonia,NCL,Children 0-14,15.385,2019
New Caledonia,NCL,Children 0-14,10.769,2020
New Caledonia,NCL,Children 0-14,10.769,2021
New Caledonia,NCL,Children 0-14,15.385,2022
New Caledonia,NCL,Children 0-14,7.692,2023
New Caledonia,NCL,Education,0.000,1960
New Caledonia,NCL,Education,0.000,1961
New Caledonia,NCL,Education,0.000,1962
New Caledonia,NCL,Education,0.000,1963
New Caledonia,NCL,Education,0.000,1964
New Caledonia,NCL,Education,0.000,1965
New Caledonia,NCL,Education,0.000,1966
New Caledonia,NCL,Education,0.000,1967
New Caledonia,NCL,Education,0.000,1968
New Caledonia,NCL,Education,0.000,1969
New Caledonia,NCL,Education,7.362,1970
New Caledonia,NCL,Education,5.521,1971
New Caledonia,NCL,Education,6.135,1972
New Caledonia,NCL,Education,6.135,1973
New Caledonia,NCL,Education,5.521,1974
New Caledonia,NCL,Education,5.521,1975
New Caledonia,NCL,Education,12.270,1976
New Caledonia,NCL,Education,4.908,1977
New Caledonia,NCL,Education,4.908,1978
New Caledonia,NCL,Education,5.521,1979
New Caledonia,NCL,Education,4.908,1980
New Caledonia,NCL,Education,5.521,1981
New Caledonia,NCL,Education,14.110,1982
New Caledonia,NCL,Education,13.497,1983
New Caledonia,NCL,Education,12.270,1984
New Caledonia,NCL,Education,13.497,1985
New Caledonia,NCL,Education,12.270,1986
New Caledonia,NCL,Education,13.497,1987
New Caledonia,NCL,Education,17.178,1988
New Caledonia,NCL,Education,24.540,1989
New Caledonia,NCL,Education,14.110,1990
New Caledonia,NCL,Education,10.429,1991
New Caledonia,NCL,Education,1.840,1992
New Caledonia,NCL,Education,1.840,1993
New Caledonia,NCL,Education,1.840,1994
New Caledonia,NCL,Education,1.227,1995
New Caledonia,NCL,Education,7.975,1996
New Caledonia,NCL,Education,6.135,1997
New Caledonia,NCL,Education,0.000,1998
New Caledonia,NCL,Education,0.000,1999
New Caledonia,NCL,Education,0.000,2000
New Caledonia,NCL,Education,0.000,2001
New Caledonia,NCL,Education,0.000,2002
New Caledonia,NCL,Education,0.000,2003
New Caledonia,NCL,Education,0.000,2004
New Caledonia,NCL,Education,0.000,2005
New Caledonia,NCL,Education,4.294,2006
New Caledonia,NCL,Education,0.000,2007
New Caledonia,NCL,Education,0.000,2008
New Caledonia,NCL,Education,0.000,2009
New Caledonia,NCL,Education,0.000,2010
New Caledonia,NCL,Education,0.000,2011
New Caledonia,NCL,Education,0.000,2012
New Caledonia,NCL,Education,0.000,2013
New Caledonia,NCL,Education,19.018,2014
New Caledonia,NCL,Education,0.000,2015
New Caledonia,NCL,Education,0.000,2016
New Caledonia,NCL,Education,1.840,2017
New Caledonia,NCL,Education,1.840,2018
New Caledonia,NCL,Education,9.202,2019
New Caledonia,NCL,Education,1.840,2020
New Caledonia,NCL,Education,0.000,2021
New Caledonia,NCL,Education,16.564,2022
New Caledonia,NCL,Education,0.000,2023
New Caledonia,NCL,Employment and Time Use,0.000,1960
New Caledonia,NCL,Employment and Time Use,0.000,1961
New Caledonia,NCL,Employment and Time Use,0.000,1962
New Caledonia,NCL,Employment and Time Use,2.920,1963
New Caledonia,NCL,Employment and Time Use,0.000,1964
New Caledonia,NCL,Employment and Time Use,0.000,1965
New Caledonia,NCL,Employment and Time Use,0.000,1966
New Caledonia,NCL,Employment and Time Use,0.000,1967
New Caledonia,NCL,Employment and Time Use,0.000,1968
New Caledonia,NCL,Employment and Time Use,2.920,1969
New Caledonia,NCL,Employment and Time Use,0.000,1970
New Caledonia,NCL,Employment and Time Use,0.000,1971
New Caledonia,NCL,Employment and Time Use,0.000,1972
New Caledonia,NCL,Employment and Time Use,0.000,1973
New Caledonia,NCL,Employment and Time Use,0.000,1974
New Caledonia,NCL,Employment and Time Use,0.000,1975
New Caledonia,NCL,Employment and Time Use,0.000,1976
New Caledonia,NCL,Employment and Time Use,0.000,1977
New Caledonia,NCL,Employment and Time Use,0.000,1978
New Caledonia,NCL,Employment and Time Use,0.000,1979
New Caledonia,NCL,Employment and Time Use,0.000,1980
New Caledonia,NCL,Employment and Time Use,0.000,1981
New Caledonia,NCL,Employment and Time Use,0.000,1982
New Caledonia,NCL,Employment and Time Use,0.000,1983
New Caledonia,NCL,Employment and Time Use,0.000,1984
New Caledonia,NCL,Employment and Time Use,0.000,1985
New Caledonia,NCL,Employment and Time Use,0.000,1986
New Caledonia,NCL,Employment and Time Use,0.000,1987
New Caledonia,NCL,Employment and Time Use,0.000,1988
New Caledonia,NCL,Employment and Time Use,0.000,1989
New Caledonia,NCL,Employment and Time Use,10.219,1990
New Caledonia,NCL,Employment and Time Use,35.036,1991
New Caledonia,NCL,Employment and Time Use,35.036,1992
New Caledonia,NCL,Employment and Time Use,35.036,1993
New Caledonia,NCL,Employment and Time Use,35.036,1994
New Caledonia,NCL,Employment and Time Use,35.036,1995
New Caledonia,NCL,Employment and Time Use,42.336,1996
New Caledonia,NCL,Employment and Time Use,35.036,1997
New Caledonia,NCL,Employment and Time Use,35.036,1998
New Caledonia,NCL,Employment and Time Use,35.036,1999
New Caledonia,NCL,Employment and Time Use,35.036,2000
New Caledonia,NCL,Employment and Time Use,35.036,2001
New Caledonia,NCL,Employment and Time Use,35.036,2002
New Caledonia,NCL,Employment and Time Use,35.036,2003
New Caledonia,NCL,Employment and Time Use,38.686,2004
New Caledonia,NCL,Employment and Time Use,35.036,2005
New Caledonia,NCL,Employment and Time Use,35.036,2006
New Caledonia,NCL,Employment and Time Use,35.036,2007
New Caledonia,NCL,Employment and Time Use,35.036,2008
New Caledonia,NCL,Employment and Time Use,42.336,2009
New Caledonia,NCL,Employment and Time Use,35.036,2010
New Caledonia,NCL,Employment and Time Use,35.036,2011
New Caledonia,NCL,Employment and Time Use,35.036,2012
New Caledonia,NCL,Employment and Time Use,35.036,2013
New Caledonia,NCL,Employment and Time Use,60.584,2014
New Caledonia,NCL,Employment and Time Use,35.036,2015
New Caledonia,NCL,Employment and Time Use,35.036,2016
New Caledonia,NCL,Employment and Time Use,55.474,2017
New Caledonia,NCL,Employment and Time Use,55.474,2018
New Caledonia,NCL,Employment and Time Use,55.474,2019
New Caledonia,NCL,Employment and Time Use,55.474,2020
New Caledonia,NCL,Employment and Time Use,35.036,2021
New Caledonia,NCL,Employment and Time Use,64.964,2022
New Caledonia,NCL,Employment and Time Use,35.036,2023
New Caledonia,NCL,Entrepreneurship,0.000,1960
New Caledonia,NCL,Entrepreneurship,0.000,1961
New Caledonia,NCL,Entrepreneurship,0.000,1962
New Caledonia,NCL,Entrepreneurship,0.000,1963
New Caledonia,NCL,Entrepreneurship,0.000,1964
New Caledonia,NCL,Entrepreneurship,0.000,1965
New Caledonia,NCL,Entrepreneurship,0.000,1966
New Caledonia,NCL,Entrepreneurship,0.000,1967
New Caledonia,NCL,Entrepreneurship,0.000,1968
New Caledonia,NCL,Entrepreneurship,0.000,1969
New Caledonia,NCL,Entrepreneurship,0.000,1970
New Caledonia,NCL,Entrepreneurship,0.000,1971
New Caledonia,NCL,Entrepreneurship,0.000,1972
New Caledonia,NCL,Entrepreneurship,0.000,1973
New Caledonia,NCL,Entrepreneurship,0.000,1974
New Caledonia,NCL,Entrepreneurship,0.000,1975
New Caledonia,NCL,Entrepreneurship,0.000,1976
New Caledonia,NCL,Entrepreneurship,0.000,1977
New Caledonia,NCL,Entrepreneurship,0.000,1978
New Caledonia,NCL,Entrepreneurship,0.000,1979
New Caledonia,NCL,Entrepreneurship,0.000,1980
New Caledonia,NCL,Entrepreneurship,0.000,1981
New Caledonia,NCL,Entrepreneurship,0.000,1982
New Caledonia,NCL,Entrepreneurship,0.000,1983
New Caledonia,NCL,Entrepreneurship,0.000,1984
New Caledonia,NCL,Entrepreneurship,0.000,1985
New Caledonia,NCL,Entrepreneurship,0.000,1986
New Caledonia,NCL,Entrepreneurship,0.000,1987
New Caledonia,NCL,Entrepreneurship,0.000,1988
New Caledonia,NCL,Entrepreneurship,0.000,1989
New Caledonia,NCL,Entrepreneurship,0.000,1990
New Caledonia,NCL,Entrepreneurship,0.000,1991
New Caledonia,NCL,Entrepreneurship,0.000,1992
New Caledonia,NCL,Entrepreneurship,0.000,1993
New Caledonia,NCL,Entrepreneurship,0.000,1994
New Caledonia,NCL,Entrepreneurship,0.000,1995
New Caledonia,NCL,Entrepreneurship,0.000,1996
New Caledonia,NCL,Entrepreneurship,0.000,1997
New Caledonia,NCL,Entrepreneurship,0.000,1998
New Caledonia,NCL,Entrepreneurship,0.000,1999
New Caledonia,NCL,Entrepreneurship,0.000,2000
New Caledonia,NCL,Entrepreneurship,0.000,2001
New Caledonia,NCL,Entrepreneurship,0.000,2002
New Caledonia,NCL,Entrepreneurship,0.000,2003
New Caledonia,NCL,Entrepreneurship,0.000,2004
New Caledonia,NCL,Entrepreneurship,0.000,2005
New Caledonia,NCL,Entrepreneurship,0.000,2006
New Caledonia,NCL,Entrepreneurship,0.000,2007
New Caledonia,NCL,Entrepreneurship,0.000,2008
New Caledonia,NCL,Entrepreneurship,0.000,2009
New Caledonia,NCL,Entrepreneurship,0.000,2010
New Caledonia,NCL,Entrepreneurship,0.000,2011
New Caledonia,NCL,Entrepreneurship,0.000,2012
New Caledonia,NCL,Entrepreneurship,0.000,2013
New Caledonia,NCL,Entrepreneurship,0.000,2014
New Caledonia,NCL,Entrepreneurship,0.000,2015
New Caledonia,NCL,Entrepreneurship,0.000,2016
New Caledonia,NCL,Entrepreneurship,0.000,2017
New Caledonia,NCL,Entrepreneurship,0.000,2018
New Caledonia,NCL,Entrepreneurship,0.000,2019
New Caledonia,NCL,Entrepreneurship,0.000,2020
New Caledonia,NCL,Entrepreneurship,0.000,2021
New Caledonia,NCL,Entrepreneurship,0.000,2022
New Caledonia,NCL,Entrepreneurship,0.000,2023
New Caledonia,NCL,Environment,0.000,1960
New Caledonia,NCL,Environment,0.000,1961
New Caledonia,NCL,Environment,0.000,1962
New Caledonia,NCL,Environment,0.000,1963
New Caledonia,NCL,Environment,0.000,1964
New Caledonia,NCL,Environment,0.000,1965
New Caledonia,NCL,Environment,0.000,1966
New Caledonia,NCL,Environment,0.000,1967
New Caledonia,NCL,Environment,0.000,1968
New Caledonia,NCL,Environment,0.000,1969
New Caledonia,NCL,Environment,0.000,1970
New Caledonia,NCL,Environment,0.000,1971
New Caledonia,NCL,Environment,0.000,1972
New Caledonia,NCL,Environment,0.000,1973
New Caledonia,NCL,Environment,0.000,1974
New Caledonia,NCL,Environment,0.000,1975
New Caledonia,NCL,Environment,0.000,1976
New Caledonia,NCL,Environment,0.000,1977
New Caledonia,NCL,Environment,0.000,1978
New Caledonia,NCL,Environment,0.000,1979
New Caledonia,NCL,Environment,0.000,1980
New Caledonia,NCL,Environment,0.000,1981
New Caledonia,NCL,Environment,0.000,1982
New Caledonia,NCL,Environment,0.000,1983
New Caledonia,NCL,Environment,0.000,1984
New Caledonia,NCL,Environment,0.000,1985
New Caledonia,NCL,Environment,0.000,1986
New Caledonia,NCL,Environment,0.000,1987
New Caledonia,NCL,Environment,0.000,1988
New Caledonia,NCL,Environment,0.000,1989
New Caledonia,NCL,Environment,0.000,1990
New Caledonia,NCL,Environment,0.000,1991
New Caledonia,NCL,Environment,0.000,1992
New Caledonia,NCL,Environment,0.000,1993
New Caledonia,NCL,Environment,0.000,1994
New Caledonia,NCL,Environment,0.000,1995
New Caledonia,NCL,Environment,0.000,1996
New Caledonia,NCL,Environment,0.000,1997
New Caledonia,NCL,Environment,0.000,1998
