Country Name,Country Code,Topic,% of available indicators,Year
Niger,NER,Assets,0.000,1960
Niger,NER,Assets,0.000,1961
Niger,NER,Assets,0.000,1962
Niger,NER,Assets,0.000,1963
Niger,NER,Assets,0.000,1964
Niger,NER,Assets,0.000,1965
Niger,NER,Assets,0.000,1966
Niger,NER,Assets,0.000,1967
Niger,NER,Assets,0.000,1968
Niger,NER,Assets,0.000,1969
Niger,NER,Assets,2.208,1970
Niger,NER,Assets,2.208,1971
Niger,NER,Assets,2.208,1972
Niger,NER,Assets,2.208,1973
Niger,NER,Assets,2.208,1974
Niger,NER,Assets,2.208,1975
Niger,NER,Assets,2.208,1976
Niger,NER,Assets,2.208,1977
Niger,NER,Assets,2.208,1978
Niger,NER,Assets,2.208,1979
Niger,NER,Assets,2.208,1980
Niger,NER,Assets,2.208,1981
Niger,NER,Assets,2.208,1982
Niger,NER,Assets,2.208,1983
Niger,NER,Assets,2.208,1984
Niger,NER,Assets,2.208,1985
Niger,NER,Assets,2.208,1986
Niger,NER,Assets,2.208,1987
Niger,NER,Assets,2.208,1988
Niger,NER,Assets,2.208,1989
Niger,NER,Assets,2.208,1990
Niger,NER,Assets,2.208,1991
Niger,NER,Assets,2.208,1992
Niger,NER,Assets,2.208,1993
Niger,NER,Assets,2.208,1994
Niger,NER,Assets,2.208,1995
Niger,NER,Assets,2.208,1996
Niger,NER,Assets,2.208,1997
Niger,NER,Assets,2.208,1998
Niger,NER,Assets,2.208,1999
Niger,NER,Assets,2.208,2000
Niger,NER,Assets,2.208,2001
Niger,NER,Assets,2.208,2002
Niger,NER,Assets,2.208,2003
Niger,NER,Assets,2.208,2004
Niger,NER,Assets,2.208,2005
Niger,NER,Assets,2.208,2006
Niger,NER,Assets,2.208,2007
Niger,NER,Assets,2.208,2008
Niger,NER,Assets,2.208,2009
Niger,NER,Assets,2.208,2010
Niger,NER,Assets,11.672,2011
Niger,NER,Assets,32.492,2012
Niger,NER,Assets,2.208,2013
Niger,NER,Assets,30.599,2014
Niger,NER,Assets,2.208,2015
Niger,NER,Assets,2.208,2016
Niger,NER,Assets,33.123,2017
Niger,NER,Assets,2.208,2018
Niger,NER,Assets,2.208,2019
Niger,NER,Assets,2.208,2020
Niger,NER,Assets,2.208,2021
Niger,NER,Assets,61.514,2022
Niger,NER,Assets,2.208,2023
Niger,NER,Children 0-14,10.769,1960
Niger,NER,Children 0-14,10.769,1961
Niger,NER,Children 0-14,10.769,1962
Niger,NER,Children 0-14,10.769,1963
Niger,NER,Children 0-14,10.769,1964
Niger,NER,Children 0-14,10.769,1965
Niger,NER,Children 0-14,10.769,1966
Niger,NER,Children 0-14,15.385,1967
Niger,NER,Children 0-14,17.692,1968
Niger,NER,Children 0-14,17.692,1969
Niger,NER,Children 0-14,17.692,1970
Niger,NER,Children 0-14,28.462,1971
Niger,NER,Children 0-14,30.000,1972
Niger,NER,Children 0-14,40.000,1973
Niger,NER,Children 0-14,40.000,1974
Niger,NER,Children 0-14,32.308,1975
Niger,NER,Children 0-14,32.308,1976
Niger,NER,Children 0-14,37.692,1977
Niger,NER,Children 0-14,35.385,1978
Niger,NER,Children 0-14,32.308,1979
Niger,NER,Children 0-14,30.000,1980
Niger,NER,Children 0-14,36.923,1981
Niger,NER,Children 0-14,31.538,1982
Niger,NER,Children 0-14,31.538,1983
Niger,NER,Children 0-14,31.538,1984
Niger,NER,Children 0-14,32.308,1985
Niger,NER,Children 0-14,40.000,1986
Niger,NER,Children 0-14,30.000,1987
Niger,NER,Children 0-14,24.615,1988
Niger,NER,Children 0-14,41.538,1989
Niger,NER,Children 0-14,41.538,1990
Niger,NER,Children 0-14,41.538,1991
Niger,NER,Children 0-14,54.615,1992
Niger,NER,Children 0-14,30.000,1993
Niger,NER,Children 0-14,24.615,1994
Niger,NER,Children 0-14,31.538,1995
Niger,NER,Children 0-14,31.538,1996
Niger,NER,Children 0-14,41.538,1997
Niger,NER,Children 0-14,50.000,1998
Niger,NER,Children 0-14,44.615,1999
Niger,NER,Children 0-14,69.231,2000
Niger,NER,Children 0-14,46.154,2001
Niger,NER,Children 0-14,48.462,2002
Niger,NER,Children 0-14,48.462,2003
Niger,NER,Children 0-14,46.923,2004
Niger,NER,Children 0-14,44.615,2005
Niger,NER,Children 0-14,63.846,2006
Niger,NER,Children 0-14,63.077,2007
Niger,NER,Children 0-14,58.462,2008
Niger,NER,Children 0-14,60.769,2009
Niger,NER,Children 0-14,78.462,2010
Niger,NER,Children 0-14,60.000,2011
Niger,NER,Children 0-14,73.077,2012
Niger,NER,Children 0-14,60.769,2013
Niger,NER,Children 0-14,68.462,2014
Niger,NER,Children 0-14,74.615,2015
Niger,NER,Children 0-14,59.231,2016
Niger,NER,Children 0-14,54.615,2017
Niger,NER,Children 0-14,57.692,2018
Niger,NER,Children 0-14,66.154,2019
Niger,NER,Children 0-14,44.615,2020
Niger,NER,Children 0-14,46.923,2021
Niger,NER,Children 0-14,48.462,2022
Niger,NER,Children 0-14,19.231,2023
Niger,NER,Education,0.000,1960
Niger,NER,Education,0.000,1961
