Country Name,Country Code,Topic,% of available indicators,Year
Nigeria,NGA,Assets,0.000,1960
Nigeria,NGA,Assets,0.000,1961
Nigeria,NGA,Assets,0.000,1962
Nigeria,NGA,Assets,0.000,1963
Nigeria,NGA,Assets,0.000,1964
Nigeria,NGA,Assets,0.000,1965
Nigeria,NGA,Assets,0.000,1966
Nigeria,NGA,Assets,0.000,1967
Nigeria,NGA,Assets,0.000,1968
Nigeria,NGA,Assets,0.000,1969
Nigeria,NGA,Assets,2.208,1970
Nigeria,NGA,Assets,2.208,1971
Nigeria,NGA,Assets,2.208,1972
Nigeria,NGA,Assets,2.208,1973
Nigeria,NGA,Assets,2.208,1974
Nigeria,NGA,Assets,2.208,1975
Nigeria,NGA,Assets,2.208,1976
Nigeria,NGA,Assets,2.208,1977
Nigeria,NGA,Assets,2.208,1978
Nigeria,NGA,Assets,2.208,1979
Nigeria,NGA,Assets,2.208,1980
Nigeria,NGA,Assets,2.208,1981
Nigeria,NGA,Assets,2.208,1982
Nigeria,NGA,Assets,2.208,1983
Nigeria,NGA,Assets,2.208,1984
Nigeria,NGA,Assets,2.208,1985
Nigeria,NGA,Assets,2.208,1986
Nigeria,NGA,Assets,2.208,1987
Nigeria,NGA,Assets,2.208,1988
Nigeria,NGA,Assets,2.208,1989
Nigeria,NGA,Assets,2.208,1990
Nigeria,NGA,Assets,2.208,1991
Nigeria,NGA,Assets,2.208,1992
Nigeria,NGA,Assets,2.208,1993
Nigeria,NGA,Assets,2.208,1994
Nigeria,NGA,Assets,2.208,1995
Nigeria,NGA,Assets,2.208,1996
Nigeria,NGA,Assets,2.208,1997
Nigeria,NGA,Assets,2.208,1998
Nigeria,NGA,Assets,2.208,1999
Nigeria,NGA,Assets,2.208,2000
Nigeria,NGA,Assets,2.208,2001
Nigeria,NGA,Assets,2.208,2002
Nigeria,NGA,Assets,2.208,2003
Nigeria,NGA,Assets,2.208,2004
Nigeria,NGA,Assets,2.208,2005
Nigeria,NGA,Assets,2.208,2006
Nigeria,NGA,Assets,2.208,2007
Nigeria,NGA,Assets,2.208,2008
Nigeria,NGA,Assets,2.208,2009
Nigeria,NGA,Assets,2.208,2010
Nigeria,NGA,Assets,11.672,2011
Nigeria,NGA,Assets,2.208,2012
Nigeria,NGA,Assets,32.492,2013
Nigeria,NGA,Assets,31.546,2014
Nigeria,NGA,Assets,2.208,2015
Nigeria,NGA,Assets,2.208,2016
Nigeria,NGA,Assets,33.438,2017
Nigeria,NGA,Assets,32.492,2018
Nigeria,NGA,Assets,2.208,2019
Nigeria,NGA,Assets,2.208,2020
Nigeria,NGA,Assets,62.461,2021
Nigeria,NGA,Assets,2.208,2022
Nigeria,NGA,Assets,2.208,2023
Nigeria,NGA,Children 0-14,10.769,1960
Nigeria,NGA,Children 0-14,10.769,1961
Nigeria,NGA,Children 0-14,10.769,1962
Nigeria,NGA,Children 0-14,10.769,1963
Nigeria,NGA,Children 0-14,15.385,1964
Nigeria,NGA,Children 0-14,17.692,1965
Nigeria,NGA,Children 0-14,17.692,1966
Nigeria,NGA,Children 0-14,17.692,1967
Nigeria,NGA,Children 0-14,17.692,1968
Nigeria,NGA,Children 0-14,19.231,1969
Nigeria,NGA,Children 0-14,23.077,1970
Nigeria,NGA,Children 0-14,23.077,1971
Nigeria,NGA,Children 0-14,23.077,1972
Nigeria,NGA,Children 0-14,23.077,1973
Nigeria,NGA,Children 0-14,19.231,1974
Nigeria,NGA,Children 0-14,19.231,1975
Nigeria,NGA,Children 0-14,23.077,1976
Nigeria,NGA,Children 0-14,23.077,1977
Nigeria,NGA,Children 0-14,23.077,1978
Nigeria,NGA,Children 0-14,23.077,1979
Nigeria,NGA,Children 0-14,23.077,1980
Nigeria,NGA,Children 0-14,23.077,1981
Nigeria,NGA,Children 0-14,23.077,1982
Nigeria,NGA,Children 0-14,23.077,1983
Nigeria,NGA,Children 0-14,24.615,1984
Nigeria,NGA,Children 0-14,24.615,1985
Nigeria,NGA,Children 0-14,24.615,1986
Nigeria,NGA,Children 0-14,24.615,1987
Nigeria,NGA,Children 0-14,24.615,1988
Nigeria,NGA,Children 0-14,24.615,1989
Nigeria,NGA,Children 0-14,37.692,1990
Nigeria,NGA,Children 0-14,24.615,1991
Nigeria,NGA,Children 0-14,24.615,1992
Nigeria,NGA,Children 0-14,27.692,1993
Nigeria,NGA,Children 0-14,24.615,1994
Nigeria,NGA,Children 0-14,24.615,1995
Nigeria,NGA,Children 0-14,24.615,1996
Nigeria,NGA,Children 0-14,20.769,1997
Nigeria,NGA,Children 0-14,20.769,1998
Nigeria,NGA,Children 0-14,36.923,1999
Nigeria,NGA,Children 0-14,53.846,2000
Nigeria,NGA,Children 0-14,32.308,2001
Nigeria,NGA,Children 0-14,26.923,2002
Nigeria,NGA,Children 0-14,46.923,2003
Nigeria,NGA,Children 0-14,41.538,2004
Nigeria,NGA,Children 0-14,39.231,2005
Nigeria,NGA,Children 0-14,43.846,2006
Nigeria,NGA,Children 0-14,41.538,2007
Nigeria,NGA,Children 0-14,49.231,2008
Nigeria,NGA,Children 0-14,41.538,2009
Nigeria,NGA,Children 0-14,60.769,2010
Nigeria,NGA,Children 0-14,41.538,2011
Nigeria,NGA,Children 0-14,24.615,2012
Nigeria,NGA,Children 0-14,32.308,2013
Nigeria,NGA,Children 0-14,38.462,2014
Nigeria,NGA,Children 0-14,51.538,2015
Nigeria,NGA,Children 0-14,43.077,2016
Nigeria,NGA,Children 0-14,31.538,2017
Nigeria,NGA,Children 0-14,54.615,2018
Nigeria,NGA,Children 0-14,42.308,2019
Nigeria,NGA,Children 0-14,39.231,2020
Nigeria,NGA,Children 0-14,27.692,2021
Nigeria,NGA,Children 0-14,25.385,2022
Nigeria,NGA,Children 0-14,9.231,2023
Nigeria,NGA,Education,0.000,1960
Nigeria,NGA,Education,0.000,1961
Nigeria,NGA,Education,0.000,1962
Nigeria,NGA,Education,0.000,1963
Nigeria,NGA,Education,0.000,1964
Nigeria,NGA,Education,0.000,1965
Nigeria,NGA,Education,0.000,1966
Nigeria,NGA,Education,0.000,1967
Nigeria,NGA,Education,0.000,1968
Nigeria,NGA,Education,0.000,1969
Nigeria,NGA,Education,11.043,1970
Nigeria,NGA,Education,10.429,1971
Nigeria,NGA,Education,11.043,1972
Nigeria,NGA,Education,10.429,1973
Nigeria,NGA,Education,0.613,1974
Nigeria,NGA,Education,1.227,1975
Nigeria,NGA,Education,4.294,1976
Nigeria,NGA,Education,11.043,1977
Nigeria,NGA,Education,11.043,1978
Nigeria,NGA,Education,11.043,1979
Nigeria,NGA,Education,11.043,1980
Nigeria,NGA,Education,12.270,1981
Nigeria,NGA,Education,12.270,1982
Nigeria,NGA,Education,11.043,1983
Nigeria,NGA,Education,11.043,1984
Nigeria,NGA,Education,7.975,1985
Nigeria,NGA,Education,12.883,1986
Nigeria,NGA,Education,11.656,1987
Nigeria,NGA,Education,6.135,1988
Nigeria,NGA,Education,15.337,1989
Nigeria,NGA,Education,11.043,1990
Nigeria,NGA,Education,11.043,1991
Nigeria,NGA,Education,4.294,1992
Nigeria,NGA,Education,4.294,1993
Nigeria,NGA,Education,4.294,1994
Nigeria,NGA,Education,3.681,1995
Nigeria,NGA,Education,3.681,1996
Nigeria,NGA,Education,0.000,1997
Nigeria,NGA,Education,0.000,1998
Nigeria,NGA,Education,26.380,1999
Nigeria,NGA,Education,23.926,2000
Nigeria,NGA,Education,15.951,2001
Nigeria,NGA,Education,10.429,2002
Nigeria,NGA,Education,19.632,2003
Nigeria,NGA,Education,26.380,2004
Nigeria,NGA,Education,23.926,2005
Nigeria,NGA,Education,41.104,2006
Nigeria,NGA,Education,22.086,2007
Nigeria,NGA,Education,27.607,2008
Nigeria,NGA,Education,22.086,2009
Nigeria,NGA,Education,25.767,2010
Nigeria,NGA,Education,16.564,2011
Nigeria,NGA,Education,7.362,2012
Nigeria,NGA,Education,11.656,2013
Nigeria,NGA,Education,12.883,2014
Nigeria,NGA,Education,8.589,2015
Nigeria,NGA,Education,30.675,2016
Nigeria,NGA,Education,19.018,2017
Nigeria,NGA,Education,36.810,2018
Nigeria,NGA,Education,20.245,2019
Nigeria,NGA,Education,16.564,2020
Nigeria,NGA,Education,17.178,2021
Nigeria,NGA,Education,17.178,2022
Nigeria,NGA,Education,1.840,2023
Nigeria,NGA,Employment and Time Use,0.000,1960
Nigeria,NGA,Employment and Time Use,0.000,1961
Nigeria,NGA,Employment and Time Use,0.000,1962
Nigeria,NGA,Employment and Time Use,5.109,1963
Nigeria,NGA,Employment and Time Use,0.000,1964
Nigeria,NGA,Employment and Time Use,0.000,1965
Nigeria,NGA,Employment and Time Use,0.000,1966
Nigeria,NGA,Employment and Time Use,0.000,1967
Nigeria,NGA,Employment and Time Use,0.000,1968
Nigeria,NGA,Employment and Time Use,0.000,1969
Nigeria,NGA,Employment and Time Use,21.168,1970
Nigeria,NGA,Employment and Time Use,21.168,1971
Nigeria,NGA,Employment and Time Use,21.168,1972
Nigeria,NGA,Employment and Time Use,21.168,1973
Nigeria,NGA,Employment and Time Use,21.168,1974
Nigeria,NGA,Employment and Time Use,21.168,1975
Nigeria,NGA,Employment and Time Use,21.168,1976
Nigeria,NGA,Employment and Time Use,21.168,1977
Nigeria,NGA,Employment and Time Use,21.168,1978
Nigeria,NGA,Employment and Time Use,21.168,1979
Nigeria,NGA,Employment and Time Use,21.168,1980
Nigeria,NGA,Employment and Time Use,21.168,1981
Nigeria,NGA,Employment and Time Use,21.168,1982
Nigeria,NGA,Employment and Time Use,28.467,1983
Nigeria,NGA,Employment and Time Use,21.168,1984
Nigeria,NGA,Employment and Time Use,21.168,1985
Nigeria,NGA,Employment and Time Use,33.577,1986
Nigeria,NGA,Employment and Time Use,21.168,1987
Nigeria,NGA,Employment and Time Use,21.168,1988
Nigeria,NGA,Employment and Time Use,21.168,1989
Nigeria,NGA,Employment and Time Use,31.387,1990
Nigeria,NGA,Employment and Time Use,61.314,1991
Nigeria,NGA,Employment and Time Use,56.204,1992
Nigeria,NGA,Employment and Time Use,56.204,1993
Nigeria,NGA,Employment and Time Use,56.204,1994
Nigeria,NGA,Employment and Time Use,56.204,1995
Nigeria,NGA,Employment and Time Use,56.204,1996
Nigeria,NGA,Employment and Time Use,56.204,1997
Nigeria,NGA,Employment and Time Use,56.204,1998
Nigeria,NGA,Employment and Time Use,56.204,1999
Nigeria,NGA,Employment and Time Use,56.204,2000
Nigeria,NGA,Employment and Time Use,56.204,2001
Nigeria,NGA,Employment and Time Use,56.204,2002
Nigeria,NGA,Employment and Time Use,58.394,2003
Nigeria,NGA,Employment and Time Use,61.314,2004
Nigeria,NGA,Employment and Time Use,56.204,2005
Nigeria,NGA,Employment and Time Use,56.204,2006
Nigeria,NGA,Employment and Time Use,58.394,2007
Nigeria,NGA,Employment and Time Use,56.204,2008
Nigeria,NGA,Employment and Time Use,56.204,2009
Nigeria,NGA,Employment and Time Use,58.394,2010
Nigeria,NGA,Employment and Time Use,78.102,2011
Nigeria,NGA,Employment and Time Use,56.204,2012
Nigeria,NGA,Employment and Time Use,75.912,2013
Nigeria,NGA,Employment and Time Use,59.124,2014
Nigeria,NGA,Employment and Time Use,60.584,2015
Nigeria,NGA,Employment and Time Use,78.102,2016
Nigeria,NGA,Employment and Time Use,60.584,2017
Nigeria,NGA,Employment and Time Use,56.204,2018
Nigeria,NGA,Employment and Time Use,88.321,2019
Nigeria,NGA,Employment and Time Use,56.204,2020
Nigeria,NGA,Employment and Time Use,56.204,2021
Nigeria,NGA,Employment and Time Use,88.321,2022
Nigeria,NGA,Employment and Time Use,89.781,2023
Nigeria,NGA,Entrepreneurship,0.000,1960
Nigeria,NGA,Entrepreneurship,0.000,1961
Nigeria,NGA,Entrepreneurship,0.000,1962
Nigeria,NGA,Entrepreneurship,0.000,1963
Nigeria,NGA,Entrepreneurship,0.000,1964
Nigeria,NGA,Entrepreneurship,0.000,1965
Nigeria,NGA,Entrepreneurship,0.000,1966
Nigeria,NGA,Entrepreneurship,0.000,1967
Nigeria,NGA,Entrepreneurship,0.000,1968
Nigeria,NGA,Entrepreneurship,0.000,1969
Nigeria,NGA,Entrepreneurship,9.375,1970
Nigeria,NGA,Entrepreneurship,9.375,1971
Nigeria,NGA,Entrepreneurship,9.375,1972
Nigeria,NGA,Entrepreneurship,9.375,1973
Nigeria,NGA,Entrepreneurship,9.375,1974
Nigeria,NGA,Entrepreneurship,9.375,1975
Nigeria,NGA,Entrepreneurship,9.375,1976
Nigeria,NGA,Entrepreneurship,9.375,1977
Nigeria,NGA,Entrepreneurship,9.375,1978
