Country Name,Country Code,Topic,% of available indicators,Year
Nicaragua,NIC,Assets,0.000,1960
Nicaragua,NIC,Assets,0.000,1961
Nicaragua,NIC,Assets,0.000,1962
Nicaragua,NIC,Assets,0.000,1963
Nicaragua,NIC,Assets,0.000,1964
Nicaragua,NIC,Assets,0.000,1965
Nicaragua,NIC,Assets,0.000,1966
Nicaragua,NIC,Assets,0.000,1967
Nicaragua,NIC,Assets,0.000,1968
Nicaragua,NIC,Assets,0.000,1969
Nicaragua,NIC,Assets,2.208,1970
Nicaragua,NIC,Assets,2.208,1971
Nicaragua,NIC,Assets,2.208,1972
Nicaragua,NIC,Assets,2.208,1973
Nicaragua,NIC,Assets,2.208,1974
Nicaragua,NIC,Assets,2.208,1975
Nicaragua,NIC,Assets,2.208,1976
Nicaragua,NIC,Assets,2.208,1977
Nicaragua,NIC,Assets,2.208,1978
Nicaragua,NIC,Assets,2.208,1979
Nicaragua,NIC,Assets,2.208,1980
Nicaragua,NIC,Assets,2.208,1981
Nicaragua,NIC,Assets,2.208,1982
Nicaragua,NIC,Assets,2.208,1983
Nicaragua,NIC,Assets,2.208,1984
Nicaragua,NIC,Assets,2.208,1985
Nicaragua,NIC,Assets,2.208,1986
Nicaragua,NIC,Assets,2.208,1987
Nicaragua,NIC,Assets,2.208,1988
Nicaragua,NIC,Assets,2.208,1989
Nicaragua,NIC,Assets,2.208,1990
Nicaragua,NIC,Assets,2.208,1991
Nicaragua,NIC,Assets,2.208,1992
Nicaragua,NIC,Assets,2.208,1993
Nicaragua,NIC,Assets,2.208,1994
Nicaragua,NIC,Assets,2.208,1995
Nicaragua,NIC,Assets,2.208,1996
Nicaragua,NIC,Assets,2.208,1997
Nicaragua,NIC,Assets,2.208,1998
Nicaragua,NIC,Assets,2.208,1999
Nicaragua,NIC,Assets,2.208,2000
Nicaragua,NIC,Assets,2.208,2001
Nicaragua,NIC,Assets,2.208,2002
Nicaragua,NIC,Assets,2.208,2003
Nicaragua,NIC,Assets,2.208,2004
Nicaragua,NIC,Assets,2.208,2005
Nicaragua,NIC,Assets,2.208,2006
Nicaragua,NIC,Assets,2.208,2007
Nicaragua,NIC,Assets,2.208,2008
Nicaragua,NIC,Assets,2.208,2009
Nicaragua,NIC,Assets,2.208,2010
Nicaragua,NIC,Assets,11.672,2011
Nicaragua,NIC,Assets,2.208,2012
Nicaragua,NIC,Assets,2.208,2013
Nicaragua,NIC,Assets,31.546,2014
Nicaragua,NIC,Assets,2.208,2015
Nicaragua,NIC,Assets,2.208,2016
Nicaragua,NIC,Assets,34.069,2017
Nicaragua,NIC,Assets,2.208,2018
Nicaragua,NIC,Assets,2.208,2019
Nicaragua,NIC,Assets,2.208,2020
Nicaragua,NIC,Assets,63.091,2021
Nicaragua,NIC,Assets,2.208,2022
Nicaragua,NIC,Assets,2.208,2023
Nicaragua,NIC,Children 0-14,19.231,1960
Nicaragua,NIC,Children 0-14,19.231,1961
Nicaragua,NIC,Children 0-14,19.231,1962
Nicaragua,NIC,Children 0-14,19.231,1963
Nicaragua,NIC,Children 0-14,19.231,1964
Nicaragua,NIC,Children 0-14,19.231,1965
Nicaragua,NIC,Children 0-14,19.231,1966
Nicaragua,NIC,Children 0-14,19.231,1967
Nicaragua,NIC,Children 0-14,19.231,1968
Nicaragua,NIC,Children 0-14,19.231,1969
Nicaragua,NIC,Children 0-14,33.077,1970
Nicaragua,NIC,Children 0-14,37.692,1971
Nicaragua,NIC,Children 0-14,33.077,1972
Nicaragua,NIC,Children 0-14,36.154,1973
Nicaragua,NIC,Children 0-14,25.385,1974
Nicaragua,NIC,Children 0-14,26.923,1975
Nicaragua,NIC,Children 0-14,28.462,1976
Nicaragua,NIC,Children 0-14,31.538,1977
Nicaragua,NIC,Children 0-14,33.077,1978
Nicaragua,NIC,Children 0-14,29.231,1979
Nicaragua,NIC,Children 0-14,37.692,1980
Nicaragua,NIC,Children 0-14,20.769,1981
Nicaragua,NIC,Children 0-14,39.231,1982
Nicaragua,NIC,Children 0-14,39.231,1983
Nicaragua,NIC,Children 0-14,39.231,1984
Nicaragua,NIC,Children 0-14,39.231,1985
Nicaragua,NIC,Children 0-14,39.231,1986
Nicaragua,NIC,Children 0-14,41.538,1987
Nicaragua,NIC,Children 0-14,40.000,1988
Nicaragua,NIC,Children 0-14,36.923,1989
Nicaragua,NIC,Children 0-14,36.154,1990
Nicaragua,NIC,Children 0-14,36.923,1991
Nicaragua,NIC,Children 0-14,38.462,1992
Nicaragua,NIC,Children 0-14,53.077,1993
Nicaragua,NIC,Children 0-14,41.538,1994
Nicaragua,NIC,Children 0-14,40.000,1995
Nicaragua,NIC,Children 0-14,30.000,1996
Nicaragua,NIC,Children 0-14,26.923,1997
Nicaragua,NIC,Children 0-14,41.538,1998
Nicaragua,NIC,Children 0-14,46.923,1999
Nicaragua,NIC,Children 0-14,60.769,2000
Nicaragua,NIC,Children 0-14,67.692,2001
Nicaragua,NIC,Children 0-14,46.923,2002
Nicaragua,NIC,Children 0-14,31.538,2003
Nicaragua,NIC,Children 0-14,53.077,2004
Nicaragua,NIC,Children 0-14,50.769,2005
Nicaragua,NIC,Children 0-14,55.385,2006
Nicaragua,NIC,Children 0-14,60.769,2007
Nicaragua,NIC,Children 0-14,47.692,2008
Nicaragua,NIC,Children 0-14,25.385,2009
Nicaragua,NIC,Children 0-14,68.462,2010
Nicaragua,NIC,Children 0-14,26.154,2011
Nicaragua,NIC,Children 0-14,45.385,2012
Nicaragua,NIC,Children 0-14,32.308,2013
Nicaragua,NIC,Children 0-14,30.769,2014
