Country Name,Country Code,Topic,% of available indicators,Year
Norway,NOR,Assets,0.000,1960
Norway,NOR,Assets,0.000,1961
Norway,NOR,Assets,0.000,1962
Norway,NOR,Assets,0.000,1963
Norway,NOR,Assets,0.000,1964
Norway,NOR,Assets,0.000,1965
Norway,NOR,Assets,0.000,1966
Norway,NOR,Assets,0.000,1967
Norway,NOR,Assets,0.000,1968
Norway,NOR,Assets,0.000,1969
Norway,NOR,Assets,2.208,1970
Norway,NOR,Assets,2.208,1971
Norway,NOR,Assets,2.208,1972
Norway,NOR,Assets,2.208,1973
Norway,NOR,Assets,2.208,1974
Norway,NOR,Assets,2.208,1975
Norway,NOR,Assets,2.208,1976
Norway,NOR,Assets,2.208,1977
Norway,NOR,Assets,2.208,1978
Norway,NOR,Assets,2.208,1979
Norway,NOR,Assets,2.208,1980
Norway,NOR,Assets,2.208,1981
Norway,NOR,Assets,2.208,1982
Norway,NOR,Assets,2.208,1983
Norway,NOR,Assets,2.208,1984
Norway,NOR,Assets,2.208,1985
Norway,NOR,Assets,2.208,1986
Norway,NOR,Assets,2.208,1987
Norway,NOR,Assets,2.208,1988
Norway,NOR,Assets,2.208,1989
Norway,NOR,Assets,2.208,1990
Norway,NOR,Assets,2.208,1991
Norway,NOR,Assets,2.208,1992
Norway,NOR,Assets,2.208,1993
Norway,NOR,Assets,2.208,1994
Norway,NOR,Assets,2.208,1995
Norway,NOR,Assets,2.208,1996
Norway,NOR,Assets,2.208,1997
Norway,NOR,Assets,2.208,1998
Norway,NOR,Assets,2.208,1999
Norway,NOR,Assets,2.208,2000
Norway,NOR,Assets,2.208,2001
Norway,NOR,Assets,2.208,2002
Norway,NOR,Assets,2.208,2003
Norway,NOR,Assets,2.208,2004
Norway,NOR,Assets,2.208,2005
Norway,NOR,Assets,2.208,2006
Norway,NOR,Assets,2.208,2007
Norway,NOR,Assets,2.208,2008
Norway,NOR,Assets,2.208,2009
Norway,NOR,Assets,2.208,2010
Norway,NOR,Assets,2.208,2011
Norway,NOR,Assets,2.208,2012
Norway,NOR,Assets,2.208,2013
Norway,NOR,Assets,24.921,2014
Norway,NOR,Assets,2.208,2015
Norway,NOR,Assets,2.208,2016
Norway,NOR,Assets,26.814,2017
Norway,NOR,Assets,2.208,2018
Norway,NOR,Assets,2.208,2019
Norway,NOR,Assets,2.208,2020
Norway,NOR,Assets,51.735,2021
Norway,NOR,Assets,2.208,2022
Norway,NOR,Assets,2.208,2023
Norway,NOR,Children 0-14,19.231,1960
Norway,NOR,Children 0-14,19.231,1961
Norway,NOR,Children 0-14,19.231,1962
Norway,NOR,Children 0-14,19.231,1963
Norway,NOR,Children 0-14,19.231,1964
Norway,NOR,Children 0-14,19.231,1965
Norway,NOR,Children 0-14,19.231,1966
Norway,NOR,Children 0-14,19.231,1967
Norway,NOR,Children 0-14,19.231,1968
Norway,NOR,Children 0-14,19.231,1969
Norway,NOR,Children 0-14,21.538,1970
Norway,NOR,Children 0-14,29.231,1971
Norway,NOR,Children 0-14,28.462,1972
Norway,NOR,Children 0-14,27.692,1973
Norway,NOR,Children 0-14,27.692,1974
Norway,NOR,Children 0-14,30.769,1975
Norway,NOR,Children 0-14,36.154,1976
Norway,NOR,Children 0-14,33.077,1977
Norway,NOR,Children 0-14,36.154,1978
Norway,NOR,Children 0-14,36.154,1979
Norway,NOR,Children 0-14,33.846,1980
Norway,NOR,Children 0-14,36.154,1981
Norway,NOR,Children 0-14,34.615,1982
Norway,NOR,Children 0-14,25.385,1983
Norway,NOR,Children 0-14,37.692,1984
Norway,NOR,Children 0-14,37.692,1985
Norway,NOR,Children 0-14,37.692,1986
Norway,NOR,Children 0-14,37.692,1987
Norway,NOR,Children 0-14,37.692,1988
Norway,NOR,Children 0-14,37.692,1989
Norway,NOR,Children 0-14,40.000,1990
Norway,NOR,Children 0-14,34.615,1991
Norway,NOR,Children 0-14,37.692,1992
Norway,NOR,Children 0-14,36.154,1993
Norway,NOR,Children 0-14,35.385,1994
Norway,NOR,Children 0-14,34.615,1995
Norway,NOR,Children 0-14,34.615,1996
Norway,NOR,Children 0-14,34.615,1997
Norway,NOR,Children 0-14,38.462,1998
Norway,NOR,Children 0-14,38.462,1999
Norway,NOR,Children 0-14,51.538,2000
Norway,NOR,Children 0-14,44.615,2001
Norway,NOR,Children 0-14,38.462,2002
Norway,NOR,Children 0-14,40.000,2003
Norway,NOR,Children 0-14,42.308,2004
Norway,NOR,Children 0-14,42.308,2005
Norway,NOR,Children 0-14,48.462,2006
Norway,NOR,Children 0-14,44.615,2007
Norway,NOR,Children 0-14,46.154,2008
Norway,NOR,Children 0-14,46.154,2009
Norway,NOR,Children 0-14,61.538,2010
Norway,NOR,Children 0-14,53.077,2011
Norway,NOR,Children 0-14,43.077,2012
Norway,NOR,Children 0-14,45.385,2013
