Country Name,Country Code,Topic,% of available indicators,Year
Nepal,NPL,Assets,0.000,1960
Nepal,NPL,Assets,0.000,1961
Nepal,NPL,Assets,0.000,1962
Nepal,NPL,Assets,0.000,1963
Nepal,NPL,Assets,0.000,1964
Nepal,NPL,Assets,0.000,1965
Nepal,NPL,Assets,0.000,1966
Nepal,NPL,Assets,0.000,1967
Nepal,NPL,Assets,0.000,1968
Nepal,NPL,Assets,0.000,1969
Nepal,NPL,Assets,2.208,1970
Nepal,NPL,Assets,2.208,1971
Nepal,NPL,Assets,2.208,1972
Nepal,NPL,Assets,2.208,1973
Nepal,NPL,Assets,2.208,1974
Nepal,NPL,Assets,2.208,1975
Nepal,NPL,Assets,2.208,1976
Nepal,NPL,Assets,2.208,1977
Nepal,NPL,Assets,2.208,1978
Nepal,NPL,Assets,2.208,1979
Nepal,NPL,Assets,2.208,1980
Nepal,NPL,Assets,2.208,1981
Nepal,NPL,Assets,2.208,1982
Nepal,NPL,Assets,2.208,1983
Nepal,NPL,Assets,2.208,1984
Nepal,NPL,Assets,2.208,1985
Nepal,NPL,Assets,2.208,1986
Nepal,NPL,Assets,2.208,1987
Nepal,NPL,Assets,2.208,1988
Nepal,NPL,Assets,2.208,1989
Nepal,NPL,Assets,2.208,1990
Nepal,NPL,Assets,2.208,1991
Nepal,NPL,Assets,2.208,1992
Nepal,NPL,Assets,2.208,1993
Nepal,NPL,Assets,2.208,1994
Nepal,NPL,Assets,2.208,1995
Nepal,NPL,Assets,2.208,1996
Nepal,NPL,Assets,2.208,1997
Nepal,NPL,Assets,2.208,1998
Nepal,NPL,Assets,2.208,1999
Nepal,NPL,Assets,2.208,2000
Nepal,NPL,Assets,2.208,2001
Nepal,NPL,Assets,2.208,2002
Nepal,NPL,Assets,2.208,2003
Nepal,NPL,Assets,2.208,2004
Nepal,NPL,Assets,2.208,2005
Nepal,NPL,Assets,2.208,2006
Nepal,NPL,Assets,2.208,2007
Nepal,NPL,Assets,2.208,2008
Nepal,NPL,Assets,2.208,2009
Nepal,NPL,Assets,2.208,2010
Nepal,NPL,Assets,41.956,2011
Nepal,NPL,Assets,2.208,2012
Nepal,NPL,Assets,2.208,2013
Nepal,NPL,Assets,31.546,2014
Nepal,NPL,Assets,2.208,2015
Nepal,NPL,Assets,32.492,2016
Nepal,NPL,Assets,32.492,2017
Nepal,NPL,Assets,2.208,2018
Nepal,NPL,Assets,2.208,2019
Nepal,NPL,Assets,2.208,2020
Nepal,NPL,Assets,63.091,2021
Nepal,NPL,Assets,32.492,2022
Nepal,NPL,Assets,2.208,2023
Nepal,NPL,Children 0-14,19.231,1960
Nepal,NPL,Children 0-14,19.231,1961
Nepal,NPL,Children 0-14,19.231,1962
Nepal,NPL,Children 0-14,19.231,1963
Nepal,NPL,Children 0-14,19.231,1964
Nepal,NPL,Children 0-14,19.231,1965
Nepal,NPL,Children 0-14,19.231,1966
Nepal,NPL,Children 0-14,19.231,1967
Nepal,NPL,Children 0-14,19.231,1968
Nepal,NPL,Children 0-14,19.231,1969
Nepal,NPL,Children 0-14,23.077,1970
Nepal,NPL,Children 0-14,21.538,1971
Nepal,NPL,Children 0-14,20.000,1972
Nepal,NPL,Children 0-14,20.000,1973
Nepal,NPL,Children 0-14,20.000,1974
Nepal,NPL,Children 0-14,20.000,1975
Nepal,NPL,Children 0-14,20.000,1976
Nepal,NPL,Children 0-14,20.000,1977
Nepal,NPL,Children 0-14,20.000,1978
Nepal,NPL,Children 0-14,20.000,1979
Nepal,NPL,Children 0-14,20.769,1980
Nepal,NPL,Children 0-14,26.923,1981
Nepal,NPL,Children 0-14,24.615,1982
Nepal,NPL,Children 0-14,34.615,1983
Nepal,NPL,Children 0-14,34.615,1984
Nepal,NPL,Children 0-14,24.615,1985
Nepal,NPL,Children 0-14,24.615,1986
Nepal,NPL,Children 0-14,24.615,1987
Nepal,NPL,Children 0-14,34.615,1988
Nepal,NPL,Children 0-14,24.615,1989
Nepal,NPL,Children 0-14,24.615,1990
Nepal,NPL,Children 0-14,28.462,1991
Nepal,NPL,Children 0-14,30.000,1992
Nepal,NPL,Children 0-14,24.615,1993
Nepal,NPL,Children 0-14,24.615,1994
Nepal,NPL,Children 0-14,26.923,1995
Nepal,NPL,Children 0-14,33.077,1996
Nepal,NPL,Children 0-14,24.615,1997
Nepal,NPL,Children 0-14,27.692,1998
Nepal,NPL,Children 0-14,43.846,1999
Nepal,NPL,Children 0-14,53.846,2000
Nepal,NPL,Children 0-14,51.538,2001
Nepal,NPL,Children 0-14,33.846,2002
Nepal,NPL,Children 0-14,41.538,2003
Nepal,NPL,Children 0-14,41.538,2004
Nepal,NPL,Children 0-14,32.308,2005
Nepal,NPL,Children 0-14,44.615,2006
Nepal,NPL,Children 0-14,29.231,2007
Nepal,NPL,Children 0-14,34.615,2008
Nepal,NPL,Children 0-14,30.000,2009
Nepal,NPL,Children 0-14,50.769,2010
Nepal,NPL,Children 0-14,59.231,2011
Nepal,NPL,Children 0-14,39.231,2012
Nepal,NPL,Children 0-14,36.154,2013
Nepal,NPL,Children 0-14,53.846,2014
Nepal,NPL,Children 0-14,53.077,2015
Nepal,NPL,Children 0-14,63.077,2016
Nepal,NPL,Children 0-14,46.923,2017
Nepal,NPL,Children 0-14,25.385,2018
Nepal,NPL,Children 0-14,66.154,2019
Nepal,NPL,Children 0-14,33.077,2020
Nepal,NPL,Children 0-14,36.923,2021
Nepal,NPL,Children 0-14,49.231,2022
Nepal,NPL,Children 0-14,17.692,2023
Nepal,NPL,Education,0.000,1960
Nepal,NPL,Education,0.000,1961
Nepal,NPL,Education,0.000,1962
Nepal,NPL,Education,0.000,1963
Nepal,NPL,Education,0.000,1964
Nepal,NPL,Education,0.000,1965
Nepal,NPL,Education,0.000,1966
